rank_group,rank,rank_value,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_C13,longitudinal_polarized_C13,Tx_C13,Ty_C13
unpolarized_C13,1,4.6061391596889572e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,5.0391363676019774e-01,1.7500000000000000e+00,1.8999999999999999e+00,4.9087385212340520e+00,1.7671458676442597e+00,1.9634954084936207e+00,2.0992631954894875e+01,9.0916769585179724e-01,-6.0663053892445031e+00,2.9771568932081207e+00,9.4210634278062078e-01,3.0547726061025231e+00,1.7502557770185405e+02,3.0593969431357637e-01,7.7691029771385836e+00,3.0593969431357637e-01,7.7691029771385836e+00,False,1.4268831583797675e+02,4.6061391596889572e-16,-1.7065000215260132e-15,1.5488638872503754e-02,1.5488638976394017e-02
unpolarized_C13,2,4.4269256948029033e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,5.0391363676019774e-01,1.7500000000000000e+00,1.8999999999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.9634954084936207e+00,2.0646299537525888e+01,9.0778453072942955e-01,-5.7199729718755083e+00,2.9771568932081172e+00,9.2797543128384963e-01,3.0547726061025231e+00,1.7502557770185405e+02,3.0593969431357637e-01,7.7691029771385836e+00,3.0593969431357637e-01,7.7691029771385836e+00,False,1.5138849072696496e+02,4.4269256948029033e-16,-7.3161380402688996e-16,1.8903075919338895e-02,1.8903076296065604e-02
unpolarized_C13,3,4.3782050668302354e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.6914690428030391e-01,1.7500000000000000e+00,1.8999999999999999e+00,5.8904862254808616e+00,2.7488935718910685e+00,2.5525440310417071e+00,1.6168576339996072e+01,8.4826780765302967e-01,-3.3855275945772165e+00,3.7719654657251747e+00,9.2366242516579045e-01,3.0243212004880364e+00,1.7328084067990298e+02,2.7982040665874075e-01,6.6713447793683773e+00,2.7982040665874075e-01,6.6713447793683773e+00,False,1.9833345348142768e+02,4.3782050668302354e-16,-2.3090690884911194e-15,3.4491059099546577e-02,3.4491059687908152e-02
unpolarized_C13,4,4.3393787013845149e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.2571400462762903e+00,1.7500000000000000e+00,1.8999999999999999e+00,1.9634954084936229e-01,3.3379421944391554e+00,3.5342917352885173e+00,1.5138656423182962e+01,6.7849023387801499e-01,-5.2886292626178184e+00,8.0534562982924367e+00,9.1037592435196368e-01,2.4003844224711735e+00,1.3753189661654579e+02,3.0593969431357565e-01,5.2309532745962075e+00,3.0593969431357565e-01,5.2309532745962075e+00,False,3.0229769875700418e+02,4.3393787013845149e-16,-4.8301071845502144e-17,5.1614543150101844e-01,5.1614543320535600e-01
unpolarized_C13,5,4.1737147168874013e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.0710237988941456e+00,1.7500000000000000e+00,1.8999999999999999e+00,2.5525440310417071e+00,5.6941366846315002e+00,6.0868357663302239e+00,1.3774684952685902e+01,7.0679407898674551e-01,-2.9237055633543214e+00,6.5941238847575390e+00,7.9518065150737738e-01,2.5432951467277176e+00,1.4572007796360367e+02,5.3512978669888878e-01,5.9606194813642572e+00,5.3512978669888878e-01,5.9606194813642572e+00,False,2.7099737257428058e+02,4.1737147168874013e-16,-1.0713754503928296e-16,4.4337378438709785e-01,4.4337378792896637e-01
unpolarized_C13,6,3.9027312241446895e-16,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,7.9554472528198117e-01,1.7500000000000000e+00,1.8999999999999999e+00,6.0868357663302239e+00,2.9452431127404317e+00,2.9452431127404308e+00,1.8783611651622330e+01,8.3315470220756127e-01,-5.3667511981503360e+00,4.6413990525353670e+00,9.1987853114246154e-01,2.7528885290665310e+00,1.5772889418548948e+02,2.2855167073634880e-01,6.9369818974736610e+00,2.2855167073634880e-01,6.9369818974736610e+00,False,2.5867300073749772e+02,3.9027312241446895e-16,-1.0798724034179737e-15,2.2775309650883449e-01,2.2775309377597436e-01
unpolarized_C13,7,3.5244649415059553e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.5456471412808548e-01,1.7500000000000000e+00,1.8999999999999999e+00,2.7488935718910685e+00,5.8904862254808616e+00,6.0868357663302239e+00,1.3933190799476687e+01,7.5791954098300085e-01,-2.7082993341887995e+00,5.3301227458601739e+00,8.9084461840167029e-01,2.7647757295405708e+00,1.5840998060287788e+02,2.7982040665874225e-01,5.8922661393018085e+00,2.7982040665874225e-01,5.8922661393018085e+00,False,3.1222884097545233e+02,3.5244649415059553e-16,1.4805095820970040e-16,2.9981027276132616e-01,2.9981027256012288e-01
unpolarized_C13,8,3.4310405409409812e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.5456471412808548e-01,1.7500000000000000e+00,1.8999999999999999e+00,3.9269908169872414e-01,3.5342917352885173e+00,3.3379421944391554e+00,1.3933190799476689e+01,7.5791954098300096e-01,-2.7082993341888013e+00,5.3301227458601712e+00,8.9084461840167029e-01,2.7647757295405708e+00,1.5840998060287788e+02,2.7982040665874180e-01,5.8922661393018103e+00,2.7982040665874180e-01,5.8922661393018103e+00,False,3.1222884097545324e+02,3.4310405409409812e-16,-2.5759560960353970e-17,2.9981027076059646e-01,2.9981027612882555e-01
unpolarized_C13,9,3.4178199384950952e-16,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.5000449885123774e+00,1.2500000000000000e+00,1.8999999999999999e+00,2.1598449493429825e+00,5.3014376029327757e+00,5.4977871437821380e+00,4.1044190076333216e+00,3.6715158565867878e-01,-1.2863146846680213e+00,7.9545106015705569e+00,7.0297598129777261e-01,1.7474126597935697e+00,1.0011937047390110e+02,1.7439913337707447e-01,1.5834512948598096e+00,1.7439913337707447e-01,1.5834512948598096e+00,False,4.6168907710184249e+03,3.4178199384950952e-16,-6.0338182090012217e-17,6.9764444322910590e-01,6.9764444048566254e-01
unpolarized_C13,10,3.3992789066888100e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.5456471412808548e-01,1.7500000000000000e+00,1.8999999999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,6.0868357663302239e+00,1.4987741480893972e+01,7.7105288018298845e-01,-3.7628500156060847e+00,5.3301227458601739e+00,9.4194709375625874e-01,2.7647757295405708e+00,1.5840998060287788e+02,2.7982040665874253e-01,5.8922661393018085e+00,2.7982040665874253e-01,5.8922661393018085e+00,False,2.2869111496153596e+02,3.3992789066888100e-16,-9.2548944243179260e-17,2.7036586545232716e-01,2.7036586543592916e-01
