kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,unpolarized_M_e,unpolarized_M_p,unpolarized_M_gamma,unpolarized_F3,longitudinal_polarized_C_e_p,longitudinal_polarized_C_e_gamma,longitudinal_polarized_C_p_gamma,longitudinal_polarized_C_e_rest,longitudinal_polarized_C_p_rest,longitudinal_polarized_C_gamma_rest,longitudinal_polarized_M_e,longitudinal_polarized_M_p,longitudinal_polarized_M_gamma,longitudinal_polarized_F3,Tx_C_e_p,Tx_C_e_gamma,Tx_C_p_gamma,Tx_C_e_rest,Tx_C_p_rest,Tx_C_gamma_rest,Tx_M_e,Tx_M_p,Tx_M_gamma,Tx_F3,Ty_C_e_p,Ty_C_e_gamma,Ty_C_p_gamma,Ty_C_e_rest,Ty_C_p_rest,Ty_C_gamma_rest,Ty_M_e,Ty_M_p,Ty_M_gamma,Ty_F3,double_transverse_C_e_p,double_transverse_C_e_gamma,double_transverse_C_p_gamma,double_transverse_C_e_rest,double_transverse_C_p_rest,double_transverse_C_gamma_rest,double_transverse_M_e,double_transverse_M_p,double_transverse_M_gamma,double_transverse_F3
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.5814892864851142e+00,7.3930623629511327e+00,6.1572612267280369e-01,-9.8833079952160894e+00,8.8188801509870227e-03,3.0129306111859326e-03,5.4938446651020083e+00,5.8185031149705091e-01,1.6869723666750389e-01,9.6656396765675687e+00,1.2573812013617505e+00,1.2258385229272917e-02,1.2573812013617505e+00,1.2258385229272917e-02,True,2.4360076651951674e+00,2.5206080256701015e-18,9.5819873861162259e-18,3.5222093607122861e-03,0.0000000000000000e+00,3.5222188907486408e-03,3.5222188907171204e-03,-9.8167947086762998e-35,6.7133657335156720e-11,6.7133435292245861e-11,0.0000000000000000e+00,-1.0504986907988118e-17,-2.3717720366982051e-18,-1.1072513432419441e-02,0.0000000000000000e+00,-1.1072505276023218e-02,-1.1072505276054738e-02,2.1439054062750452e-34,2.7037861619416486e-11,2.7037639576505627e-11,0.0000000000000000e+00,2.1325945450780651e-01,1.7684879282903787e-01,5.7455340800780033e-03,2.8301017681963242e-01,2.2102550436013985e-01,1.8614020343482565e-01,3.3396697214244583e-03,3.3396674788216695e-03,3.3396686478049825e-03,4.7465671265179227e-02,2.1325945004742713e-01,1.7684879374238882e-01,5.7455340800781560e-03,2.8301017681963242e-01,2.2102550436014037e-01,1.8614020343482565e-01,3.3396713008105525e-03,3.3396693812580221e-03,3.3396683247549565e-03,4.7465671265179345e-02,6.1572321937892671e-01,1.7684883099024706e-01,1.6700533450403950e-02,6.6195679909743277e-01,6.3811456876708350e-01,2.4361982317635142e-01,2.7796211966352097e-02,2.7796212172922975e-02,2.7796201404331700e-02,1.7875869287990281e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.6469391334349019e+00,7.5291113891701249e+00,6.1909462793483538e-01,-9.8928712706407147e+00,8.8026361165788256e-03,3.0052880392449060e-03,5.5122198042910719e+00,5.8933355269728627e-01,8.4407535789323460e-02,4.8361955598276820e+00,1.1849507563689234e+00,3.0708156336297643e-03,1.1849507563689234e+00,3.0708156336297643e-03,True,1.0245693353241691e+01,3.8382734858196317e-18,7.8007924265368870e-17,1.7026723161712618e-03,0.0000000000000000e+00,1.7026922449880346e-03,1.7026922446620146e-03,-6.0999685915434713e-33,6.7864886384093564e-11,6.7863776160645423e-11,0.0000000000000000e+00,-4.3281112730290358e-18,-6.7344191337293423e-17,-5.4496818567198067e-03,0.0000000000000000e+00,-5.4496640794804273e-03,-5.4496640797754015e-03,1.5093958758655787e-32,3.7087194655331559e-11,3.7086528527869531e-11,0.0000000000000000e+00,2.1526906021555439e-01,1.8368087935383967e-01,2.7853167546508795e-03,2.8864129389983517e-01,2.2267215608016652e-01,1.9230388077821817e-01,3.2343628178832309e-03,3.2343628178783208e-03,3.2343591327395988e-03,4.9409494611409845e-02,2.1526906355016961e-01,1.8368087935384450e-01,2.7853167546506574e-03,2.8864129389983556e-01,2.2267215608016502e-01,1.9230388077821586e-01,3.2343613822027051e-03,3.2343613821986705e-03,3.2343591327369425e-03,4.9409494611408991e-02,6.2119851843815710e-01,1.8368087455065665e-01,8.0929281417454740e-03,6.6823612988927139e-01,6.4254677081914813e-01,2.4640905328842783e-01,2.6913262303935696e-02,2.6913257894445982e-02,2.6913262380897741e-02,1.8215499819942396e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.7778388273344765e+00,7.8200791377108638e+00,6.2799497561993656e-01,-9.8928712706407147e+00,8.8026361165788256e-03,3.0052880392449060e-03,5.5122198042910719e+00,6.0343355989542247e-01,8.4407535789319504e-02,4.8361955598274555e+00,1.0394668820985535e+00,3.0708156336295422e-03,1.0394668820985535e+00,3.0708156336295422e-03,True,1.1626838743298135e+01,4.9873097090408556e-19,1.3397018774293132e-16,1.5764540234503505e-03,0.0000000000000000e+00,1.5764555461571178e-03,1.5764555461571178e-03,-1.7948259936457604e-32,4.8009567385847948e-12,4.8009567385847948e-12,0.0000000000000000e+00,-1.2634918440665037e-17,-4.9861929606799439e-17,-5.2378915535467169e-03,0.0000000000000000e+00,-5.2378908417230639e-03,-5.2378908417230639e-03,1.6018480179693583e-32,-6.2503194479018496e-12,-6.2503194479018496e-12,0.0000000000000000e+00,2.1911076625077916e-01,1.9583919827660790e-01,2.5943296906435001e-03,2.9896202534406890e-01,2.2590269999273560e-01,2.0340966334562716e-01,3.0157731291995740e-03,3.0157714304605674e-03,3.0157690142130805e-03,5.3030572860419449e-02,2.1911076868654092e-01,1.9583919044970211e-01,2.5943296906436285e-03,2.9896202534406929e-01,2.2590269999273560e-01,2.0340966334562496e-01,3.0157751274263941e-03,3.0157703630573104e-03,3.0157720798420387e-03,5.3030572860418859e-02,6.3217353955458555e-01,1.9583919621620516e-01,7.5395414855106667e-03,6.8052722786009046e-01,6.5178305963835104e-01,2.5205309636406137e-01,2.5120932971357028e-02,2.5120928032745408e-02,2.5120927926289765e-02,1.8913845362979170e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.8432886742842642e+00,7.9737518914631806e+00,6.3345318043326482e-01,-9.8833079952160894e+00,8.8188801509870227e-03,3.0129306111859326e-03,5.4938446651020092e+00,6.0998994749782876e-01,1.6869723666750258e-01,9.6656396765674941e+00,9.6703643710572662e-01,1.2258385229272695e-02,9.6703643710572662e-01,1.2258385229272695e-02,True,3.1388256123357907e+00,3.0882627686063336e-19,3.5008237389762954e-18,3.0185785030645514e-03,0.0000000000000000e+00,3.0185891908058758e-03,3.0185891908058758e-03,-1.2351140520659568e-35,6.4523686644252123e-11,6.4523686644252123e-11,0.0000000000000000e+00,-8.9317664224154228e-18,1.0787558238061156e-18,-1.0225806279407394e-02,-2.1073424255447017e-08,-1.0225797209429417e-02,-1.0225797209446181e-02,-4.4408920985006271e-16,2.1671123457959909e-11,2.1670679395855113e-11,-3.2228220142016026e-10,2.2092187415310069e-01,2.0110620326419809e-01,4.9834035185051225e-03,3.0357591385800498e-01,2.2746310657174254e-01,2.0827072191289117e-01,2.9081560040634391e-03,2.9081560613211975e-03,2.9081543041476381e-03,5.4676012229602222e-02,2.2092187515084624e-01,2.0110620326419171e-01,4.9834001845116089e-03,3.0357591385800498e-01,2.2746310657174254e-01,2.0827072191289117e-01,2.9081555632183703e-03,2.9081556537028201e-03,2.9081543373794642e-03,5.4676012229602222e-02,6.3762110608903177e-01,2.0110622112622120e-01,1.4491232931857558e-02,6.8648447077255326e-01,6.5652662526317296e-01,2.5477488687905048e-01,2.4256541506003627e-02,2.4256538917365070e-02,2.4256534976679036e-02,1.9261653858825026e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2070425005395804e+00,6.5449846949787727e-02,4.5814892864851142e+00,7.8958439625244266e+00,6.3117042597694928e-01,-1.0529707183919953e+01,7.8094933384114350e-03,2.5485091546467143e-03,5.4938446651020083e+00,6.0621460688245965e-01,1.6869723666750389e-01,9.6656396765675687e+00,1.3291899959270357e+00,1.2258385229272917e-02,1.3291899959270357e+00,1.2258385229272917e-02,True,1.6469293501226574e+00,4.9304417212119207e-18,7.1118368904119467e-17,3.3665285332684113e-03,0.0000000000000000e+00,3.3665399547662569e-03,3.3665399547332785e-03,-5.0821316511486937e-33,7.6901727229632404e-11,7.6901505185027479e-11,0.0000000000000000e+00,-2.0721772419580662e-17,-3.4422854469944554e-17,-1.2238191661982065e-02,0.0000000000000000e+00,-1.2238182506540754e-02,-1.2238182506573733e-02,6.7148542704704635e-33,6.1793657230659093e-12,6.1791436784609842e-12,0.0000000000000000e+00,2.1734527355490776e-01,1.6830625400314309e-01,5.5852464149331775e-03,2.8106348084722282e-01,2.2516855507608760e-01,1.7829443995408831e-01,3.4307171927289784e-03,3.4307152808798840e-03,3.4307172044559602e-03,4.6313066145433332e-02,2.1734527035165027e-01,1.6830625971765056e-01,5.5852474647869639e-03,2.8106348084722282e-01,2.2516855507608807e-01,1.7829443995408895e-01,3.4307166615799960e-03,3.4307166615784508e-03,3.4307152691540701e-03,4.6313066145433589e-02,6.5257341709935002e-01,1.6830627255384395e-01,1.6849302501675288e-02,6.9647276925551760e-01,6.7604083912889279e-01,2.4393883013235165e-01,3.0895252228758410e-02,3.0895252470582293e-02,3.0895252470578550e-02,1.8955628369114261e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2070425005395804e+00,6.5449846949787727e-02,4.6469391334349019e+00,8.0312752322560677e+00,6.3419903225996266e-01,-1.0539896003712311e+01,7.7949348338040960e-03,2.5419626801577882e-03,5.5122198042910719e+00,6.1366791221879924e-01,8.4407535789323460e-02,4.8361955598276820e+00,1.2573812013617500e+00,3.0708156336297643e-03,1.2573812013617500e+00,3.0708156336297643e-03,True,6.9010838449572738e+00,4.0435984468084062e-18,4.9889784816891755e-17,1.6302238704230352e-03,0.0000000000000000e+00,1.6302385009614741e-03,1.6302385006890666e-03,-2.5053413174747944e-33,4.7702320053548929e-11,4.7701431874705712e-11,0.0000000000000000e+00,-1.0572297213534047e-17,-3.2731969002116683e-16,-6.0345147246687230e-03,0.0000000000000000e+00,-6.0345267635294013e-03,-6.0345267638162942e-03,1.3999527099608321e-31,-3.6112633665900820e-10,-3.6112744688245635e-10,0.0000000000000000e+00,2.1921392789849889e-01,1.7519067792006934e-01,2.7116364667922979e-03,2.8649956357463230e-01,2.2671033772651503e-01,1.8448470170644121e-01,3.3354801136730346e-03,3.3354780750541966e-03,3.3354785612930826e-03,4.8256126613780974e-02,2.1921392974115209e-01,1.7519066470209876e-01,2.7116394408995357e-03,2.8649956357463230e-01,2.2671033772651503e-01,1.8448470170644060e-01,3.3354839371328195e-03,3.3354772510543001e-03,3.3354831764937343e-03,4.8256126613780800e-02,6.5786739688460250e-01,1.7519068203552660e-01,8.1769943443365366e-03,7.0250009427466731e-01,6.8035392922023064e-01,2.4654357225367676e-01,3.0025095500120346e-02,3.0025093885176189e-02,3.0025094711023645e-02,1.9290161579519050e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2070425005395804e+00,6.5449846949787727e-02,4.7778388273344765e+00,8.3216199965120907e+00,6.4239792296336407e-01,-1.0539896003712311e+01,7.7949348338040960e-03,2.5419626801577882e-03,5.5122198042910719e+00,6.2773773021918799e-01,8.4407535789319504e-02,4.8361955598274555e+00,1.1122088192337385e+00,3.0708156336295422e-03,1.1122088192337385e+00,3.0708156336295422e-03,True,7.7684408749065721e+00,7.7404935606277144e-18,5.7775262378737499e-17,1.5151215204641988e-03,2.1073424255447017e-08,1.5151285290077824e-03,1.5151285291543340e-03,4.4408920985006271e-16,2.1237639541066603e-11,2.1238083629852937e-11,3.6868371475060735e-11,-2.6461853956948379e-17,-8.9052539201522189e-17,-5.8228614331861037e-03,2.1073424255447017e-08,-5.8228587013329416e-03,-5.8228587011561299e-03,4.4408920985006271e-16,-4.1526941568675630e-11,-4.1526053390679446e-11,3.6868371475060735e-11,2.2276610190586910e-01,1.8749688735792125e-01,2.5340717187514092e-03,2.9650309799868219e-01,2.2970725809165551e-01,1.9569305683944554e-01,3.1342681955710688e-03,3.1342667421746088e-03,3.1342682067816764e-03,5.1874420339732573e-02,2.2276609598848426e-01,1.8749689126359809e-01,2.5340699807510111e-03,2.9650309799868219e-01,2.2970725809165551e-01,1.9569305683944499e-01,3.1342693673520258e-03,3.1342693873685121e-03,3.1342667509853795e-03,5.1874420339732469e-02,6.6844889330698121e-01,1.8749687975579185e-01,7.6426155101466248e-03,7.1429189318538677e-01,6.8928675674266715e-01,2.5188765218707049e-01,2.8233905788878126e-02,2.8233900485660893e-02,2.8233899834320793e-02,1.9981305886355144e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2070425005395804e+00,6.5449846949787727e-02,4.8432886742842642e+00,8.4752901901813917e+00,6.4749804125258625e-01,-1.0529707183919953e+01,7.8094933384114350e-03,2.5485091546467143e-03,5.4938446651020092e+00,6.3429399376252205e-01,1.6869723666750258e-01,9.6656396765674941e+00,1.0394668820985533e+00,1.2258385229272695e-02,1.0394668820985533e+00,1.2258385229272695e-02,True,2.0879788555786760e+00,1.8794973990746518e-18,3.1326695368122582e-17,2.9073156620384164e-03,0.0000000000000000e+00,2.9073175899444396e-03,2.9073175897916907e-03,-9.8489435316028119e-34,1.1210066468164302e-11,1.1209178289744602e-11,0.0000000000000000e+00,-6.4347493394282531e-18,-3.1260697238770646e-17,-1.1391931440799502e-02,0.0000000000000000e+00,-1.1391930983442987e-02,-1.1391930983587973e-02,3.0014140589978175e-33,-3.0845437278193737e-11,-3.0846103466218621e-11,0.0000000000000000e+00,2.2443051053666704e-01,1.9285904075261934e-01,4.8767224711874953e-03,3.0099372958757109e-01,2.3114150681985060e-01,2.0062889526024325e-01,3.0335615912663594e-03,3.0335596931410410e-03,3.0335615912641788e-03,5.3518140083013983e-02,2.2443050921995625e-01,1.9285903991081249e-01,4.8767219968624360e-03,3.0099372958757109e-01,2.3114150681985252e-01,2.0062889526024491e-01,3.0335625069866298e-03,3.0335602887883819e-03,3.0335619205912761e-03,5.3518140083014816e-02,6.7368647383585267e-01,1.9285904687657310e-01,1.4716039972551337e-02,7.2000427428440528e-01,6.9385020104815842e-01,2.5449802521408088e-01,2.7358077996287838e-02,2.7358074632711147e-02,2.7358071043253000e-02,2.0326877772526664e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2724923474893677e+00,1.3089969389957457e-01,4.5814892864851142e+00,8.3977158749550007e+00,6.4539646626195324e-01,-1.1173338392060778e+01,6.9594779516441744e-03,2.1744721188086181e-03,5.4938446651020074e+00,6.3053481973526881e-01,1.6869723666750389e-01,9.6656396765675687e+00,1.4000696437821638e+00,1.2258385229272917e-02,1.4000696437821638e+00,1.2258385229272917e-02,True,1.1378214046491324e+00,2.6448368458405388e-18,6.3504261097498807e-18,3.2070114353682727e-03,0.0000000000000000e+00,3.2070219957046129e-03,3.2070219958430868e-03,-4.7323073716508734e-35,6.7734350329715716e-11,6.7735238506441350e-11,0.0000000000000000e+00,-1.2823457455254119e-17,-2.4728760499280809e-18,-1.3522224633859860e-02,0.0000000000000000e+00,-1.3522214073516458e-02,-1.3522214073377985e-02,2.6979571586974653e-34,6.7734586523158992e-11,6.7735474699884626e-11,0.0000000000000000e+00,2.2004812280826463e-01,1.5921459152612416e-01,5.4003563856417393e-03,2.7793994876949196e-01,2.2788262954264690e-01,1.6987819549976765e-01,3.4801526157161346e-03,3.4801526467381910e-03,3.4801513023347691e-03,4.4654394039148906e-02,2.2004812114161487e-01,1.5921458053254281e-01,5.4003564146413675e-03,2.7793994876949196e-01,2.2788262954264690e-01,1.6987819549976765e-01,3.4801568498794427e-03,3.4801533799112736e-03,3.4801548026985609e-03,4.4654394039148906e-02,6.8806445272205718e-01,1.5921458529587570e-01,1.6919267366657706e-02,7.2992801518117423e-01,7.1255307347795527e-01,2.4423037921652796e-01,3.4012932075686786e-02,3.4012929814951888e-02,3.4012932353086923e-02,1.9995464717969702e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2724923474893677e+00,1.3089969389957457e-01,4.6469391334349019e+00,8.5319117169570404e+00,6.4811040500185968e-01,-1.1184150077543853e+01,6.9463303111905080e-03,2.1688199462628573e-03,5.5122198042910728e+00,6.3792825747470983e-01,8.4407535789323460e-02,4.8361955598276820e+00,1.3291899959270352e+00,3.0708156336297643e-03,1.3291899959270352e+00,3.0708156336297643e-03,True,4.7510659978092207e+00,9.7668481357290215e-18,6.0468895667420553e-17,1.5554999356003122e-03,0.0000000000000000e+00,1.5555155935560829e-03,1.5555155935560829e-03,-3.7518786657437855e-33,4.8712143557357588e-11,4.8712143557357588e-11,0.0000000000000000e+00,-4.5883060669620324e-17,-1.0602900686332050e-16,-6.6796826943697537e-03,0.0000000000000000e+00,-6.6796766583588647e-03,-6.6796766583453841e-03,2.7066585231436062e-32,-1.0976489574121611e-10,-1.0976467371016371e-10,0.0000000000000000e+00,2.2176498567800587e-01,1.6611794121499665e-01,2.6254444908046675e-03,2.8314430200312268e-01,2.2930856394618901e-01,1.7606214463900371e-01,3.3958164905603105e-03,3.3958156675230134e-03,3.3958154226020861e-03,4.6576633045692359e-02,2.2176498397047206e-01,1.6611793578000811e-01,2.6254459120967390e-03,2.8314430200312191e-01,2.2930856394618804e-01,1.7606214463900371e-01,3.3958190536004830e-03,3.3958164174019314e-03,3.3958172208372220e-03,4.6576633045692144e-02,6.9313136395245589e-01,1.6611793867792091e-01,8.2218089575083857e-03,7.3565842193033204e-01,7.1670477924172948e-01,2.4663701905727836e-01,3.3167056511833042e-02,3.3167054750810609e-02,3.3167051476325031e-02,2.0320411484135445e-01
