kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_trace,unpolarized_spin_signal_M2,unpolarized_h_out_mean,unpolarized_lambda_mean,unpolarized_h_lambda,unpolarized_h_lambda_connected,longitudinal_polarized_trace,longitudinal_polarized_spin_signal_M2,longitudinal_polarized_h_out_mean,longitudinal_polarized_lambda_mean,longitudinal_polarized_h_lambda,longitudinal_polarized_h_lambda_connected,Tx_trace,Tx_spin_signal_M2,Tx_h_out_mean,Tx_lambda_mean,Tx_h_lambda,Tx_h_lambda_connected,Ty_trace,Ty_spin_signal_M2,Ty_h_out_mean,Ty_lambda_mean,Ty_h_lambda,Ty_h_lambda_connected,double_transverse_trace,double_transverse_spin_signal_M2,double_transverse_h_out_mean,double_transverse_lambda_mean,double_transverse_h_lambda,double_transverse_h_lambda_connected
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.5814892864851142e+00,7.3930623629511327e+00,6.1572612267280369e-01,-9.8833079952160876e+00,8.8188801509870261e-03,3.0129306111859344e-03,5.4938446651020083e+00,5.8185031149705091e-01,1.6869723666750391e-01,9.6656396765675705e+00,1.2573812013617505e+00,1.2258385229272955e-02,1.2573812013617505e+00,1.2258385229272955e-02,True,2.4360076651951545e+00,1.0000000000000002e+00,2.4360076651951545e+00,0.0000000000000000e+00,-2.7755575615628914e-17,2.4304669253564734e-01,2.4304669253564734e-01,0.0000000000000000e+00,1.1102230246251565e-16,1.0000000000000002e+00,2.4304669253564734e-01,-2.7755575615628914e-17,-2.4304669253564742e-01,5.0000000000000000e-01,1.2180038325975773e+00,-2.7755575615628914e-17,0.0000000000000000e+00,1.2152334626782357e-01,1.2152334626782357e-01,5.0000000000000000e-01,1.2180038325975773e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2152334626782357e-01,1.2152334626782357e-01,2.4999999999999994e-01,6.0900191629878853e-01,-2.7310348427178610e-11,2.7310327610496898e-11,6.0761673133911794e-02,6.0761673133911794e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.6469391334349019e+00,7.5291113891701249e+00,6.1909462793483527e-01,-9.8928712706407129e+00,8.8026361165788308e-03,3.0052880392449086e-03,5.5122198042910719e+00,5.8933355269728649e-01,8.4407535789320823e-02,4.8361955598275310e+00,1.1849507563689234e+00,3.0708156336297018e-03,1.1849507563689234e+00,3.0708156336297018e-03,True,1.0245693353242132e+01,9.9999999999999989e-01,1.0245693353242133e+01,0.0000000000000000e+00,5.5511151231257827e-17,2.4627610994591725e-01,2.4627610994591725e-01,1.1102230246251565e-16,0.0000000000000000e+00,9.9999999999999989e-01,2.4627610994591725e-01,5.5511151231257827e-17,-2.4627610994591717e-01,4.9999999999999989e-01,5.1228466766210659e+00,0.0000000000000000e+00,-1.3877787807814457e-17,1.2313805497295859e-01,1.2313805497295859e-01,4.9999999999999989e-01,5.1228466766210650e+00,5.5511151231257827e-17,-4.1633363423443370e-17,1.2313805497295856e-01,1.2313805497295856e-01,2.4999999999999989e-01,2.5614233383105316e+00,-1.3913245555663423e-11,1.3913207391746951e-11,6.1569027486479272e-02,6.1569027486479272e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.7778388273344765e+00,7.8200791377108638e+00,6.2799497561993645e-01,-9.8928712706407129e+00,8.8026361165788308e-03,3.0052880392449086e-03,5.5122198042910719e+00,6.0343355989542269e-01,8.4407535789319504e-02,4.8361955598274555e+00,1.0394668820985535e+00,3.0708156336295657e-03,1.0394668820985535e+00,3.0708156336295657e-03,True,1.1626838743297984e+01,1.0000000000000000e+00,1.1626838743297983e+01,0.0000000000000000e+00,-2.7755575615628914e-17,2.5194030101525910e-01,2.5194030101525910e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000002e+00,2.5194030101525910e-01,-2.7755575615628914e-17,-2.5194030101525922e-01,5.0000000000000000e-01,5.8134193716489904e+00,5.5511151231257827e-17,1.3877787807814457e-17,1.2597015050762955e-01,1.2597015050762955e-01,5.0000000000000000e-01,5.8134193716489904e+00,0.0000000000000000e+00,1.3877787807814457e-17,1.2597015050762955e-01,1.2597015050762955e-01,2.4999999999999989e-01,2.9067096858244947e+00,1.4517026469818006e-11,-1.4517033408711910e-11,6.2985075253814721e-02,6.2985075253814721e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.8432886742842642e+00,7.9737518914631806e+00,6.3345318043326482e-01,-9.8833079952160876e+00,8.8188801509870261e-03,3.0129306111859344e-03,5.4938446651020092e+00,6.0998994749782876e-01,1.6869723666750258e-01,9.6656396765674941e+00,9.6703643710572651e-01,1.2258385229272684e-02,9.6703643710572651e-01,1.2258385229272684e-02,True,3.1388256123358000e+00,1.0000000000000000e+00,3.1388256123357996e+00,0.0000000000000000e+00,-2.7755575615628914e-17,2.5436240750838601e-01,2.5436240750838601e-01,5.5511151231257827e-17,0.0000000000000000e+00,1.0000000000000002e+00,2.5436240750838601e-01,-2.7755575615628914e-17,-2.5436240750838612e-01,4.9999999999999989e-01,1.5694128061678998e+00,-2.7755575615628914e-17,-1.3877787807814457e-17,1.2718120375419290e-01,1.2718120375419290e-01,4.9999999999999989e-01,1.5694128061678998e+00,0.0000000000000000e+00,-2.7755575615628914e-17,1.2718120375419292e-01,1.2718120375419292e-01,2.4999999999999989e-01,7.8470640308394968e-01,2.9730731765376106e-11,-2.9730780337633433e-11,6.3590601877096448e-02,6.3590601877096448e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2070425005395804e+00,6.5449846949787727e-02,4.5814892864851142e+00,7.8958439625244266e+00,6.3117042597694928e-01,-1.0529707183919953e+01,7.8094933384114350e-03,2.5485091546467143e-03,5.4938446651020083e+00,6.0621460688245965e-01,1.6869723666750391e-01,9.6656396765675705e+00,1.3291899959270355e+00,1.2258385229272955e-02,1.3291899959270355e+00,1.2258385229272955e-02,True,1.6469293501226463e+00,1.0000000000000000e+00,1.6469293501226465e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4338636445988798e-01,2.4338636445988798e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.4338636445988798e-01,0.0000000000000000e+00,-2.4338636445988798e-01,4.9999999999999989e-01,8.2346467506132315e-01,0.0000000000000000e+00,-1.3877787807814457e-17,1.2169318222994395e-01,1.2169318222994395e-01,4.9999999999999989e-01,8.2346467506132315e-01,0.0000000000000000e+00,-6.9388939039072284e-18,1.2169318222994396e-01,1.2169318222994396e-01,2.4999999999999997e-01,4.1173233753066152e-01,3.6805441352945473e-03,9.6204533519123406e-04,6.0846591114972023e-02,6.0843050264655696e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2070425005395804e+00,6.5449846949787727e-02,4.6469391334349019e+00,8.0312752322560677e+00,6.3419903225996255e-01,-1.0539896003712311e+01,7.7949348338040960e-03,2.5419626801577882e-03,5.5122198042910719e+00,6.1366791221879946e-01,8.4407535789320823e-02,4.8361955598275310e+00,1.2573812013617500e+00,3.0708156336297018e-03,1.2573812013617500e+00,3.0708156336297018e-03,True,6.9010838449575616e+00,1.0000000000000000e+00,6.9010838449575616e+00,0.0000000000000000e+00,-1.3877787807814457e-17,2.4643688027512989e-01,2.4643688027512989e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.4643688027512989e-01,-1.3877787807814457e-17,-2.4643688027512989e-01,5.0000000000000000e-01,3.4505419224787803e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2321844013756497e-01,1.2321844013756497e-01,5.0000000000000000e-01,3.4505419224787808e+00,5.5511151231257827e-17,-4.8572257327350599e-17,1.2321844013756500e-01,1.2321844013756500e-01,2.4999999999999989e-01,1.7252709612393895e+00,3.7066212415216571e-03,9.4535514872646359e-04,6.1609220068782465e-02,6.1605715995307411e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2070425005395804e+00,6.5449846949787727e-02,4.7778388273344765e+00,8.3216199965120907e+00,6.4239792296336395e-01,-1.0539896003712311e+01,7.7949348338040960e-03,2.5419626801577882e-03,5.5122198042910719e+00,6.2773773021918822e-01,8.4407535789319504e-02,4.8361955598274555e+00,1.1122088192337385e+00,3.0708156336295657e-03,1.1122088192337385e+00,3.0708156336295657e-03,True,7.7684408749064566e+00,1.0000000000000000e+00,7.7684408749064566e+00,0.0000000000000000e+00,1.1102230246251565e-16,2.5179830306088002e-01,2.5179830306088002e-01,0.0000000000000000e+00,4.4408920985006262e-16,1.0000000000000000e+00,2.5179830306088002e-01,1.1102230246251565e-16,-2.5179830306087991e-01,5.0000000000000000e-01,3.8842204374532274e+00,5.5511151231257827e-17,5.5511151231257827e-17,1.2589915153044007e-01,1.2589915153044007e-01,5.0000000000000000e-01,3.8842204374532270e+00,2.7755575615628914e-17,2.7755575615628914e-17,1.2589915153044004e-01,1.2589915153044004e-01,2.4999999999999992e-01,1.9421102187266137e+00,3.7556598039899802e-03,9.1632659447609538e-04,6.2949575765220034e-02,6.2946134354261829e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2070425005395804e+00,6.5449846949787727e-02,4.8432886742842642e+00,8.4752901901813900e+00,6.4749804125258614e-01,-1.0529707183919953e+01,7.8094933384114350e-03,2.5485091546467143e-03,5.4938446651020092e+00,6.3429399376252216e-01,1.6869723666750258e-01,9.6656396765674941e+00,1.0394668820985533e+00,1.2258385229272684e-02,1.0394668820985533e+00,1.2258385229272684e-02,True,2.0879788555786787e+00,1.0000000000000000e+00,2.0879788555786787e+00,0.0000000000000000e+00,-5.5511151231257827e-17,2.5409772529464164e-01,2.5409772529464164e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.5409772529464164e-01,-5.5511151231257827e-17,-2.5409772529464170e-01,5.0000000000000000e-01,1.0439894277893393e+00,0.0000000000000000e+00,-1.3877787807814457e-17,1.2704886264732085e-01,1.2704886264732085e-01,5.0000000000000000e-01,1.0439894277893393e+00,0.0000000000000000e+00,-2.7755575615628914e-17,1.2704886264732085e-01,1.2704886264732085e-01,2.4999999999999994e-01,5.2199471389466945e-01,3.7784980361603715e-03,9.0408580168173380e-04,6.3524431323660410e-02,6.3521015237234232e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2215492677304716e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2724923474893677e+00,1.3089969389957457e-01,4.5814892864851142e+00,8.3977158749549989e+00,6.4539646626195313e-01,-1.1173338392060778e+01,6.9594779516441744e-03,2.1744721188086181e-03,5.4938446651020074e+00,6.3053481973526881e-01,1.6869723666750391e-01,9.6656396765675705e+00,1.4000696437821634e+00,1.2258385229272955e-02,1.4000696437821634e+00,1.2258385229272955e-02,True,1.1378214046491248e+00,1.0000000000000000e+00,1.1378214046491248e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4376527000120002e-01,2.4376527000120002e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.4376527000120002e-01,0.0000000000000000e+00,-2.4376527000120002e-01,4.9999999999999989e-01,5.6891070232456231e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2188263500060001e-01,1.2188263500060001e-01,4.9999999999999989e-01,5.6891070232456231e-01,0.0000000000000000e+00,-6.9388939039072284e-18,1.2188263500060001e-01,1.2188263500060001e-01,2.4999999999999992e-01,2.8445535116228110e-01,7.4340647085203160e-03,1.9330729526169134e-03,6.0941317500299991e-02,6.0926946910883947e-02
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2724923474893677e+00,1.3089969389957457e-01,4.6469391334349019e+00,8.5319117169570386e+00,6.4811040500185957e-01,-1.1184150077543851e+01,6.9463303111905114e-03,2.1688199462628591e-03,5.5122198042910728e+00,6.3792825747470994e-01,8.4407535789320823e-02,4.8361955598275310e+00,1.3291899959270352e+00,3.0708156336297018e-03,1.3291899959270352e+00,3.0708156336297018e-03,True,4.7510659978094250e+00,1.0000000000000000e+00,4.7510659978094241e+00,1.1102230246251565e-16,6.9388939039072284e-17,2.4661726504687148e-01,2.4661726504687148e-01,5.5511151231257827e-17,8.8817841970012523e-16,1.0000000000000000e+00,2.4661726504687148e-01,6.9388939039072284e-17,-2.4661726504687143e-01,4.9999999999999994e-01,2.3755329989047116e+00,5.5511151231257827e-17,5.5511151231257827e-17,1.2330863252343577e-01,1.2330863252343577e-01,4.9999999999999994e-01,2.3755329989047116e+00,5.5511151231257827e-17,6.9388939039072284e-17,1.2330863252343578e-01,1.2330863252343578e-01,2.4999999999999983e-01,1.1877664994523556e+00,7.4821930166553002e-03,1.9034847580807236e-03,6.1654316261717829e-02,6.1640074021353609e-02
