state,local_minimum_id,status,objective_name,objective_file_tag,absolute_objective,absolute_threshold,contour_delta,target_success_count,initial_direction_count,initial_success_count,attempted_direction_count,replacement_direction_count,contour_point_count,initial_success_fraction,overall_success_fraction,physics_evaluation_count,direct_contour_seconds,covariance_rank,covariance_min_eigenvalue,covariance_max_eigenvalue,center_u0,center_u1,center_u2,center_u3,center_u4,center_u5,center_u6,center_u7,covariance_u0_u0,covariance_u0_u1,covariance_u0_u2,covariance_u0_u3,covariance_u0_u4,covariance_u0_u5,covariance_u0_u6,covariance_u0_u7,covariance_u1_u0,covariance_u1_u1,covariance_u1_u2,covariance_u1_u3,covariance_u1_u4,covariance_u1_u5,covariance_u1_u6,covariance_u1_u7,covariance_u2_u0,covariance_u2_u1,covariance_u2_u2,covariance_u2_u3,covariance_u2_u4,covariance_u2_u5,covariance_u2_u6,covariance_u2_u7,covariance_u3_u0,covariance_u3_u1,covariance_u3_u2,covariance_u3_u3,covariance_u3_u4,covariance_u3_u5,covariance_u3_u6,covariance_u3_u7,covariance_u4_u0,covariance_u4_u1,covariance_u4_u2,covariance_u4_u3,covariance_u4_u4,covariance_u4_u5,covariance_u4_u6,covariance_u4_u7,covariance_u5_u0,covariance_u5_u1,covariance_u5_u2,covariance_u5_u3,covariance_u5_u4,covariance_u5_u5,covariance_u5_u6,covariance_u5_u7,covariance_u6_u0,covariance_u6_u1,covariance_u6_u2,covariance_u6_u3,covariance_u6_u4,covariance_u6_u5,covariance_u6_u6,covariance_u6_u7,covariance_u7_u0,covariance_u7_u1,covariance_u7_u2,covariance_u7_u3,covariance_u7_u4,covariance_u7_u5,covariance_u7_u6,covariance_u7_u7,domain_boundary_point_count,domain_boundary_point_fraction,previous_success_count,added_success_count,previous_output_variant
W,0,ok,D_W,dw,1.6032671033342927e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8704,190.6098486000119,8,7.633679158218153e-08,4.3999382751529453e-07,0.5217487212689401,0.5157292739586972,0.47796471387303086,0.44865887479320105,0.5025114247668664,0.3840691588055735,0.011549656160866294,0.49655608950465835,2.2962142929233517e-07,-6.804739634400129e-08,-4.3512968994034255e-08,-2.3746390794235043e-08,1.396793900897318e-08,2.5140233984693367e-08,4.071082607988131e-08,1.245117962283004e-08,-6.804739634400129e-08,2.20018308683467e-07,-6.571194524321014e-10,-2.5250415119798395e-09,-2.775822941634175e-08,1.6225206024232892e-08,2.0973796156418402e-08,3.204513784825182e-08,-4.3512968994034255e-08,-6.571194524321014e-10,3.0246102159918255e-07,8.343619316900719e-09,-9.928496899982584e-09,1.602627347327548e-08,4.7144952602179447e-08,3.483655014538537e-08,-2.3746390794235043e-08,-2.5250415119798395e-09,8.343619316900719e-09,3.14652929560122e-07,-2.4064860904751236e-09,-2.436635134978447e-08,-1.7476788280341204e-08,2.3254454315870992e-09,1.396793900897318e-08,-2.775822941634175e-08,-9.928496899982584e-09,-2.4064860904751236e-09,4.315085971638165e-07,-7.060305333773211e-10,6.435001444748875e-09,1.2635579278539838e-08,2.5140233984693367e-08,1.6225206024232892e-08,1.602627347327548e-08,-2.436635134978447e-08,-7.060305333773211e-10,3.6943206227392686e-07,4.4246374578692345e-08,2.4983720529626793e-08,4.071082607988131e-08,2.0973796156418402e-08,4.7144952602179447e-08,-1.7476788280341204e-08,6.435001444748875e-09,4.4246374578692345e-08,1.2359471755232906e-07,3.5688231592997886e-08,1.245117962283004e-08,3.204513784825182e-08,3.483655014538537e-08,2.3254454315870992e-09,1.2635579278539838e-08,2.4983720529626793e-08,3.5688231592997886e-08,1.3175876295916883e-07,0,0.0,0,512,
W,2,ok,D_W,dw,2.157792149014557e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8704,266.58329680000315,8,1.2990979072548762e-07,7.883230191442966e-07,0.4805398762295935,0.4847768759027516,0.4807660348659254,0.5191333556145139,0.5378408110246493,0.4873959738235265,0.46017769881865844,0.9699496255060998,2.872826760913564e-07,-2.9841398620547656e-08,9.160056465425047e-08,-4.3363780140138563e-08,1.892010438800707e-08,1.987497192054987e-08,2.9686612762100386e-09,-5.1297426165899386e-08,-2.9841398620547656e-08,4.2971957546096444e-07,9.38973463337347e-08,-2.9702124790979645e-08,-4.6704536834740155e-09,2.9132921235242346e-08,-4.17829957640776e-08,3.00881471350536e-08,9.160056465425047e-08,9.38973463337347e-08,2.762694510816847e-07,3.3950304396669997e-08,7.00957322153678e-08,-6.352745098318471e-08,-5.417840861485319e-08,-5.2671671762802364e-08,-4.3363780140138563e-08,-2.9702124790979645e-08,3.3950304396669997e-08,4.3776296328319654e-07,4.5018892864836454e-08,-1.565906356056569e-09,-4.323921911303527e-09,-3.119374502400573e-08,1.892010438800707e-08,-4.6704536834740155e-09,7.00957322153678e-08,4.5018892864836454e-08,6.667322707762243e-07,-5.959168685894603e-08,1.0476261674297503e-10,7.05830793102665e-08,1.987497192054987e-08,2.9132921235242346e-08,-6.352745098318471e-08,-1.565906356056569e-09,-5.959168685894603e-08,6.125157317657246e-07,-1.1194474531201692e-07,-7.5734660515968e-08,2.9686612762100386e-09,-4.17829957640776e-08,-5.417840861485319e-08,-4.323921911303527e-09,1.0476261674297503e-10,-1.1194474531201692e-07,4.619499899859721e-07,6.039123755421169e-08,-5.1297426165899386e-08,3.00881471350536e-08,-5.2671671762802364e-08,-3.119374502400573e-08,7.05830793102665e-08,-7.5734660515968e-08,6.039123755421169e-08,5.549114763725504e-07,0,0.0,0,512,
W,5,ok,D_W,dw,2.4008274048198124e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8705,289.82687029999215,8,2.0270629435123894e-07,1.1653594291481287e-06,0.5007333915194647,0.5354700678221459,0.45726096166741276,0.5311478110542698,0.439575643893907,0.5021714095227229,0.5218433395863838,0.005462214622112872,7.255546806267391e-07,-7.828531229669617e-08,-2.7433921868642052e-08,-1.864961900257743e-07,5.8588679401930835e-08,-2.4090224607072882e-08,1.8634832243622763e-08,-6.747946589832771e-08,-7.828531229669617e-08,4.2660952162317e-07,-1.5221685998838256e-07,-9.456011696070276e-08,-1.2664103202514082e-07,-4.8448503154980225e-08,5.2025899294159504e-08,1.5248018372892039e-09,-2.7433921868642052e-08,-1.5221685998838256e-07,5.957127761396013e-07,7.90450071106516e-08,-1.2643188442168978e-08,-8.687167860322833e-08,1.2085243199386916e-07,-5.843612873463153e-08,-1.864961900257743e-07,-9.456011696070276e-08,7.90450071106516e-08,1.0376781088946352e-06,7.935677965085096e-08,2.7663618001447738e-08,-4.4474305650101056e-08,-1.509080287432925e-08,5.8588679401930835e-08,-1.2664103202514082e-07,-1.2643188442168978e-08,7.935677965085096e-08,8.821186124643683e-07,-6.69341019558038e-08,-5.2216307740461893e-08,-7.991343734172783e-08,-2.4090224607072882e-08,-4.8448503154980225e-08,-8.687167860322833e-08,2.7663618001447738e-08,-6.69341019558038e-08,9.922980773821373e-07,-1.7168659285306902e-08,1.353807962108187e-09,1.8634832243622763e-08,5.2025899294159504e-08,1.2085243199386916e-07,-4.4474305650101056e-08,-5.2216307740461893e-08,-1.7168659285306902e-08,3.2975188852488685e-07,-1.5528069373311164e-08,-6.747946589832771e-08,1.5248018372892039e-09,-5.843612873463153e-08,-1.509080287432925e-08,-7.991343734172783e-08,1.353807962108187e-09,-1.5528069373311164e-08,5.550076480895537e-07,0,0.0,0,512,
W,20,ok,D_W,dw,6.088088546350741e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8706,299.1413681999984,8,5.155959617285651e-07,1.986210055025565e-06,0.4791661411609041,0.5443962899614757,0.46332324747785975,0.49342439137451766,0.3738796887159277,0.4924408907244375,0.46391364027029464,0.02828716018120792,9.847513549632114e-07,2.213096067901191e-07,1.9440391531856132e-07,-6.873248875481682e-08,-2.692871618203701e-08,-4.965104917727414e-08,-3.5820332440522245e-09,-9.951370216087726e-08,2.213096067901191e-07,7.937301343501877e-07,-3.006829619948853e-09,-8.043982396860173e-08,-3.862349404368166e-08,-1.0523369633341273e-07,6.091440887060704e-08,1.3031266504299697e-07,1.9440391531856132e-07,-3.006829619948853e-09,9.493159802306796e-07,-9.34893142843495e-09,-9.296436185680596e-09,-1.7988743330516496e-07,-2.885343995663987e-07,1.1361868950519522e-07,-6.873248875481682e-08,-8.043982396860173e-08,-9.34893142843495e-09,1.7281488981975096e-06,3.5044103105560186e-08,7.100495154019701e-08,1.836831981629552e-07,-9.674226499055028e-08,-2.692871618203701e-08,-3.862349404368166e-08,-9.296436185680596e-09,3.5044103105560186e-08,1.7376659310533032e-06,2.203150740274842e-07,1.4719547202730292e-07,2.831128819119297e-08,-4.965104917727414e-08,-1.0523369633341273e-07,-1.7988743330516496e-07,7.100495154019701e-08,2.203150740274842e-07,1.5036777542689758e-06,-2.003490066577198e-08,-8.783790775278935e-09,-3.5820332440522245e-09,6.091440887060704e-08,-2.885343995663987e-07,1.836831981629552e-07,1.4719547202730292e-07,-2.003490066577198e-08,9.071985212178468e-07,-1.8212183551772584e-07,-9.951370216087726e-08,1.3031266504299697e-07,1.1361868950519522e-07,-9.674226499055028e-08,2.831128819119297e-08,-8.783790775278935e-09,-1.8212183551772584e-07,1.0071171743211073e-06,0,0.0,0,512,
W,12,ok,D_W,dw,4.357119110739892e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8708,302.36894659999234,8,1.2379601408678237e-07,1.5543843753120415e-06,0.4612039250509357,0.47142395697730255,0.4064845349875829,0.5367023844372594,0.618982405204443,0.4998984617697237,0.011978311282958684,0.5144248845811028,4.0708139871444143e-07,1.0558491952703983e-07,3.826907224578668e-08,-1.199755124452624e-07,6.01198948201275e-08,2.1014548017375625e-08,-2.5747793849065102e-08,-1.027065254902221e-07,1.0558491952703983e-07,7.057412582607608e-07,-6.718965169687956e-08,-6.149032707988237e-08,-1.3062572534743886e-07,-6.831314360785694e-08,-6.63224332774062e-08,-2.7939919672173297e-08,3.826907224578668e-08,-6.718965169687956e-08,8.942789070565399e-07,1.1550109695099957e-07,-3.7422677548248464e-08,-5.147753452765274e-08,1.331036454856394e-07,1.0190076139342826e-07,-1.199755124452624e-07,-6.149032707988237e-08,1.1550109695099957e-07,1.4318258269661345e-06,2.4821428572879536e-08,1.2193016407695786e-07,3.168895589053796e-08,7.755370653540284e-09,6.01198948201275e-08,-1.3062572534743886e-07,-3.7422677548248464e-08,2.4821428572879536e-08,8.798083952587406e-07,5.374792802643772e-08,3.902602861412812e-08,3.912208902591872e-09,2.1014548017375625e-08,-6.831314360785694e-08,-5.147753452765274e-08,1.2193016407695786e-07,5.374792802643772e-08,1.3486691013353663e-06,2.5891586386810362e-08,-1.2814849609682612e-08,-2.5747793849065102e-08,-6.63224332774062e-08,1.331036454856394e-07,3.168895589053796e-08,3.902602861412812e-08,2.5891586386810362e-08,1.5962725801604975e-07,6.650436726359122e-08,-1.027065254902221e-07,-2.7939919672173297e-08,1.0190076139342826e-07,7.755370653540284e-09,3.912208902591872e-09,-1.2814849609682612e-08,6.650436726359122e-08,6.583783436282823e-07,0,0.0,0,512,
W,19,ok,D_W,dw,5.5399550413126483e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8708,303.2043537999998,8,5.296847315401395e-07,2.29230600565354e-06,0.47564087189381404,0.4566087531654774,0.46531794612897076,0.4915622792251791,0.634288513298545,0.4518540743009656,0.03181463121843101,0.5256745121952138,1.0481680074826674e-06,-2.8332275063406175e-07,3.1756507558541224e-07,-1.07489813604896e-07,-1.1421013179797788e-07,1.3977993290048154e-07,5.8488759298403826e-08,-1.8537684213790738e-07,-2.8332275063406175e-07,1.0572724171531353e-06,8.385305915241829e-08,-9.155877126455485e-10,6.734435228475099e-08,-2.4986957428473726e-07,-7.293632051514456e-09,-1.3033412261289404e-07,3.1756507558541224e-07,8.385305915241829e-08,1.3287120107587397e-06,2.411643871935258e-08,-3.5473492732986295e-08,-6.121091354092696e-08,3.8849499208306906e-07,8.814517361661602e-08,-1.07489813604896e-07,-9.155877126455485e-10,2.411643871935258e-08,2.2434605420048395e-06,3.9539361934035844e-08,2.5597084170796687e-08,-3.2997419261206464e-08,1.2887063750758536e-07,-1.1421013179797788e-07,6.734435228475099e-08,-3.5473492732986295e-08,3.9539361934035844e-08,2.104829474263791e-06,-1.2653063300047026e-07,1.4414433888162525e-07,-3.137806164716477e-09,1.3977993290048154e-07,-2.4986957428473726e-07,-6.121091354092696e-08,2.5597084170796687e-08,-1.2653063300047026e-07,1.8418149724807814e-06,1.0597411065495479e-07,9.177610052791365e-08,5.8488759298403826e-08,-7.293632051514456e-09,3.8849499208306906e-07,-3.2997419261206464e-08,1.4414433888162525e-07,1.0597411065495479e-07,8.371747960125186e-07,2.506521977225089e-07,-1.8537684213790738e-07,-1.3033412261289404e-07,8.814517361661602e-08,1.2887063750758536e-07,-3.137806164716477e-09,9.177610052791365e-08,2.506521977225089e-07,1.0839536692889823e-06,0,0.0,0,512,
W,1,ok,D_W,dw,2.137402360928552e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8706,304.6196148000017,8,1.8341010971388855e-07,1.3802895892425654e-06,0.5158518685652514,0.4747437209531852,0.47827586811350764,0.5028424452627709,0.5552153605363201,0.4387049809881615,0.5223271745220144,0.007570339060459808,6.088062816562919e-07,2.385425715861548e-07,-9.425955706938192e-08,-1.37780063966716e-07,8.684747109579844e-08,1.0688256045519291e-07,5.36397168515447e-08,-6.013909929892294e-08,2.385425715861548e-07,5.29907631546326e-07,8.875192155566487e-08,-8.656330685271155e-09,-3.169002357312381e-08,8.066692884744357e-08,-5.067716637978092e-08,-7.300652202492277e-08,-9.425955706938192e-08,8.875192155566487e-08,4.742782249877156e-07,5.882663175970809e-08,4.97611022324181e-08,-7.362781445407299e-08,6.916003591941338e-08,6.646044724692005e-08,-1.37780063966716e-07,-8.656330685271155e-09,5.882663175970809e-08,8.152943945852924e-07,8.55644706941841e-08,-2.0656280690253775e-07,-6.457253568858752e-08,-4.016478720180443e-08,8.684747109579844e-08,-3.169002357312381e-08,4.97611022324181e-08,8.55644706941841e-08,9.547115980270272e-07,-1.0255709397723914e-08,1.0222573955175341e-07,5.2177157857432604e-08,1.0688256045519291e-07,8.066692884744357e-08,-7.362781445407299e-08,-2.0656280690253775e-07,-1.0255709397723914e-08,1.2040717857072857e-06,1.417297408430443e-07,-1.4698129841216324e-08,5.36397168515447e-08,-5.067716637978092e-08,6.916003591941338e-08,-6.457253568858752e-08,1.0222573955175341e-07,1.417297408430443e-07,3.6680873299999645e-07,9.722080512210822e-08,-6.013909929892294e-08,-7.300652202492277e-08,6.646044724692005e-08,-4.016478720180443e-08,5.2177157857432604e-08,-1.4698129841216324e-08,9.722080512210822e-08,4.991752384913705e-07,0,0.0,0,512,
W,10,ok,D_W,dw,4.143411985726753e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8707,306.6298201999889,8,3.4844608202170416e-07,1.6972730117457865e-06,0.5005190265581089,0.46374640769695646,0.49651823802684053,0.4519059566280452,0.5974621652244203,0.45766587475974574,0.9395356996176045,0.5429726852309978,1.0102598272735927e-06,3.0074417384233676e-07,2.345508962945558e-07,-7.392122015835443e-08,-6.300300513523384e-08,-4.693314707154215e-08,3.1879913938365155e-08,-1.1179356679612067e-07,3.0074417384233676e-07,6.0249803671744e-07,2.7268737627782014e-07,3.380002519231781e-08,-8.346928717402095e-08,-6.779169888764199e-08,-1.1579303597908684e-08,-4.438908950159438e-08,2.345508962945558e-07,2.7268737627782014e-07,7.304095741722722e-07,-6.861020450928374e-08,-7.409513097513453e-08,-2.3418593207694362e-07,-1.4422921257074373e-07,1.180778449645235e-08,-7.392122015835443e-08,3.380002519231781e-08,-6.861020450928374e-08,1.1183079429811447e-06,7.413391419656478e-08,2.0325256343009612e-07,9.294865411079221e-08,-5.701708548377385e-08,-6.300300513523384e-08,-8.346928717402095e-08,-7.409513097513453e-08,7.413391419656478e-08,1.2540100522448747e-06,2.0132894196831611e-07,-4.715771438469175e-08,-6.509059154279832e-08,-4.693314707154215e-08,-6.779169888764199e-08,-2.3418593207694362e-07,2.0325256343009612e-07,2.0132894196831611e-07,1.2099333136056689e-06,-4.2670191651072876e-08,5.631669060572922e-08,3.1879913938365155e-08,-1.1579303597908684e-08,-1.4422921257074373e-07,9.294865411079221e-08,-4.715771438469175e-08,-4.2670191651072876e-08,1.0401472628068613e-06,-2.5514110870276835e-07,-1.1179356679612067e-07,-4.438908950159438e-08,1.180778449645235e-08,-5.701708548377385e-08,-6.509059154279832e-08,5.631669060572922e-08,-2.5514110870276835e-07,8.629631003266262e-07,0,0.0,0,512,
W,6,ok,D_W,dw,2.836907302417583e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8707,306.9074474000081,8,2.725550602822616e-07,1.8300259793460885e-06,0.46800837210949325,0.4648534068998061,0.45436756591715405,0.5093422288959392,0.6315022360830855,0.4093844778018413,0.5199733712442307,0.01815815511245352,6.345496059812739e-07,-1.0446264928024594e-07,1.6090815189453487e-07,1.4225145291694956e-08,-6.161485352025385e-08,-1.02020404809878e-07,-2.5474448978754645e-08,-1.9872740568483979e-07,-1.0446264928024594e-07,7.834271556458923e-07,-3.4347021074997475e-08,-7.048788538823955e-08,5.86235651841091e-08,3.334697009792749e-08,-6.88629022200217e-08,-4.2950480909140995e-08,1.6090815189453487e-07,-3.4347021074997475e-08,9.412338419526514e-07,7.24507029665474e-08,-5.694726772045976e-08,-1.065086058475388e-07,1.196559084685914e-07,-5.5147627385145645e-08,1.4225145291694956e-08,-7.048788538823955e-08,7.24507029665474e-08,1.6851747179252953e-06,-1.7613427912672707e-07,-8.576824367694533e-08,-4.702459872147871e-09,-3.155550743318602e-08,-6.161485352025385e-08,5.86235651841091e-08,-5.694726772045976e-08,-1.7613427912672707e-07,1.3812958774270247e-06,8.980135903690265e-08,7.027897167519511e-08,7.173162981692807e-10,-1.02020404809878e-07,3.334697009792749e-08,-1.065086058475388e-07,-8.576824367694533e-08,8.980135903690265e-08,1.3059190998456423e-06,6.344049710213986e-08,5.2642141826158116e-08,-2.5474448978754645e-08,-6.88629022200217e-08,1.196559084685914e-07,-4.702459872147871e-09,7.027897167519511e-08,6.344049710213986e-08,3.289163498638712e-07,6.800357125882428e-08,-1.9872740568483979e-07,-4.2950480909140995e-08,-5.5147627385145645e-08,-3.155550743318602e-08,7.173162981692807e-10,5.2642141826158116e-08,6.800357125882428e-08,7.666704269442349e-07,0,0.0,0,512,
W,21,ok,D_W,dw,6.15520347588368e-05,0.01,0.02,512,512,512,512,0,512,1.0,1.0,8704,307.37264549999963,8,1.3603051310721393e-07,8.364555787502026e-07,0.5343499075365546,0.5175287839023003,0.4431933035336913,0.4233381968539062,0.506481432758612,0.5022138109474749,0.9837051450075304,0.49498500999600625,4.317406537934099e-07,-1.0596453440208724e-07,-3.0183453190447234e-08,4.8952979909858266e-08,2.4707789582595562e-08,-1.454957502222061e-08,-6.368319350281334e-08,2.0098211914552177e-08,-1.0596453440208724e-07,3.7711608680705497e-07,-7.072636241677175e-08,1.2122614610926704e-08,-5.592682664228788e-08,2.4073782253684853e-08,-3.3946948219567665e-08,4.0059441612854225e-08,-3.0183453190447234e-08,-7.072636241677175e-08,5.263282749827497e-07,-5.420602432514332e-09,5.8285953948857866e-08,-1.4468532605846688e-08,-8.951589068965287e-08,2.1544759884599442e-08,4.8952979909858266e-08,1.2122614610926704e-08,-5.420602432514332e-09,8.223882586932264e-07,7.483342349965525e-10,9.302614562322186e-09,-3.592531072597221e-08,3.0649367155578214e-08,2.4707789582595562e-08,-5.592682664228788e-08,5.8285953948857866e-08,7.483342349965525e-10,4.996287049457083e-07,-3.895428168313182e-08,-2.118109737088859e-08,4.579240637159475e-08,-1.454957502222061e-08,2.4073782253684853e-08,-1.4468532605846688e-08,9.302614562322186e-09,-3.895428168313182e-08,7.832628613307345e-07,-1.928233731854534e-08,3.5377139877552756e-08,-6.368319350281334e-08,-3.3946948219567665e-08,-8.951589068965287e-08,-3.592531072597221e-08,-2.118109737088859e-08,-1.928233731854534e-08,2.1559879125027476e-07,-5.738478740430271e-08,2.0098211914552177e-08,4.0059441612854225e-08,2.1544759884599442e-08,3.0649367155578214e-08,4.579240637159475e-08,3.5377139877552756e-08,-5.738478740430271e-08,2.1899630323240686e-07,0,0.0,0,512,
