detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,initial_spin_averaging_version,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_e_gamma_L_electron_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_0,0,7.9319075248405666e-11,2.8013201540128239e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-2.1286349617618403e+00,-6.4571435626109608e-01,-2.9513459707981364e-06,2.2244176384674761e+00,3.4361169648638361e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.0136835519169440e-01,1.5707949999999999e+00,2.9452431127404299e-01,1.8000000000000000e+00,3.4361169648638361e+00,1.4902391022680105e+01,7.6258149992274515e-01,-2.8433678532264439e+00,5.5194835985581765e+00,9.4698733384562350e-01
c_e_gamma_L_electron_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_0,0,7.9319075248405666e-11,2.8013201540128239e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,2.1286349617618403e+00,6.4571435626109608e-01,2.9513459707981364e-06,2.2244176384674761e+00,2.9452431127404299e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.0136835519169440e-01,1.5707949999999999e+00,2.9452431127404299e-01,1.8000000000000000e+00,3.4361169648638361e+00,1.4902391022680105e+01,7.6258149992274515e-01,-2.8433678532264439e+00,5.5194835985581765e+00,9.4698733384562350e-01
c_e_gamma_L_electron_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_0,0,7.9319075248405666e-11,2.8013201540128239e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.7242966770813077e+00,1.7224926043179760e+00,-7.8855936133662596e-02,0.0000000000000000e+00,1.7242966770813077e+00,6.2374371188766595e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.0136835519169440e-01,1.5707949999999999e+00,2.9452431127404299e-01,1.8000000000000000e+00,3.4361169648638361e+00,1.4902391022680105e+01,7.6258149992274515e-01,-2.8433678532264439e+00,5.5194835985581765e+00,9.4698733384562350e-01
c_e_gamma_L_electron_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_0,0,7.9319075248405666e-11,2.8013201540128239e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,1.1142207584791999e+00,0.0000000000000000e+00,6.0136835519169440e-01,0.0000000000000000e+00,6.0136835519169440e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.0136835519169440e-01,1.5707949999999999e+00,2.9452431127404299e-01,1.8000000000000000e+00,3.4361169648638361e+00,1.4902391022680105e+01,7.6258149992274515e-01,-2.8433678532264439e+00,5.5194835985581765e+00,9.4698733384562350e-01
c_e_gamma_L_electron_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_0,0,7.9319075248405666e-11,2.8013201540128239e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,-1.7224926043179760e+00,-5.2251241905803181e-01,0.0000000000000000e+00,1.8000000000000000e+00,3.4361169648638357e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,6.0136835519169440e-01,1.5707949999999999e+00,2.9452431127404299e-01,1.8000000000000000e+00,3.4361169648638361e+00,1.4902391022680105e+01,7.6258149992274515e-01,-2.8433678532264439e+00,5.5194835985581765e+00,9.4698733384562350e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,6.8047171837736680e-11,3.1263783560715437e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-6.4571435626109552e-01,2.1286349617618403e+00,-2.9513459707981364e-06,2.2244176384674761e+00,1.8653206380689393e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.9330530302059156e-02,1.5707949999999999e+00,5.0069132916587327e+00,1.8000000000000000e+00,1.8653206380689396e+00,1.6862536606170206e+01,8.4668182292246741e-01,-3.2173625317476429e+00,3.9333326935891222e+00,9.6511074334945401e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,6.8047171837736680e-11,3.1263783560715437e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,6.4571435626109552e-01,-2.1286349617618403e+00,2.9513459707981364e-06,2.2244176384674761e+00,5.0069132916587327e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.9330530302059156e-02,1.5707949999999999e+00,5.0069132916587327e+00,1.8000000000000000e+00,1.8653206380689396e+00,1.6862536606170206e+01,8.4668182292246741e-01,-3.2173625317476429e+00,3.9333326935891222e+00,9.6511074334945401e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,6.8047171837736680e-11,3.1263783560715437e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.8952727407702161e+00,5.2251241905803192e-01,-1.8218231346200351e+00,0.0000000000000000e+00,1.8952727407702161e+00,4.9916989941404832e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.9330530302059156e-02,1.5707949999999999e+00,5.0069132916587327e+00,1.8000000000000000e+00,1.8653206380689396e+00,1.6862536606170206e+01,8.4668182292246741e-01,-3.2173625317476429e+00,3.9333326935891222e+00,9.6511074334945401e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,6.8047171837736680e-11,3.1263783560715437e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,9.4324469479032225e-01,0.0000000000000000e+00,9.9330530302059156e-02,0.0000000000000000e+00,9.9330530302059156e-02,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.9330530302059156e-02,1.5707949999999999e+00,5.0069132916587327e+00,1.8000000000000000e+00,1.8653206380689396e+00,1.6862536606170206e+01,8.4668182292246741e-01,-3.2173625317476429e+00,3.9333326935891222e+00,9.6511074334945401e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,6.8047171837736680e-11,3.1263783560715437e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,-5.2251241905803192e-01,1.7224926043179760e+00,0.0000000000000000e+00,1.8000000000000000e+00,1.8653206380689396e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.9330530302059156e-02,1.5707949999999999e+00,5.0069132916587327e+00,1.8000000000000000e+00,1.8653206380689396e+00,1.6862536606170206e+01,8.4668182292246741e-01,-3.2173625317476429e+00,3.9333326935891222e+00,9.6511074334945401e-01
