detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_e_gamma_TxTy_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},TxTy,enhanced_region_0,0,9.3056758650742666e-01,5.0486868014160802e-01,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,0,-1,-1,-1,9.5460599968133351e+01,-1.1048480667571440e+02,1.4601239211945665e+02,-8.5822153222479802e-01,2.1319618652445966e+04,2.1319618652445966e+04,3.1127304440816855e-01,1,9.6616119568902592e-01
c_e_gamma_TxTy_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},TxTy,enhanced_region_0,0,9.3056758650742666e-01,5.0486868014160802e-01,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,5,1,-1,1,-1.3586160686121249e+02,2.4669504005065381e+01,1.3808316568925628e+02,2.9619714803838133e+00,1.9066960646766602e+04,1.9066960646766602e+04,2.7838353888421291e-01,2,9.6616119568902592e-01
c_e_gamma_TxTy_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},TxTy,enhanced_region_0,0,9.3056758650742666e-01,5.0486868014160802e-01,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,7,1,1,1,-5.1004369096944160e+00,1.1719029845011505e+02,1.1730123830333936e+02,1.6142915663742945e+00,1.3759580507496808e+04,1.3759580507496808e+04,2.0089414281603224e-01,3,9.6616119568902592e-01
c_e_gamma_TxTy_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},TxTy,enhanced_region_0,0,9.3056758650742666e-01,5.0486868014160802e-01,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,2,-1,1,-1,-7.0079260507740941e+01,-8.4360868295254988e+01,1.0967159546957078e+02,-2.2639833105918981e+00,1.2027858852841176e+04,1.2027858852841176e+04,1.7561046958061219e-01,4,9.6616119568902592e-01
c_e_gamma_low_egamma_txty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},TxTy,low_Egamma_TxTy_region_0,0,7.3903448599178556e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-2.0869627177751127e+03,-1.6700366817486833e+03,2.6729077619269688e+03,-2.4667154248902290e+00,7.1444359037694372e+06,7.1444359037694372e+06,2.4638066821252916e-01,1,9.9443954366550458e-01
c_e_gamma_low_egamma_txty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},TxTy,low_Egamma_TxTy_region_0,0,7.3903448599178556e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.1116496670377842e+03,-2.1654763150114791e+03,2.4341431044827482e+03,-1.0965249682508207e+00,5.9250526531009115e+06,5.9250526531009115e+06,2.0432941823933423e-01,2,9.9443954366550458e-01
c_e_gamma_low_egamma_txty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},TxTy,low_Egamma_TxTy_region_0,0,7.3903448599178556e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,2.1261802628588803e+03,-2.8078681279695047e+02,2.1446407028710723e+03,-1.3130182607339663e-01,4.5994837444113269e+06,4.5994837444113269e+06,1.5861628456668417e-01,3,9.9443954366550458e-01
c_e_gamma_low_egamma_txty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},TxTy,low_Egamma_TxTy_region_0,0,7.3903448599178556e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,-2.8087607022677952e+02,2.1261662944732043e+03,2.1446385426406837e+03,1.7021402662292786e+00,4.5994744785799552e+06,4.5994744785799552e+06,1.5861596502826913e-01,4,9.9443954366550458e-01
c_e_gamma_low_egamma_txty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},TxTy,low_Egamma_TxTy_region_0,0,7.3903448599178556e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,5,1,-1,1,-5.8410349867132346e+01,-2.0711178358579223e+03,2.0719413261432874e+03,-1.5989911838268345e+00,4.2929408589804042e+06,4.2929408589804042e+06,1.4804494737987847e-01,5,9.9443954366550458e-01
c_e_gamma_low_egamma_txty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},TxTy,low_Egamma_TxTy_region_0,0,7.3903448599178556e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Ty",1.0000000000000000e+00,2,-1,1,-1,1.5076854506684945e+03,4.2520243626477189e+01,1.5082849164781553e+03,2.8194857126875989e-02,2.2749233892755159e+06,2.2749233892755159e+06,7.8452260238809385e-02,6,9.9443954366550458e-01
