selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest
C_e_p,C_{ep},TxTy,enhanced_region_0,0,1,9.6846090566041676e-01,1.0000000000000002e+00,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,1.3744467859455343e+00,4.5160394395353274e+00,5.0000000000000000e-01,6.8722339297276724e-01,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01,1.3983294274941517e+02,2.5245980152465319e-01,1.8782595153430548e+00,2.5245980152465319e-01,1.8782595153430548e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4768259953623327e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1609545925213659e-06,1.2013116266185073e-05,2.2257544730246138e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6279184680386330e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.7326352538123442e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.6678981505592997e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.6678984364659470e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0473719857159490e-06,1.2037159211010947e-05,2.3523292967335364e-03,1.5079798433527653e-05,2.3523467883264236e-03,2.3523601872521326e-03,7.8876995572213789e-05,1.2238939219966708e-05,4.2961835392905951e-03,1.0417762217277199e-04,4.2974290211291342e-03,4.2967225187362833e-03,9.1775915792986998e-05,1.1976400024756906e-05,7.5236291670547845e-03,1.1598744845456453e-04,7.5245136759769021e-03,7.5239634951051008e-03,9.6774642377675058e-01,8.6678534325018430e-03,6.6292701462792800e-03,9.9918565721505515e-01,9.9917005216730392e-01,2.4876249990904692e-01,9.6846090566041676e-01,8.6863760865218565e-03,6.7325659354820020e-03,9.9994664211750139e-01,9.9993157831840340e-01,2.4904233557421651e-01
C_e_p,C_{ep},TxTy,enhanced_region_0,0,2,9.6845968768060098e-01,1.0000000000000000e+00,2.9758993479744120e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7606656173514654e+00,1.5707949999999999e+00,1.3744467859455343e+00,4.5160394395353274e+00,5.0000000000000000e-01,7.8539816339744828e-01,1.9068360147048395e+01,9.6215815563486118e-01,-1.5554686588896239e+01,1.6298058568497191e+00,9.6037615112771213e-01,1.4449352710533265e+02,1.8744101027974722e-01,1.9442777893557601e+00,1.8744101027974722e-01,1.9442777893557601e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.9795785080250264e-07,0.0000000000000000e+00,2.1491190574601912e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0147564153991051e-06,1.0194243079278178e-05,1.9033923441862039e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.4231573387669187e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.5113177627268417e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4650341534075659e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4650306239649215e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.2703613503926599e-06,1.0219331003927428e-05,2.0271517753665618e-03,1.3853160051491342e-05,2.0271741088286562e-03,2.0271786704241061e-03,9.6661595974421359e-05,1.0362060981452078e-05,4.3970210102562126e-03,1.2508489774400823e-04,4.3987878032283340e-03,4.3977378328894550e-03,1.1019933554213813e-04,1.0167342625262335e-05,7.1671932156283265e-03,1.3793442953080945e-04,7.1685134666102292e-03,7.1676735976613833e-03,9.6773852771158841e-01,8.4649109167217896e-03,6.4245211416655689e-03,9.9918172776600300e-01,9.9916652509748527e-01,2.4877205745266481e-01,9.6845968768060098e-01,8.4785300038615116e-03,6.5112351055620641e-03,9.9994608793026662e-01,9.9993134240168824e-01,2.4903896732381953e-01
C_e_p,C_{ep},TxTy,enhanced_region_1,1,1,9.6846011338358196e-01,9.9999999999999956e-01,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,1.7671458676442597e+00,4.9087385212340520e+00,5.0000000000000000e-01,2.4543692606170260e+00,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01,1.3983294274941517e+02,2.5245980152465353e-01,1.8782595153430548e+00,2.5245980152465353e-01,1.8782595153430548e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4768262632457873e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1609545925045768e-06,1.2013117186768575e-05,2.2257545636075794e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6279169645763929e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.7326340226487140e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.6678978465061247e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.6678984365176331e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0473720073613643e-06,1.2037159031573819e-05,2.3523291752052234e-03,1.5079820520471650e-05,2.3523467885152092e-03,2.3523601872521326e-03,1.0008256554523842e-04,1.1838001995399335e-05,9.1845819759015842e-03,1.2384380438344546e-04,9.1854096495336494e-03,9.1848720212840892e-03,9.1775915658478193e-05,1.1976400407056482e-05,7.5236289657140184e-03,1.1598744749737214e-04,7.5245136760506755e-03,7.5239634951346120e-03,9.6774642521647947e-01,8.6678562662073078e-03,6.6292706522942469e-03,9.9918565721505537e-01,9.9917005216730392e-01,2.4876249990904736e-01,9.6846011338358196e-01,8.6864152365769744e-03,6.7327272138702765e-03,9.9994556828654846e-01,9.9993050521768945e-01,2.4904111696005291e-01
C_e_p,C_{ep},TxTy,enhanced_region_1,1,2,9.6845866754382715e-01,9.9999999999999989e-01,2.9758993479744120e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7606656173514654e+00,1.5707949999999999e+00,1.7671458676442597e+00,4.9087385212340520e+00,5.0000000000000000e-01,2.3561944901923448e+00,1.9068360147048395e+01,9.6215815563486129e-01,-1.5554686588896239e+01,1.6298058568497191e+00,9.6037615112771191e-01,1.4449352710533265e+02,1.8744101027974744e-01,1.9442777893557603e+00,1.8744101027974744e-01,1.9442777893557603e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.9795784586181832e-07,0.0000000000000000e+00,2.1491191345902531e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0147564158263003e-06,1.0194241796576714e-05,1.9033925233699579e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.4231524397967083e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.5113209064759274e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4650341533429267e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4650259751030063e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.2703613428894845e-06,1.0219331003934861e-05,2.0271524713722710e-03,1.3853127994565556e-05,2.0271741086095884e-03,2.0271786704241061e-03,1.1904125960603899e-04,1.0069959665672058e-05,8.6407079146433134e-03,1.4654140955679517e-04,8.6419448340099032e-03,8.6411307764664366e-03,1.1019933587044549e-04,1.0167342474416162e-05,7.1671935083845676e-03,1.3793442953080945e-04,7.1685134666257169e-03,7.1676735976613833e-03,9.6773852937447069e-01,8.4649100629227321e-03,6.4245267761686986e-03,9.9918172776600289e-01,9.9916652509748527e-01,2.4877205745266526e-01,9.6845866754382715e-01,8.4786088926372943e-03,6.5114046625805505e-03,9.9994478377879636e-01,9.9993003868633401e-01,2.4903770359530558e-01
C_e_p,C_{ep},TxTy,enhanced_region_2,2,1,9.6845329576159345e-01,9.9999999999999967e-01,3.0579673166781545e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2100487756413432e+00,1.5707949999999999e+00,1.6689710972195773e+00,4.8105637508093704e+00,5.0000000000000000e-01,4.4178646691106467e+00,1.5460227157335121e+01,7.7394092284250782e-01,-1.9616972530453669e+01,5.3955952423510523e+00,9.6801602308850798e-01,2.1666378865396503e+01,2.1397557831639769e+00,6.1383096604702272e-02,2.1397557831639769e+00,6.1383096604702272e-02,5.8029275572354810e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9822693744441297e-06,1.6510233275439512e-04,1.8090231653522261e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.3338829100669382e-06,1.6992983077788172e-04,1.7682171877776607e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.2717193049494556e-06,4.6569157751737709e-06,2.0756328002895239e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7355525115828903e-06,0.0000000000000000e+00,2.1256208875025696e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9963222710847527e-06,2.7402642122168540e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9655468475842154e-06,2.7402590931993286e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8320537392510270e-06,1.6993963693984351e-04,1.7888417962071803e-03,1.7022526179835638e-04,1.7888690126566266e-03,1.7968959780439876e-03,1.4980452365455730e-05,1.6753371525777576e-04,3.9241814152936004e-03,1.6825615990833219e-04,3.9242123926503409e-03,3.9277583983158750e-03,1.1306066485640027e-05,1.6971243769224075e-04,2.8866203458274534e-03,1.7017272354213849e-04,2.8866475346810338e-03,2.8916100142077762e-03,9.6823810294077806e-01,2.7343431139801515e-03,2.0757240721430551e-03,9.9976175327479033e-01,9.9976016890323982e-01,2.4908401793793600e-01,9.6845329576159345e-01,2.7520732407286565e-03,2.1255309502723999e-03,9.9999535608148726e-01,9.9999382804005144e-01,2.4918555744120496e-01
C_e_p,C_{ep},TxTy,enhanced_region_2,2,2,9.6845319036089639e-01,9.9999999999999967e-01,3.0579673166781545e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2100487756413432e+00,1.5707949999999999e+00,1.4726215563702159e+00,4.6142142099600090e+00,5.0000000000000000e-01,5.0069132916587327e+00,1.5460227157335117e+01,7.7394092284250782e-01,-1.9616972530453669e+01,5.3955952423510549e+00,9.6801602308850776e-01,2.1666378865396450e+01,2.1397557831639769e+00,6.1383096604702106e-02,2.1397557831639769e+00,6.1383096604702106e-02,5.8029275108981912e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9822693610114408e-06,1.6510233275384559e-04,1.8090231562230398e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.3338829100685442e-06,1.6992983005353942e-04,1.7682171865181498e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.2717187785828635e-06,4.6569319195302194e-06,2.0756320330070862e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7355526730428809e-06,0.0000000000000000e+00,2.1256199222216472e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9963221962383380e-06,2.7402603997744085e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9655468478070511e-06,2.7402614588711268e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8320536766662579e-06,1.6993962410547683e-04,1.7888416509568993e-03,1.7022526114614822e-04,1.7888690125325009e-03,1.7968959779204165e-03,4.3171220773772076e-06,1.7226188137927360e-04,3.5421153445861842e-04,1.7242032009494944e-04,3.5428865354945974e-04,3.9392381055124945e-04,1.1306066553016741e-05,1.6971243944152343e-04,2.8866203009911208e-03,1.7017272484695750e-04,2.8866475346041123e-03,2.8916100142077762e-03,9.6823810160751678e-01,2.7343452623434243e-03,2.0757329748872788e-03,9.9976175327479033e-01,9.9976016890323982e-01,2.4908401793793644e-01,9.6845319036089639e-01,2.7530290686063252e-03,2.1257661519163383e-03,9.9999537613567957e-01,9.9999384599253738e-01,2.4918604879974079e-01
C_e_p,C_{ep},TxTx,enhanced_region_0,0,1,9.6843920425670105e-01,1.0000000000000007e+00,3.1192886661559367e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.6993440952737560e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,1.4726215563702154e+00,1.9550048149821166e+01,9.8738009813515337e-01,-1.5172115014369759e+01,1.1297170626328636e+00,9.5948446709607227e-01,1.7565292434627293e+02,5.3556187366305096e-03,2.1943221864626397e+00,5.3556187366305096e-03,2.1943221864626397e+00,6.5965708538030251e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6315095646444942e-06,1.5981630751968007e-06,3.1819976180066755e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6305451947772066e-06,1.4383346962077489e-06,3.1811047970850504e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6123713971368482e-06,0.0000000000000000e+00,1.5304784036897004e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.5997731008205659e-06,0.0000000000000000e+00,1.5273279194687929e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6029459071416355e-06,1.1865146556607850e-04,1.3733591185418999e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6020214638667232e-06,1.1865394999626979e-04,7.2380405856530689e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6320321675737247e-06,1.5221257890525491e-06,3.1820463574349018e-04,6.8060798874870036e-06,3.1827380566332316e-04,3.1820834200778776e-04,6.4724157528711992e-04,1.4466823099251965e-06,4.7179710027798539e-04,8.2369736060305325e-04,9.4924588886094929e-04,6.9436891702195750e-04,6.5374600482425663e-04,1.4383424177354593e-06,3.5329645273388300e-04,8.2873819197320055e-04,9.0090138694807868e-04,6.1987219536518100e-04,9.6843920425670105e-01,1.1906118528260866e-04,1.5198735477461796e-04,9.9999995555041921e-01,9.9999996001269442e-01,2.4924975799413554e-01,9.6843867070262069e-01,1.1864962709982928e-04,1.5316991089515952e-04,9.9999986026070231e-01,9.9999986495181270e-01,2.4925144853717601e-01
C_e_p,C_{ep},TxTx,enhanced_region_0,0,2,9.6843920391898486e-01,1.0000000000000004e+00,3.1192886661559367e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.6993440952737560e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,1.6689710972195777e+00,1.9550048149821166e+01,9.8738009813515337e-01,-1.5172115014369759e+01,1.1297170626328636e+00,9.5948446709607227e-01,1.7565292434627273e+02,5.3556187366304263e-03,2.1943221864626397e+00,5.3556187366304263e-03,2.1943221864626397e+00,6.5965768724903732e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6315201286298487e-06,1.5981630756295818e-06,3.1819976211096675e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6305451924564965e-06,1.4383353219057763e-06,3.1811063662157683e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6119672178859655e-06,0.0000000000000000e+00,1.5304788428727802e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.5997343829568475e-06,0.0000000000000000e+00,1.5273279827300397e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6029753512153820e-06,1.1865414304315904e-04,1.3734226745965045e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6019999746128815e-06,1.1865254081405267e-04,7.2411299088036474e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6320322264199555e-06,1.5221257571050168e-06,3.1820460766951664e-04,6.8061288239842980e-06,3.1827380566332316e-04,3.1820834130999145e-04,6.6018317383788187e-04,1.4387078778365663e-06,1.6468434173969642e-04,8.3374577550304600e-04,8.4985344683788074e-04,5.3517392347682562e-04,6.5374600574299080e-04,1.4383424776858740e-06,3.5329645609490995e-04,8.2873819224113152e-04,9.0090138645513998e-04,6.1987219500697079e-04,9.6843920391898486e-01,1.1906342091477784e-04,1.5198511102259302e-04,9.9999995555041932e-01,9.9999996001269453e-01,2.4924975799413465e-01,9.6843867055176702e-01,1.1865410521660902e-04,1.5316467046515587e-04,9.9999985997377638e-01,9.9999986466493895e-01,2.4925144848710157e-01
C_e_p,C_{ep},TxTx,enhanced_region_1,1,1,9.6843876651781946e-01,1.0000000000000000e+00,3.1131929831580276e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,4.6142142099600090e+00,1.5353445677485071e+01,7.6851165077352013e-01,-1.9777762699900443e+01,5.5045543622204640e+00,9.6812154935556149e-01,7.2521812553026113e+00,2.2190620478777623e+00,6.9035366700783132e-03,2.2190620478777623e+00,6.9035366700783132e-03,9.5423383993655423e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5607876902652933e-06,5.0897813474248658e-04,6.1023000156793449e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.7343276978990223e-06,5.0898759661153960e-04,6.1023358235536116e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5602392824942111e-06,1.8801442401828877e-06,1.9517219246100373e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5474181616307596e-06,8.3637460859790007e-07,1.9401345486683153e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5580149377177690e-06,1.5030317220852277e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5511532581264897e-06,1.5030622959302618e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8711162331998881e-06,5.0898862932515106e-04,6.1023761754250803e-04,5.0908435816818200e-04,6.1031752407544719e-04,7.9464424174246616e-04,8.0937460740004720e-06,5.0653448859088032e-04,4.1460698127570228e-04,5.0660235649372407e-04,4.1468993455879151e-04,6.5458339503471396e-04,9.8904823236186059e-06,5.0898887826671276e-04,6.4078262096716311e-04,5.0909280246400762e-04,6.4086516343563732e-04,8.1833980274762506e-04,9.6843876651781946e-01,1.5400546660366350e-04,1.9542030977302233e-04,9.9999986992308387e-01,9.9999987715832850e-01,2.4925114526513603e-01,9.6843845306060805e-01,1.5030138345267444e-04,1.9426545637974199e-04,9.9999998085326802e-01,9.9999998842851123e-01,2.4925280671566397e-01
C_e_p,C_{ep},TxTx,enhanced_region_1,1,2,9.6843876638421911e-01,9.9999999999999978e-01,3.1131929831580276e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,4.8105637508093704e+00,1.5353445677485071e+01,7.6851165077352013e-01,-1.9777762699900443e+01,5.5045543622204640e+00,9.6812154935556149e-01,7.2521812553026113e+00,2.2190620478777623e+00,6.9035366700782950e-03,2.2190620478777623e+00,6.9035366700782950e-03,9.5424621669622810e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5607890867682915e-06,5.0897811452876526e-04,6.1023000103870397e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.7343276979680029e-06,5.0898757676781300e-04,6.1023361194934998e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5602281681271973e-06,1.8800342989377520e-06,1.9517205210599256e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5475385137089013e-06,8.3647521776417507e-07,1.9401339071688432e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5567868889806274e-06,1.5030315950215385e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5509776701342151e-06,1.5030240937790362e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8711136331690136e-06,5.0898862808156564e-04,6.1023767570643256e-04,5.0908435773201733e-04,6.1031752407544719e-04,7.9464424174246616e-04,1.1453137716675131e-05,5.1144657558177249e-04,8.0604930620080243e-04,5.1158533579963837e-04,8.0613741412662835e-04,9.5462241754091614e-04,9.8904823025186154e-06,5.0898888898452167e-04,6.4078262059879740e-04,5.0909280311824373e-04,6.4086516395535180e-04,8.1833980301896053e-04,9.6843876638421911e-01,1.5400445903616074e-04,1.9541483020242648e-04,9.9999986992308409e-01,9.9999987715832872e-01,2.4925114526513648e-01,9.6843845308641452e-01,1.5030663682894429e-04,1.9427559188986421e-04,9.9999998085234898e-01,9.9999998842756288e-01,2.4925280671516911e-01
