detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_L_electron_region_0,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_0,0,1.5138910211362537e-11,1.9514870568949494e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,7,1,1,1,1.8369445771624963e+05,1.5915488977042987e+05,2.4305129650652906e+05,7.1394464950654690e-01,5.9073932733504692e+10,2.9536966366752346e+10,7.3483079843251065e-01,1,9.9105883352744240e-01
c_ep_L_electron_region_0,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_0,0,1.5138910211362537e-11,1.9514870568949494e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,-1.0265318332753646e+05,-8.8939595314640566e+04,1.3582314847627722e+05,-2.4276493777129184e+00,1.8447927662008846e+10,9.2239638310044231e+09,2.2947694162252052e-01,2,9.9105883352744240e-01
c_ep_L_electron_region_0,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_0,0,1.5138910211362537e-11,1.9514870568949494e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,3.5048816156772002e+04,3.0366644572983070e+04,4.6374051112805362e+04,7.1394410258351926e-01,2.1505526166130843e+09,1.0752763083065422e+09,2.6751093472411235e-02,3,9.9105883352744240e-01
c_ep_L_electron_region_1,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_1,1,1.1775523044382276e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,7,1,1,1,2.5880204904808887e+05,-5.4265101504670121e+04,2.6442995638316311e+05,-2.0668379490144612e-01,6.9923201832801544e+10,3.4961600916400772e+10,9.3695542294356837e-01,1,9.9897034297287535e-01
c_ep_L_electron_region_1,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_1,1,1.1775523044382276e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,4.9379287098821573e+04,-1.0353745140150182e+04,5.0453087445814752e+04,-2.0668367729279222e-01,2.5455140328150311e+09,1.2727570164075155e+09,3.4109324440377058e-02,2,9.9897034297287535e-01
c_ep_L_electron_region_1,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_1,1,1.1775523044382276e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,4.4663649808988543e+04,-9.3648240334670809e+03,4.5634872010752530e+04,-2.0668032752513935e-01,2.0825415434377654e+09,1.0412707717188827e+09,2.7905595588929917e-02,3,9.9897034297287535e-01
c_ep_L_electron_region_2,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_2,2,6.4250489651208937e-12,1.8086344575396018e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,7,1,1,1,1.6578718613801917e+05,-1.8453682691997971e+05,2.4807102123637247e+05,-8.3886800309129117e-01,6.1539231577256760e+10,3.0769615788628380e+10,7.0448632262729971e-01,1,9.8904223860247609e-01
c_ep_L_electron_region_2,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_2,2,6.4250489651208937e-12,1.8086344575396018e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,1.0050537995336039e+05,-1.1187169967457058e+05,1.5038819297952435e+05,-8.3886667338055432e-01,2.2616608587646648e+10,1.1308304293823324e+10,2.5890949571266070e-01,2,9.8904223860247609e-01
c_ep_L_electron_region_2,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_2,2,6.4250489651208937e-12,1.8086344575396018e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,3.1632127802850147e+04,-3.5209500112436712e+04,4.7331811791896645e+04,-8.3886727538288253e-01,2.2403004075035262e+09,1.1201502037517631e+09,2.5646420262515641e-02,3,9.8904223860247609e-01
c_ep_L_electron_region_3,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_3,3,4.7238696770078004e-12,1.5759977832712506e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,7,1,1,1,-7.1108102930835361e+04,1.0432896424640932e+06,1.0457101129736088e+06,1.6388486643889215e+00,1.0935096403752778e+12,5.4675482018763892e+11,6.4976946694487592e-01,1,9.8852878923104825e-01
c_ep_L_electron_region_3,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_3,3,4.7238696770078004e-12,1.5759977832712506e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,3.7337912739780390e+04,-5.4783367147978372e+05,5.4910459052423062e+05,-1.5027460014952330e+00,3.0151585133478296e+11,1.5075792566739148e+11,1.7916238390911368e-01,2,9.8852878923104825e-01
c_ep_L_electron_region_3,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_3,3,4.7238696770078004e-12,1.5759977832712506e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=-1",5.0000000000000000e-01,5,1,-1,1,-2.4423523738339695e+05,2.4296753731765496e+05,3.4450555201611819e+05,2.3587964811304944e+00,1.1868407536993031e+11,5.9342037684965157e+10,7.0522732987977566e-02,3,9.8852878923104825e-01
c_ep_L_electron_region_3,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_3,3,4.7238696770078004e-12,1.5759977832712506e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=-1",5.0000000000000000e-01,7,1,1,1,-2.3523339052410235e+05,2.3401147252037175e+05,3.3180734966033761e+05,2.3587984936414763e+00,1.1009611728861755e+11,5.5048058644308777e+10,6.5419720871207857e-02,4,9.8852878923104825e-01
c_ep_L_electron_region_3,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_3,3,4.7238696770078004e-12,1.5759977832712506e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-1.3566795545391577e+04,1.9905911913716194e+05,1.9952090329845966e+05,1.6388456972879510e+00,3.9808590853033279e+10,1.9904295426516640e+10,2.3654484517873196e-02,5,9.8852878923104825e-01
c_ep_low_egamma_l_electron_region_0,egamma_region_max,C_e_p,C_{ep},L_electron,low_Egamma_L_electron_region_0,0,7.8740109215202517e-14,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,7,1,1,1,2.2761685393854696e+04,2.1009254599391416e-06,2.2761685393854696e+04,9.2300962059090713e-11,5.1809432196881819e+08,2.5904716098440909e+08,6.2462161499108615e-01,1,9.9999999999994738e-01
c_ep_low_egamma_l_electron_region_0,egamma_region_max,C_e_p,C_{ep},L_electron,low_Egamma_L_electron_region_0,0,7.8740109215202517e-14,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,1.7645360788562844e+04,-1.6286900136869279e-06,1.7645360788562844e+04,-9.2301315524395075e-11,3.1135875735855114e+08,1.5567937867927557e+08,3.7537838500886123e-01,2,9.9999999999994738e-01
c_ep_low_egamma_l_electron_region_1,egamma_region_max,C_e_p,C_{ep},L_electron,low_Egamma_L_electron_region_1,1,2.1141284895511296e-15,3.0491306137936149e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,5.9904207220249702e+01,-1.2949472901716622e+03,1.2963321327366755e+03,-1.5245693250358960e+00,1.6804769983656176e+06,8.4023849918280880e+05,3.7998180762078460e-01,1,9.9967236635790613e-01
c_ep_low_egamma_l_electron_region_1,egamma_region_max,C_e_p,C_{ep},L_electron,low_Egamma_L_electron_region_1,1,2.1141284895511296e-15,3.0491306137936149e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,4.6791296448372037e+01,-1.0111874177787314e+03,1.0122694400688673e+03,-1.5245556979846604e+00,1.0246894192973381e+06,5.1234470964866906e+05,2.3169810605749316e-01,2,9.9967236635790613e-01
c_ep_low_egamma_l_electron_region_1,egamma_region_max,C_e_p,C_{ep},L_electron,low_Egamma_L_electron_region_1,1,2.1141284895511296e-15,3.0491306137936149e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-6.4024443319536616e+01,9.2404656914040868e+02,9.2626194528466772e+02,1.6399728008644621e+00,8.5796119128253672e+05,4.2898059564126836e+05,1.9399827825616622e-01,3,9.9967236635790613e-01
c_ep_low_egamma_l_electron_region_1,egamma_region_max,C_e_p,C_{ep},L_electron,low_Egamma_L_electron_region_1,1,2.1141284895511296e-15,3.0491306137936149e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-6.3593285891264941e+01,9.2406652141036318e+02,9.2625214817667086e+02,1.6395069392131447e+00,8.5794304200189759e+05,4.2897152100094879e+05,1.9399417442346217e-01,4,9.9967236635790613e-01
c_ep_low_egamma_l_electron_region_2,egamma_region_max,C_e_p,C_{ep},L_electron,low_Egamma_L_electron_region_2,2,1.5478231786803809e-17,2.9253957525329568e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,-4.7580916540257974e+00,-4.3844867366479747e+01,4.4102288269117174e+01,-1.6788943647962722e+00,1.9450118305723111e+03,9.7250591528615553e+02,5.3245350533397062e-01,1,9.9181995277710500e-01
c_ep_low_egamma_l_electron_region_2,egamma_region_max,C_e_p,C_{ep},L_electron,low_Egamma_L_electron_region_2,2,1.5478231786803809e-17,2.9253957525329568e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$",prepared_spin_ensemble_v4,"electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,-4.4195423724762781e+00,-4.0724661534072361e+01,4.0963769502413548e+01,-1.6788957912267004e+00,1.6780304118468657e+03,8.3901520592343286e+02,4.5936644744313437e-01,2,9.9181995277710500e-01
