detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,initial_spin_averaging_version,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_L_electron_region_0,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_0,0,1.2528983031584213e-11,2.4036880344160934e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,1.5729007963499342e+00,1.5729007963499337e+00,-2.9513459707981364e-06,2.2244176384674761e+00,7.8539816339744817e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2702732738462480e-01,1.5707949999999999e+00,3.9269908169872414e+00,1.8000000000000000e+00,7.8539816339744828e-01,1.6824503594550144e+01,8.4508007067631563e-01,-3.2101058544489640e+00,3.9641090279136835e+00,9.6475909199766585e-01
c_ep_L_electron_region_0,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_0,0,1.2528983031584213e-11,2.4036880344160934e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,-1.5729007963499342e+00,-1.5729007963499337e+00,2.9513459707981364e-06,2.2244176384674761e+00,3.9269908169872410e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2702732738462480e-01,1.5707949999999999e+00,3.9269908169872414e+00,1.8000000000000000e+00,7.8539816339744828e-01,1.6824503594550144e+01,8.4508007067631563e-01,-3.2101058544489640e+00,3.9641090279136835e+00,9.6475909199766585e-01
c_ep_L_electron_region_0,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_0,0,1.2528983031584213e-11,2.4036880344160934e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.8919552654397775e+00,-1.2727922061357857e+00,-1.3998195335204102e+00,0.0000000000000000e+00,1.8919552654397775e+00,3.9744843612109899e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2702732738462480e-01,1.5707949999999999e+00,3.9269908169872414e+00,1.8000000000000000e+00,7.8539816339744828e-01,1.6824503594550144e+01,8.4508007067631563e-01,-3.2101058544489640e+00,3.9641090279136835e+00,9.6475909199766585e-01
c_ep_L_electron_region_0,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_0,0,1.2528983031584213e-11,2.4036880344160934e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,9.4656217012010391e-01,0.0000000000000000e+00,1.2702732738462480e-01,0.0000000000000000e+00,1.2702732738462480e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2702732738462480e-01,1.5707949999999999e+00,3.9269908169872414e+00,1.8000000000000000e+00,7.8539816339744828e-01,1.6824503594550144e+01,8.4508007067631563e-01,-3.2101058544489640e+00,3.9641090279136835e+00,9.6475909199766585e-01
c_ep_L_electron_region_0,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_0,0,1.2528983031584213e-11,2.4036880344160934e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,1.2727922061357857e+00,1.2727922061357855e+00,0.0000000000000000e+00,1.8000000000000000e+00,7.8539816339744817e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2702732738462480e-01,1.5707949999999999e+00,3.9269908169872414e+00,1.8000000000000000e+00,7.8539816339744828e-01,1.6824503594550144e+01,8.4508007067631563e-01,-3.2101058544489640e+00,3.9641090279136835e+00,9.6475909199766585e-01
c_ep_L_electron_region_1,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_1,1,9.2179570951983603e-12,2.5853163117712041e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-1.2358202257352002e+00,1.8495356714538682e+00,-2.9513459707981364e-06,2.2244176384674761e+00,2.1598449493429825e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,5.3014376029327757e+00,1.8000000000000000e+00,2.1598449493429825e+00,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385482e+00,3.9461575580190540e+00,9.6496420605018973e-01
c_ep_L_electron_region_1,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_1,1,9.2179570951983603e-12,2.5853163117712041e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,1.2358202257352005e+00,-1.8495356714538680e+00,2.9513459707981364e-06,2.2244176384674761e+00,5.3014376029327757e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,5.3014376029327757e+00,1.8000000000000000e+00,2.1598449493429825e+00,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385482e+00,3.9461575580190540e+00,9.6496420605018973e-01
c_ep_L_electron_region_1,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_1,1,9.2179570951983603e-12,2.5853163117712041e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.8938903093567205e+00,1.0000264194352835e+00,-1.6083431425870354e+00,0.0000000000000000e+00,1.8938903093567205e+00,5.2686653222032787e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,5.3014376029327757e+00,1.8000000000000000e+00,2.1598449493429825e+00,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385482e+00,3.9461575580190540e+00,9.6496420605018973e-01
c_ep_L_electron_region_1,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_1,1,9.2179570951983603e-12,2.5853163117712041e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,9.4462712620351297e-01,0.0000000000000000e+00,1.1169784044245379e-01,0.0000000000000000e+00,1.1169784044245379e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,5.3014376029327757e+00,1.8000000000000000e+00,2.1598449493429825e+00,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385482e+00,3.9461575580190540e+00,9.6496420605018973e-01
c_ep_L_electron_region_1,enhanced_cluster,C_e_p,C_{ep},L_electron,enhanced_region_1,1,9.2179570951983603e-12,2.5853163117712041e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,-1.0000264194352835e+00,1.4966453021445816e+00,0.0000000000000000e+00,1.7999999999999998e+00,2.1598449493429825e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,5.3014376029327757e+00,1.8000000000000000e+00,2.1598449493429825e+00,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385482e+00,3.9461575580190540e+00,9.6496420605018973e-01
