detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_0,0,9.9822225206406723e-11,2.0035497930447921e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,1.3093964633094850e+05,1.0967191624423821e+05,1.7080140571423023e+05,6.9723697576363075e-01,2.9173120193957069e+10,2.9173120193957069e+10,7.4651581596540795e-01,1,9.9205079584082612e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_0,0,9.9822225206406723e-11,2.0035497930447921e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-7.2058724496715542e+04,-5.7799487423953527e+04,9.2375540715956377e+04,-2.4655625320332986e+00,8.5332405225653143e+09,8.5332405225653143e+09,2.1835850842075696e-01,2,9.9205079584082612e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_0,0,9.9822225206406723e-11,2.0035497930447921e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,2.4983218714180734e+04,2.0925323238068017e+04,3.2588807433507285e+04,6.9723642850122869e-01,1.0620303699382194e+09,1.0620303699382194e+09,2.7176471454661177e-02,3,9.9205079584082612e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_1,1,6.8851532439368620e-11,1.5648528390109391e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,1.1865766252490807e+05,-2.2459143564684899e+05,2.5400975146987505e+05,-1.0847449622544634e+00,6.4520953841787674e+10,6.4520953841787674e+10,6.6179741653505308e-01,1,9.8896662630050691e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_1,1,6.8851532439368620e-11,1.5648528390109391e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,3.1672716821600639e+04,-1.6895226282491483e+05,1.7189539872992644e+05,-1.3854817259223475e+00,2.9548028104520397e+10,2.9548028104520397e+10,3.0307686881423412e-01,2,9.8896662630050691e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_1,1,6.8851532439368620e-11,1.5648528390109391e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,2.2639873048141231e+04,-4.2851873480063347e+04,4.8464903924255414e+04,-1.0847434636394757e+00,2.3488469123873086e+09,2.3488469123873086e+09,2.4092340951219697e-02,3,9.8896662630050691e-01
c_ep_LTx_region_2,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_2,2,6.1788196868162752e-11,2.2265940544321561e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,1.5452838684599882e+05,-8.7062087194111475e+04,1.7736637045342539e+05,-5.1307677733222068e-01,3.1458829367821732e+10,3.1458829367821732e+10,8.1378718010042939e-01,1,9.9449975424819448e-01
c_ep_LTx_region_2,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_2,2,6.1788196868162752e-11,2.2265940544321561e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,6.6265528264528475e+04,-3.8072326595441766e+04,7.6423964098749842e+04,-5.2148998366657362e-01,5.8406222885670052e+09,5.8406222885670052e+09,1.5108710774554063e-01,2,9.9449975424819448e-01
c_ep_LTx_region_2,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_2,2,6.1788196868162752e-11,2.2265940544321561e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,2.9483938716888639e+04,-1.6611394204451481e+04,3.3841410426826616e+04,-5.1307656179606420e-01,1.1452410596769292e+09,1.1452410596769292e+09,2.9625466402224489e-02,3,9.9449975424819448e-01
c_ep_LTx_region_3,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_3,3,5.4931898442960532e-11,1.5405079982538072e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,-7.3305379663845888e+03,4.6683198722991493e+05,4.6688953842199984e+05,1.5864977691657811e+00,2.1798584108790811e+11,2.1798584108790811e+11,8.3371140657242371e-01,1,9.9522511781441181e-01
