detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_0,0,5.6552116441034729e-02,1.0000000000000002e+00,2.9939513839384180e+00,high_s_high_theta_in_low_Egamma,k,2.2244176666143929e+00,1.4111555916388170e+00,1.7194980635650865e+00,-2.9513459302684256e-06,2.2244176079203952e+00,8.8357293382212976e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7462896326196198e+00,1.5707949999999999e+00,4.0251655874119230e+00,5.0000000000000000e-01,8.8357293382212931e-01,1.7822715813510207e+01,9.6573495787843944e-01,-1.3816562526903677e+01,1.5122080902594321e+00,8.9431479634100897e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_0,0,5.6552116441034729e-02,1.0000000000000002e+00,2.9939513839384180e+00,high_s_high_theta_in_low_Egamma,p,2.4140997689462407e+00,-1.4111555916388170e+00,-1.7194980635650865e+00,2.9513459302684256e-06,2.2244176079203952e+00,4.0251655874119230e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7462896326196198e+00,1.5707949999999999e+00,4.0251655874119230e+00,5.0000000000000000e-01,8.8357293382212931e-01,1.7822715813510207e+01,9.6573495787843944e-01,-1.3816562526903677e+01,1.5122080902594321e+00,8.9431479634100897e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_0,0,5.6552116441034729e-02,1.0000000000000002e+00,2.9939513839384180e+00,high_s_high_theta_in_low_Egamma,kp,2.1562532046883160e+00,-3.1719664208182274e-01,-2.1327948593009882e+00,0.0000000000000000e+00,2.1562531441388568e+00,4.5647477107333145e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7462896326196198e+00,1.5707949999999999e+00,4.0251655874119230e+00,5.0000000000000000e-01,8.8357293382212931e-01,1.7822715813510207e+01,9.6573495787843944e-01,-1.3816562526903677e+01,1.5122080902594321e+00,8.9431479634100897e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_0,0,5.6552116441034729e-02,1.0000000000000002e+00,2.9939513839384180e+00,high_s_high_theta_in_low_Egamma,pp,1.9822642308720517e+00,0.0000000000000000e+00,1.7462896326196198e+00,0.0000000000000000e+00,1.7462896326196198e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7462896326196198e+00,1.5707949999999999e+00,4.0251655874119230e+00,5.0000000000000000e-01,8.8357293382212931e-01,1.7822715813510207e+01,9.6573495787843944e-01,-1.3816562526903677e+01,1.5122080902594321e+00,8.9431479634100897e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_0,0,5.6552116441034729e-02,1.0000000000000002e+00,2.9939513839384180e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,3.1719664208182274e-01,3.8650522668136850e-01,0.0000000000000000e+00,5.0000000000000000e-01,8.8357293382212942e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7462896326196198e+00,1.5707949999999999e+00,4.0251655874119230e+00,5.0000000000000000e-01,8.8357293382212931e-01,1.7822715813510207e+01,9.6573495787843944e-01,-1.3816562526903677e+01,1.5122080902594321e+00,8.9431479634100897e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_1,1,4.8360555871037832e-02,9.9999999999999933e-01,3.0752855743575775e+00,high_s_high_theta_in_low_Egamma,k,2.2244176666143929e+00,-6.4571434739374611e-01,2.1286349325301064e+00,-2.9513459302684256e-06,2.2244176079203952e+00,1.8653206380689393e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,5.0069132916587327e+00,5.0000000000000000e-01,1.8653206380689396e+00,1.9238076764428463e+01,9.8392914418709809e-01,-1.4913781564663838e+01,1.1940661771000585e+00,9.4748493840549153e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_1,1,4.8360555871037832e-02,9.9999999999999933e-01,3.0752855743575775e+00,high_s_high_theta_in_low_Egamma,p,2.4140997689462407e+00,6.4571434739374611e-01,-2.1286349325301064e+00,2.9513459302684256e-06,2.2244176079203952e+00,5.0069132916587327e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,5.0069132916587327e+00,5.0000000000000000e-01,1.8653206380689396e+00,1.9238076764428463e+01,9.8392914418709809e-01,-1.4913781564663838e+01,1.1940661771000585e+00,9.4748493840549153e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_1,1,4.8360555871037832e-02,9.9999999999999933e-01,3.0752855743575775e+00,high_s_high_theta_in_low_Egamma,kp,2.1905466958284352e+00,1.4514233862723108e-01,-2.1857328901361130e+00,0.0000000000000000e+00,2.1905466362268911e+00,4.7786960596169052e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,5.0069132916587327e+00,5.0000000000000000e-01,1.8653206380689396e+00,1.9238076764428463e+01,9.8392914418709809e-01,-1.4913781564663838e+01,1.1940661771000585e+00,9.4748493840549153e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_1,1,4.8360555871037832e-02,9.9999999999999933e-01,3.0752855743575775e+00,high_s_high_theta_in_low_Egamma,pp,1.9479707397321966e+00,0.0000000000000000e+00,1.7072627222700087e+00,0.0000000000000000e+00,1.7072627222700087e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,5.0069132916587327e+00,5.0000000000000000e-01,1.8653206380689396e+00,1.9238076764428463e+01,9.8392914418709809e-01,-1.4913781564663838e+01,1.1940661771000585e+00,9.4748493840549153e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{ep},LTx,enhanced_region_1,1,4.8360555871037832e-02,9.9999999999999933e-01,3.0752855743575775e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,-1.4514233862723108e-01,4.7847016786610447e-01,0.0000000000000000e+00,5.0000000000000000e-01,1.8653206380689396e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,5.0069132916587327e+00,5.0000000000000000e-01,1.8653206380689396e+00,1.9238076764428463e+01,9.8392914418709809e-01,-1.4913781564663838e+01,1.1940661771000585e+00,9.4748493840549153e-01
