detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,initial_spin_averaging_version,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_LTy_region_0,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_0,0,8.2501172337396352e-11,2.5853163117712032e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,1.2358202257352011e+00,1.8495356714538675e+00,-2.9513459707981364e-06,2.2244176384674761e+00,9.8174770424681035e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,4.1233403578366037e+00,1.8000000000000000e+00,9.8174770424681035e-01,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385478e+00,3.9461575580190527e+00,9.6496420605018973e-01
c_ep_LTy_region_0,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_0,0,8.2501172337396352e-11,2.5853163117712032e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,-1.2358202257352011e+00,-1.8495356714538675e+00,2.9513459707981364e-06,2.2244176384674761e+00,4.1233403578366037e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,4.1233403578366037e+00,1.8000000000000000e+00,9.8174770424681035e-01,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385478e+00,3.9461575580190527e+00,9.6496420605018973e-01
c_ep_LTy_region_0,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_0,0,8.2501172337396352e-11,2.5853163117712032e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.8938903093567205e+00,-1.0000264194352841e+00,-1.6083431425870351e+00,0.0000000000000000e+00,1.8938903093567205e+00,4.1561126385660998e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,4.1233403578366037e+00,1.8000000000000000e+00,9.8174770424681035e-01,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385478e+00,3.9461575580190527e+00,9.6496420605018973e-01
c_ep_LTy_region_0,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_0,0,8.2501172337396352e-11,2.5853163117712032e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,9.4462712620351297e-01,0.0000000000000000e+00,1.1169784044245379e-01,0.0000000000000000e+00,1.1169784044245379e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,4.1233403578366037e+00,1.8000000000000000e+00,9.8174770424681035e-01,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385478e+00,3.9461575580190527e+00,9.6496420605018973e-01
c_ep_LTy_region_0,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_0,0,8.2501172337396352e-11,2.5853163117712032e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,1.0000264194352841e+00,1.4966453021445814e+00,0.0000000000000000e+00,1.8000000000000000e+00,9.8174770424681035e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1169784044245379e-01,1.5707949999999999e+00,4.1233403578366037e+00,1.8000000000000000e+00,9.8174770424681035e-01,1.6846687798032654e+01,8.4601449559550301e-01,-3.2143385880385478e+00,3.9461575580190527e+00,9.6496420605018973e-01
c_ep_LTy_region_1,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_1,1,6.4409614045379449e-11,1.5432415223603440e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-1.8495356714538678e+00,-1.2358202257352007e+00,-2.9513459707981364e-06,2.2244176384674761e+00,3.7306412761378791e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5877621032073390e-01,1.5707949999999999e+00,5.8904862254808599e-01,1.8000000000000000e+00,3.7306412761378791e+00,1.2299010375645940e+01,6.4577642887607367e-01,-2.3466442851644240e+00,7.6261406775264087e+00,9.2291660463134129e-01
c_ep_LTy_region_1,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_1,1,6.4409614045379449e-11,1.5432415223603440e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,1.8495356714538678e+00,1.2358202257352009e+00,2.9513459707981364e-06,2.2244176384674761e+00,5.8904862254808610e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5877621032073390e-01,1.5707949999999999e+00,5.8904862254808599e-01,1.8000000000000000e+00,3.7306412761378791e+00,1.2299010375645940e+01,6.4577642887607367e-01,-2.3466442851644240e+00,7.6261406775264087e+00,9.2291660463134129e-01
c_ep_LTy_region_1,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_1,1,6.4409614045379449e-11,1.5432415223603440e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.4972136588287728e+00,1.4966453021445818e+00,4.1250209114549574e-02,0.0000000000000000e+00,1.4972136588287728e+00,2.7554804434552552e-02,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5877621032073390e-01,1.5707949999999999e+00,5.8904862254808599e-01,1.8000000000000000e+00,3.7306412761378791e+00,1.2299010375645940e+01,6.4577642887607367e-01,-2.3466442851644240e+00,7.6261406775264087e+00,9.2291660463134129e-01
c_ep_LTy_region_1,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_1,1,6.4409614045379449e-11,1.5432415223603440e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,1.3413037767325446e+00,0.0000000000000000e+00,9.5877621032073390e-01,0.0000000000000000e+00,9.5877621032073390e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5877621032073390e-01,1.5707949999999999e+00,5.8904862254808599e-01,1.8000000000000000e+00,3.7306412761378791e+00,1.2299010375645940e+01,6.4577642887607367e-01,-2.3466442851644240e+00,7.6261406775264087e+00,9.2291660463134129e-01
c_ep_LTy_region_1,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_1,1,6.4409614045379449e-11,1.5432415223603440e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,-1.4966453021445818e+00,-1.0000264194352835e+00,0.0000000000000000e+00,1.8000000000000000e+00,3.7306412761378787e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5877621032073390e-01,1.5707949999999999e+00,5.8904862254808599e-01,1.8000000000000000e+00,3.7306412761378791e+00,1.2299010375645940e+01,6.4577642887607367e-01,-2.3466442851644240e+00,7.6261406775264087e+00,9.2291660463134129e-01
