detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_Tx_electron_region_0,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_0,0,3.0588402988175137e-05,5.0000018047854167e-01,2.7695618041571981e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,7,1,1,1,7.6177781741240869e-01,2.4208178784819414e+00,2.5378464579007574e+00,1.2659285797371909e+00,6.4406646438794208e+00,3.2203323219397104e+00,4.6073734891711848e-01,1,9.6496945759808161e-01
c_ep_Tx_electron_region_0,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_0,0,3.0588402988175137e-05,5.0000018047854167e-01,2.7695618041571981e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,7.6178647951691625e-01,-2.4207718445246864e+00,2.5378051468972611e+00,-1.2659198790921138e+00,6.4404549636182287e+00,3.2202274818091143e+00,4.6072234929627132e-01,2,9.6496945759808161e-01
c_ep_Tx_electron_region_0,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_0,0,3.0588402988175137e-05,5.0000018047854167e-01,2.7695618041571981e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,2,-1,1,-1,-1.6552690789261135e-01,5.2606095456399227e-01,5.5148824570725696e-01,1.8756418761074853e+00,3.0413928515326782e-01,1.5206964257663391e-01,2.1756811709833151e-02,3,9.6496945759808161e-01
c_ep_Tx_electron_region_0,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_0,0,3.0588402988175137e-05,5.0000018047854167e-01,2.7695618041571981e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,5,1,-1,1,1.6553717751975008e-01,5.2600638068614847e-01,5.5143927105688306e-01,1.2659033085169240e+00,3.0408526966374655e-01,1.5204263483187327e-01,2.1752947674858726e-02,4,9.6496945759808161e-01
c_ep_Tx_electron_region_1,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_1,1,3.0524532484602521e-05,5.0000016023967253e-01,2.6771971061462398e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,8.8099610585737831e-01,2.3630536946701759e+00,2.5219391155280162e+00,1.2139373559776077e+00,6.3601769024302328e+00,3.1800884512151164e+00,4.5157214512621907e-01,1,9.6496681183365862e-01
c_ep_Tx_electron_region_1,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_1,1,3.0524532484602521e-05,5.0000016023967253e-01,2.6771971061462398e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,7,1,1,1,8.8100776879636256e-01,-2.3630043673625631e+00,2.5218969703090752e+00,-1.2139261898567766e+00,6.3599643288540930e+00,3.1799821644270465e+00,4.5155705241618171e-01,2,9.6496681183365862e-01
c_ep_Tx_electron_region_1,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_1,1,3.0524532484602521e-05,5.0000016023967253e-01,2.6771971061462398e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,5,1,-1,1,-2.3052282448779535e-01,6.1835675364592846e-01,6.5992866840997477e-01,1.9276360223117690e+00,4.3550584738936243e-01,2.1775292369468122e-01,3.0920886751669003e-02,3,9.6496681183365862e-01
c_ep_Tx_electron_region_1,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_1,1,3.0524532484602521e-05,5.0000016023967253e-01,2.6771971061462398e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,2,-1,1,-1,2.3053510795763898e-01,6.1830480418856526e-01,6.5988428294944279e-01,1.2139116894736766e+00,4.3544726688370028e-01,2.1772363344185014e-01,3.0916727539588858e-02,4,9.6496681183365862e-01
c_ep_Tx_electron_region_2,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_2,2,9.5580149377177690e-06,5.0000000005057810e-01,3.1131929831580276e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,7,1,1,1,1.3192489587080477e-03,9.2899476220966462e-02,9.2908842958810786e-02,1.5565964589193397e+00,8.6320530999449644e-03,4.3160265499724822e-03,3.1231361214209863e-01,1,9.9999951541116738e-01
c_ep_Tx_electron_region_2,enhanced_cluster,C_e_p,C_{ep},Tx_electron,enhanced_region_2,2,9.5580149377177690e-06,5.0000000005057810e-01,3.1131929831580276e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,e},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,1.3192446430541288e-03,-9.2899173220520201e-02,9.2908539927632289e-02,-1.5565964590570787e+00,8.6319967914844434e-03,4.3159983957422217e-03,3.1231157486330807e-01,2,9.9999951541116738e-01
