detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{ep},TxTx,enhanced_region_0,0,9.6844091833594803e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,1.1380842696927541e+04,1.5912534953108550e-03,1.1380842696927652e+04,1.3981860022899988e-07,1.2952358049221146e+08,1.2952358049221146e+08,3.1231080749873091e-01,1,9.9999999999996758e-01
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{ep},TxTx,enhanced_region_0,0,9.6844091833594803e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,1.1380842696822941e+04,1.5933544406298004e-03,1.1380842696823052e+04,1.4000320389935521e-07,1.2952358048983061e+08,1.2952358048983061e+08,3.1231080749299012e-01,2,9.9999999999996758e-01
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{ep},TxTx,enhanced_region_0,0,9.6844091833594803e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,1,-1,-1,1,8.8226803942816150e+03,1.2743336778128173e-03,8.8226803942817078e+03,1.4443838163272497e-07,7.7839689339642838e+07,7.7839689339642838e+07,1.8768919250634858e-01,3,9.9999999999996758e-01
c_ep_TxTx_region_0,enhanced_cluster,C_e_p,C_{ep},TxTx,enhanced_region_0,0,9.6844091833594803e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,6,1,1,-1,8.8226803941770140e+03,1.2727050076581363e-03,8.8226803941771050e+03,1.4425378125429040e-07,7.7839689337797076e+07,7.7839689337797076e+07,1.8768919250189800e-01,4,9.9999999999996758e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{ep},TxTx,enhanced_region_1,1,9.6843862163103733e-01,3.1131929838059538e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,9.3284304564584359e-04,6.5690096839279941e-02,6.5696720001091266e-02,1.5565966164465848e+00,4.3160590189017852e-03,4.3160590189017852e-03,3.1231264577170104e-01,1,9.9999983567015105e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{ep},TxTx,enhanced_region_1,1,9.6843862163103733e-01,3.1131929838059538e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,9.3286368997182992e-04,-6.5690096546113533e-02,6.5696720001091266e-02,-1.5565963021781177e+00,4.3160590189017852e-03,4.3160590189017852e-03,3.1231264577170104e-01,2,9.9999983567015105e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{ep},TxTx,enhanced_region_1,1,9.6843862163103733e-01,3.1131929838059538e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-7.2360685546614758e-04,-5.0956080480617477e-02,5.0961218046946671e-02,-1.5849959711630490e+00,2.5970457448284429e-03,2.5970457448284429e-03,1.8792380368419745e-01,3,9.9999983567015105e-01
c_ep_TxTx_region_1,enhanced_cluster,C_e_p,C_{ep},TxTx,enhanced_region_1,1,9.6843862163103733e-01,3.1131929838059538e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,6,1,1,-1,-7.2271150183041751e-04,5.0891903609800657e-02,5.0897034932735709e-02,1.5849962854199902e+00,2.5905081649441192e-03,2.5905081649441192e-03,1.8745074044255147e-01,4,9.9999983567015105e-01
c_ep_low_egamma_txtx_region_0,egamma_region_max,C_e_p,C_{ep},TxTx,low_Egamma_TxTx_region_0,0,9.6844091833594803e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,1.1380842696927541e+04,1.5912534953108550e-03,1.1380842696927652e+04,1.3981860022899988e-07,1.2952358049221146e+08,1.2952358049221146e+08,3.1231080749873091e-01,1,9.9999999999996758e-01
c_ep_low_egamma_txtx_region_0,egamma_region_max,C_e_p,C_{ep},TxTx,low_Egamma_TxTx_region_0,0,9.6844091833594803e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,1.1380842696822941e+04,1.5933544406298004e-03,1.1380842696823052e+04,1.4000320389935521e-07,1.2952358048983061e+08,1.2952358048983061e+08,3.1231080749299012e-01,2,9.9999999999996758e-01
