detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_Ty_proton_region_0,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_0,0,2.6090796190203491e-11,2.1126012480759169e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,1.0045158112906919e+05,1.4498791095513894e+05,1.7638598151345609e+05,9.6490050195869648e-01,3.1112014474465275e+10,1.5556007237232637e+10,4.0217240788206560e-01,1,9.6487430470691682e-01
c_ep_Ty_proton_region_0,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_0,0,2.6090796190203491e-11,2.1126012480759169e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,1.4194853909446870e+05,9.5074791120262831e+04,1.7084672562743342e+05,5.9015731695890372e-01,2.9188603657615517e+10,1.4594301828807758e+10,3.7730925541105631e-01,2,9.6487430470691682e-01
c_ep_Ty_proton_region_0,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_0,0,2.6090796190203491e-11,2.1126012480759169e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,2,-1,1,-1,4.7903595359265797e+04,7.0102160618204070e+04,8.4906226931154786e+04,9.7133944399028471e-01,7.2090673716847515e+09,3.6045336858423758e+09,9.3188693577975754e-02,3,9.6487430470691682e-01
c_ep_Ty_proton_region_0,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_0,0,2.6090796190203491e-11,2.1126012480759169e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,-6.9855361951580388e+04,-4.7466998567129020e+04,8.4456423949621108e+04,-2.5447552353649763e+00,7.1328875463581314e+09,3.5664437731790657e+09,9.2203947835819214e-02,4,9.6487430470691682e-01
c_ep_Ty_proton_region_1,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_1,1,2.0844048709278695e-11,1.5442603292622832e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,-5.6658453660278302e+05,1.2787947026072604e+05,5.8083663454671518e+05,2.9196097901319336e+00,3.3737119603155426e+11,1.6868559801577713e+11,4.9789074799540273e-01,1,9.6487430464657620e-01
c_ep_Ty_proton_region_1,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_1,1,2.0844048709278695e-11,1.5442603292622832e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,-5.2339104734217690e+04,-3.9108497143991932e+05,3.9457171308970172e+05,-1.7038363285215590e+00,1.5568683677054190e+11,7.7843418385270950e+10,2.2976186623078904e-01,2,9.6487430464657620e-01
c_ep_Ty_proton_region_1,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_1,1,2.0844048709278695e-11,1.5442603292622832e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,1.0124562379242107e+05,-3.3797361692058737e+05,3.5281275780716946e+05,-1.2797371496592036e+00,1.2447684207150041e+11,6.2238421035750206e+10,1.8370230990700334e-01,3,9.6487430464657620e-01
c_ep_Ty_proton_region_1,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_1,1,2.0844048709278695e-11,1.5442603292622832e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,2,-1,1,-1,1.8062135081219362e+05,6.0338259597434408e+04,1.9043313246509628e+05,3.2240386959698797e-01,3.6264777940468903e+10,1.8132388970234451e+10,5.3519380513381107e-02,4,9.6487430464657620e-01
c_ep_Ty_proton_region_2,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_2,2,2.0126733613068382e-11,2.1690856690535938e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,-9.5370877739607036e+04,1.4925582504392325e+05,1.7712398378075540e+05,2.1393826742734960e+00,3.1372905630365292e+10,1.5686452815182646e+10,4.0856390030833034e-01,1,9.6487430469019431e-01
c_ep_Ty_proton_region_2,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_2,2,2.0126733613068382e-11,2.1690856690535938e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,1.4672566954690122e+05,-9.0584227304948712e+04,1.7243527580057704e+05,-5.5309473980980151e-01,2.9733924340421082e+10,1.4866962170210541e+10,3.8721973167309043e-01,2,9.6487430469019431e-01
c_ep_Ty_proton_region_2,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_2,2,2.0126733613068382e-11,2.1690856690535938e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,2,-1,1,-1,4.3093475868997608e+04,-6.8347044489299020e+04,8.0798305383801824e+04,-1.0082447732361741e+00,6.5283661528940992e+09,3.2641830764470496e+09,8.5017778381538026e-02,3,9.6487430469019431e-01
c_ep_Ty_proton_region_2,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_2,2,2.0126733613068382e-11,2.1690856690535938e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,6.8104084038726709e+04,-4.2633835156304194e+04,8.0348056372813837e+04,-5.5932525151578427e-01,6.4558101628888702e+09,3.2279050814444351e+09,8.4072894327235553e-02,4,9.6487430469019431e-01
c_ep_Ty_proton_region_3,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_3,3,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,2.7957931021278084e+05,-1.3669357834033053e+04,2.7991327593140193e+05,-4.8853691227273691e-02,7.8351442042649185e+10,3.9175721021324593e+10,4.4800528473805473e-01,1,9.8497622159347920e-01
c_ep_Ty_proton_region_3,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_3,3,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,-1.5581941131939020e+04,-1.7585139544648182e+05,1.7654039245995274e+05,-1.6591740829400308e+00,3.1166510169914146e+10,1.5583255084957073e+10,1.7820681915928860e-01,2,9.8497622159347920e-01
