detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_unpolarized_region_0,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_0,0,2.9171414250321683e-05,4.9997859865388811e-01,2.5853162919051842e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,7,1,1,1,-7.3870624303900667e-01,3.4200928705405036e+00,3.4989601536208994e+00,1.7835186604831850e+00,1.2242722156626789e+01,3.0606805391566971e+00,4.6121020789155781e-01,1,9.6488833663845286e-01
c_ep_unpolarized_region_0,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_0,0,2.9171414250321683e-05,4.9997859865388811e-01,2.5853162919051842e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,-7.3870624303900667e-01,-3.4200928705405027e+00,3.4989601536208981e+00,-1.7835186604831850e+00,1.2242722156626778e+01,3.0606805391566945e+00,4.6121020789155742e-01,2,9.6488833663845286e-01
c_ep_unpolarized_region_0,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_0,0,2.9171414250321683e-05,4.9997859865388811e-01,2.5853162919051842e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,2,-1,1,-1,-1.5850105467053555e-01,-7.3384478045301071e-01,7.5076677212687004e-01,-1.7835158458797062e+00,5.6365074612979960e-01,1.4091268653244990e-01,2.1233960427668740e-02,3,9.6488833663845286e-01
c_ep_unpolarized_region_0,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_0,0,2.9171414250321683e-05,4.9997859865388811e-01,2.5853162919051842e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,5,1,-1,1,1.5850105467053555e-01,-7.3384478045301071e-01,7.5076677212687004e-01,-1.3580768077100869e+00,5.6365074612979960e-01,1.4091268653244990e-01,2.1233960427668740e-02,4,9.6488833663845286e-01
c_ep_unpolarized_region_1,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_1,1,2.9171413756506706e-05,4.9997859865388816e-01,2.5853162919051842e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,-7.3870624303900734e-01,3.4200928705405000e+00,3.4989601536208959e+00,1.7835186604831852e+00,1.2242722156626764e+01,3.0606805391566909e+00,4.6121020789155759e-01,1,9.6488833663845275e-01
c_ep_unpolarized_region_1,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_1,1,2.9171413756506706e-05,4.9997859865388816e-01,2.5853162919051842e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,7,1,1,1,-7.3870624303900712e-01,-3.4200928705405000e+00,3.4989601536208959e+00,-1.7835186604831852e+00,1.2242722156626764e+01,3.0606805391566909e+00,4.6121020789155759e-01,2,9.6488833663845275e-01
c_ep_unpolarized_region_1,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_1,1,2.9171413756506706e-05,4.9997859865388816e-01,2.5853162919051842e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,2,-1,1,-1,1.5850105467053593e-01,-7.3384478045301071e-01,7.5076677212687015e-01,-1.3580768077100864e+00,5.6365074612979982e-01,1.4091268653244995e-01,2.1233960427668785e-02,3,9.6488833663845275e-01
c_ep_unpolarized_region_1,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_1,1,2.9171413756506706e-05,4.9997859865388816e-01,2.5853162919051842e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,5,1,-1,1,-1.5850105467053588e-01,-7.3384478045301060e-01,7.5076677212687004e-01,-1.7835158458797067e+00,5.6365074612979960e-01,1.4091268653244990e-01,2.1233960427668775e-02,4,9.6488833663845275e-01
c_ep_unpolarized_region_2,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_2,2,9.5424621669622810e-06,4.9999989161731251e-01,3.1131929831580276e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,1.8656967179232922e-03,1.3137948495537696e-01,1.3139273150134065e-01,1.5565964589882095e+00,1.7264049891383394e-02,4.3160124728458486e-03,3.1231259350187279e-01,1,9.9999951540950627e-01
c_ep_unpolarized_region_2,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_2,2,9.5424621669622810e-06,4.9999989161731251e-01,3.1131929831580276e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,7,1,1,1,1.8656967179233044e-03,-1.3137948495537696e-01,1.3139273150134065e-01,-1.5565964589882093e+00,1.7264049891383394e-02,4.3160124728458486e-03,3.1231259350187279e-01,2,9.9999951540950627e-01
c_ep_unpolarized_region_2,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_2,2,9.5424621669622810e-06,4.9999989161731251e-01,3.1131929831580276e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,1,-1,-1,1,-1.4463105839946776e-03,-1.0184743438164814e-01,1.0185770321595466e-01,-1.5849961285162437e+00,1.0374991704429501e-02,2.5937479261073752e-03,1.8768716420288031e-01,3,9.9999951540950627e-01
c_ep_unpolarized_region_2,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_2,2,9.5424621669622810e-06,4.9999989161731251e-01,3.1131929831580276e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=+1, proton h=+1",2.5000000000000000e-01,6,1,1,-1,-1.4463105839946551e-03,1.0184743438164814e-01,1.0185770321595466e-01,1.5849961285162435e+00,1.0374991704429501e-02,2.5937479261073752e-03,1.8768716420288031e-01,4,9.9999951540950627e-01
c_ep_unpolarized_region_3,enhanced_cluster,C_e_p,C_{ep},unpolarized,enhanced_region_3,3,6.5965768724903732e-06,4.9999985761602928e-01,3.1192886661559367e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{4}\sum_{h_e,h_p}\rho(h_e,h_p)$","electron h=-1, proton h=-1",2.5000000000000000e-01,0,-1,-1,-1,3.4340465222713777e-03,-3.0754597553572122e-01,3.0756514715379496e-01,-1.5596308293128240e+00,9.4596319743735544e-02,2.3649079935933886e-02,3.1231266290410936e-01,1,9.9999973780738660e-01
