selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest
C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,1,9.9996085627857312e-01,1.0000000000000000e+00,9.8174770424681146e-02,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.6993440952737560e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.6689710972195777e+00,2.4315817822282331e-03,9.6374832412034692e-03,-5.1911304613081251e-02,1.1297170626328619e+00,1.2226431847628188e-02,1.7565292434627273e+02,2.2190620478777623e+00,2.1943221864626397e+00,2.2190620478777623e+00,2.1943221864626397e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.4712825927072202e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9246384231496314e-08,3.3444041636823545e-08,7.4712449417940752e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9986913508874720e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9987520519786222e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6661104459510799e-07,1.3227873306436905e-07,1.4760869270768360e-02,2.1387189767371600e-07,1.4760869271728518e-02,1.4760869271397576e-02,1.4786908538071413e-07,1.4992214874674850e-07,9.9996085627857312e-01,3.2167186058942828e-07,9.9996085628162923e-01,9.9996085628162945e-01,4.9808077314359986e-08,5.0845042926980201e-08,9.9989675375971199e-01,2.6572576910446594e-07,9.9989676228114666e-01,9.9989676228114677e-01,6.3622350893171422e-06,6.1459291907488452e-05,9.9986913434963010e-01,1.4396158627013928e-02,9.9997276839766569e-01,9.9997277026589382e-01,3.4851181357416828e-03,3.4856649441205542e-03,9.9987520843533939e-01,1.6177519042390877e-02,9.9999999783313931e-01,9.9999999970602138e-01
C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,2,9.9993053054806036e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.6983517486592636e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.4888626326758386e-11,1.8563296089937669e-10,-5.2131717868557692e-02,1.1216578788550471e+00,1.1718059796460298e-02,1.8000000000000000e+02,2.2244176372664151e+00,2.1983517783542297e+00,2.2244176372664151e+00,2.1983517783542297e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3044180232201293e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4957809579326536e-15,4.0191062079107544e-12,4.4361820870368481e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9993053430434076e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9993053403844245e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1216480183310947e-16,7.9446574478257743e-12,2.3214181714344548e-05,0.0000000000000000e+00,2.3214172724026855e-05,2.3214172724026855e-05,3.9720060174669630e-12,4.0191064885918875e-12,9.9993053054806036e-01,2.1073424255447017e-08,9.9993053430329137e-01,9.9993053430329160e-01,3.9705115994479708e-12,4.0176814598871157e-12,9.9993025823560910e-01,0.0000000000000000e+00,9.9993026242260485e-01,9.9993026242260485e-01,0.0000000000000000e+00,7.5229544815869076e-12,9.9993053429281797e-01,1.1786711506182341e-02,9.9999999999999989e-01,9.9999999999999989e-01,0.0000000000000000e+00,9.1718828712505918e-12,9.9993053403832421e-01,1.1786711504938995e-02,9.9999999973456632e-01,9.9999999973456644e-01
C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,1,9.9964985607084311e-01,1.0000000000000000e+00,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.7671458676442586e+00,3.9495704098772857e-02,5.2778406375567945e-02,-2.8348330052338994e-01,1.5886790396854147e+00,3.6263362727915978e-02,1.7396099829361543e+02,4.4060937139305603e+00,4.2840999157181274e+00,4.4060937139305603e+00,4.2840999157181274e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4910327134923062e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1936036932617896e-07,2.4756021509257987e-07,1.4910325272039084e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9910078295426707e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9911307153704243e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.5149771354743029e-07,7.3933145080553014e-07,2.8756737436133915e-02,9.9904479335914456e-07,2.8756737444109812e-02,2.8756737446229360e-02,6.6230020126935847e-07,6.8604153164207794e-07,9.9964985607084311e-01,1.6373657379659647e-06,9.9964986267022038e-01,9.9964986267023614e-01,2.6911336858533444e-07,2.8635767918951079e-07,9.9921196615618046e-01,1.4022934861205330e-06,9.9921196615666974e-01,9.9921196615667440e-01,1.4779960976859830e-04,3.5684235174173536e-04,9.9910080788626998e-01,3.9890023212523378e-02,9.9989675252654120e-01,9.9989680528071745e-01,4.9570710662627266e-03,4.9677207831455173e-03,9.9911307104206759e-01,4.2398329047027547e-02,9.9999993619936733e-01,9.9999998902038512e-01
C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,2,9.9962317920116162e-01,9.9999999999999978e-01,9.8174770424681146e-02,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1539815346971753e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.6689710972195777e+00,9.9385887668480503e-03,1.4459846219730847e-02,-2.8653658896603262e-01,1.5572286798088981e+00,3.3307001224697992e-02,1.7698628218395910e+02,4.4381240957555246e+00,4.2998250956560291e+00,4.4381240957555246e+00,4.2998250956560291e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.4370664444256291e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.5067909094564517e-08,1.7393173545310298e-07,7.4370653478445592e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9937235017184689e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9937343647730981e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6256456306124120e-07,3.7486956784654478e-07,1.4386699189216215e-02,4.1025578671503677e-07,1.4386699297860021e-02,1.4386699301826563e-02,2.6639538144797601e-07,2.7413781390675242e-07,9.9962317920116162e-01,7.1011498912834258e-07,9.9962318663090721e-01,9.9962318663090932e-01,1.6962517645562870e-07,1.7670620135915820e-07,9.9939995033427853e-01,6.4092317723055388e-07,9.9939995751012978e-01,9.9939995751013122e-01,3.7189987668817045e-05,8.9454914230156085e-05,9.9937235414642756e-01,3.4687478029902068e-02,9.9997415928973743e-01,9.9997416259909722e-01,1.4748490847334671e-03,1.4771112800763746e-03,9.9937343738473305e-01,3.5424640499298631e-02,9.9999999598812062e-01,9.9999999930191619e-01
C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,1,9.9262621691348008e-01,9.9999999999999944e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9043235854569129e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,3.0434178831651120e+00,2.7752846928566816e-01,1.2537001241524925e-01,-1.7606340128806547e-02,2.8159905869665494e+00,1.0727248906101970e-01,1.0991657820154494e+02,1.2212243597206403e+00,1.3511854242988262e+00,1.2212243597206403e+00,1.3511854242988262e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3423903422374495e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4814518657470319e-06,2.7053778156381153e-06,1.3423895440109598e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.7717799464147659e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8060008474006233e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0373060240151694e-05,5.7073882728368029e-06,2.4149035149837075e-01,5.0928700769426128e-05,2.4149035979276820e-01,2.4149035460649146e-01,1.5393286316282711e-05,2.0145180329435884e-05,9.9262621691348008e-01,4.3612198657439777e-05,9.9262622122097555e-01,9.9262622130604039e-01,3.0051369635300220e-05,2.7952512746480883e-05,9.8634563896449978e-01,4.9799941546357999e-05,9.8634563964486799e-01,9.8634563958315424e-01,6.9530436792641893e-04,1.7071883505582655e-02,9.7718177134777018e-01,1.7548815003442195e-01,9.9266754787496925e-01,9.9281409463665837e-01,8.1854870933231350e-02,8.3618313095528765e-02,9.8060008889066763e-01,2.1242210964013333e-01,9.9985382121414623e-01,9.9999973355038874e-01
C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,2,9.9125876482782926e-01,1.0000000000000000e+00,1.5707963267948966e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9294299703575413e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,3.1415926535897931e+00,2.8353916266748191e-01,1.1673595236657726e-01,-1.4793446206214667e-02,3.0251980524844773e+00,1.1770174674773368e-01,1.0452826139108399e+02,1.1122088333071967e+00,1.2465816915378576e+00,1.1122088333071967e+00,1.2465816915378576e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4737452452154196e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9946532859806664e-06,2.7412926059917473e-06,1.4737442407415402e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.7259292411250375e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.7666312365810193e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0435875296642702e-05,7.7876889097604572e-06,2.6252106935682956e-01,6.1162661554166396e-05,2.6252107638618194e-01,2.6252106954511728e-01,1.8125745409435264e-05,2.4308305903519812e-05,9.9125876482782926e-01,5.2113677037791438e-05,9.9125876972808546e-01,9.9125876986041772e-01,3.6562524074577985e-05,3.3854864245124872e-05,9.8368218686760522e-01,6.0069345796472677e-05,9.8368218787426653e-01,9.8368218777735195e-01,7.0162289307194739e-04,2.0307545629194051e-02,9.7259796981014968e-01,1.9286320885905286e-01,9.9132771159389621e-01,9.9153544360767476e-01,8.9075151435437913e-02,9.1364591122784014e-02,9.7666312108038078e-01,2.3251446031208806e-01,9.9979314748395243e-01,9.9999972240834201e-01
C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,1,9.8910677345359066e-01,9.9999999999999978e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.5148235626349255e-01,1.5707949999999999e+00,5.4977871437821380e+00,2.3561944901923448e+00,1.8000000000000000e+00,2.5525440310417071e+00,7.0454275909867720e-02,2.2099608912204166e-02,-2.3513073039662742e+00,3.9974224259249800e+00,1.5448889039421282e-01,1.7617556015354450e+02,7.9309686850750101e+00,6.7905421710467122e+00,7.9309686850750101e+00,6.7905421710467122e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7136428782032745e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.3856597616814671e-08,1.4640248649753193e-06,8.3941974991733614e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8588341119526413e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8588341444658401e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3672244850462270e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3672287452282215e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7033120602798459e-07,2.6983924749061447e-06,3.0469381420361968e-02,2.7190842594867794e-06,3.0469381590113757e-02,3.0469381708400273e-02,1.3345306670490329e-06,1.5508255856128800e-06,9.8910677345359066e-01,5.5340112115607443e-06,9.8910677838926930e-01,9.8910677838958505e-01,1.3345287619977209e-06,1.5508234593073913e-06,9.8910676145313370e-01,5.5339911497105859e-06,9.8910676708622447e-01,9.8910676708654022e-01,2.9082598796220387e-03,3.5809137674674223e-03,9.8588349406730402e-01,1.6637807317628830e-01,9.9981754003978418e-01,9.9981972294569565e-01,2.9082762505121991e-03,3.5808998191530117e-03,9.8588349823704036e-01,1.6637808778502472e-01,9.9981754198459338e-01,9.9981972479911763e-01
C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,2,9.8909547201681602e-01,1.0000000000000000e+00,8.8357293382212942e-01,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.3783227073874332e-01,1.5707949999999999e+00,5.3996123733574573e+00,2.2580197197676641e+00,1.8000000000000000e+00,2.4543692606170260e+00,8.2238654454635227e-02,2.5857011178197123e-02,-2.3437912476152798e+00,3.9781219910260162e+00,1.5412466978705536e-01,1.7676908810098973e+02,7.9309686850750092e+00,6.8001923884955655e+00,7.9309686850750092e+00,6.8001923884955655e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4347284150395762e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1529692313149393e-07,1.5924833638200224e-06,9.0919745394597573e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8595170378252339e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8600243999372761e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5189501154570162e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5189479532233354e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0414747857425318e-07,2.9157316849888767e-06,2.8684421378184676e-02,2.9394216551632767e-06,2.8684421518811107e-02,2.8684421665385949e-02,1.4645782964056896e-06,1.7100413975098216e-06,9.8909547201681602e-01,5.6978385139185676e-06,9.8909547202482495e-01,9.8909547202521897e-01,1.4399968772263304e-06,1.6885880295356042e-06,9.8859456412498492e-01,5.6805290392819265e-06,9.8859456739799134e-01,9.8859456739838458e-01,2.3819119609438770e-03,2.7270816450619684e-03,9.8595177754114371e-01,1.6606347026959933e-01,9.9983527277386952e-01,9.9983615463252262e-01,2.4349900177783740e-03,2.8223273971895594e-03,9.8600250430912229e-01,1.6607877884128350e-01,9.9988756693589287e-01,9.9988858523639568e-01
C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,1,9.9993053430434076e-01,4.9999999999999994e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.6983517486592636e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.4888626326758386e-11,1.8563296089937669e-10,-5.2131717868557692e-02,1.1216578788550471e+00,1.1718059796460298e-02,1.8000000000000000e+02,2.2244176372664151e+00,2.1983517783542297e+00,2.2244176372664151e+00,2.1983517783542297e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3044180232201293e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4957809579326536e-15,4.0191062079107544e-12,4.4361820870368481e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9993053430434076e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9993053403844245e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1216480183310947e-16,7.9446574478257743e-12,2.3214181714344548e-05,0.0000000000000000e+00,2.3214172724026855e-05,2.3214172724026855e-05,3.9720060174669630e-12,4.0191064885918875e-12,9.9993053054806036e-01,2.1073424255447017e-08,9.9993053430329137e-01,9.9993053430329160e-01,3.9705115994479708e-12,4.0176814598871157e-12,9.9993025823560910e-01,0.0000000000000000e+00,9.9993026242260485e-01,9.9993026242260485e-01,0.0000000000000000e+00,7.5229544815869076e-12,9.9993053429281797e-01,1.1786711506182341e-02,9.9999999999999989e-01,9.9999999999999989e-01,0.0000000000000000e+00,9.1718828712505918e-12,9.9993053403832421e-01,1.1786711504938995e-02,9.9999999973456632e-01,9.9999999973456644e-01
C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,2,9.9986913508874720e-01,5.0002723081909983e-01,9.8174770424681146e-02,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.6993440952737560e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.6689710972195777e+00,2.4315817822282331e-03,9.6374832412034692e-03,-5.1911304613081251e-02,1.1297170626328619e+00,1.2226431847628188e-02,1.7565292434627273e+02,2.2190620478777623e+00,2.1943221864626397e+00,2.2190620478777623e+00,2.1943221864626397e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.4712825927072202e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9246384231496314e-08,3.3444041636823545e-08,7.4712449417940752e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9986913508874720e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9987520519786222e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6661104459510799e-07,1.3227873306436905e-07,1.4760869270768360e-02,2.1387189767371600e-07,1.4760869271728518e-02,1.4760869271397576e-02,1.4786908538071413e-07,1.4992214874674850e-07,9.9996085627857312e-01,3.2167186058942828e-07,9.9996085628162923e-01,9.9996085628162945e-01,4.9808077314359986e-08,5.0845042926980201e-08,9.9989675375971199e-01,2.6572576910446594e-07,9.9989676228114666e-01,9.9989676228114677e-01,6.3622350893171422e-06,6.1459291907488452e-05,9.9986913434963010e-01,1.4396158627013928e-02,9.9997276839766569e-01,9.9997277026589382e-01,3.4851181357416828e-03,3.4856649441205542e-03,9.9987520843533939e-01,1.6177519042390877e-02,9.9999999783313931e-01,9.9999999970602138e-01
