detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_p_gamma_LTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,9.9996085627857312e-01,1.0000000000000000e+00,9.8174770424681146e-02,high_s_high_theta_in_low_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-2.3685138017202736e-01,-2.1216042087622306e+01,2.1217364125641300e+01,-1.5819596502989812e+00,4.5017654044005042e+02,4.5017654044005042e+02,5.0241746782964913e-01,1,9.9997267692978853e-01
c_p_gamma_LTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,9.9996085627857312e-01,1.0000000000000000e+00,9.8174770424681146e-02,high_s_high_theta_in_low_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-2.3571242813609311e-01,-2.1113130861087356e+01,2.1114446597203944e+01,-1.5819601204218536e+00,4.4581985510617722e+02,4.4581985510617722e+02,4.9755520910013934e-01,2,9.9997267692978853e-01
c_p_gamma_LTx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,9.9964985607084311e-01,1.0000000000000000e+00,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-2.4741932781702614e-01,-5.4369855686489208e+00,5.4426122769745469e+00,-1.6162716634996483e+00,2.9622028397474061e+01,2.9622028397474061e+01,5.1104942769411066e-01,1,9.9989639320686607e-01
c_p_gamma_LTx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,9.9964985607084311e-01,1.0000000000000000e+00,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-2.4198742196186329e-01,-5.3175695679775377e+00,5.3230727989262521e+00,-1.6162720995456321e+00,2.8335104022668563e+01,2.8335104022668563e+01,4.8884696551275536e-01,2,9.9989639320686607e-01
c_p_gamma_LTx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,9.9262621691348008e-01,9.9999999999999944e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-5.3361313194840649e+00,-4.2550242169413863e+01,4.2883533041652996e+01,-1.6955528055621623e+00,1.8389974061345442e+03,1.8389974061345442e+03,5.0361537805099577e-01,1,9.9273209680895880e-01
c_p_gamma_LTx_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_2,2,9.9262621691348008e-01,9.9999999999999944e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-5.2588610440692616e+00,-4.1933263791064874e+01,4.2261734839590552e+01,-1.6955552381824179e+00,1.7860542316518620e+03,1.7860542316518620e+03,4.8911671875796298e-01,2,9.9273209680895880e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677345359066e-01,9.9999999999999978e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,6.7373007985039202e-02,-1.9455343467793465e-01,2.0588871059369318e-01,-1.2374254012134807e+00,4.2390161149933547e-02,4.2390161149933547e-02,4.5412484601475894e-01,1,9.9999999995894351e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677345359066e-01,9.9999999999999978e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-7.6669290404104376e-02,-1.6065981938243784e-01,1.7801617245370274e-01,-2.0160504268919279e+00,3.1689757655066438e-02,3.1689757655066438e-02,3.3949166327655339e-01,2,9.9999999995894351e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677345359066e-01,9.9999999999999978e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,3.5174796118649626e-02,-9.9544951951795788e-02,1.0557681441052245e-01,-1.2311349751498331e+00,1.1146463741073902e-02,1.1146463741073902e-02,1.1941181615517910e-01,3,9.9999999995894351e-01
c_p_gamma_LTx_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_3,3,9.8910677345359066e-01,9.9999999999999978e-01,9.8174770424681057e-01,high_s_high_theta_in_high_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,3.8673915922051112e-02,8.1379823695069076e-02,9.0101872774023983e-02,1.1271625299343919e+00,8.1183474773864044e-03,8.1183474773864044e-03,8.6971674512451982e-02,4,9.9999999995894351e-01
c_p_gamma_low_egamma_ltx_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},LTx,low_Egamma_LTx_region_0,0,9.9996085627857312e-01,1.0000000000000000e+00,9.8174770424681146e-02,high_s_high_theta_in_low_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-2.3685138017202736e-01,-2.1216042087622306e+01,2.1217364125641300e+01,-1.5819596502989812e+00,4.5017654044005042e+02,4.5017654044005042e+02,5.0241746782964913e-01,1,9.9997267692978853e-01
c_p_gamma_low_egamma_ltx_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},LTx,low_Egamma_LTx_region_0,0,9.9996085627857312e-01,1.0000000000000000e+00,9.8174770424681146e-02,high_s_high_theta_in_low_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-2.3571242813609311e-01,-2.1113130861087356e+01,2.1114446597203944e+01,-1.5819601204218536e+00,4.4581985510617722e+02,4.4581985510617722e+02,4.9755520910013934e-01,2,9.9997267692978853e-01
c_p_gamma_low_egamma_ltx_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},LTx,low_Egamma_LTx_region_1,1,9.9262621691348008e-01,9.9999999999999944e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-5.3361313194840649e+00,-4.2550242169413863e+01,4.2883533041652996e+01,-1.6955528055621623e+00,1.8389974061345442e+03,1.8389974061345442e+03,5.0361537805099577e-01,1,9.9273209680895880e-01
c_p_gamma_low_egamma_ltx_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},LTx,low_Egamma_LTx_region_1,1,9.9262621691348008e-01,9.9999999999999944e-01,1.4726215563702154e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-5.2588610440692616e+00,-4.1933263791064874e+01,4.2261734839590552e+01,-1.6955552381824179e+00,1.7860542316518620e+03,1.7860542316518620e+03,4.8911671875796298e-01,2,9.9273209680895880e-01
