selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_electron_min,phi_in_electron_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_e_gamma_deg_min,theta_e_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_s_regime,best_theta_in_regime,best_qOut_regime,best_electron_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_electron,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_e_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
F3,F_3,TxTx,enhanced_region_0,0,7,9.9999999999999911e-01,9.9999999999999956e-01,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.2762720155208536e+00,1.8653206380689404e+00,5.0000000000000000e-01,5.0000000000000000e-01,4.7123889803846897e+00,4.7123889803846897e+00,1.5012960837817374e+01,1.5343299500067358e+01,7.6396089326250749e-01,7.6786308310365059e-01,-1.9792134698887693e+01,-1.9366013361249376e+01,5.5183613598483179e+00,5.5183613598483179e+00,9.5229106640472305e-01,9.6829894905785197e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,2.1765262995722496e+00,2.2244176372664151e+00,3.7856248025214256e-08,3.7856248025214256e-08,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,4.7123889803846897e+00,1.5343299500067358e+01,7.6786308310365059e-01,-1.9792134698887693e+01,5.5183613598483179e+00,9.6829894905785197e-01,0.0000000000000000e+00,2.2244176372664151e+00,3.7856248025214256e-08,2.2244176372664151e+00,3.7856248025214256e-08
F3,F_3,TxTx,enhanced_region_1,1,7,9.9999999999999911e-01,9.9999999999999978e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.2762720155208536e+00,1.8653206380689404e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.0659908236129183e+01,1.0894464219908318e+01,5.3468118421213540e-01,5.4009195280545697e-01,-1.9792134555713471e+01,-1.9366013221157672e+01,1.0156878657862487e+01,1.0156878657862487e+01,9.6612440135035871e-01,9.7749075077597991e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,4.3530525991444993e+00,4.4488352745328301e+00,1.0663025395984960e-07,1.0663025395984960e-07,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.0000000000000000e+00,4.7123889803846897e+00,1.0894464219908318e+01,5.4009195280545697e-01,-1.9792134555713471e+01,1.0156878657862487e+01,9.7749075077597991e-01,0.0000000000000000e+00,4.4488352745328301e+00,1.0663025395984960e-07,4.4488352745328301e+00,1.0663025395984960e-07
F3,F_3,TxTx,enhanced_region_2,2,13,9.9999999999999323e-01,1.0000000000000000e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,6.1850105367549055e+00,1.8000000000000000e+00,1.8000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,3.6950240609729765e+00,1.6171498857763069e+01,1.8118471135738456e-01,8.1739565323788888e-01,-1.9792133624973108e+01,-2.9483186159467101e+00,4.4925203989857359e+00,1.7578505660581023e+01,9.5207314505079343e-01,9.9219759952295461e-01,0.0000000000000000e+00,1.6879213768013244e+02,,,1.0565271990614633e-07,8.0079034941590947e+00,5.5371859320254939e-07,6.5429931845171563e+00,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,4.7123889803846897e+00,3.7763277440920979e+00,1.8443612689881075e-01,-1.9792133624973108e+01,1.7578505660581023e+01,9.9219759952295461e-01,0.0000000000000000e+00,8.0079034941590947e+00,5.5371859320254939e-07,8.0079034941590947e+00,5.5371859320254939e-07
F3,F_3,TxTx,enhanced_region_3,3,53,9.9999999987407517e-01,9.9999999999999989e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,9.8174770424680702e-02,3.0434178831651124e+00,5.0000000000000000e-01,1.8000000000000000e+00,9.8174770424681035e-02,3.0434178831651120e+00,1.6385405794169429e+01,1.9560209352508704e+01,8.2650265992835281e-01,9.8778842565581648e-01,-1.5163505854495495e+01,-3.1263260229850109e+00,1.1216578788550451e+00,4.3194267855283446e+00,9.2609174060128840e-01,9.6515102707672717e-01,1.5809117559155666e+02,1.8000000000000000e+02,,,2.9347977714699880e-08,1.0565272101636936e-07,2.0981448579965187e+00,6.8243504344336703e+00,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.5652864017122641e-02,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866894443583458e+01,8.4686529607549177e-01,-3.2181937860203500e+00,3.9298058991517140e+00,9.6515102707672717e-01,1.8000000000000000e+02,1.0565272042908724e-07,6.8243504344336703e+00,1.0565272042908724e-07,6.8243504344336703e+00
F3,F_3,TxTy,enhanced_region_0,0,9,9.9999999999990030e-01,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.9634954084936211e+00,5.0000000000000000e-01,5.0000000000000000e-01,4.7123889803846897e+00,4.7123889803846897e+00,1.4759329935333106e+01,1.5343299500067358e+01,7.6087463267119526e-01,7.6786308310365059e-01,-1.9792134698887693e+01,-1.9038841425948561e+01,5.5183613598483179e+00,5.5183613598483179e+00,9.4000036541162324e-01,9.6829894905785197e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,2.1397557831639764e+00,2.2244176372664151e+00,3.7856248025214256e-08,3.7856248025214256e-08,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,4.7123889803846897e+00,1.5343299500067358e+01,7.6786308310365059e-01,-1.9792134698887693e+01,5.5183613598483179e+00,9.6829894905785197e-01,0.0000000000000000e+00,2.2244176372664151e+00,3.7856248025214256e-08,2.2244176372664151e+00,3.7856248025214256e-08
F3,F_3,TxTy,enhanced_region_1,1,9,9.9999999999990019e-01,1.0000000000000002e+00,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.9634954084936211e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.0479818368828189e+01,1.0894464219908318e+01,5.3043965831351769e-01,5.4009195280545697e-01,-1.9792134555713471e+01,-1.9038841288223583e+01,1.0156878657862487e+01,1.0156878657862487e+01,9.5739742569714215e-01,9.7749075077597991e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,4.2795115663279528e+00,4.4488352745328301e+00,1.0663025395984960e-07,1.0663025395984960e-07,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.0000000000000000e+00,4.7123889803846897e+00,1.0894464219908318e+01,5.4009195280545697e-01,-1.9792134555713471e+01,1.0156878657862487e+01,9.7749075077597991e-01,0.0000000000000000e+00,4.4488352745328301e+00,1.0663025395984960e-07,4.4488352745328301e+00,1.0663025395984960e-07
F3,F_3,TxTy,enhanced_region_2,2,9,9.9999999999989453e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.9634954084936211e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.7123889803846897e+00,4.7123889803846897e+00,3.6325998615639676e+00,3.7763277440920979e+00,1.7867065738185048e-01,1.8443612689881075e-01,-1.9792133624973108e+01,-1.9038840392907410e+01,1.7578505660581023e+01,1.7578505660581023e+01,9.8523268944605957e-01,9.9219759952295461e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,7.7031208193903158e+00,8.0079034941590947e+00,5.5371859320254939e-07,5.5371859320254939e-07,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,4.7123889803846897e+00,3.7763277440920979e+00,1.8443612689881075e-01,-1.9792133624973108e+01,1.7578505660581023e+01,9.9219759952295461e-01,0.0000000000000000e+00,8.0079034941590947e+00,5.5371859320254939e-07,8.0079034941590947e+00,5.5371859320254939e-07
F3,F_3,TxTy,enhanced_region_3,3,53,9.9999999987392496e-01,1.0000000000000000e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,9.8174770424680702e-02,3.0434178831651124e+00,5.0000000000000000e-01,1.8000000000000000e+00,9.8174770424681035e-02,3.0434178831651120e+00,1.6385405794169429e+01,1.9560209352508704e+01,8.2650265992835281e-01,9.8778842565581648e-01,-1.5163505854495495e+01,-3.1263260229850109e+00,1.1216578788550451e+00,4.3194267855283446e+00,9.2609174060128863e-01,9.6515102707672717e-01,1.5809117559155666e+02,1.8000000000000000e+02,,,2.9347977751129073e-08,1.0565272101636936e-07,2.0981448579965187e+00,6.8243504344336703e+00,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.5652864017122641e-02,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866894443583458e+01,8.4686529607549177e-01,-3.2181937860203500e+00,3.9298058991517140e+00,9.6515102707672717e-01,1.8000000000000000e+02,1.0565272042908724e-07,6.8243504344336703e+00,1.0565272042908724e-07,6.8243504344336703e+00
F3,F_3,LL,enhanced_region_0,0,28,6.1093342657450211e-01,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.9634954084936229e-01,2.9452431127404317e+00,5.0000000000000000e-01,5.0000000000000000e-01,1.9634954084936207e-01,2.9452431127404308e+00,1.2920540804951038e+01,1.9524355371781205e+01,8.8165896507031560e-01,9.8736370101813964e-01,-1.5135711057552488e+01,-1.0016288298388085e+01,1.1297170626328619e+00,2.6141088703029727e+00,7.1015729117514226e-01,9.5823942065465595e-01,1.1517705303276453e+02,1.7565292434627293e+02,,,2.9347977714699880e-08,2.9347978047766787e-08,1.4521262826293739e+00,2.1943221864626397e+00,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,1.2762720155208536e+00,4.4178646691106467e+00,5.0000000000000000e-01,1.2762720155208536e+00,1.9238076764428463e+01,9.8392914418709787e-01,-1.4913781564663839e+01,1.1940661771000585e+00,9.4748493840549153e-01,1.6692411579184559e+02,2.9347977811844395e-08,2.1621476292302910e+00,2.9347977811844395e-08,2.1621476292302910e+00
F3,F_3,LL,enhanced_region_1,1,18,5.1065992328401144e-01,1.0000000000000002e+00,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,5.8904862254808599e-01,2.3561944901923439e+00,1.0000000000000000e+00,1.0000000000000000e+00,5.8904862254808621e-01,2.3561944901923448e+00,1.6715937296804888e+01,1.9129213037810842e+01,9.0462898748285203e-01,9.6580004857642443e-01,-1.0529562963890884e+01,-9.2011894996357881e+00,1.5572286798088963e+00,2.6421309565625730e+00,8.9543634847759945e-01,9.5980800388858012e-01,1.4787281844759178e+02,1.7698628218395910e+02,,,5.8695955429399760e-08,5.8695955929000121e-08,3.7573739572801172e+00,4.2998250956560291e+00,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,1.3744467859455343e+00,4.5160394395353274e+00,1.0000000000000000e+00,1.3744467859455345e+00,1.9059254303129755e+01,9.6414246074099996e-01,-1.0491054589085163e+01,1.5886790396854145e+00,9.5794192638849096e-01,1.7396099829361532e+02,5.8695955706955516e-08,4.2840999157181274e+00,5.8695955706955516e-08,4.2840999157181274e+00
