detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_L_proton_region_0,enhanced_cluster,F3,F_3,L_proton,enhanced_region_0,0,8.0454025669144020e-14,9.9999999999996014e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,2.2761685393646309e+04,2.1009254599391416e-06,2.2761685393646309e+04,9.2300962059935756e-11,5.1809432195933169e+08,2.5904716097966585e+08,6.2462161499233115e-01,1,9.9999999999994749e-01
f3_L_proton_region_0,enhanced_cluster,F3,F_3,L_proton,enhanced_region_0,0,8.0454025669144020e-14,9.9999999999996014e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,1.7645360788354454e+04,-1.6286900136869283e-06,1.7645360788354454e+04,-9.2301315525485183e-11,3.1135875735119689e+08,1.5567937867559844e+08,3.7537838500761633e-01,2,9.9999999999994749e-01
f3_L_proton_region_1,enhanced_cluster,F3,F_3,L_proton,enhanced_region_1,1,5.0323361582725714e-14,9.9999999999997469e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,2.9685417431817335e+04,2.7399928036660498e-06,2.9685417431817335e+04,9.2300969321363795e-11,8.8122400810124457e+08,4.4061200405062228e+08,7.6746633840818446e-01,1,9.9999999999993805e-01
f3_L_proton_region_1,enhanced_cluster,F3,F_3,L_proton,enhanced_region_1,1,5.0323361582725714e-14,9.9999999999997469e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,1.6340163860907567e+04,-1.5082185017336814e-06,1.6340163860907567e+04,-9.2301308271575182e-11,2.6700095500130969e+08,1.3350047750065485e+08,2.3253366159175365e-01,2,9.9999999999993805e-01
f3_L_proton_region_2,enhanced_cluster,F3,F_3,L_proton,enhanced_region_2,2,1.8602338126078416e-14,9.9999999999999356e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,2.6808460187762661e+05,2.4744472594056420e-05,2.6808460187762661e+05,9.2300984169734612e-11,7.1869353763885559e+10,3.5934676881942780e+10,9.6487430468361279e-01,1,9.9999999999966849e-01
f3_L_proton_region_2,enhanced_cluster,F3,F_3,L_proton,enhanced_region_2,2,1.8602338126078416e-14,9.9999999999999356e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,5.1150391763997337e+04,-4.7212473181542071e-06,5.1150391763997337e+04,-9.2301293408221746e-11,2.6163625776104064e+09,1.3081812888052032e+09,3.5125695316055708e-02,2,9.9999999999966849e-01
f3_L_proton_region_3,enhanced_cluster,F3,F_3,L_proton,enhanced_region_3,3,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,1.5198786748800416e+04,-1.1923795047116099e+05,1.2020271191282896e+05,-1.4440139944123420e+00,1.4448691951198553e+10,7.2243459755992765e+09,4.9408116175815331e-01,1,9.8193818594049131e-01
f3_L_proton_region_3,enhanced_cluster,F3,F_3,L_proton,enhanced_region_3,3,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,1.1782555534336387e+04,-9.2435874991116158e+04,9.3183794730054724e+04,-1.4440126890494127e+00,8.6832196002929745e+09,4.3416098001464872e+09,2.9692758641435613e-01,2,9.8193818594049131e-01
f3_L_proton_region_3,enhanced_cluster,F3,F_3,L_proton,enhanced_region_3,3,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,2,-1,1,-1,-4.3486363678643786e+04,5.5430922531755095e+03,4.3838221881350117e+04,3.0148089944126002e+00,1.9217896977184842e+09,9.6089484885924208e+08,6.5716681462285167e-02,3,9.8193818594049131e-01
f3_L_proton_region_3,enhanced_cluster,F3,F_3,L_proton,enhanced_region_3,3,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-3.3711581019582176e+04,4.2971878031234328e+03,3.3984356958094206e+04,3.0148072035779685e+00,1.1549365178551660e+09,5.7746825892758298e+08,3.9493704926795208e-02,4,9.8193818594049131e-01
