detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_LL_region_0,enhanced_cluster,F3,F_3,LL,enhanced_region_0,0,1.7670412869592159e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,5,1,-1,1,-5.7086604207282406e+01,-3.7582405820428750e+02,3.8013498011240506e+02,-1.7215411617141692e+00,1.4450260310505860e+05,1.4450260310505860e+05,8.4375197298246041e-01,1,9.9999823658223153e-01
f3_LL_region_0,enhanced_cluster,F3,F_3,LL,enhanced_region_0,0,1.7670412869592159e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,-2.4829932704099406e+01,-1.6168646597972042e+02,1.6358190254151404e+02,-1.7231743170445561e+00,2.6759038839101398e+04,2.6759038839101398e+04,1.5624626359977112e-01,2,9.9999823658223153e-01
f3_LL_region_1,enhanced_cluster,F3,F_3,LL,enhanced_region_1,1,1.6749675724000786e-08,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,5,1,-1,1,-6.6777191058929105e+01,-1.5962965859879780e+03,1.5976927062744560e+03,-1.6126045220463776e+00,2.5526219836825952e+06,2.5526219836825952e+06,6.1276518307323413e-01,1,9.9938115039918052e-01
f3_LL_region_1,enhanced_cluster,F3,F_3,LL,enhanced_region_1,1,1.6749675724000786e-08,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,-9.1956244545731792e+01,-1.2657356069636944e+03,1.2690715415793968e+03,-1.6433193483036919e+00,1.6105425776467067e+06,1.6105425776467067e+06,3.8661596732594633e-01,2,9.9938115039918052e-01
f3_LL_region_2,enhanced_cluster,F3,F_3,LL,enhanced_region_2,2,9.7302206812830709e-09,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,5,1,-1,1,1.0710257292328016e+02,-1.8643368163474648e+02,2.1500809002145141e+02,-1.0493523176223789e+00,4.6228478774672556e+04,4.6228478774672556e+04,9.5827698792100902e-01,1,9.9999132739152496e-01
f3_LL_region_2,enhanced_cluster,F3,F_3,LL,enhanced_region_2,2,9.7302206812830709e-09,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,-2.2351335340416060e+01,3.8894339502127551e+01,4.4859244719527894e+01,2.0923811229024851e+00,2.0123518368064913e+03,2.0123518368064913e+03,4.1714339470515997e-02,2,9.9999132739152496e-01
f3_LL_region_3,enhanced_cluster,F3,F_3,LL,enhanced_region_3,3,6.8250726826371223e-09,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,2.9893076336548834e+00,2.7237254893351103e+01,2.7400803168046114e+01,1.4614831319182870e+00,7.5080401425400589e+02,7.5080401425400589e+02,5.5691274097598198e-01,1,9.9175323905171164e-01
f3_LL_region_3,enhanced_cluster,F3,F_3,LL,enhanced_region_3,3,6.8250726826371223e-09,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,5,1,-1,1,-2.1224931552932378e+00,-1.9336809364953314e+01,1.9452947684369402e+01,-1.6801230580274149e+00,3.7841717361081288e+02,3.7841717361081288e+02,2.8069288574246248e-01,2,9.9175323905171164e-01
f3_LL_region_3,enhanced_cluster,F3,F_3,LL,enhanced_region_3,3,6.8250726826371223e-09,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,-1.5730854020705161e+00,-1.4329692524156386e+01,1.4415779046554187e+01,-1.6801365310609448e+00,2.0781468551907074e+02,2.0781468551907074e+02,1.5414761233326729e-01,3,9.9175323905171164e-01
f3_low_egamma_ll_region_0,egamma_region_max,F3,F_3,LL,low_Egamma_LL_region_0,0,1.6749675724000786e-08,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,$|L_eL_p\rangle$,prepared_spin_ensemble_v4,"electron L, proton L",1.0000000000000000e+00,5,1,-1,1,-6.6777191058929105e+01,-1.5962965859879780e+03,1.5976927062744560e+03,-1.6126045220463776e+00,2.5526219836825952e+06,2.5526219836825952e+06,6.1276518307323413e-01,1,9.9938115039918052e-01
