detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_LTy_region_0,enhanced_cluster,F3,F_3,LTy,enhanced_region_0,0,3.5999618725940213e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,2.0014842711088687e+00,-3.8983416480099580e+00,4.3821235596574857e+00,-1.0964709132864725e+00,1.9203006892105194e+01,1.9203006892105194e+01,3.7232786907213811e-01,1,9.9999999999999978e-01
f3_LTy_region_0,enhanced_cluster,F3,F_3,LTy,enhanced_region_0,0,3.5999618725940213e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,3.3294482670012533e+00,1.3830810325348053e+00,3.6052931788129507e+00,3.9371857373996871e-01,1.2998138905195191e+01,1.2998138905195191e+01,2.5202143537555255e-01,2,9.9999999999999978e-01
f3_LTy_region_0,enhanced_cluster,F3,F_3,LTy,enhanced_region_0,0,3.5999618725940213e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-3.1559309088344740e+00,2.6583547268415608e-02,3.1560428682643336e+00,3.1331694911900381e+00,9.9606065863221609e+00,9.9606065863221609e+00,1.9312659969288096e-01,3,9.9999999999999978e-01
f3_LTy_region_0,enhanced_cluster,F3,F_3,LTy,enhanced_region_0,0,3.5999618725940213e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,6.1331943626150454e-01,-3.0062628143793493e+00,3.0681878756060841e+00,-1.3695442325121963e+00,9.4137768400161761e+00,9.4137768400161761e+00,1.8252409585942819e-01,4,9.9999999999999978e-01
f3_LTy_region_1,enhanced_cluster,F3,F_3,LTy,enhanced_region_1,1,3.4018401901685696e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,6.1273331779431200e-02,-2.0119698144946668e-01,2.1032034264837363e-01,-1.2751759641210598e+00,4.4234646531729288e-02,4.4234646531729288e-02,4.0818612251456649e-01,1,9.9999999999999989e-01
f3_LTy_region_1,enhanced_cluster,F3,F_3,LTy,enhanced_region_1,1,3.4018401901685696e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.4990307709225054e-01,-1.0312570021583758e-01,1.8195011010365456e-01,-6.0259230131675912e-01,3.3105842566732019e-02,3.3105842566732019e-02,3.0549233619848121e-01,2,9.9999999999999989e-01
f3_LTy_region_1,enhanced_cluster,F3,F_3,LTy,enhanced_region_1,1,3.4018401901685696e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,3.7500212538990739e-02,-1.2921125729938565e-01,1.3454298552268534e-01,-1.2883322613525965e+00,1.8101814953357519e-02,1.8101814953357519e-02,1.6703896686474426e-01,3,9.9999999999999989e-01
f3_LTy_region_1,enhanced_cluster,F3,F_3,LTy,enhanced_region_1,1,3.4018401901685696e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-9.3573377788144646e-02,6.4579673653270719e-02,1.1369481641590258e-01,2.5375080128553069e+00,1.2926511279845791e-02,1.2926511279845791e-02,1.1928257442220790e-01,4,9.9999999999999989e-01
f3_LTy_region_2,enhanced_cluster,F3,F_3,LTy,enhanced_region_2,2,3.3840768323089869e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-2.0449462444363763e-02,-2.4661826132092299e-01,2.4746463854704270e-01,-1.6535265634064655e+00,6.1238747331218493e-02,6.1238747331218493e-02,5.1325241558195012e-01,1,9.9999999999999989e-01
f3_LTy_region_2,enhanced_cluster,F3,F_3,LTy,enhanced_region_2,2,3.3840768323089869e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.7978664825278520e-01,1.0527354647257549e-01,2.0834048688837276e-01,5.2972456260359524e-01,4.3405758476884222e-02,4.3405758476884222e-02,3.6379108586159020e-01,2,9.9999999999999989e-01
