detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_Tx_proton_region_0,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,3.1541973143128449e+04,-8.1663331984947217e+04,8.7543108584545582e+04,-1.2022045132125492e+00,7.6637958606455383e+09,3.8318979303227692e+09,2.6206781728729939e-01,1,1.0000000000000002e+00
f3_Tx_proton_region_0,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,-1.0047642791221497e+04,8.6964594720879017e+04,8.7543108584438130e+04,1.6858234756107489e+00,7.6637958606267252e+09,3.8318979303133626e+09,2.6206781728665607e-01,2,1.0000000000000002e+00
f3_Tx_proton_region_0,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,1,-1,-1,1,-7.7890661266836105e+03,6.7416885180841869e+04,6.7865351679724365e+04,1.6858221624911003e+00,4.6057059586126671e+09,2.3028529793063335e+09,1.5749471013950803e-01,3,1.0000000000000002e+00
f3_Tx_proton_region_0,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,6,1,1,-1,2.4452115962893215e+04,-6.3307182881357570e+04,6.7865347412626055e+04,-1.2022032000981118e+00,4.6057053794364300e+09,2.3028526897182150e+09,1.5749469033425029e-01,4,1.0000000000000002e+00
f3_Tx_proton_region_0,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,5,1,-1,1,-2.7898502342268701e+04,-2.6286069521280548e+04,3.8331239007096636e+04,-2.3859438645292506e+00,1.4692838838191667e+09,7.3464194190958333e+08,5.0242990211310408e-02,5,1.0000000000000002e+00
f3_Tx_proton_region_0,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,2,-1,1,-1,-3.3600502950495007e+04,-1.8446953279415520e+04,3.8331239007096585e+04,-2.6395111828811251e+00,1.4692838838191628e+09,7.3464194190958142e+08,5.0242990211310276e-02,6,1.0000000000000002e+00
f3_Tx_proton_region_0,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,4,1,-1,-1,-2.1627504722129110e+04,-2.0377580704337266e+04,2.9715227676521266e+04,-2.3859422049363253e+00,8.8299475586749542e+08,4.4149737793374771e+08,3.0194503161888060e-02,7,1.0000000000000002e+00
f3_Tx_proton_region_0,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,3,-1,1,1,-2.6047870364940325e+04,-1.4300439433156880e+04,2.9715216952432380e+04,-2.6395128424493204e+00,8.8299411853012466e+08,4.4149705926506233e+08,3.0194481367777585e-02,8,1.0000000000000002e+00
f3_Tx_proton_region_1,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_1,1,0.0000000000000000e+00,4.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,9.0693403817088611e-02,1.8712682156719167e-02,9.2603768656723123e-02,2.0347369411944494e-01,8.5754579694278955e-03,4.2877289847139477e-03,2.5540809189717656e-01,1,9.9999999999999989e-01
f3_Tx_proton_region_1,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_1,1,0.0000000000000000e+00,4.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,8.9772229972955100e-02,2.2724539491720319e-02,9.2603768656723123e-02,2.4792755008353895e-01,8.5754579694278955e-03,4.2877289847139477e-03,2.5540809189717656e-01,2,9.9999999999999989e-01
