detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_TxTx_region_0,enhanced_cluster,F3,F_3,TxTx,enhanced_region_0,0,9.5254096178323922e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,8.1489759823946656e-02,3.4461571226696153e-01,3.5411942914422206e-01,1.3385959260589941e+00,1.2540057009742972e-01,1.2540057009742972e-01,4.8252344312307666e-01,1,9.6504688624615331e-01
f3_TxTx_region_0,enhanced_cluster,F3,F_3,TxTx,enhanced_region_0,0,9.5254096178323922e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,8.1489769008595947e-02,-3.4461571009510783e-01,3.5411942914422206e-01,-1.3385958994071352e+00,1.2540057009742972e-01,1.2540057009742972e-01,4.8252344312307666e-01,2,9.6504688624615331e-01
f3_TxTx_region_1,enhanced_cluster,F3,F_3,TxTx,enhanced_region_1,1,9.5242788377458909e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,7.4901057538011590e-03,-3.2794423664599054e-01,3.2802976089605740e-01,-1.5479607257083539e+00,1.0760352403352459e-01,1.0760352403352459e-01,4.7429700997513297e-01,1,9.3974675519848549e-01
f3_TxTx_region_1,enhanced_cluster,F3,F_3,TxTx,enhanced_region_1,1,9.5242788377458909e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,6.1529199451207913e-03,3.2489766251315078e-01,3.2495591936501217e-01,1.5518605656795126e+00,1.0559634953036029e-01,1.0559634953036029e-01,4.6544974522335258e-01,2,9.3974675519848549e-01
f3_TxTx_region_2,enhanced_cluster,F3,F_3,TxTx,enhanced_region_2,2,9.5207765899844732e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,3.3870086501010349e-01,2.9854301847642684e-01,4.5149331095776879e-01,7.2246336770067565e-01,2.0384620983960849e-01,2.0384620983960849e-01,3.5434515715884812e-01,1,9.6520053295308650e-01
f3_TxTx_region_2,enhanced_cluster,F3,F_3,TxTx,enhanced_region_2,2,9.5207765899844732e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,3.4414329318479731e-01,-2.8614296697473146e-01,4.4756273727063073e-01,-6.9363440545827293e-01,2.0031240379317963e-01,2.0031240379317963e-01,3.4820235440634179e-01,2,9.6520053295308650e-01
f3_TxTx_region_2,enhanced_cluster,F3,F_3,TxTx,enhanced_region_2,2,9.5207765899844732e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,5,1,-1,1,2.0819225191107885e-01,1.8010571628331987e-01,2.7528545692377909e-01,7.1319148609535310e-01,7.5782082793733829e-02,7.5782082793733829e-02,1.3173173079106598e-01,3,9.6520053295308650e-01
f3_TxTx_region_2,enhanced_cluster,F3,F_3,TxTx,enhanced_region_2,2,9.5207765899844732e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,2,-1,1,-1,-2.0936647872651465e-01,1.7743036299215498e-01,2.7443734462690750e-01,2.4385732413755812e+00,7.5315856125867997e-02,7.5315856125867997e-02,1.3092129059683058e-01,4,9.6520053295308650e-01
f3_low_egamma_txtx_region_0,egamma_region_max,F3,F_3,TxTx,low_Egamma_TxTx_region_0,0,6.2650006161537963e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,6,1,1,-1,-7.2024196837955188e+01,-1.2552684478846365e+03,1.2573330351123591e+03,-1.6281110102289482e+00,1.5808863611848569e+06,1.5808863611848569e+06,4.3128371260841764e-01,1,9.9951007777947654e-01
f3_low_egamma_txtx_region_0,egamma_region_max,F3,F_3,TxTx,low_Egamma_TxTx_region_0,0,6.2650006161537963e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,e}T_{x,p}\rangle$",prepared_spin_ensemble_v4,"electron Tx, proton Tx",1.0000000000000000e+00,5,1,-1,1,-5.8333814102005569e+01,-7.9710477035905819e+02,7.9923641608528715e+02,-1.6438482161709853e+00,6.3877884879685426e+05,6.3877884879685426e+05,1.7426610805748111e-01,2,9.9951007777947654e-01
