detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
c_e_gamma_Ty_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},Ty,enhanced_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-1.2565601727494160e+02,2.9792753612064990e+02,3.2334231312391142e+02,1.9699254506532113e+00,1.0455025145632158e+05,4.2894230301774799e-01
c_e_gamma_Ty_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},Ty,enhanced_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,3.0430037136321221e+02,-4.2054249935398346e+01,3.0719257144243869e+02,-1.3732991073502757e-01,9.4367275949417832e+04,3.8716422114169041e-01
c_e_gamma_Ty_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},Ty,enhanced_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,-5.2505378089169305e+01,1.2448726545752162e+02,1.3510697239364842e+02,1.9699305769950386e+00,1.8253893989378077e+04,7.4890946867944910e-02
c_e_gamma_Ty_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},Ty,enhanced_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,1.3372338865015905e+02,-1.8479846731198442e+01,1.3499425694187912e+02,-1.3732478439320009e-01,1.8223449407290071e+04,7.4766040720199323e-02
c_e_gamma_Ty_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},Ty,enhanced_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,2.4370020641218858e+01,-5.7781325964695540e+01,6.2710282540360417e+01,-1.1716707088365876e+00,3.9325795362918316e+03,1.6134344007792352e-02
c_e_gamma_Ty_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},Ty,enhanced_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,-5.5280391383769079e+01,7.6395668111398036e+00,5.5805776158069506e+01,3.0042657981968577e+00,3.1142846526045587e+03,1.2777094387947120e-02
c_e_gamma_Ty_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},Ty,enhanced_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,9.9092986766794748e+00,-2.3494602194853044e+01,2.5498833945065705e+01,-1.1716654078573632e+00,6.5019053255803487e+02,2.6675614888625535e-03
c_e_gamma_Ty_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},Ty,enhanced_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,-2.5211057768693905e+01,3.4839459860916353e+00,2.5450644656873141e+01,3.0042711932333042e+00,6.4773531345042534e+02,2.6574883678153870e-03
c_e_gamma_low_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,low_Egamma_Ty_region_0,0,6.2338501064657437e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,-3.0068630866882763e+03,-3.9715563332960625e+02,3.0329784402751679e+03,-3.0102697708474908e+00,9.1989582191739902e+06,3.1723224945754513e-01
c_e_gamma_low_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,low_Egamma_Ty_region_0,0,6.2338501064657437e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-3.9483924463375735e+02,-3.0069284767093727e+03,3.0327408219544091e+03,-1.7013591688956025e+00,9.1975168931487016e+06,3.1718254436199955e-01
