detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
c_ep_low_egamma_tx_region_0,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_0,0,5.5645068405028986e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,5.3275105579236566e+01,-1.4266476290115488e+03,1.4276420049293704e+03,-1.5334708083278143e+00,2.0381616942387524e+06,3.1141986001514055e-01
c_ep_low_egamma_tx_region_0,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_0,0,5.5645068405028986e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,-1.0389498997819557e+02,-1.2724768792864741e+03,1.2767112348770231e+03,-1.6522634585286289e+00,1.6299915772612132e+06,2.4905371848141650e-01
c_ep_low_egamma_tx_region_0,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_0,0,5.5645068405028986e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-1.0315709065868232e+02,1.2725044494535082e+03,1.2766788786661036e+03,1.6516856345933781e+00,1.6299089592321396e+06,2.4904109490247203e-01
c_ep_low_egamma_tx_region_0,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_0,0,5.5645068405028986e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,-4.1512280196710137e+01,-1.1111432946584446e+03,1.1119184730327818e+03,-1.6081389294331339e+00,1.2363626906715531e+06,1.8890939671039417e-01
c_ep_low_egamma_tx_region_0,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_0,0,5.5645068405028986e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-7.2234516739658744e+01,-2.6974436039075367e+00,7.2284864325862173e+01,-3.1042671349663440e+00,5.2251016106083016e+03,7.9836669325113446e-04
c_ep_low_egamma_tx_region_0,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_0,0,5.5645068405028986e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,-7.1287148283886211e+01,2.6620661539791786e+00,7.1336835552587715e+01,3.1042671349697355e+00,5.0889441066569425e+03,7.7756257798373410e-04
c_ep_low_egamma_tx_region_0,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_0,0,5.5645068405028986e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,-5.7885599493671660e-03,6.3402575586449572e-02,6.3666270640605843e-02,1.6618424160997265e+00,4.0533940172828697e-03,6.1933623863925455e-10
c_ep_low_egamma_tx_region_0,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_0,0,5.5645068405028986e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,-7.1785051719443530e-06,-1.9223233946925297e-04,1.9236632572861015e-04,-1.6081218423578321e+00,3.7004803274325741e-08,5.6541297425779212e-15
c_ep_low_egamma_tx_region_1,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_1,1,2.3645616953183279e-01,2.9153450120718105e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-1.3854061866786127e-01,-3.4494764633935693e-02,1.4277041643150157e-01,-2.8975679581104368e+00,2.0383391808024374e-02,5.1409422631897617e-01
c_ep_low_egamma_tx_region_1,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_1,1,2.3645616953183279e-01,2.9153450120718105e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,1.0800165556948203e-01,2.6890697896151387e-02,1.1129899927263996e-01,2.4402231879494302e-01,1.2387467239091111e-02,3.1242716846688767e-01
c_ep_low_egamma_tx_region_1,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_1,1,2.3645616953183279e-01,2.9153450120718105e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,-5.6380261414354900e-03,-4.9625452866916497e-02,4.9944698527652175e-02,-1.6839228412942981e+00,2.4944729110180598e-03,6.2913676651136688e-02
c_ep_low_egamma_tx_region_1,egamma_region_max,C_e_p,C_{ep},Tx,low_Egamma_Tx_region_1,1,2.3645616953183279e-01,2.9153450120718105e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,-3.2272059082786707e-02,-8.0353577688960023e-03,3.3257371692859812e-02,-2.8975666198666792e+00,1.1060527719170335e-03,2.7896012076988989e-02
