detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
c_p_gamma_low_egamma_longitudinal_polarized_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_0,0,9.3712532529949677e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,5.3275105579235401e+01,-1.4266476290115488e+03,1.4276420049293704e+03,-1.5334708083278152e+00,2.0381616942387524e+06,3.1141986001513744e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_0,0,9.3712532529949677e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,1.0389498997819378e+02,1.2724768792860662e+03,1.2767112348766163e+03,1.4893291950611398e+00,1.6299915772601746e+06,2.4905371848125532e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_0,0,9.3712532529949677e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-1.0315709065866977e+02,1.2725044494539436e+03,1.2766788786665365e+03,1.6516856345933406e+00,1.6299089592332451e+06,2.4904109490263845e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_0,0,9.3712532529949677e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,4.1512280196711302e+01,1.1111432946584446e+03,1.1119184730327820e+03,1.5334537241566581e+00,1.2363626906715531e+06,1.8890939671039228e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_0,0,9.3712532529949677e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-7.2234516739646210e+01,-2.6974436034720912e+00,7.2284864325833396e+01,-3.1042671349723574e+00,5.2251016106041416e+03,7.9836669325049087e-04
c_p_gamma_low_egamma_longitudinal_polarized_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_0,0,9.3712532529949677e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,7.1287148283885983e+01,-2.6620661544145987e+00,7.1336835552603731e+01,-3.7325518626157364e-02,5.0889441066592271e+03,7.7756257798407540e-04
c_p_gamma_low_egamma_longitudinal_polarized_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_0,0,9.3712532529949677e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,-5.7885599505131426e-03,6.3402575586449614e-02,6.3666270640710065e-02,1.6618424161176517e+00,4.0533940172961420e-03,6.1933623864127639e-10
c_p_gamma_low_egamma_longitudinal_polarized_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_0,0,9.3712532529949677e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,7.1785063458707308e-06,1.9223233946924655e-04,1.9236632577241097e-04,1.5334708051336539e+00,3.7004803291177356e-08,5.6541297451526985e-15
c_p_gamma_low_egamma_longitudinal_polarized_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_1,1,3.8976595377649881e-01,2.0289452554434075e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,-1.0331750719284049e+01,-8.5546891938916644e+01,8.6168531340241074e+01,-1.6909871630169404e+00,7.4250157933341079e+03,5.6208543349989004e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_1,1,3.8976595377649881e-01,2.0289452554434075e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,-8.6231899799098137e+00,7.1397823323836803e+01,7.1916678043493022e+01,1.6909908081782261e+00,5.1720085808114336e+03,3.9152922581261546e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_1,1,3.8976595377649881e-01,2.0289452554434075e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,2.1141709186645432e+00,-1.7375231408655853e+01,1.7503382106829175e+01,-1.4497142590427485e+00,3.0636838517766773e+02,2.3192571084879019e-02
c_p_gamma_low_egamma_longitudinal_polarized_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_1,1,3.8976595377649881e-01,2.0289452554434075e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-2.1112741986844048e+00,-1.7375581266638719e+01,1.7503379762080147e+01,-1.6917116970380888e+00,3.0636830309559673e+02,2.3192564871136481e-02
c_p_gamma_low_egamma_longitudinal_polarized_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_1,1,3.8976595377649881e-01,2.0289452554434075e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,5.5862289463018047e-03,4.5875748061861357e-02,4.6214610396235915e-02,1.4496242020021373e+00,2.1357902140758753e-03,1.6168269560065056e-07
c_p_gamma_low_egamma_longitudinal_polarized_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_1,1,3.8976595377649881e-01,2.0289452554434075e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-1.8384698681357337e-02,2.2203743383076686e-03,1.8518293868672604e-02,3.0214018175192727e+00,3.4292720780651736e-04,2.5960131752430836e-08
c_p_gamma_low_egamma_longitudinal_polarized_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_1,1,3.8976595377649881e-01,2.0289452554434075e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,1.4916157799395932e-02,1.8014684147671068e-03,1.5024548310877224e-02,1.2019083601858224e-01,2.2573705194588363e-04,1.7088651692013950e-08
c_p_gamma_low_egamma_longitudinal_polarized_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_1,1,3.8976595377649881e-01,2.0289452554434075e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,-5.1477476520583800e-09,4.2623347948222149e-08,4.2933076947785679e-08,1.6909871647191017e+00,1.8432490962044860e-15,1.3953687050989397e-19
c_p_gamma_low_egamma_longitudinal_polarized_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_2,2,2.4823962031063326e-01,1.5053464798451093e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,5.4676655683325519e+00,-4.3326792628355392e+01,4.3670428509778105e+01,-1.4452639595934758e+00,1.9071063262276409e+03,5.4897481546578764e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_2,2,2.4823962031063326e-01,1.5053464798451093e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,4.8590855936362018e+00,3.8503629739822898e+01,3.8809022352381632e+01,1.4452618217126270e+00,1.5061402159476572e+03,4.3355372259237740e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_2,2,2.4823962031063326e-01,1.5053464798451093e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,6.9229725999838154e-01,5.4651365097255873e+00,5.5088104492836605e+00,1.4447922461288285e+00,3.0346992566136844e+01,8.7356087150580932e-03
c_p_gamma_low_egamma_longitudinal_polarized_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_2,2,2.4823962031063326e-01,1.5053464798451093e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-6.9147956279717915e-01,5.4652397018675680e+00,5.5088101242133662e+00,1.6966507957081594e+00,3.0346988984635672e+01,8.7356076840962010e-03
c_p_gamma_low_egamma_longitudinal_polarized_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_2,2,2.4823962031063326e-01,1.5053464798451093e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,-3.6443376431669833e-03,2.8767975102185619e-02,2.8997889377287023e-02,1.6968054929047058e+00,8.4087758833737564e-04,2.4205290105661691e-07
c_p_gamma_low_egamma_longitudinal_polarized_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_2,2,2.4823962031063326e-01,1.5053464798451093e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-2.8587364506912471e-03,-3.6076094950231050e-04,2.8814098211112902e-03,-3.0160602864907826e+00,8.3025225571965982e-06,2.3899431961684410e-09
c_p_gamma_low_egamma_longitudinal_polarized_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_2,2,2.4823962031063326e-01,1.5053464798451093e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,1.9392972471681434e-03,-2.4473144976109283e-04,1.9546783099467046e-03,-1.2553236706473506e-01,3.8207672953761059e-06,1.0998364339054930e-09
c_p_gamma_low_egamma_longitudinal_polarized_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_2,2,2.4823962031063326e-01,1.5053464798451093e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,7.3866709169704980e-10,5.8533201382756659e-09,5.8997445464612820e-09,1.4452636532686363e+00,3.4806985713499636e-17,1.0019451089958751e-20
c_p_gamma_low_egamma_longitudinal_polarized_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_3,3,9.9408418019498915e-02,6.5449846949787327e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,-1.7066840397884813e+00,-2.4103163037874484e+01,2.4163510482585668e+01,-1.6414858176546647e+00,5.8387523884202744e+02,5.1583318148572577e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_3,3,9.9408418019498915e-02,6.5449846949787327e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,-1.6491047924349791e+00,2.3289724105902138e+01,2.3348036224605082e+01,1.6414865997869563e+00,5.4513079554547130e+02,4.8160383226688841e-01
c_p_gamma_low_egamma_longitudinal_polarized_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_3,3,9.9408418019498915e-02,6.5449846949787327e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,8.5707107606241381e-02,-1.2013190722647955e+00,1.2043725427297720e+00,-1.4995728392429251e+00,1.4505132216813770e+00,1.2814772748557209e-03
c_p_gamma_low_egamma_longitudinal_polarized_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},longitudinal_polarized,low_Egamma_longitudinal_polarized_region_3,3,9.9408418019498915e-02,6.5449846949787327e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) - A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-8.5413258969518027e-02,-1.2013398792112664e+00,1.2043724217164449e+00,-1.6417752186349932e+00,1.4505129301911341e+00,1.2814770173343716e-03
