detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,5.3275105579235984e+01,-1.4266476290115481e+03,1.4276420049293697e+03,-1.5334708083278148e+00,2.0381616942387505e+06,3.1141986001513972e-01
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,1.2724768792862692e+03,-1.0389498997839873e+02,1.2767112348768355e+03,-8.1467131733903936e-02,1.6299915772607338e+06,2.4905371848134283e-01
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-1.0315709065845833e+02,1.2725044494537196e+03,1.2766788786662962e+03,1.6516856345931898e+00,1.6299089592326321e+06,2.4904109490254686e-01
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,1.1111432946584453e+03,-4.1512280196710748e+01,1.1119184730327825e+03,-3.7342602638237875e-02,1.2363626906715545e+06,1.8890939671039406e-01
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-7.2234516739434753e+01,-2.6974436036960809e+00,7.2284864325630437e+01,-3.1042671349691515e+00,5.2251016105748022e+03,7.9836669324601464e-04
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,-2.6620661541970025e+00,-7.1287148284103807e+01,7.1336835552813284e+01,-1.6081218454178918e+00,5.0889441066891231e+03,7.7756257798864976e-04
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,-5.7885599499401356e-03,6.3402575587022572e-02,6.3666270641228553e-02,1.6618424161078706e+00,4.0533940173621604e-03,6.1933623865136871e-10
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,1.9223234005621295e-04,-7.1785057589107475e-06,1.9236632633706506e-04,-3.7325518498241658e-02,3.7004803508418199e-08,5.6541297783459467e-15
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,1.8434118420343669e+01,-5.4495045315631108e-01,1.8442171589366829e+01,-2.9553449592412566e-02,3.4011369293164904e+02,2.3712259924908330e-01
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,1.7221507358502095e+00,-1.8080460594525583e+01,1.8162292214012574e+01,-1.4758335426984259e+00,3.2986885846718189e+02,2.2998004125280985e-01
