detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,-1.3620629704568554e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.9741883681838388e+00,2.1501999227848449e-02,4.7125171058439745e-03,-1.9652054228513601e-05,5.4210838953710905e+00,2.2110592627442047e-01
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.9741883681838388e+00,2.1501999227848449e-02,4.7125171058439745e-03,-1.9652054228513601e-05,5.4210838953710905e+00,2.2110592627442047e-01
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,kp,1.7349034824403557e+00,-1.2940952255126015e-01,-1.7300703074894757e+00,0.0000000000000000e+00,1.7349034824403557e+00,4.6377278654427334e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.9741883681838388e+00,2.1501999227848449e-02,4.7125171058439745e-03,-1.9652054228513601e-05,5.4210838953710905e+00,2.2110592627442047e-01
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,pp,2.4036139531192897e+00,0.0000000000000000e+00,2.2130332206340100e+00,0.0000000000000000e+00,2.2130332206340100e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.9741883681838388e+00,2.1501999227848449e-02,4.7125171058439745e-03,-1.9652054228513601e-05,5.4210838953710905e+00,2.2110592627442047e-01
c_p_gamma_low_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_0,0,5.5855910889375504e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,1.2940952255126015e-01,-4.8296291314453421e-01,0.0000000000000000e+00,5.0000000000000000e-01,4.9741883681838388e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.9741883681838388e+00,2.1501999227848449e-02,4.7125171058439745e-03,-1.9652054228513601e-05,5.4210838953710905e+00,2.2110592627442047e-01
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,1.4548387427036868e-01,-2.2196549895521596e+00,-2.9513459707981364e-06,2.2244176384674765e+00,4.7778388273344765e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7053963335704836e+00,1.5707949999999999e+00,1.6362461737446834e+00,5.0000000000000000e-01,1.3089969389957470e+00,7.5506682874850045e-02,2.0159010269288932e-01,-6.6823791132367610e-02,1.1788928229074944e+00,1.8150586634151249e-02
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,-1.4548387427036866e-01,2.2196549895521591e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.6362461737446834e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7053963335704836e+00,1.5707949999999999e+00,1.6362461737446834e+00,5.0000000000000000e-01,1.3089969389957470e+00,7.5506682874850045e-02,2.0159010269288932e-01,-6.6823791132367610e-02,1.1788928229074944e+00,1.8150586634151249e-02
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,kp,2.1921822499988597e+00,-1.2940952255126048e-01,-2.1883592467150175e+00,0.0000000000000000e+00,2.1921822499988597e+00,4.6533223576451999e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7053963335704836e+00,1.5707949999999999e+00,1.6362461737446834e+00,5.0000000000000000e-01,1.3089969389957470e+00,7.5506682874850045e-02,2.0159010269288932e-01,-6.6823791132367610e-02,1.1788928229074944e+00,1.8150586634151249e-02
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,pp,1.9463351855617388e+00,0.0000000000000000e+00,1.7053963335704836e+00,0.0000000000000000e+00,1.7053963335704836e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7053963335704836e+00,1.5707949999999999e+00,1.6362461737446834e+00,5.0000000000000000e-01,1.3089969389957470e+00,7.5506682874850045e-02,2.0159010269288932e-01,-6.6823791132367610e-02,1.1788928229074944e+00,1.8150586634151249e-02
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,1.2940952255126048e-01,4.8296291314453410e-01,0.0000000000000000e+00,5.0000000000000000e-01,1.3089969389957470e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7053963335704836e+00,1.5707949999999999e+00,1.6362461737446834e+00,5.0000000000000000e-01,1.3089969389957470e+00,7.5506682874850045e-02,2.0159010269288932e-01,-6.6823791132367610e-02,1.1788928229074944e+00,1.8150586634151249e-02
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,-1.3620629704568554e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340511e+00,6.8645973580275993e-02,7.4683368092730148e-03,-4.9451545730006837e-05,1.0002799226708673e+01,4.4541583641640592e-01
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340511e+00,6.8645973580275993e-02,7.4683368092730148e-03,-4.9451545730006837e-05,1.0002799226708673e+01,4.4541583641640592e-01
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,kp,1.2410263552129774e+00,-1.9509032201612742e-01,-1.2255962551300696e+00,0.0000000000000000e+00,1.2410263552129774e+00,4.5545334238222974e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340511e+00,6.8645973580275993e-02,7.4683368092730148e-03,-4.9451545730006837e-05,1.0002799226708673e+01,4.4541583641640592e-01
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,pp,2.3974910803467617e+00,0.0000000000000000e+00,2.2063815355333003e+00,0.0000000000000000e+00,2.2063815355333003e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340511e+00,6.8645973580275993e-02,7.4683368092730148e-03,-4.9451545730006837e-05,1.0002799226708673e+01,4.4541583641640592e-01
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,1.9509032201612742e-01,-9.8078528040323065e-01,0.0000000000000000e+00,1.0000000000000000e+00,4.9087385212340511e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340511e+00,6.8645973580275993e-02,7.4683368092730148e-03,-4.9451545730006837e-05,1.0002799226708673e+01,4.4541583641640592e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,-1.4548387427037091e-01,-2.2196549895521591e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.6469391334349019e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6416984750173149e+00,1.5707949999999999e+00,1.5053464798451088e+00,1.0000000000000000e+00,3.3379421944391550e+00,1.6388674513697152e+00,2.7039689402138789e-01,-8.1327065504947310e-02,5.3019465065177567e+00,2.9370856551112018e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,1.4548387427037088e-01,2.2196549895521591e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5053464798451088e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6416984750173149e+00,1.5707949999999999e+00,1.5053464798451088e+00,1.0000000000000000e+00,3.3379421944391550e+00,1.6388674513697152e+00,2.7039689402138789e-01,-8.1327065504947310e-02,5.3019465065177567e+00,2.9370856551112018e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,kp,1.7477456664472519e+00,9.8078528040323054e-01,-1.4466081530011869e+00,0.0000000000000000e+00,1.7477456664472519e+00,5.3081896253182421e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6416984750173149e+00,1.5707949999999999e+00,1.5053464798451088e+00,1.0000000000000000e+00,3.3379421944391550e+00,1.6388674513697152e+00,2.7039689402138789e-01,-8.1327065504947310e-02,5.3019465065177567e+00,2.9370856551112018e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,pp,1.8907717691128607e+00,0.0000000000000000e+00,1.6416984750173149e+00,0.0000000000000000e+00,1.6416984750173149e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6416984750173149e+00,1.5707949999999999e+00,1.5053464798451088e+00,1.0000000000000000e+00,3.3379421944391550e+00,1.6388674513697152e+00,2.7039689402138789e-01,-8.1327065504947310e-02,5.3019465065177567e+00,2.9370856551112018e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-9.8078528040323054e-01,-1.9509032201612792e-01,0.0000000000000000e+00,1.0000000000000000e+00,3.3379421944391545e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6416984750173149e+00,1.5707949999999999e+00,1.5053464798451088e+00,1.0000000000000000e+00,3.3379421944391550e+00,1.6388674513697152e+00,2.7039689402138789e-01,-8.1327065504947310e-02,5.3019465065177567e+00,2.9370856551112018e-01
c_p_gamma_mid_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_2,2,3.5936424429575031e-01,1.5707963267948966e+00,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,1.4548387427036868e-01,-2.2196549895521596e+00,-2.9513459707981364e-06,2.2244176384674765e+00,4.7778388273344765e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5394976185342535e+00,1.5707949999999999e+00,1.6362461737446834e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.6237006702793930e+00,3.1050682621822950e-01,-1.1002742266503260e-01,4.4853380951143578e+00,2.5340156839473504e-01
