detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_0,0,8.9469050180977472e-01,1.0000000000000002e+00,2.7286031294358759e+00,high_s_high_theta_in_mid_Egamma,k,2.3322107010022441e+00,1.8581574051364198e+00,9.9320582539484314e-01,-2.7954805740877554e-06,2.1069425131857251e+00,4.9087385212340523e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1297051237910440e+00,1.5707949999999999e+00,3.6324665057131984e+00,1.0000000000000000e+00,6.8722339297276724e-01,1.4499510051773473e+01,9.0605668253883531e-01,-7.2573431571554554e+00,2.3832069816716461e+00,8.1497621885542504e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_0,0,8.9469050180977472e-01,1.0000000000000002e+00,2.7286031294358759e+00,high_s_high_theta_in_mid_Egamma,p,2.3063067345583890e+00,-1.8581574051364198e+00,-9.9320582539484314e-01,2.7954805740877554e-06,2.1069425131857251e+00,3.6324665057131984e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1297051237910440e+00,1.5707949999999999e+00,3.6324665057131984e+00,1.0000000000000000e+00,6.8722339297276724e-01,1.4499510051773473e+01,9.0605668253883531e-01,-7.2573431571554554e+00,2.3832069816716461e+00,8.1497621885542504e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_0,0,8.9469050180977472e-01,1.0000000000000002e+00,2.7286031294358759e+00,high_s_high_theta_in_mid_Egamma,kp,2.1701586011064569e+00,-7.7301045336273699e-01,-1.7640984079546895e+00,0.0000000000000000e+00,1.9260291674728953e+00,4.2993994562307725e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1297051237910440e+00,1.5707949999999999e+00,3.6324665057131984e+00,1.0000000000000000e+00,6.8722339297276724e-01,1.4499510051773473e+01,9.0605668253883531e-01,-7.2573431571554554e+00,2.3832069816716461e+00,8.1497621885542504e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_0,0,8.9469050180977472e-01,1.0000000000000002e+00,2.7286031294358759e+00,high_s_high_theta_in_mid_Egamma,pp,1.4683588344542140e+00,0.0000000000000000e+00,1.1297051237910440e+00,0.0000000000000000e+00,1.1297051237910440e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1297051237910440e+00,1.5707949999999999e+00,3.6324665057131984e+00,1.0000000000000000e+00,6.8722339297276724e-01,1.4499510051773473e+01,9.0605668253883531e-01,-7.2573431571554554e+00,2.3832069816716461e+00,8.1497621885542504e-01
c_ep_LTx_region_0,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_0,0,8.9469050180977472e-01,1.0000000000000002e+00,2.7286031294358759e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,7.7301045336273699e-01,6.3439328416364549e-01,0.0000000000000000e+00,1.0000000000000000e+00,6.8722339297276724e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1297051237910440e+00,1.5707949999999999e+00,3.6324665057131984e+00,1.0000000000000000e+00,6.8722339297276724e-01,1.4499510051773473e+01,9.0605668253883531e-01,-7.2573431571554554e+00,2.3832069816716461e+00,8.1497621885542504e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_1,1,8.8582201384954307e-01,1.0000000000000000e+00,3.0930063512083548e+00,high_s_high_theta_in_mid_Egamma,k,2.3322107010022441e+00,-2.0651647998105946e-01,2.0967970090969219e+00,-2.7954805740877554e-06,2.1069425131857251e+00,1.6689710972195770e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0206097674060488e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.4726215563702154e+00,1.6918801625941406e+01,9.5804221567445969e-01,-8.9142364149428275e+00,1.6208086652867988e+00,8.9935660476819168e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_1,1,8.8582201384954307e-01,1.0000000000000000e+00,3.0930063512083548e+00,high_s_high_theta_in_mid_Egamma,p,2.3063067345583890e+00,2.0651647998105946e-01,-2.0967970090969219e+00,2.7954805740877554e-06,2.1069425131857251e+00,4.8105637508093704e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0206097674060488e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.4726215563702154e+00,1.6918801625941406e+01,9.5804221567445969e-01,-8.9142364149428275e+00,1.6208086652867988e+00,8.9935660476819168e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_1,1,8.8582201384954307e-01,1.0000000000000000e+00,3.0930063512083548e+00,high_s_high_theta_in_mid_Egamma,kp,2.2523398505009307e+00,-9.8017140329560770e-02,-2.0157944940782455e+00,0.0000000000000000e+00,2.0181761078148144e+00,4.6638026780032513e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0206097674060488e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.4726215563702154e+00,1.6918801625941406e+01,9.5804221567445969e-01,-8.9142364149428275e+00,1.6208086652867988e+00,8.9935660476819168e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_1,1,8.8582201384954307e-01,1.0000000000000000e+00,3.0930063512083548e+00,high_s_high_theta_in_mid_Egamma,pp,1.3861775850606692e+00,0.0000000000000000e+00,1.0206097674060488e+00,0.0000000000000000e+00,1.0206097674060488e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0206097674060488e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.4726215563702154e+00,1.6918801625941406e+01,9.5804221567445969e-01,-8.9142364149428275e+00,1.6208086652867988e+00,8.9935660476819168e-01
c_ep_LTx_region_1,enhanced_cluster,C_e_p,C_{l_auxp},LTx,enhanced_region_1,1,8.8582201384954307e-01,1.0000000000000000e+00,3.0930063512083548e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,9.8017140329560770e-02,9.9518472667219682e-01,0.0000000000000000e+00,9.9999999999999989e-01,1.4726215563702154e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0206097674060488e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.4726215563702154e+00,1.6918801625941406e+01,9.5804221567445969e-01,-8.9142364149428275e+00,1.6208086652867988e+00,8.9935660476819168e-01
