detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9998334363046837e-01,4.9999999999999961e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,2,-1,1,-1,-2.7376212097763595e-03,-4.7610983884492711e+01,4.7610983963199018e+01,-1.5708538265771612e+00,2.2668057939439941e+03,1.1334028969719971e+03,2.5144292197331930e-01,1,9.9999999343312773e-01
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9998334363046837e-01,4.9999999999999961e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,5,1,-1,1,-2.7376212097091745e-03,-4.7610983884492462e+01,4.7610983963198770e+01,-1.5708538265771597e+00,2.2668057939439705e+03,1.1334028969719852e+03,2.5144292197331669e-01,2,9.9999999343312773e-01
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9998334363046837e-01,4.9999999999999961e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,6,1,1,-1,-2.7618288602369516e-03,-4.7336976290514329e+01,4.7336976371082415e+01,-1.5708546708014963e+00,2.2407893319564150e+03,1.1203946659782075e+03,2.4855707474324720e-01,3,9.9999999343312773e-01
c_p_gamma_Tx_proton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_0,0,9.9998334363046837e-01,4.9999999999999961e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,1,-1,-1,1,-2.7618288606006320e-03,-4.7336976290514087e+01,4.7336976371082173e+01,-1.5708546708015041e+00,2.2407893319563918e+03,1.1203946659781959e+03,2.4855707474324462e-01,4,9.9999999343312773e-01
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9926922715789512e-01,4.9999999999999994e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,2,-1,1,-1,-2.7771564061757317e-06,-4.5600238101958874e+00,4.5600238101967330e+00,-1.5707969358172442e+00,2.0793817149561129e+01,1.0396908574780564e+01,2.5955579543510776e-01,1,9.9999999998288480e-01
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9926922715789512e-01,4.9999999999999994e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,5,1,-1,1,-2.7771564056314465e-06,-4.5600238101958874e+00,4.5600238101967330e+00,-1.5707969358172442e+00,2.0793817149561129e+01,1.0396908574780564e+01,2.5955579543510776e-01,2,9.9999999998288480e-01
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9926922715789512e-01,4.9999999999999994e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,1,-1,-1,1,-3.5668443953069238e-06,-4.3889325038868154e+00,4.3889325038882649e+00,-1.5707971394855433e+00,1.9262728523686913e+01,9.6313642618434567e+00,2.4044420455633470e-01,3,9.9999999998288480e-01
c_p_gamma_Tx_proton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_1,1,9.9926922715789512e-01,4.9999999999999994e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,6,1,1,-1,-3.5668443950938662e-06,-4.3889325038868154e+00,4.3889325038882649e+00,-1.5707971394855433e+00,1.9262728523686913e+01,9.6313642618434567e+00,2.4044420455633470e-01,4,9.9999999998288480e-01
c_p_gamma_Tx_proton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_2,2,9.9286252110187534e-01,5.0000000000000011e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,-2.4174824739672957e+01,-9.6971654855570455e+02,9.7001783833802870e+02,-1.5957209488110384e+00,9.4093460669398203e+05,4.7046730334699102e+05,2.7963437375229666e-01,1,9.9935602928351275e-01
c_p_gamma_Tx_proton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},Tx_proton,enhanced_region_2,2,9.9286252110187534e-01,5.0000000000000011e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{x,p})$","auxiliary lepton h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,-2.4174824739672935e+01,-9.6971654855348049e+02,9.7001783833580532e+02,-1.5957209488110955e+00,9.4093460668966849e+05,4.7046730334483425e+05,2.7963437375101474e-01,2,9.9935602928351275e-01
