detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_p_gamma_TxTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_0,0,9.9998333692570696e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,5,1,-1,1,-5.0314387016482101e-06,-3.3667985354209847e+01,3.3667985354210224e+01,-1.5707964762377173e+00,1.1335332378113142e+03,1.1335332378113142e+03,2.5147183779978949e-01,1,9.9999999343314960e-01
c_p_gamma_TxTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_0,0,9.9998333692570696e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,2,-1,1,-1,3.3664113773166378e+01,-5.0308282301029436e-06,3.3664113773166754e+01,-1.4944187344426612e-07,1.1332725561327156e+03,1.1332725561327156e+03,2.5141400614685583e-01,2,9.9999999343314960e-01
c_p_gamma_TxTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_0,0,9.9998333692570696e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-4.7584670996512934e-06,-3.3474249843805225e+01,3.3474249843805566e+01,-1.5707964689479581e+00,1.1205254026055170e+03,1.1205254026055170e+03,2.4858607837440674e-01,3,9.9999999343314960e-01
c_p_gamma_TxTy_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_0,0,9.9998333692570696e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,3.3470344027973859e+01,-4.7578403308135573e-06,3.3470344027974200e+01,-1.4215092401909628e-07,1.1202639293509483e+03,1.1202639293509483e+03,2.4852807111209757e-01,4,9.9999999343314960e-01
c_p_gamma_TxTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_1,1,9.9926922717272326e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,5,1,-1,1,-4.8186577325093651e-07,-3.2244257223077559e+00,3.2244257223077923e+00,-1.5707964762372515e+00,1.0396921238680129e+01,1.0396921238680129e+01,2.5955611158567332e-01,1,9.9999999998290545e-01
c_p_gamma_TxTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_1,1,9.9926922717272326e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,2,-1,1,-1,3.2244217948155018e+00,-4.8186509670658007e-07,3.2244217948155378e+00,-1.4944232714260895e-07,1.0396895910881454e+01,1.0396895910881454e+01,2.5955547928455380e-01,2,9.9999999998290545e-01
c_p_gamma_TxTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_1,1,9.9926922717272326e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-4.2569399583692015e-07,-3.1034464578082792e+00,3.1034464578083085e+00,-1.5707964639630423e+00,9.6313799164829366e+00,9.6313799164829366e+00,2.4044459536985141e-01,3,9.9999999998290545e-01
c_p_gamma_TxTy_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_1,1,9.9926922717272326e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,3.1034414135285608e+00,-4.2569289034608088e-07,3.1034414135285897e+00,-1.3716801241692284e-07,9.6313486072043304e+00,9.6313486072043304e+00,2.4044381374282695e-01,4,9.9999999998290545e-01
c_p_gamma_TxTy_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_2,2,9.9162993516851405e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,0,-1,-1,-1,-1.0015518038540128e-04,-7.0278732981918529e+02,7.0278732981919245e+02,-1.5707964693062597e+00,4.9391003095439041e+05,4.9391003095439041e+05,2.9356816342674275e-01,1,9.9935602928733835e-01
c_p_gamma_TxTy_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_2,2,9.9162993516851405e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,7,1,1,1,6.6859896480434725e+02,-9.4791682480647755e-05,6.6859896480435395e+02,-1.4177659175464938e-07,4.4702457573745376e+05,4.4702457573745376e+05,2.6570058407657987e-01,2,9.9935602928733835e-01
c_p_gamma_TxTy_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_2,2,9.9162993516851405e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-1.7874246061422496e-03,-6.2343322006825861e+02,6.2343322007082088e+02,-1.5707991938615664e+00,3.8866897988787259e+05,3.8866897988787259e+05,2.3101543085923859e-01,3,9.9935602928733835e-01
c_p_gamma_TxTy_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},TxTy,enhanced_region_2,2,9.9162993516851405e-01,9.9999999999999978e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,5.9308539208499212e+02,-1.7951301977088929e-03,5.9308539208770890e+02,-3.0267651533156626e-06,3.5175028230783140e+05,3.5175028230783140e+05,2.0907185092477709e-01,4,9.9935602928733835e-01
