detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
ghz_purity_TxTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_0,0,7.6151633886273884e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,7,1,1,1,1.1403316898343993e-02,1.5304914034345526e-02,1.9086016605954326e-02,9.3045433723890203e-01,3.6427602988276425e-04,3.6427602988276425e-04,4.2906643675448586e-01,1,9.8907936498861126e-01
ghz_purity_TxTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_0,0,7.6151633886273884e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,0,-1,-1,-1,1.1761462305794938e-02,1.2198592420848290e-02,1.6945136547712222e-02,8.0364025968815678e-01,2.8713765262061247e-04,2.8713765262061247e-04,3.3820817007263321e-01,2,9.8907936498861126e-01
ghz_purity_TxTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_0,0,7.6151633886273884e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-7.4427165496270516e-03,-6.6433417032312203e-03,9.9763730194887702e-03,-2.4128830513280506e+00,9.9528018623983486e-05,9.9528018623983486e-05,1.1723014638643742e-01,3,9.8907936498861126e-01
ghz_purity_TxTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_0,0,7.6151633886273884e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,-5.1796505515739602e-03,-6.0998253508891456e-03,8.0022902439095718e-03,-2.2747951773039712e+00,6.4036649147770309e-05,6.4036649147770309e-05,7.5426255415086310e-02,4,9.8907936498861126e-01
ghz_purity_TxTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_0,0,7.6151633886273884e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-4.9740146380912904e-03,-7.7714382365799933e-05,4.9746217087506192e-03,-3.1259698488171321e+00,2.4746861145172931e-05,2.4746861145172931e-05,2.9148356359968607e-02,5,9.8907936498861126e-01
ghz_purity_TxTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_1,1,7.4736057216458862e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,7,1,1,1,3.9735109324362961e-03,5.7581242390872343e-03,6.9960548799273088e-03,9.6676567621601239e-01,4.8944783882954713e-05,4.8944783882954713e-05,4.3812485773751986e-01,1,9.9367164165010491e-01
ghz_purity_TxTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_1,1,7.4736057216458862e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,0,-1,-1,-1,4.3133562154075945e-03,4.1569886691520527e-03,5.9904588001632965e-03,7.6693967215378578e-01,3.5885596636453878e-05,3.5885596636453878e-05,3.2122671046562284e-01,2,9.9367164165010491e-01
ghz_purity_TxTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_1,1,7.4736057216458862e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,-1.7849965906792037e-03,-2.6901407443082046e-03,3.2284779777665331e-03,-2.1566261834189770e+00,1.0423070052923482e-05,1.0423070052923482e-05,9.3301179856994917e-02,3,9.9367164165010491e-01
ghz_purity_TxTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_1,1,7.4736057216458862e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-2.2922143223502410e-03,-2.1171562640839251e-03,3.1203520868865707e-03,-2.3958750219788385e+00,9.7365971461373774e-06,9.7365971461373774e-06,8.7156278995943914e-02,4,9.9367164165010491e-01
ghz_purity_TxTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},TxTy,enhanced_region_1,1,7.4736057216458862e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-2.4511503068289577e-03,-9.5304918166536502e-05,2.4530024162430870e-03,-3.1027305183338147e+00,6.0172208540944232e-06,6.0172208540944232e-06,5.3862614594023382e-02,5,9.9367164165010491e-01
ghz_purity_low_egamma_txty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},TxTy,low_Egamma_TxTy_region_0,0,5.4338493425115608e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,7,1,1,1,1.3750250682541940e-02,1.9258853960692136e-02,2.3663745470909974e-02,9.5075569495931656e-01,5.5997284971201228e-04,5.5997284971201228e-04,2.7507629575081144e-01,1,9.8150461096277408e-01
ghz_purity_low_egamma_txty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},TxTy,low_Egamma_TxTy_region_0,0,5.4338493425115608e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{y,p}\rangle$","auxiliary lepton Tx, proton Ty",1.0000000000000000e+00,0,-1,-1,-1,1.5426715174996126e-02,1.7633451751628393e-02,2.3429087941434303e-02,8.5204840098248036e-01,5.4892216176746225e-04,5.4892216176746225e-04,2.6964784987732254e-01,2,9.8150461096277408e-01
