detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
w_purity_L_proton_region_0,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_0,0,2.2245473632472754e-01,5.1388737296193532e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,-1.4915172068054478e+01,-6.8350969659627708e+01,6.9959398305238594e+01,-1.7856429153444597e+00,4.8943174112310207e+03,2.4471587056155104e+03,2.1315981635006986e-01,1,8.7305117883101646e-01
w_purity_L_proton_region_0,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_0,0,2.2245473632472754e-01,5.1388737296193532e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=-1, proton L",5.0000000000000000e-01,0,-1,-1,-1,1.1230766230803921e+01,-5.1466057106782962e+01,5.2677178590444754e+01,-1.3559473871289069e+00,2.7748851442496111e+03,1.3874425721248056e+03,1.2085321773031704e-01,2,8.7305117883101646e-01
w_purity_L_proton_region_0,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_0,0,2.2245473632472754e-01,5.1388737296193532e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-1.1070393956574836e+01,5.0686380315419591e+01,5.1881237184873719e+01,1.7858291841450016e+00,2.6916627718331233e+03,1.3458313859165617e+03,1.1722867438136948e-01,3,8.7305117883101646e-01
w_purity_L_proton_region_0,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_0,0,2.2245473632472754e-01,5.1388737296193532e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-1.1070157633145479e+01,-5.0686431894944405e+01,5.1881237150472103e+01,-1.7858245218280810e+00,2.6916627682635267e+03,1.3458313841317633e+03,1.1722867422590458e-01,4,8.7305117883101646e-01
w_purity_L_proton_region_0,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_0,0,2.2245473632472754e-01,5.1388737296193532e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=+1, proton L",5.0000000000000000e-01,7,1,1,1,1.0116668594786521e+01,4.6436849042332994e+01,4.7526076341700694e+01,1.3562894438204711e+00,2.2587279324371625e+03,1.1293639662185813e+03,9.8373274720239087e-02,5,8.7305117883101646e-01
w_purity_L_proton_region_0,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_0,0,2.2245473632472754e-01,5.1388737296193532e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=-1, proton L",5.0000000000000000e-01,2,-1,1,-1,1.0117209322470670e+01,-4.6436731051776199e+01,4.7526076160879128e+01,-1.3562777986103840e+00,2.2587279152496835e+03,1.1293639576248418e+03,9.8373273971681205e-02,6,8.7305117883101646e-01
w_purity_L_proton_region_0,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_0,0,2.2245473632472754e-01,5.1388737296193532e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=-1, proton L",5.0000000000000000e-01,1,-1,-1,1,8.2635902381528208e+00,-3.7867097418751555e+01,3.8758276413500582e+01,-1.3559386256265586e+00,1.5022039905453155e+03,7.5110199527265775e+02,6.5424756884421661e-02,7,8.7305117883101646e-01
w_purity_L_proton_region_0,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_0,0,2.2245473632472754e-01,5.1388737296193532e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=+1, proton L",5.0000000000000000e-01,4,1,-1,-1,-6.6529536941945970e+00,-3.0487596506764884e+01,3.1205053014157819e+01,-1.7856466203090249e+00,9.7375533361639998e+02,4.8687766680819999e+02,4.2409490567013687e-02,8,8.7305117883101646e-01
w_purity_L_proton_region_1,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_1,1,2.1481070904349339e-01,5.0127008543788576e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,-1.0116219405101727e+01,-1.6339646122892952e+02,1.6370931994602270e+02,-1.6326295112502114e+00,2.6800741437189226e+04,1.3400370718594613e+04,3.3410309092424822e-01,1,9.8607254414737489e-01
w_purity_L_proton_region_1,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_1,1,2.1481070904349339e-01,5.0127008543788576e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=-1, proton L",5.0000000000000000e-01,1,-1,-1,1,9.3557513430362267e+00,-1.5110267656250761e+02,1.5139203726598871e+02,-1.5089587511386799e+00,2.2919548947546511e+04,1.1459774473773256e+04,2.8571941428975567e-01,2,9.8607254414737489e-01
w_purity_L_proton_region_1,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_1,1,2.1481070904349339e-01,5.0127008543788576e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-6.1142198351066579e+00,9.7502084089420535e+01,9.7693603096479364e+01,1.6334229290032991e+00,9.5440400859724432e+03,4.7720200429862216e+03,1.1897780142021104e-01,3,9.8607254414737489e-01
w_purity_L_proton_region_1,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_1,1,2.1481070904349339e-01,5.0127008543788576e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-6.1060394038705459e+00,-9.7502590593319496e+01,9.7693596973445992e+01,-1.6333390330835034e+00,9.5440388896100958e+03,4.7720194448050479e+03,1.1897778650613267e-01,4,9.8607254414737489e-01
w_purity_L_proton_region_1,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_1,1,2.1481070904349339e-01,5.0127008543788576e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=+1, proton L",5.0000000000000000e-01,7,1,1,1,4.3497436638467954e+00,7.1601516912781449e+01,7.1733517229761588e+01,1.5101215703452247e+00,5.1456974941525023e+03,2.5728487470762511e+03,6.4147234201958447e-02,5,9.8607254414737489e-01
w_purity_L_proton_region_1,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_1,1,2.1481070904349339e-01,5.0127008543788576e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=-1, proton L",5.0000000000000000e-01,2,-1,1,-1,4.3585913782623900e+00,-7.1600969126289556e+01,7.1733507502606713e+01,-1.5099979928141398e+00,5.1456960986265340e+03,2.5728480493132670e+03,6.4147216805068866e-02,6,9.8607254414737489e-01
w_purity_L_proton_region_2,enhanced_cluster,W_purity,P_W,L_proton,enhanced_region_2,2,1.9434240835825392e-01,5.1176346902627701e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},L_p)$","auxiliary lepton h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,3.9081050477066599e+00,7.5501692038065915e+00,8.5016668994979891e+00,1.0931536990523674e+00,7.2278340070019752e+01,3.6139170035009876e+01,1.8858351179386956e-01,1,8.7055618389223688e-01
