detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
w_purity_TxTx_region_0,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_0,0,5.1437698448262337e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,4,1,-1,-1,-1.2311978868085278e+01,-4.9140898790512615e+01,5.0659774551290525e+01,-1.8162873364369601e+00,2.5664127575875832e+03,2.5664127575875832e+03,3.3073401605779279e-01,1,9.8817286357419010e-01
w_purity_TxTx_region_0,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_0,0,5.1437698448262337e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,2,-1,1,-1,1.0846554294751343e+01,-4.3319247803872749e+01,4.4656522148084065e+01,-1.3254539439058810e+00,1.9942049703623227e+03,1.9942049703623227e+03,2.5699350844496194e-01,2,9.8817286357419010e-01
w_purity_TxTx_region_0,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_0,0,5.1437698448262337e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,6,1,1,-1,-9.8463037593394027e+00,-3.9295931583563927e+01,4.0510738536113088e+01,-1.8163095252100563e+00,1.6411199367413180e+03,1.6411199367413180e+03,2.1149138458194555e-01,3,9.8817286357419010e-01
w_purity_TxTx_region_0,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_0,0,5.1437698448262337e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,7.0783312694499854e+00,-2.8276791699718299e+01,2.9149266241010785e+01,-1.3255136887497305e+00,8.4967972238933100e+02,8.4967972238933100e+02,1.0949835957519538e-01,4,9.8817286357419010e-01
w_purity_TxTx_region_0,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_0,0,5.1437698448262337e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,5,1,-1,1,-4.2952360208967750e+00,-1.7130255711699874e+01,1.7660541136200649e+01,-1.8164711031866829e+00,3.1189471322343530e+02,3.1189471322343530e+02,4.0193920789477693e-02,5,9.8817286357419010e-01
w_purity_TxTx_region_0,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_0,0,5.1437698448262337e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,1,-1,-1,1,4.2394026194984624e+00,-1.6931868741304683e+01,1.7454532753499336e+01,-1.3254599750138172e+00,3.0466071364298114e+02,3.0466071364298114e+02,3.9261674124816875e-02,6,9.8817286357419010e-01
w_purity_TxTx_region_1,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_1,1,5.1302787332934119e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,4,1,-1,-1,1.1315628181538364e+00,8.1136720702027958e+00,8.1921980490108499e+00,1.4322264036248067e+00,6.7112108874217171e+01,6.7112108874217171e+01,4.8299759066747683e-01,1,9.6218663703215812e-01
w_purity_TxTx_region_1,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_1,1,5.1302787332934119e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-8.7324281368036993e-01,6.9279625999530419e+00,6.9827801625135324e+00,1.6961812154223876e+00,4.8759218797992517e+01,4.8759218797992517e+01,3.5091409877161955e-01,2,9.6218663703215812e-01
w_purity_TxTx_region_1,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_1,1,5.1302787332934119e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,6,1,1,-1,-1.2988846687394711e+00,3.1195814502146773e+00,3.3791847844132401e+00,1.9653304153091817e+00,1.1418889807209956e+01,1.1418889807209956e+01,8.2180345059886195e-02,3,9.6218663703215812e-01
w_purity_TxTx_region_1,enhanced_cluster,W_purity,P_W,TxTx,enhanced_region_1,1,5.1302787332934119e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell}\rangle\otimes|T_{x,p}\rangle$","auxiliary lepton Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,8.7332917977509483e-01,2.3753110082782523e+00,2.5307718669003902e+00,1.2184679188288263e+00,6.4048062422944865e+00,6.4048062422944865e+00,4.6094602533175683e-02,4,9.6218663703215812e-01
