detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
w_purity_Ty_electron_region_0,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_0,0,2.9993005690005953e-01,5.2957624809150672e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,3.4646055460562822e-03,1.2597611290842792e-01,1.2602374583826154e-01,1.5433011742565130e+00,1.5881984515106740e-02,7.9409922575533701e-03,4.9099142959182240e-01,1,9.3732752989097978e-01
w_purity_Ty_electron_region_0,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_0,0,2.9993005690005953e-01,5.2957624809150672e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-7.9899529528083338e-02,-9.6265669871387627e-03,8.0477360858609986e-02,-3.0216872168635649e+00,6.4766056107669308e-03,3.2383028053834654e-03,2.0022421283109415e-01,2,9.3732752989097978e-01
w_purity_Ty_electron_region_0,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_0,0,2.9993005690005953e-01,5.2957624809150672e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-5.2496055703584850e-02,1.1967698369816789e-02,5.3842935179137463e-02,2.9174500023527816e+00,2.8990616687047987e-03,1.4495308343523993e-03,8.9624469274497132e-02,3,9.3732752989097978e-01
w_purity_Ty_electron_region_0,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_0,0,2.9993005690005953e-01,5.2957624809150672e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-1.0686495310193260e-03,-3.8749001621016459e-02,3.8763734836128522e-02,-1.5983681009267918e+00,1.5026271384456838e-03,7.5131356922284191e-04,4.6453706471452069e-02,4,9.3732752989097978e-01
w_purity_Ty_electron_region_0,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_0,0,2.9993005690005953e-01,5.2957624809150672e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-3.6617159891788251e-02,8.3395144302734706e-03,3.7554811935004088e-02,2.9176634037338700e+00,1.4103638994735256e-03,7.0518194973676280e-04,4.3601389145577416e-02,5,9.3732752989097978e-01
w_purity_Ty_electron_region_0,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_0,0,2.9993005690005953e-01,5.2957624809150672e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-1.0720214832827179e-02,3.2841909238782725e-02,3.4547272084933273e-02,1.8863108975614897e+00,1.1935140085104097e-03,5.9675700425520486e-04,3.6897476428023969e-02,6,9.3732752989097978e-01
w_purity_Ty_electron_region_0,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_0,0,2.9993005690005953e-01,5.2957624809150672e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=+1",5.0000000000000000e-01,2,-1,1,-1,3.0762116084612282e-02,-3.0081471370740345e-03,3.0908845581830588e-02,-9.7477476040444433e-02,9.5535673520144831e-04,4.7767836760072416e-04,2.9534846148512487e-02,7,9.3732752989097978e-01
w_purity_Ty_electron_region_1,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_1,1,2.7709294586564293e-01,5.5194716014314027e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,4.9357314203600129e-02,1.5187695999343742e-01,1.5969582161797816e-01,1.2565804938432379e+00,2.5502755442241100e-02,1.2751377721120550e-02,5.4981391191935025e-01,1,9.2672544341568663e-01
w_purity_Ty_electron_region_1,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_1,1,2.7709294586564293e-01,5.5194716014314027e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-9.5748941643270330e-02,-3.1117319784527288e-02,1.0067843570685293e-01,-2.8273710154943967e+00,1.0136147416378919e-02,5.0680737081894595e-03,2.1852520506704790e-01,2,9.2672544341568663e-01
w_purity_Ty_electron_region_1,enhanced_cluster,W_purity,P_W,Ty_electron,enhanced_region_1,1,2.7709294586564293e-01,5.5194716014314027e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","auxiliary lepton Ty, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-1.3955767056666138e-02,-4.2942979011449438e-02,4.5153769283612581e-02,-1.8850134587629745e+00,2.0388628805177150e-03,1.0194314402588575e-03,4.3955845427896635e-02,3,9.2672544341568663e-01
