detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_e_gamma_L_electron_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_0,0,9.7880285400014186e-02,5.0002391115479250e-01,1.1058189583548117e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-1.2487612718944296e+04,2.0130740569455754e+06,2.0131127884991283e+06,1.5769995027304937e+00,4.0526230992187363e+12,2.0263115496093682e+12,4.8300085248963959e-01,1,9.5917353761490387e-01
c_e_gamma_L_electron_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_0,0,9.7880285400014186e-02,5.0002391115479250e-01,1.1058189583548117e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,1.8357658246719048e+05,1.9903846202327171e+06,1.9988324837487685e+06,1.4788248161267830e+00,3.9953312980892705e+12,1.9976656490446353e+12,4.7617268512526428e-01,2,9.5917353761490387e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,8.6993218249806478e-02,5.4105892278906742e-01,9.7926357572564005e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,8.2516181958335494e+01,1.7234219266811765e+03,1.7253962030937821e+03,1.5229535941292365e+00,2.9769920576504399e+06,1.4884960288252200e+06,5.1551685533734493e-01,1,9.9529243217226526e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,8.6993218249806478e-02,5.4105892278906742e-01,9.7926357572564005e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-9.1216645739436149e+02,8.2467317343679110e+02,1.2296883706783956e+03,2.4065269365911610e+00,1.5121334889816872e+06,7.5606674449084362e+05,2.6185165630081103e-01,2,9.9529243217226526e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,8.6993218249806478e-02,5.4105892278906742e-01,9.7926357572564005e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-3.8054716577552789e+01,-7.9477925854494640e+02,7.9568978331197172e+02,-1.6186406495837853e+00,6.3312223126705247e+05,3.1656111563352623e+05,1.0963589266830301e-01,3,9.9529243217226526e-01
c_e_gamma_L_electron_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_1,1,8.6993218249806478e-02,5.4105892278906742e-01,9.7926357572564005e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-5.8659314158276015e+02,5.3032735761230083e+02,7.9078354812424959e+02,2.4065277598311008e+00,6.2533861998397741e+05,3.1266930999198870e+05,1.0828802786580635e-01,4,9.9529243217226526e-01
c_e_gamma_L_electron_region_2,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_2,2,8.3390034868333823e-02,5.7725757312764991e-01,1.1880307723809911e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-3.7652980242886578e+01,6.9593707457978087e+02,6.9695491869692307e+02,1.6248476285623754e+00,4.8574615869583463e+05,2.4287307934791732e+05,5.8145069294457330e-01,1,9.9529555675695514e-01
c_e_gamma_L_electron_region_2,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_2,2,8.3390034868333823e-02,5.7725757312764991e-01,1.1880307723809911e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,3,-1,1,1,3.7259080512228877e+02,2.2584331788961325e+02,4.3569382861943808e+02,5.4492419180381169e-01,1.8982911229706428e+05,9.4914556148532138e+04,2.2723034842422060e-01,2,9.9529555675695514e-01
c_e_gamma_L_electron_region_2,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_2,2,8.3390034868333823e-02,5.7725757312764991e-01,1.1880307723809911e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-1.5163255861623965e+01,2.8025522675041685e+02,2.8066513222923260e+02,1.6248487911233191e+00,7.8772916449252618e+04,3.9386458224626309e+04,9.4293214747506932e-02,3,9.9529555675695514e-01
c_e_gamma_L_electron_region_2,enhanced_cluster,C_e_gamma,C_{e\gamma},L_electron,enhanced_region_2,2,8.3390034868333823e-02,5.7725757312764991e-01,1.1880307723809911e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_e,h_p)$","electron L, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-2.3749253084721425e+02,-1.4395440099641337e+02,2.7771491096887684e+02,-2.5966685855260638e+00,7.7125571774451193e+04,3.8562785887225597e+04,9.2321300640654205e-02,4,9.9529555675695514e-01
