detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_e_gamma_LL_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_0,0,4.5726467147382821e-01,1.0000000000000000e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,1,-1,-1,1,-1.0533888311558652e+00,1.4733281188798679e+00,1.8111664129742497e+00,2.1915003130136008e+00,3.2803237754860106e+00,3.2803237754860106e+00,3.6189135884908552e-01,1,9.9795473138864577e-01
c_e_gamma_LL_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_0,0,4.5726467147382821e-01,1.0000000000000000e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,3,-1,1,1,9.5128332865870369e-01,-1.3305671707536595e+00,1.6356494023082639e+00,-9.5010993409998534e-01,2.6753489672713813e+00,2.6753489672713813e+00,2.9514942408936207e-01,2,9.9795473138864577e-01
c_e_gamma_LL_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_0,0,4.5726467147382821e-01,1.0000000000000000e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,1.1119359870689907e+00,7.0144219024689469e-01,1.3146949401277284e+00,5.6278044439277963e-01,1.7284227855974512e+00,1.7284227855974512e+00,1.9068278418733511e-01,3,9.9795473138864577e-01
c_e_gamma_LL_region_0,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_0,0,4.5726467147382821e-01,1.0000000000000000e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,9.9401583452064157e-01,6.1129871469777419e-01,1.1669419856483518e+00,5.5136061863738406e-01,1.3617535978689181e+00,1.3617535978689181e+00,1.5023116426286307e-01,4,9.9795473138864577e-01
c_e_gamma_LL_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_1,1,4.5726467146021754e-01,1.0000000000000002e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,1,-1,-1,1,-1.0533887913054987e+00,-1.4733280631450130e+00,1.8111663444583701e+00,-2.1915003130129325e+00,3.2803235272986955e+00,3.2803235272986955e+00,3.6189135885570328e-01,1,9.9795473138888946e-01
c_e_gamma_LL_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_1,1,4.5726467146021754e-01,1.0000000000000002e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,3,-1,1,1,-9.5128329265348432e-01,-1.3305671204464280e+00,1.6356493404439576e+00,-2.1914827194707702e+00,2.6753487648947534e+00,2.6753487648947534e+00,2.9514942409902423e-01,2,9.9795473138888946e-01
c_e_gamma_LL_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_1,1,4.5726467146021754e-01,1.0000000000000002e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,1.1119359448239738e+00,-7.0144216381592439e-01,1.3146948902959763e+00,-5.6278044453330667e-01,1.7284226545703492e+00,1.7284226545703492e+00,1.9068278416261514e-01,3,9.9795473138888946e-01
c_e_gamma_LL_region_1,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_1,1,4.5726467146021754e-01,1.0000000000000002e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,9.9401579702866183e-01,-6.1129869143549542e-01,1.1669419415263447e+00,-5.5136061848737561e-01,1.3617534948932748e+00,1.3617534948932748e+00,1.5023116427154681e-01,4,9.9795473138888946e-01
c_e_gamma_LL_region_2,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_2,2,1.8394674574047484e-01,9.9999999999999956e-01,1.6900621457011935e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,3,-1,1,1,5.3415140416748514e+01,3.1887395817977522e+00,5.3510235337377132e+01,5.9626533986897358e-02,2.8633452858614842e+03,2.8633452858614842e+03,6.9572298759199758e-01,1,9.7838567061146420e-01
c_e_gamma_LL_region_2,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_2,2,1.8394674574047484e-01,9.9999999999999956e-01,1.6900621457011935e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,1,-1,-1,1,-3.4047119851661265e+01,-2.0325958248452793e+00,3.4107738359213521e+01,-3.0819639319700367e+00,1.1633378159805654e+03,1.1633378159805654e+03,2.8266268301946657e-01,2,9.7838567061146420e-01
c_e_gamma_LL_region_3,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_3,3,1.8394674573907235e-01,9.9999999999999989e-01,1.6900621457011935e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,3,-1,1,1,-5.3415140416633974e+01,3.1887395818409403e+00,5.3510235337265371e+01,3.0819661196019625e+00,2.8633452858495234e+03,2.8633452858495234e+03,6.9572298759096762e-01,1,9.7838567061129189e-01
c_e_gamma_LL_region_3,enhanced_cluster,C_e_gamma,C_{e\gamma},LL,enhanced_region_3,3,1.8394674573907235e-01,9.9999999999999989e-01,1.6900621457011935e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,1,-1,-1,1,-3.4047119851666061e+01,2.0325958248617191e+00,3.4107738359219283e+01,3.0819639319695642e+00,1.1633378159809586e+03,1.1633378159809586e+03,2.8266268302032432e-01,2,9.7838567061129189e-01
c_e_gamma_low_egamma_ll_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},LL,low_Egamma_LL_region_0,0,4.5726467147382821e-01,1.0000000000000000e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,1,-1,-1,1,-1.0533888311558652e+00,1.4733281188798679e+00,1.8111664129742497e+00,2.1915003130136008e+00,3.2803237754860106e+00,3.2803237754860106e+00,3.6189135884908552e-01,1,9.9795473138864577e-01
c_e_gamma_low_egamma_ll_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},LL,low_Egamma_LL_region_0,0,4.5726467147382821e-01,1.0000000000000000e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,3,-1,1,1,9.5128332865870369e-01,-1.3305671707536595e+00,1.6356494023082639e+00,-9.5010993409998534e-01,2.6753489672713813e+00,2.6753489672713813e+00,2.9514942408936207e-01,2,9.9795473138864577e-01
c_e_gamma_low_egamma_ll_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},LL,low_Egamma_LL_region_0,0,4.5726467147382821e-01,1.0000000000000000e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,1.1119359870689907e+00,7.0144219024689469e-01,1.3146949401277284e+00,5.6278044439277963e-01,1.7284227855974512e+00,1.7284227855974512e+00,1.9068278418733511e-01,3,9.9795473138864577e-01
c_e_gamma_low_egamma_ll_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},LL,low_Egamma_LL_region_0,0,4.5726467147382821e-01,1.0000000000000000e+00,2.6158616019679810e+00,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,9.9401583452064157e-01,6.1129871469777419e-01,1.1669419856483518e+00,5.5136061863738406e-01,1.3617535978689181e+00,1.3617535978689181e+00,1.5023116426286307e-01,4,9.9795473138864577e-01
