selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest
C_e_p,C_{ep},TxTy,enhanced_region_0,0,1,9.9293867593218332e-01,1.0000000000000004e+00,3.0604731266896685e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9976537945658412e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.4726215563702159e+00,4.6142142099600090e+00,2.5000000000000000e-01,7.8539816339744828e-01,1.9409785811104651e+01,9.7994749862548303e-01,-1.7740166087814107e+01,1.2770231929692009e+00,9.5982580222443781e-01,1.3964780652747507e+02,1.2622990076232676e-01,9.6103976240742495e-01,1.2622990076232676e-01,9.6103976240742495e-01,6.3638128011674391e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8174330594740196e-06,0.0000000000000000e+00,1.4391668182015670e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0545053225152755e-06,5.2782507946514547e-06,1.4022976717233580e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.6375823029170246e-06,0.0000000000000000e+00,1.8901707278682713e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6358117425488742e-06,0.0000000000000000e+00,1.9352502990632951e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.3862637877070988e-06,2.1736445281346395e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.3684305475892533e-06,2.1736456238455703e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5086736542759350e-06,5.2881014758864443e-06,1.4208929798723480e-03,1.0884663327849838e-05,1.4209248891090829e-03,1.4209029133309063e-03,3.1519297432868741e-05,5.4232995084149510e-06,5.0340936781234017e-04,4.7439194111801832e-05,5.0561067093121128e-04,5.0465641463650430e-04,4.3301700027868555e-05,5.2680609859553200e-06,2.4872381094731438e-03,5.6370614208228783e-05,2.4878712921136059e-03,2.4875000062575640e-03,9.9272723570472821e-01,2.1735395632380833e-03,1.8910566505860177e-03,9.9977852767772524e-01,9.9977795344490306e-01,1.1854668274898976e-01,9.9293867593218332e-01,2.1897386009500832e-03,1.9352165254000672e-03,9.9999592587753083e-01,9.9999540092280570e-01,1.1861020128976672e-01
C_e_p,C_{ep},TxTy,enhanced_region_0,0,2,9.9293854393793834e-01,9.9999999999999978e-01,3.0690686169849482e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9897500040176181e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.4726215563702159e+00,4.6142142099600090e+00,2.5000000000000000e-01,8.8357293382212931e-01,1.9471628391365215e+01,9.8329339934667936e-01,-1.7670642478140120e+01,1.2106757942747661e+00,9.5960750320859800e-01,1.4478032121070993e+02,9.3720505139873705e-02,9.9421346175245251e-01,9.3720505139873705e-02,9.9421346175245251e-01,6.4465454548811539e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9737285141326406e-06,0.0000000000000000e+00,1.2559191784641101e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0072545354804143e-06,4.4702908247764336e-06,1.2203837852904909e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.5591856994416930e-06,0.0000000000000000e+00,1.8020187514331822e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7907412042490410e-06,0.0000000000000000e+00,1.8396501336413117e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.5463633936549555e-06,2.0902213620086372e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.5279694789752807e-06,2.0902190067059278e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5550174227563435e-06,4.4889776613564966e-06,1.2382931887904196e-03,1.0557312335739336e-05,1.2383301949170770e-03,1.2383014675575350e-03,3.9688134446826824e-05,4.5806639805132887e-06,5.8755947600786656e-04,5.7423402930998404e-05,5.9034127243256650e-04,5.8902347475001202e-04,5.1454647943651877e-05,4.4626202779487676e-06,2.2968244229523193e-03,6.6634112512857605e-05,2.2977865194823651e-03,2.2972146663893323e-03,9.9272374278147446e-01,2.0901228899312483e-03,1.8029170401844296e-03,9.9977562490375760e-01,9.9977506572890673e-01,1.1855006834228971e-01,9.9293854393793834e-01,2.1024087610610684e-03,1.8396206419710607e-03,9.9999576217930353e-01,9.9999524422036867e-01,1.1860841692336495e-01
C_e_p,C_{ep},TxTy,enhanced_region_1,1,1,9.9293856068285624e-01,9.9999999999999989e-01,3.0604731266896685e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9976537945658412e+00,1.5707949999999999e+00,1.6689710972195773e+00,1.6689710972195773e+00,4.8105637508093704e+00,2.5000000000000000e-01,2.3561944901923448e+00,1.9409785811104651e+01,9.7994749862548280e-01,-1.7740166087814107e+01,1.2770231929692026e+00,9.5982580222443803e-01,1.3964780652747507e+02,1.2622990076232687e-01,9.6103976240742484e-01,1.2622990076232687e-01,9.6103976240742484e-01,6.3638124872283101e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8174330676124477e-06,0.0000000000000000e+00,1.4391666297289402e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0545053225149299e-06,5.2782523487389857e-06,1.4022976272709737e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.6375823030561142e-06,0.0000000000000000e+00,1.8901668239875583e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6358115702250830e-06,0.0000000000000000e+00,1.9352470686756751e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.3862639898260948e-06,2.1736419308644108e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.3684307931727082e-06,2.1736416606936365e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5086736524462744e-06,5.2881014572550280e-06,1.4208929274968031e-03,1.0884632728155063e-05,1.4209248888746814e-03,1.4209029133309063e-03,5.1286404954214723e-05,5.1799014130015459e-06,3.3585381141159804e-03,6.3024404458565908e-05,3.3591256211457348e-03,3.3587380776903038e-03,4.3301700043828059e-05,5.2680610072033668e-06,2.4872381078569696e-03,5.6370610269215239e-05,2.4878712920689806e-03,2.4875000062575640e-03,9.9272723377828265e-01,2.1735397008666576e-03,1.8910536731652865e-03,9.9977852767772524e-01,9.9977795344490294e-01,1.1854668274898789e-01,9.9293856068285624e-01,2.1897977484706208e-03,1.9352842400331971e-03,9.9999577473476164e-01,9.9999524978080867e-01,1.1860988507788789e-01
C_e_p,C_{ep},TxTy,enhanced_region_1,1,2,9.9293839756805713e-01,1.0000000000000000e+00,3.0690686169849482e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9897500040176181e+00,1.5707949999999999e+00,1.6689710972195773e+00,1.6689710972195773e+00,4.8105637508093704e+00,2.5000000000000000e-01,2.2580197197676637e+00,1.9471628391365215e+01,9.8329339934667959e-01,-1.7670642478140120e+01,1.2106757942747661e+00,9.5960750320859778e-01,1.4478032121070993e+02,9.3720505139873775e-02,9.9421346175245251e-01,9.3720505139873775e-02,9.9421346175245251e-01,6.4465452940380921e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9737285168735528e-06,0.0000000000000000e+00,1.2559192179430688e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0072545354550778e-06,4.4702901582321636e-06,1.2203838134359033e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.5591860611891614e-06,0.0000000000000000e+00,1.8020124733542063e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7907414996676819e-06,0.0000000000000000e+00,1.8396524566378044e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.5463633940218478e-06,2.0902178445884726e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.5279696442808738e-06,2.0902196706344715e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5550176668075200e-06,4.4889821536313882e-06,1.2382932750024541e-03,1.0557270271047068e-05,1.2383301950963867e-03,1.2383014675575350e-03,5.9718579011951313e-05,4.4007200569334362e-06,3.0835358835363106e-03,7.3614862760277585e-05,3.0844113421838429e-03,3.0838363097046538e-03,5.1454647909947989e-05,4.4626204639733811e-06,2.2968244454076477e-03,6.6634107514413008e-05,2.2977865194823651e-03,2.2972146662926739e-03,9.9272374364275595e-01,2.0901279644554840e-03,1.8029201605879893e-03,9.9977562490375738e-01,9.9977506572890662e-01,1.1855006834229158e-01,9.9293839756805713e-01,2.1024660268939913e-03,1.8396901008947192e-03,9.9999557927473637e-01,9.9999506130740656e-01,1.1860809564278678e-01
C_e_p,C_{ep},TxTy,enhanced_region_2,2,1,9.9293712082126229e-01,9.9999999999999978e-01,3.0623937441628826e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.1915955515757277e+00,1.5707949999999999e+00,1.6689710972195773e+00,1.6689710972195773e+00,4.8105637508093704e+00,2.5000000000000000e-01,4.0251655874119221e+00,1.7834901487394092e+01,8.9740275032310290e-01,-1.9453310495901633e+01,2.9188525056082422e+00,9.6306988973052310e-01,4.3912763252200889e+01,9.4932961034106977e-01,1.4012510608728221e-01,9.4932961034106977e-01,1.4012510608728221e-01,6.5424402564097934e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.3287986612590421e-06,2.9109966195243437e-05,1.7278000153046794e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9011783232643687e-06,3.6335737693861302e-05,1.6866060150004065e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5368216431338606e-06,0.0000000000000000e+00,2.0819695696460095e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.1038927427883519e-06,0.0000000000000000e+00,2.1409710035981112e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7975969836642647e-06,2.3996784328441244e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7753705347494278e-06,2.3996809093209844e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0029762881341564e-05,3.6356571019646595e-05,1.7074085933215257e-03,3.7718486086740819e-05,1.7074382138441537e-03,1.7077957894151600e-03,1.6779841166253178e-05,3.5353527625913323e-05,3.8464454340096477e-03,3.9254059667918603e-05,3.8464835140017092e-03,3.8466093811778262e-03,1.2453823319157426e-05,3.6254096544630257e-05,2.8352276384738628e-03,3.8631897676677813e-05,2.8352592989943195e-03,2.8354637281910941e-03,9.9271496392317893e-01,2.3980922809150101e-03,2.0821214506170386e-03,9.9976592868466718e-01,9.9976522069427964e-01,1.1854637870314839e-01,9.9293712082126229e-01,2.4228420453566981e-03,2.1409322187334670e-03,9.9999525358389885e-01,9.9999461028374947e-01,1.1862108636893338e-01
C_e_p,C_{ep},TxTy,enhanced_region_2,2,2,9.9293698974396261e-01,9.9999999999999989e-01,3.0719834711078846e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.1999631157158444e+00,1.5707949999999999e+00,1.6689710972195773e+00,1.6689710972195773e+00,4.8105637508093704e+00,2.5000000000000000e-01,4.1233403578366037e+00,1.7764416313939098e+01,8.9381563876195691e-01,-1.9527509503667350e+01,2.9902380424169031e+00,9.6311352044214671e-01,3.7738312371569322e+01,9.8597893254486990e-01,1.0443233768074808e-01,9.8597893254486990e-01,1.0443233768074808e-01,6.6916826501424728e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.5908855548054336e-06,3.6303553954628358e-05,1.5310374132835427e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9215482872163950e-06,4.2782539431332784e-05,1.4909152435678196e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5070886891667358e-06,0.0000000000000000e+00,1.9988732156289561e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.3725634975182750e-06,0.0000000000000000e+00,2.0490343157893061e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0679457636058424e-06,2.3247194235406429e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0444223566157995e-06,2.3247215453699945e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0061421155581647e-05,4.2801609729999189e-05,1.5111614198247067e-03,4.3971061910796852e-05,1.5111951738721624e-03,1.5117677067934211e-03,1.7072696610781312e-05,4.1754664267794328e-05,3.5627361393203568e-03,4.5143322992910139e-05,3.5627775593318933e-03,3.5629813235605891e-03,1.2626340262072591e-05,4.2695326847477913e-05,2.6363481065252406e-03,4.4704971189383760e-05,2.6363815572859241e-03,2.6366970212045489e-03,9.9270968970766282e-01,2.3228987734470441e-03,1.9989833120757639e-03,9.9976120187938489e-01,9.9976050173629372e-01,1.1854926340688231e-01,9.9293698974396261e-01,2.3427901837475631e-03,2.0489895090436117e-03,9.9999496853762360e-01,9.9999432338589489e-01,1.1861815103254118e-01
C_e_p,C_{ep},TxTy,enhanced_region_3,3,1,9.9293711633907944e-01,1.0000000000000000e+00,3.0623937441628826e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.1915955515757277e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.4726215563702159e+00,4.6142142099600090e+00,2.5000000000000000e-01,5.3996123733574573e+00,1.7834901487394092e+01,8.9740275032310279e-01,-1.9453310495901633e+01,2.9188525056082422e+00,9.6306988973052321e-01,4.3912763252200861e+01,9.4932961034106977e-01,1.4012510608728207e-01,9.4932961034106977e-01,1.4012510608728207e-01,6.5424402304282233e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.3287986622584308e-06,2.9109966195465383e-05,1.7278001164561835e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9011783232522002e-06,3.6335739338858870e-05,1.6866059963347366e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5368222965052165e-06,0.0000000000000000e+00,2.0819793090172470e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.1038929058693214e-06,0.0000000000000000e+00,2.1409710798491761e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7975968391154004e-06,2.3996792275814893e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7753708346105871e-06,2.3996764654560404e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0029762881344478e-05,3.6356571017728336e-05,1.7074083958377485e-03,3.7718483143295350e-05,1.7074382141042447e-03,1.7077957895451784e-03,3.5330297495693215e-06,3.7364440280925071e-05,4.2786715930132410e-04,3.7939957099305189e-05,4.2791786151789667e-04,4.2953150690635855e-04,1.2453823276536293e-05,3.6254097238008216e-05,2.8352278964424360e-03,3.8631894802827100e-05,2.8352592989160041e-03,2.8354637281910941e-03,9.9271496524618219e-01,2.3981011342528932e-03,2.0821239677578235e-03,9.9976592868466718e-01,9.9976522069427964e-01,1.1854637870314652e-01,9.9293711633907944e-01,2.4230778623236414e-03,2.1410126811861260e-03,9.9999527928072318e-01,9.9999463559818891e-01,1.1862134030380443e-01
C_e_p,C_{ep},TxTy,enhanced_region_3,3,2,9.9293698848494527e-01,1.0000000000000000e+00,3.0719834711078846e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.1999631157158444e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.4726215563702159e+00,4.6142142099600090e+00,2.5000000000000000e-01,5.3014376029327757e+00,1.7764416313939090e+01,8.9381563876195669e-01,-1.9527509503667350e+01,2.9902380424169093e+00,9.6311352044214649e-01,3.7738312371569300e+01,9.8597893254487001e-01,1.0443233768074794e-01,9.8597893254487001e-01,1.0443233768074794e-01,6.6916827389806224e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.5908855595292685e-06,3.6303553961796588e-05,1.5310375337977619e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9215482872185092e-06,4.2782539431513243e-05,1.4909151462152322e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5070883114610498e-06,0.0000000000000000e+00,1.9988754328597452e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.3725634483864051e-06,0.0000000000000000e+00,2.0490342977781298e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0679459561123637e-06,2.3247229785687022e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0444223888062177e-06,2.3247195936253627e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0061421230328193e-05,4.2801618452505739e-05,1.5111613915725563e-03,4.3971056861007103e-05,1.5111951737986958e-03,1.5117677067934211e-03,3.3166955679914373e-06,4.3849264618155031e-05,5.2468962450941559e-04,4.4230283703449779e-05,5.2472167678156028e-04,5.2654021240684465e-04,1.2626340238484904e-05,4.2695325966552887e-05,2.6363482184785254e-03,4.4704963739050468e-05,2.6363815571174777e-03,2.6366970212045489e-03,9.9270969012262644e-01,2.3228908684551621e-03,1.9989833120759443e-03,9.9976120187938455e-01,9.9976050173629349e-01,1.1854926340688043e-01,9.9293698848494527e-01,2.3430618197469674e-03,2.0490851889299853e-03,9.9999499603372544e-01,9.9999435043857288e-01,1.1861840269118744e-01
C_e_p,C_{ep},TxTx,enhanced_region_0,0,1,9.9293485576455121e-01,1.0000000000000000e+00,3.1305168069599549e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9635207523893667e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.4726215563702154e+00,1.9685070695467285e+01,9.9439285490788254e-01,-1.7482167033908716e+01,9.9084343748921999e-01,9.5929784761815717e-01,1.7500959926642400e+02,2.6778093683152548e-03,1.1041296401473977e+00,2.6778093683152548e-03,1.1041296401473977e+00,8.8849362764700941e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8970408093322044e-06,7.1015747513239591e-07,2.1338243660611720e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8963296273510654e-06,6.9289985268518301e-07,2.1336913709553307e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8860047078282834e-06,0.0000000000000000e+00,3.3941858773414183e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8848355197250024e-06,0.0000000000000000e+00,3.3601294168232517e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8853822514401452e-06,2.9942882487701044e-05,9.0153950592678493e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8853642588567817e-06,2.9946412585533041e-05,4.3043053805185368e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8971969615125341e-06,7.0472503487810727e-07,2.1338474540017635e-04,8.9250492220161268e-06,2.1357016074746149e-04,2.1338591965658877e-04,2.8376968954302697e-04,6.9927840161550615e-07,2.4755334382966214e-04,3.8558287492171226e-04,4.5820991198152925e-04,3.5976600190061169e-04,2.9274663693775973e-04,6.9290665569903646e-07,2.1610200643580948e-04,3.9220189640302636e-04,4.4779674600270637e-04,3.3885367483108486e-04,9.9293485576455121e-01,3.0325568493874590e-05,3.3121886628182870e-05,9.9999999721934107e-01,9.9999999730798617e-01,1.1866072455582369e-01,9.9293468149890463e-01,2.9944902967198039e-05,3.3789488849010653e-05,9.9999996576730210e-01,9.9999996589006390e-01,1.1866191714886705e-01
C_e_p,C_{ep},TxTx,enhanced_region_0,0,2,9.9293485571110607e-01,1.0000000000000000e+00,3.1305168069599549e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9635207523893667e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,1.6689710972195777e+00,1.9685070695467285e+01,9.9439285490788254e-01,-1.7482167033908716e+01,9.9084343748922010e-01,9.5929784761815717e-01,1.7500959926642400e+02,2.6778093683152131e-03,1.1041296401473979e+00,2.6778093683152131e-03,1.1041296401473979e+00,8.8849376316802158e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8970441811999105e-06,7.1015747512637054e-07,2.1338243727690116e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8963296275223930e-06,6.9290015162470955e-07,2.1336906467302267e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8863843212883956e-06,0.0000000000000000e+00,3.3942431073517425e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8852274906613020e-06,0.0000000000000000e+00,3.3601232711246763e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8859201263312003e-06,2.9944902356440149e-05,9.0036839599696192e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8856118066297537e-06,2.9940902050964596e-05,4.3133938462336451e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8971969299512344e-06,7.0472725764202290e-07,2.1338472702205809e-04,8.9250741007915734e-06,2.1357015970778156e-04,2.1338591861601118e-04,3.0145324266237070e-04,6.9417442591232070e-07,1.7922673617802882e-04,3.9870856094721566e-04,4.3713871718428402e-04,3.1657018540302053e-04,2.9274663694777450e-04,6.9290586911729815e-07,2.1610200911436052e-04,3.9220189640302636e-04,4.4779674600270637e-04,3.3885367483108486e-04,9.9293485571110607e-01,3.0324755507875766e-05,3.3124786238604431e-05,9.9999999721934096e-01,9.9999999730798639e-01,1.1866072455582369e-01,9.9293468147397512e-01,2.9940796252344473e-05,3.3790001340531263e-05,9.9999996561074245e-01,9.9999996573351957e-01,1.1866191714449958e-01
