detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_p_gamma_lepton_electron_unpolarized_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_0,0,6.8083988921064809e-01,6.5374362027823862e-01,3.0434178831651124e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,-3.9724164183660974e+02,-1.9266469238507120e+03,1.9671729184777978e+03,-1.7741298484871468e+00,3.8697692911924566e+06,1.9348846455962283e+06,5.7581077233954137e-01,1,9.9982790381620656e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_0,0,6.8083988921064809e-01,6.5374362027823862e-01,3.0434178831651124e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-2.3936772243335267e+02,1.1383965517817230e+03,1.1632899963686818e+03,1.7780446460513535e+00,1.3532436156514478e+06,6.7662180782572390e+05,2.0135883895334286e-01,2,9.9982790381620656e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_0,0,6.8083988921064809e-01,6.5374362027823862e-01,3.0434178831651124e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-2.3924867744041069e+02,-1.1384211035222941e+03,1.1632895334360674e+03,-1.7779401583164141e+00,1.3532425386019032e+06,6.7662126930095162e+05,2.0135867869140384e-01,3,9.9982790381620656e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_0,0,6.8083988921064809e-01,6.5374362027823862e-01,3.0434178831651124e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=-1, proton L",5.0000000000000000e-01,1,-1,-1,1,7.6418273014559418e+01,-3.7054759861406183e+02,3.7834544438802965e+02,-1.3674169962756688e+00,1.4314527528917562e+05,7.1572637644587812e+04,2.1299613831918546e-02,4,9.9982790381620656e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_1,1,6.1760119422655702e-01,5.3161863797204234e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,-1.1891800591931643e+02,-1.5036674529430902e+03,1.5083624568293217e+03,-1.6497173729723134e+00,2.2751573011721871e+06,1.1375786505860935e+06,3.6307858834850704e-01,1,9.9970769370700296e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_1,1,6.1760119422655702e-01,5.3161863797204234e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-1.1795193051539152e+02,1.2771245112605350e+03,1.2825598134881538e+03,1.6628924873669404e+00,1.6449596751747681e+06,8.2247983758738404e+05,2.6250916208956793e-01,2,9.9970769370700296e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_1,1,6.1760119422655702e-01,5.3161863797204234e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-1.1760336785456676e+02,-1.2771520868966311e+03,1.2825552639926111e+03,-1.6626198897341289e+00,1.6449480051951564e+06,8.2247400259757822e+05,2.6250729974812836e-01,3,9.9970769370700296e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_1,1,6.1760119422655702e-01,5.3161863797204234e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=-1, proton L",5.0000000000000000e-01,1,-1,-1,1,6.5952220414923886e+01,-8.3369537625153623e+02,8.3629999148681645e+02,-1.4918524372645738e+00,6.9939767576084926e+05,3.4969883788042463e+05,1.1161264352079968e-01,4,9.9970769370700296e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_2,2,5.3924597027357957e-01,5.0173712150063321e-01,2.8470683423157501e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,6.2645992348205269e+01,-3.4184727067582762e+03,3.4190466752018092e+03,-1.5524726523686891e+00,1.1689880167208545e+07,5.8449400836042725e+06,2.8320646041913827e-01,1,9.8457631613581742e-01
c_p_gamma_lepton_electron_unpolarized_proton_L_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_electron_unpolarized_proton_L,enhanced_region_2,2,5.3924597027357957e-01,5.0173712150063321e-01,2.8470683423157501e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$","electron h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-5.6071610021933782e+02,-3.0876657665029511e+03,3.1381654562306685e+03,-1.7504373634282737e+00,9.8480824306794405e+06,4.9240412153397202e+06,2.3858589884712478e-01,2,9.8457631613581742e-01
