detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_p_gamma_LTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,9.9998666423618132e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,k,2.2244176666143929e+00,-1.3620629517521631e-16,-2.2244176079184372e+00,-2.9513459302684256e-06,2.2244176079203952e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9629592675056502e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,1.5630124787261473e-11,1.4703866372218043e-10,-1.1458340277695557e-02,9.8614342077340467e-01,5.1511640886851423e-03
c_p_gamma_LTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,9.9998666423618132e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,p,2.4140997689462407e+00,1.3620629517521631e-16,2.2244176079184372e+00,2.9513459302684256e-06,2.2244176079203952e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9629592675056502e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,1.5630124787261473e-11,1.4703866372218043e-10,-1.1458340277695557e-02,9.8614342077340467e-01,5.1511640886851423e-03
c_p_gamma_LTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,9.9998666423618132e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,kp,2.2129593265035554e+00,-1.5308084989341915e-17,-2.2129592675056502e+00,0.0000000000000000e+00,2.2129592675056502e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9629592675056502e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,1.5630124787261473e-11,1.4703866372218043e-10,-1.1458340277695557e-02,9.8614342077340467e-01,5.1511640886851423e-03
c_p_gamma_LTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,9.9998666423618132e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,pp,2.1755581090576088e+00,0.0000000000000000e+00,1.9629592675056502e+00,0.0000000000000000e+00,1.9629592675056502e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9629592675056502e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,1.5630124787261473e-11,1.4703866372218043e-10,-1.1458340277695557e-02,9.8614342077340467e-01,5.1511640886851423e-03
c_p_gamma_LTx_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_0,0,9.9998666423618132e-01,1.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,1.5308084989341915e-17,2.5000000000000000e-01,0.0000000000000000e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9629592675056502e+00,1.5707949999999999e+00,1.5707963267948966e+00,2.5000000000000000e-01,1.5707963267948966e+00,1.5630124787261473e-11,1.4703866372218043e-10,-1.1458340277695557e-02,9.8614342077340467e-01,5.1511640886851423e-03
c_p_gamma_LTx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,9.9964985607084311e-01,1.0000000000000000e+00,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,k,2.2244176666143929e+00,-1.3620629517521631e-16,-2.2244176079184372e+00,-2.9513459302684256e-06,2.2244176079203952e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.7671458676442586e+00,3.9495704098772857e-02,5.2778406375567945e-02,-2.8348330052338994e-01,1.5886790396854147e+00,3.6263362727915978e-02
c_p_gamma_LTx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,9.9964985607084311e-01,1.0000000000000000e+00,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,p,2.4140997689462407e+00,1.3620629517521631e-16,2.2244176079184372e+00,2.9513459302684256e-06,2.2244176079203952e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.7671458676442586e+00,3.9495704098772857e-02,5.2778406375567945e-02,-2.8348330052338994e-01,1.5886790396854147e+00,3.6263362727915978e-02
c_p_gamma_LTx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,9.9964985607084311e-01,1.0000000000000000e+00,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,kp,2.1480101668547480e+00,1.9509032201612819e-01,-2.1391323432754410e+00,0.0000000000000000e+00,2.1480101060729289e+00,4.8033380579240825e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.7671458676442586e+00,3.9495704098772857e-02,5.2778406375567945e-02,-2.8348330052338994e-01,1.5886790396854147e+00,3.6263362727915978e-02
c_p_gamma_LTx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,9.9964985607084311e-01,1.0000000000000000e+00,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,pp,1.4905072687057508e+00,0.0000000000000000e+00,1.1583470628722106e+00,0.0000000000000000e+00,1.1583470628722106e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.7671458676442586e+00,3.9495704098772857e-02,5.2778406375567945e-02,-2.8348330052338994e-01,1.5886790396854147e+00,3.6263362727915978e-02
c_p_gamma_LTx_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},LTx,enhanced_region_1,1,9.9964985607084311e-01,1.0000000000000000e+00,1.9634954084936207e-01,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-1.9509032201612819e-01,9.8078528040323043e-01,0.0000000000000000e+00,9.9999999999999989e-01,1.7671458676442586e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.7671458676442586e+00,3.9495704098772857e-02,5.2778406375567945e-02,-2.8348330052338994e-01,1.5886790396854147e+00,3.6263362727915978e-02
