detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_lepton_electron_L_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_electron_L_proton_Tx,enhanced_region_0,0,1.6765287642903477e-02,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-3.8881016000909385e-01,1.8507985223684610e+01,1.8512068776359225e+01,1.5918009349923050e+00,3.4269669038065416e+02,3.4269669038065416e+02,9.6310173009399980e-01,1,9.9407863393332574e-01
f3_lepton_electron_L_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_electron_L_proton_Tx,enhanced_region_0,0,1.6765287642903477e-02,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-1.1972383095821852e+00,-3.0966126586724974e+00,3.3199984228583546e+00,-1.9397225583184090e+00,1.1022389527781961e+01,1.1022389527781961e+01,3.0976903839325977e-02,2,9.9407863393332574e-01
f3_lepton_electron_L_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_electron_L_proton_Tx,enhanced_region_1,1,1.1926819644708070e-02,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-4.0349176455210495e-01,1.5566664350438703e+01,1.5571892775230651e+01,1.5967107699068239e+00,2.4248384460328055e+02,2.4248384460328055e+02,9.9538980136376320e-01,1,9.9538980136376320e-01
f3_lepton_electron_L_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_electron_L_proton_Tx,enhanced_region_2,2,1.0072974102557215e-02,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-1.1251887543058455e+01,4.9161876099959521e+01,5.0433074811569888e+01,1.7957952627737570e+00,2.5434950349494052e+03,2.5434950349494052e+03,9.2711707307106561e-01,1,9.9588727859823978e-01
f3_lepton_electron_L_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_electron_L_proton_Tx,enhanced_region_2,2,1.0072974102557215e-02,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,1.2283308012631363e+01,6.1471656658655913e+00,1.3735621626150401e+01,4.6400651363643064e-01,1.8866730145677059e+02,1.8866730145677059e+02,6.8770205527174139e-02,2,9.9588727859823978e-01
f3_lepton_electron_L_proton_Tx_region_3,enhanced_cluster,F3,F_3,lepton_electron_L_proton_Tx,enhanced_region_3,3,8.4721943697308229e-03,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-2.7157631061997868e+01,1.2878818415268580e+02,1.3162041369880927e+02,1.7786221241925608e+00,1.7323933302245699e+04,1.7323933302245699e+04,8.1092072609712007e-01,1,9.9550035851324836e-01
f3_lepton_electron_L_proton_Tx_region_3,enhanced_cluster,F3,F_3,lepton_electron_L_proton_Tx,enhanced_region_3,3,8.4721943697308229e-03,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-5.6652168656351790e+01,-2.7087999146276474e+01,6.2795126492558346e+01,-2.6955807198012649e+00,3.9432279112164028e+03,3.9432279112164028e+03,1.8457963241612832e-01,2,9.9550035851324836e-01
f3_low_egamma_ltx_region_0,egamma_region_max,F3,F_3,lepton_electron_L_proton_Tx,low_Egamma_lepton_electron_L_proton_Tx_region_0,0,1.6765287642903477e-02,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-3.8881016000909385e-01,1.8507985223684610e+01,1.8512068776359225e+01,1.5918009349923050e+00,3.4269669038065416e+02,3.4269669038065416e+02,9.6310173009399980e-01,1,9.9407863393332574e-01
f3_low_egamma_ltx_region_0,egamma_region_max,F3,F_3,lepton_electron_L_proton_Tx,low_Egamma_lepton_electron_L_proton_Tx_region_0,0,1.6765287642903477e-02,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-1.1972383095821852e+00,-3.0966126586724974e+00,3.3199984228583546e+00,-1.9397225583184090e+00,1.1022389527781961e+01,1.1022389527781961e+01,3.0976903839325977e-02,2,9.9407863393332574e-01
f3_low_egamma_ltx_region_1,egamma_region_max,F3,F_3,lepton_electron_L_proton_Tx,low_Egamma_lepton_electron_L_proton_Tx_region_1,1,1.1926819644708070e-02,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-4.0349176455210495e-01,1.5566664350438703e+01,1.5571892775230651e+01,1.5967107699068239e+00,2.4248384460328055e+02,2.4248384460328055e+02,9.9538980136376320e-01,1,9.9538980136376320e-01
