detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_TxTy_region_0,enhanced_cluster,F3,F_3,TxTy,enhanced_region_0,0,9.9999999999990108e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-6.7262576074054579e+00,-5.1178474708504471e-10,6.7262576074054579e+00,-3.1415926535137055e+00,4.5242541401179793e+01,4.5242541401179793e+01,5.0000015717837720e-01,1,9.9999999999997491e-01
f3_TxTy_region_0,enhanced_cluster,F3,F_3,TxTy,enhanced_region_0,0,9.9999999999990108e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,-5.1330381378842123e-10,6.7262554929611102e+00,6.7262554929611102e+00,1.5707963268712102e+00,4.5242512956589508e+01,4.5242512956589508e+01,4.9999984282159765e-01,2,9.9999999999997491e-01
f3_TxTy_region_1,enhanced_cluster,F3,F_3,TxTy,enhanced_region_1,1,9.9999999999990019e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-5.2968634115754254e+00,-4.0378539786959534e-10,5.2968634115754254e+00,-3.1415926535135621e+00,2.8056762000886454e+01,2.8056762000886454e+01,5.0000015717837931e-01,1,9.9999999999997491e-01
f3_TxTy_region_1,enhanced_cluster,F3,F_3,TxTy,enhanced_region_1,1,9.9999999999990019e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_mid_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,-4.0343837602041357e-10,5.2968617464707410e+00,5.2968617464707410e+00,1.5707963268710621e+00,2.8056744361225068e+01,2.8056744361225068e+01,4.9999984282159560e-01,2,9.9999999999997491e-01
f3_TxTy_region_2,enhanced_cluster,F3,F_3,TxTy,enhanced_region_2,2,9.9999999999989453e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-3.1185359291947146e+00,-2.3763694368854051e-10,3.1185359291947146e+00,-3.1415926535135918e+00,9.7252663416783420e+00,9.7252663416783420e+00,5.0000015717837454e-01,1,9.9999999999997025e-01
f3_TxTy_region_2,enhanced_cluster,F3,F_3,TxTy,enhanced_region_2,2,9.9999999999989453e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,-2.3761849962532305e-10,3.1185349488619591e+00,3.1185349488619591e+00,1.5707963268710923e+00,9.7252602272734627e+00,9.7252602272734627e+00,4.9999984282159571e-01,2,9.9999999999997025e-01
f3_TxTy_region_3,enhanced_cluster,F3,F_3,TxTy,enhanced_region_3,3,9.9999999987392496e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-6.2648398531520218e+02,8.5316050075049421e-01,6.2648456624186565e+02,3.1402308311117477e+00,3.9248291173925856e+05,3.9248291173925856e+05,4.9997470117045106e-01,1,9.9994905929755040e-01
f3_TxTy_region_3,enhanced_cluster,F3,F_3,TxTy,enhanced_region_3,3,9.9999999987392496e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,8.5316099684990532e-01,6.2648377039205047e+02,6.2648435131958877e+02,1.5694345030577836e+00,3.9248264244832593e+05,3.9248264244832593e+05,4.9997435812709928e-01,2,9.9994905929755040e-01
f3_low_egamma_txty_region_0,egamma_region_max,F3,F_3,TxTy,low_Egamma_TxTy_region_0,0,9.9999999999990108e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-6.7262576074054579e+00,-5.1178474708504471e-10,6.7262576074054579e+00,-3.1415926535137055e+00,4.5242541401179793e+01,4.5242541401179793e+01,5.0000015717837720e-01,1,9.9999999999997491e-01
f3_low_egamma_txty_region_0,egamma_region_max,F3,F_3,TxTy,low_Egamma_TxTy_region_0,0,9.9999999999990108e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,e}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,-5.1330381378842123e-10,6.7262554929611102e+00,6.7262554929611102e+00,1.5707963268712102e+00,4.5242512956589508e+01,4.5242512956589508e+01,4.9999984282159765e-01,2,9.9999999999997491e-01
