detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000077118750363e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,1.3241690380540181e+00,9.3981969457061624e+01,9.3991297504978647e+01,1.5567076517780889e+00,8.8343640066694061e+03,4.4171820033347030e+03,3.8463236180342636e-01,1,9.9737053854383562e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000077118750363e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-9.3302091119760760e+01,-9.8568209700817722e+00,9.3821304227538761e+01,-3.0363389038528363e+00,8.8024371269563817e+03,4.4012185634781908e+03,3.8324232273103093e-01,2,9.9737053854383562e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000077118750363e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-3.7907323970269765e+01,5.3397132512939804e-01,3.7911084605469270e+01,3.1275073540695875e+00,1.4372503359630491e+03,7.1862516798152456e+02,6.2575301493904431e-02,3,9.9737053854383562e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000077118750363e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-3.9755874382305487e+00,3.7633092042979278e+01,3.7842501399806636e+01,1.6760466883810430e+00,1.4320549121943673e+03,7.1602745609718363e+02,6.2349102062546478e-02,4,9.9737053854383562e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000077118750363e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-3.5056077987539713e-01,-2.4880358896728694e+01,2.4882828450367406e+01,-1.5848852547654120e+00,6.1915515169041362e+02,3.0957757584520681e+02,2.6956904666556186e-02,5,9.9737053854383562e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000077118750363e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,4,1,-1,-1,-2.4700367890694963e+01,-2.6094558459086326e+00,2.4837822645059319e+01,-3.0363386537090813e+00,6.1691743374742146e+02,3.0845871687371073e+02,2.6859478441327838e-02,6,9.9737053854383562e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000077118750363e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-2.4162346233176233e+01,3.4040896287159828e-01,2.4164744024174745e+01,3.1275051787871520e+00,5.8393485375388900e+02,2.9196742687694450e+02,2.5423476072430024e-02,7,9.9737053854383562e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000077118750363e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,6,1,1,-1,2.5341156194464336e+00,-2.3987552420786770e+01,2.4121036733787285e+01,-1.4655437804197471e+00,5.8182441311271555e+02,2.9091220655635777e+02,2.5331591272613346e-02,8,9.9737053854383562e-01
f3_Ty_electron_region_1,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_1,1,0.0000000000000000e+00,5.0000000080080831e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,1.4134580897677720e-03,1.2814995417653235e-01,1.2815774896282656e-01,1.5597670542127535e+00,1.6424408619218872e-02,8.2122043096094360e-03,2.1356749231437575e-01,1,8.9304395813159487e-01
f3_Ty_electron_region_1,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_1,1,0.0000000000000000e+00,5.0000000080080831e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,1.2813648234085426e-01,1.4133094996178928e-03,1.2814427630772185e-01,1.1029272585445019e-02,1.6420955550429762e-02,8.2104777752148809e-03,2.1352259187021508e-01,2,8.9304395813159487e-01
