detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
ghz_purity_lepton_electron_L_proton_L_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,enhanced_region_0,0,4.8960814239297962e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,6.4588165615400372e-02,-6.0931995469549159e-02,8.8793801638760494e-02,-7.5627824660075060e-01,7.8843392094635461e-03,7.8843392094635461e-03,9.7921507009081132e-01,1,9.7921507009081132e-01
ghz_purity_lepton_electron_L_proton_L_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,enhanced_region_1,1,4.8960814239297956e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_high_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,6.4588165615400386e-02,6.0931995469549118e-02,8.8793801638760481e-02,7.5627824660075016e-01,7.8843392094635426e-03,7.8843392094635426e-03,9.7921507009081132e-01,1,9.7921507009081132e-01
ghz_purity_low_egamma_ll_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,low_Egamma_lepton_electron_L_proton_L_region_0,0,3.0342943567653158e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,7.3447098154642694e+00,1.0273529111377748e+02,1.0299749901092736e+02,1.4994261587233371e+00,1.0608484802505982e+04,1.0608484802505982e+04,6.0685928468884742e-01,1,9.8549792138090941e-01
ghz_purity_low_egamma_ll_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,low_Egamma_lepton_electron_L_proton_L_region_0,0,3.0342943567653158e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,-5.4161862313504283e+00,-7.5731158125844900e+01,7.5924590116604477e+01,-1.6421933602920920e+00,5.7645433843743940e+03,5.7645433843743940e+03,3.2976119963643596e-01,2,9.8549792138090941e-01
ghz_purity_low_egamma_ll_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,low_Egamma_lepton_electron_L_proton_L_region_0,0,3.0342943567653158e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,5,1,-1,1,-2.0848128549644485e+00,-2.9156101114017627e+01,2.9230543559965575e+01,-1.6421800312223909e+00,8.5442467681104495e+02,8.5442467681104495e+02,4.8877437055625923e-02,3,9.8549792138090941e-01
ghz_purity_low_egamma_ll_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,low_Egamma_lepton_electron_L_proton_L_region_1,1,3.0220477954841973e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,6.4763509540298454e+00,-1.2060072561524473e+02,1.2077449292215351e+02,-1.5171470951600319e+00,1.4586478140603309e+04,1.4586478140603309e+04,6.0440964634665439e-01,1,9.8527292547607614e-01
ghz_purity_low_egamma_ll_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,low_Egamma_lepton_electron_L_proton_L_region_1,1,3.0220477954841973e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,-4.8619905722638839e+00,9.0493555916075081e+01,9.0624073041662555e+01,1.6244721972348679e+00,8.2127226146605899e+03,8.2127226146605899e+03,3.4030481677771662e-01,2,9.8527292547607614e-01
ghz_purity_low_egamma_ll_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,low_Egamma_lepton_electron_L_proton_L_region_1,1,3.0220477954841973e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,5,1,-1,1,1.6780885778717363e+00,-3.1240980258593062e+01,3.1286016505668872e+01,-1.5171335588040746e+00,9.7881482879298505e+02,9.7881482879298505e+02,4.0558462351705127e-02,3,9.8527292547607614e-01
ghz_purity_low_egamma_ll_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,low_Egamma_lepton_electron_L_proton_L_region_2,2,2.8757179076692435e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,7,1,1,1,1.1224681975699498e+01,2.7953142804600611e+02,2.7975670278099699e+02,1.5306625400605833e+00,7.8263812750895086e+04,7.8263812750895086e+04,5.7514339656760161e-01,1,9.8457600631653464e-01
ghz_purity_low_egamma_ll_region_2,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_electron_L_proton_L,low_Egamma_lepton_electron_L_proton_L_region_2,2,2.8757179076692435e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,$|L_e\rangle\otimes|L_p\rangle$,"electron L, proton L",1.0000000000000000e+00,6,1,1,-1,-9.2126878515613466e+00,-2.2928019846072647e+02,2.2946521092235403e+02,-1.6109556372424294e+00,5.2654283023640426e+04,5.2654283023640426e+04,3.8694464424367070e-01,2,9.8457600631653464e-01
