detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
ghz_purity_LTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_0,0,4.8271650136759620e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,1.1680467137449492e-01,-6.2065938779024055e-01,6.3155475368891012e-01,-1.3847775664121613e+00,3.9886140690705996e-01,3.9886140690705996e-01,9.6542634758471935e-01,1,9.9891620981775708e-01
ghz_purity_LTy_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_0,0,4.8271650136759620e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-3.1930099537970928e-02,1.1321064269423303e-01,1.1762729647384586e-01,1.8456971075090680e+00,1.3836180875746030e-02,1.3836180875746030e-02,3.3489862233037709e-02,2,9.9891620981775708e-01
ghz_purity_LTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_1,1,4.8244878962116428e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,2.6673426077055166e-03,1.2935893882536046e-02,1.3208030403020534e-02,1.3674492688477216e+00,1.7445206712711478e-04,1.7445206712711478e-04,9.6492343199028863e-01,1,9.9992955199144773e-01
ghz_purity_LTy_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},LTy,enhanced_region_1,1,4.8244878962116428e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-4.8567037270384300e-04,-2.4684022911423513e-03,2.5157276446068442e-03,-1.7650697093081631e+00,6.3288855818391003e-06,6.3288855818391003e-06,3.5006120001159081e-02,2,9.9992955199144773e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_0,0,2.7976607956085497e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,3.3488527693263125e-03,2.2696187610697652e-02,2.2941921169130759e-02,1.4243020180743835e+00,5.2633174693061003e-04,5.2633174693061003e-04,5.5953997099711628e-01,1,9.9974181590983902e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_0,0,2.7976607956085497e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-2.9159368041165737e-03,-2.0138856726674041e-02,2.0348863302482176e-02,-1.7145886103335775e+00,4.1407623770310583e-04,4.1407623770310583e-04,4.4020184491272274e-01,2,9.9974181590983902e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_1,1,2.7976607956085497e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,3.3488527693263060e-03,-2.2696187610697662e-02,2.2941921169130769e-02,-1.4243020180743839e+00,5.2633174693061046e-04,5.2633174693061046e-04,5.5953997099711639e-01,1,9.9974181590983935e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,low_Egamma_LTy_region_1,1,2.7976607956085497e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-2.9159368041165694e-03,2.0138856726674051e-02,2.0348863302482187e-02,1.7145886103335772e+00,4.1407623770310626e-04,4.1407623770310626e-04,4.4020184491272296e-01,2,9.9974181590983935e-01
ghz_purity_mid_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,mid_Egamma_LTy_region_0,0,3.8411798893653465e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,5.2257246763345588e-03,-2.6801128642186721e-02,2.7305836278859751e-02,-1.3782308568946662e+00,7.4560869488789335e-04,7.4560869488789335e-04,7.6824844190302222e-01,1,9.9911821891509167e-01
ghz_purity_mid_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},LTy,mid_Egamma_LTy_region_0,0,3.8411798893653465e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-2.8643554217548887e-03,1.4692231734720722e-02,1.4968841148494807e-02,1.7633383102047884e+00,2.2406620532887132e-04,2.2406620532887132e-04,2.3086977701206943e-01,2,9.9911821891509167e-01
