detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
w_purity_LL_region_0,enhanced_cluster,W_purity,P_W,LL,enhanced_region_0,0,3.2918389517864327e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,k,2.2244176666143929e+00,-2.2137064291411321e+00,2.1803105282688676e-01,-2.9513459302684256e-06,2.2244176079203952e+00,3.0434178831651124e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.0018493188547934e-01,1.5707949999999999e+00,6.1850105367549055e+00,1.8000000000000000e+00,3.0434178831651120e+00,1.6385405794169429e+01,8.2650265992835292e-01,-3.1263260229850109e+00,4.3194267855283446e+00,9.6069920675302789e-01
w_purity_LL_region_0,enhanced_cluster,W_purity,P_W,LL,enhanced_region_0,0,3.2918389517864327e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,p,2.4140997689462407e+00,2.2137064291411321e+00,-2.1803105282688676e-01,2.9513459302684256e-06,2.2244176079203952e+00,6.1850105367549055e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.0018493188547934e-01,1.5707949999999999e+00,6.1850105367549055e+00,1.8000000000000000e+00,3.0434178831651120e+00,1.6385405794169429e+01,8.2650265992835292e-01,-3.1263260229850109e+00,4.3194267855283446e+00,9.6069920675302789e-01
w_purity_LL_region_0,enhanced_cluster,W_purity,P_W,LL,enhanced_region_0,0,3.2918389517864327e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,kp,1.8536545043204238e+00,1.7913325080099542e+00,-4.7661578447868880e-01,0.0000000000000000e+00,1.8536544338866046e+00,6.0231421665823266e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.0018493188547934e-01,1.5707949999999999e+00,6.1850105367549055e+00,1.8000000000000000e+00,3.0434178831651120e+00,1.6385405794169429e+01,8.2650265992835292e-01,-3.1263260229850109e+00,4.3194267855283446e+00,9.6069920675302789e-01
w_purity_LL_region_0,enhanced_cluster,W_purity,P_W,LL,enhanced_region_0,0,3.2918389517864327e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,pp,9.8486293124022584e-01,0.0000000000000000e+00,3.0018493188547934e-01,0.0000000000000000e+00,3.0018493188547934e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.0018493188547934e-01,1.5707949999999999e+00,6.1850105367549055e+00,1.8000000000000000e+00,3.0434178831651120e+00,1.6385405794169429e+01,8.2650265992835292e-01,-3.1263260229850109e+00,4.3194267855283446e+00,9.6069920675302789e-01
w_purity_LL_region_0,enhanced_cluster,W_purity,P_W,LL,enhanced_region_0,0,3.2918389517864327e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-1.7913325080099542e+00,1.7643085259320948e-01,0.0000000000000000e+00,1.8000000000000000e+00,3.0434178831651120e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.0018493188547934e-01,1.5707949999999999e+00,6.1850105367549055e+00,1.8000000000000000e+00,3.0434178831651120e+00,1.6385405794169429e+01,8.2650265992835292e-01,-3.1263260229850109e+00,4.3194267855283446e+00,9.6069920675302789e-01
w_purity_LL_region_1,enhanced_cluster,W_purity,P_W,LL,enhanced_region_1,1,3.0556222338269229e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,k,2.2244176666143929e+00,2.2244176079184372e+00,-2.7241259035043262e-16,-2.9513459302684256e-06,2.2244176079203952e+00,6.2831853071795862e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.5666629064458311e-01,1.5707949999999999e+00,3.1415926535897931e+00,1.8000000000000000e+00,0.0000000000000000e+00,1.6171498857763069e+01,8.1739565323788888e-01,-3.0855127000317131e+00,4.4925203989857376e+00,9.5872143376090713e-01
w_purity_LL_region_1,enhanced_cluster,W_purity,P_W,LL,enhanced_region_1,1,3.0556222338269229e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,p,2.4140997689462407e+00,-2.2244176079184372e+00,2.7241259035043262e-16,2.9513459302684256e-06,2.2244176079203952e+00,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.5666629064458311e-01,1.5707949999999999e+00,3.1415926535897931e+00,1.8000000000000000e+00,0.0000000000000000e+00,1.6171498857763069e+01,8.1739565323788888e-01,-3.0855127000317131e+00,4.4925203989857376e+00,9.5872143376090713e-01
w_purity_LL_region_1,enhanced_cluster,W_purity,P_W,LL,enhanced_region_1,1,3.0556222338269229e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,kp,1.8349962136206421e+00,-1.8000000000000000e+00,-3.5666629064458311e-01,0.0000000000000000e+00,1.8349961424706500e+00,3.3372067531816922e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.5666629064458311e-01,1.5707949999999999e+00,3.1415926535897931e+00,1.8000000000000000e+00,0.0000000000000000e+00,1.6171498857763069e+01,8.1739565323788888e-01,-3.0855127000317131e+00,4.4925203989857376e+00,9.5872143376090713e-01
w_purity_LL_region_1,enhanced_cluster,W_purity,P_W,LL,enhanced_region_1,1,3.0556222338269229e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,pp,1.0035212219391108e+00,0.0000000000000000e+00,3.5666629064458311e-01,0.0000000000000000e+00,3.5666629064458311e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.5666629064458311e-01,1.5707949999999999e+00,3.1415926535897931e+00,1.8000000000000000e+00,0.0000000000000000e+00,1.6171498857763069e+01,8.1739565323788888e-01,-3.0855127000317131e+00,4.4925203989857376e+00,9.5872143376090713e-01
w_purity_LL_region_1,enhanced_cluster,W_purity,P_W,LL,enhanced_region_1,1,3.0556222338269229e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,1.8000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8000000000000000e+00,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,3.5666629064458311e-01,1.5707949999999999e+00,3.1415926535897931e+00,1.8000000000000000e+00,0.0000000000000000e+00,1.6171498857763069e+01,8.1739565323788888e-01,-3.0855127000317131e+00,4.4925203989857376e+00,9.5872143376090713e-01
w_purity_LL_region_2,enhanced_cluster,W_purity,P_W,LL,enhanced_region_2,2,2.4633524120518555e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,k,2.2244176666143929e+00,-8.5124776521157053e-01,2.0550938997135604e+00,-2.9513459302684256e-06,2.2244176079203952e+00,1.9634954084936209e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1758783114636984e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.9634954084936207e+00,1.8777266181766400e+01,9.5739509679360302e-01,-1.0335835883122058e+01,1.7154484550825322e+00,9.5042018244924342e-01
w_purity_LL_region_2,enhanced_cluster,W_purity,P_W,LL,enhanced_region_2,2,2.4633524120518555e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,p,2.4140997689462407e+00,8.5124776521157053e-01,-2.0550938997135604e+00,2.9513459302684256e-06,2.2244176079203952e+00,5.1050880620834143e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1758783114636984e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.9634954084936207e+00,1.8777266181766400e+01,9.5739509679360302e-01,-1.0335835883122058e+01,1.7154484550825322e+00,9.5042018244924342e-01
w_purity_LL_region_2,enhanced_cluster,W_purity,P_W,LL,enhanced_region_2,2,2.4633524120518555e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,kp,2.1343453033333502e+00,3.8268343236508973e-01,-2.0997578439749853e+00,0.0000000000000000e+00,2.1343452421623836e+00,4.8926616308248558e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1758783114636984e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.9634954084936207e+00,1.8777266181766400e+01,9.5739509679360302e-01,-1.0335835883122058e+01,1.7154484550825322e+00,9.5042018244924342e-01
w_purity_LL_region_2,enhanced_cluster,W_purity,P_W,LL,enhanced_region_2,2,2.4633524120518555e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,pp,1.5041721322277974e+00,0.0000000000000000e+00,1.1758783114636984e+00,0.0000000000000000e+00,1.1758783114636984e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1758783114636984e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.9634954084936207e+00,1.8777266181766400e+01,9.5739509679360302e-01,-1.0335835883122058e+01,1.7154484550825322e+00,9.5042018244924342e-01
w_purity_LL_region_2,enhanced_cluster,W_purity,P_W,LL,enhanced_region_2,2,2.4633524120518555e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-3.8268343236508973e-01,9.2387953251128674e-01,0.0000000000000000e+00,9.9999999999999989e-01,1.9634954084936207e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1758783114636984e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.9634954084936207e+00,1.8777266181766400e+01,9.5739509679360302e-01,-1.0335835883122058e+01,1.7154484550825322e+00,9.5042018244924342e-01
w_purity_LL_region_3,enhanced_cluster,W_purity,P_W,LL,enhanced_region_3,3,2.2731806006303543e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,k,2.2244176666143929e+00,1.2358202087641523e+00,1.8495356460548982e+00,-2.9513459302684256e-06,2.2244176079203952e+00,9.8174770424681046e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.2053301925848765e+00,1.5707949999999999e+00,4.1233403578366037e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.8299867208363526e+01,9.4572521311297886e-01,-1.0073054420832852e+01,1.9300659661939621e+00,9.3768605443913577e-01
w_purity_LL_region_3,enhanced_cluster,W_purity,P_W,LL,enhanced_region_3,3,2.2731806006303543e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,p,2.4140997689462407e+00,-1.2358202087641523e+00,-1.8495356460548982e+00,2.9513459302684256e-06,2.2244176079203952e+00,4.1233403578366037e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.2053301925848765e+00,1.5707949999999999e+00,4.1233403578366037e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.8299867208363526e+01,9.4572521311297886e-01,-1.0073054420832852e+01,1.9300659661939621e+00,9.3768605443913577e-01
w_purity_LL_region_3,enhanced_cluster,W_purity,P_W,LL,enhanced_region_3,3,2.2731806006303543e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,kp,2.1112110245370599e+00,-5.5557023301960229e-01,-2.0367998048874218e+00,0.0000000000000000e+00,2.1112109626957927e+00,4.4461006581206330e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.2053301925848765e+00,1.5707949999999999e+00,4.1233403578366037e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.8299867208363526e+01,9.4572521311297886e-01,-1.0073054420832852e+01,1.9300659661939621e+00,9.3768605443913577e-01
w_purity_LL_region_3,enhanced_cluster,W_purity,P_W,LL,enhanced_region_3,3,2.2731806006303543e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,pp,1.5273064110245511e+00,0.0000000000000000e+00,1.2053301925848765e+00,0.0000000000000000e+00,1.2053301925848765e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.2053301925848765e+00,1.5707949999999999e+00,4.1233403578366037e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.8299867208363526e+01,9.4572521311297886e-01,-1.0073054420832852e+01,1.9300659661939621e+00,9.3768605443913577e-01
w_purity_LL_region_3,enhanced_cluster,W_purity,P_W,LL,enhanced_region_3,3,2.2731806006303543e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,5.5557023301960229e-01,8.3146961230254524e-01,0.0000000000000000e+00,1.0000000000000000e+00,9.8174770424681035e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.2053301925848765e+00,1.5707949999999999e+00,4.1233403578366037e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.8299867208363526e+01,9.4572521311297886e-01,-1.0073054420832852e+01,1.9300659661939621e+00,9.3768605443913577e-01
w_purity_low_egamma_ll_region_0,egamma_region_max,W_purity,P_W,LL,low_Egamma_LL_region_0,0,1.2406591252827685e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,k,2.2244176666143929e+00,-1.4111555916388165e+00,1.7194980635650872e+00,-2.9513459302684256e-06,2.2244176079203952e+00,2.2580197197676632e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9897500040176181e+00,1.5707949999999999e+00,5.3996123733574564e+00,2.5000000000000000e-01,2.2580197197676637e+00,1.7692367177516029e+01,9.8164411352321124e-01,-1.5703940283359163e+01,1.2106757942747681e+00,8.7338627640285715e-01
w_purity_low_egamma_ll_region_0,egamma_region_max,W_purity,P_W,LL,low_Egamma_LL_region_0,0,1.2406591252827685e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,p,2.4140997689462407e+00,1.4111555916388165e+00,-1.7194980635650872e+00,2.9513459302684256e-06,2.2244176079203952e+00,5.3996123733574564e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9897500040176181e+00,1.5707949999999999e+00,5.3996123733574564e+00,2.5000000000000000e-01,2.2580197197676637e+00,1.7692367177516029e+01,9.8164411352321124e-01,-1.5703940283359163e+01,1.2106757942747681e+00,8.7338627640285715e-01
w_purity_low_egamma_ll_region_0,egamma_region_max,W_purity,P_W,LL,low_Egamma_LL_region_0,0,1.2406591252827685e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,kp,2.1887562943256431e+00,1.5859832104091134e-01,-2.1830026173583024e+00,0.0000000000000000e+00,2.1887562346753451e+00,4.7849130169895346e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9897500040176181e+00,1.5707949999999999e+00,5.3996123733574564e+00,2.5000000000000000e-01,2.2580197197676637e+00,1.7692367177516029e+01,9.8164411352321124e-01,-1.5703940283359163e+01,1.2106757942747681e+00,8.7338627640285715e-01
