detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
w_purity_LTx_region_0,enhanced_cluster,W_purity,P_W,LTx,enhanced_region_0,0,3.3331574551655418e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-1.5197350366316092e-04,8.8598199666869084e+02,8.8598199666870380e+02,1.5707964983260385e+00,7.8496409842106304e+05,7.8496409842106304e+05,9.9994720483099286e-01,1,9.9994720483099286e-01
w_purity_LTx_region_1,enhanced_cluster,W_purity,P_W,LTx,enhanced_region_1,1,3.3326166990748424e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-7.0706594186420237e-06,5.4502184306143704e+01,5.4502184306144159e+01,1.5707964565265671e+00,2.9704880941409065e+03,2.9704880941409065e+03,9.9978497936858224e-01,1,9.9978497936858224e-01
w_purity_LTx_region_2,enhanced_cluster,W_purity,P_W,LTx,enhanced_region_2,2,3.3176750673205929e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-9.5614561848947621e-02,1.4462678223565659e+01,1.4462994279983585e+01,1.5774073546695477e+00,2.0917820354283791e+02,2.0917820354283791e+02,9.9539402364741303e-01,1,9.9539402364741303e-01
w_purity_LTx_region_3,enhanced_cluster,W_purity,P_W,LTx,enhanced_region_3,3,3.2759481219012487e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-2.4455659714679058e+01,8.1360331292283874e+01,8.4956358208614162e+01,1.8627893322694686e+00,7.2175828000703632e+03,7.2175828000703632e+03,9.8313898603395922e-01,1,9.8313898603395922e-01
w_purity_low_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_0,0,3.3176750673205929e-01,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-9.5614561848947621e-02,1.4462678223565659e+01,1.4462994279983585e+01,1.5774073546695477e+00,2.0917820354283791e+02,2.0917820354283791e+02,9.9539402364741303e-01,1,9.9539402364741303e-01
w_purity_low_egamma_ltx_region_1,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_1,1,3.2009416848048161e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-6.1206443844471607e+00,3.4993887018150090e+01,3.5525123734055001e+01,1.7439508843122953e+00,1.2620344163199179e+03,1.2620344163199179e+03,9.6581284615026841e-01,1,9.9615642505091995e-01
w_purity_low_egamma_ltx_region_1,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_1,1,3.2009416848048161e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,5.8589624471010486e+00,2.3071034433932565e+00,6.2968378774633642e+00,3.7512710273242239e-01,3.9650167255057326e+01,3.9650167255057326e+01,3.0343578900651497e-02,2,9.9615642505091995e-01
w_purity_low_egamma_ltx_region_2,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_2,2,3.0811335328004108e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-1.1647217363665345e+00,2.2996586593606715e+01,2.3026062878408389e+01,1.6214006786719266e+00,5.3019957168041685e+02,5.3019957168041685e+02,9.3301843066264345e-01,1,9.9405430116373372e-01
w_purity_low_egamma_ltx_region_2,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_2,2,3.0811335328004108e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-2.9147503512940096e+00,-5.1174836492180678e+00,5.8893470359949776e+00,-2.0885380571710432e+00,3.4684408510382831e+01,3.4684408510382831e+01,6.1035870501090217e-02,2,9.9405430116373372e-01
w_purity_low_egamma_ltx_region_3,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_3,3,2.9768580818714269e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-2.9604679491057527e+03,2.1125937144182539e+04,2.1332360176446346e+04,1.7100239626073368e+00,4.5506959069763398e+08,4.5506959069763398e+08,9.0310350040517284e-01,1,9.9571814349134191e-01
w_purity_low_egamma_ltx_region_3,egamma_region_max,W_purity,P_W,LTx,low_Egamma_LTx_region_3,3,2.9768580818714269e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-5.8015869694446428e+03,3.6068920269226373e+03,6.8314040619705675e+03,2.5853642473022957e+00,4.6668081457907967e+07,4.6668081457907967e+07,9.2614643086169096e-02,2,9.9571814349134191e-01
w_purity_mid_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,mid_Egamma_LTx_region_0,0,3.3326166990748424e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-7.0706594186420237e-06,5.4502184306143704e+01,5.4502184306144159e+01,1.5707964565265671e+00,2.9704880941409065e+03,2.9704880941409065e+03,9.9978497936858224e-01,1,9.9978497936858224e-01
w_purity_mid_egamma_ltx_region_1,egamma_region_max,W_purity,P_W,LTx,mid_Egamma_LTx_region_1,1,3.2759481219012487e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-2.4455659714679058e+01,8.1360331292283874e+01,8.4956358208614162e+01,1.8627893322694686e+00,7.2175828000703632e+03,7.2175828000703632e+03,9.8313898603395922e-01,1,9.8313898603395922e-01
w_purity_mid_egamma_ltx_region_2,egamma_region_max,W_purity,P_W,LTx,mid_Egamma_LTx_region_2,2,3.1329636731553817e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,9.0004714279736397e+00,7.5213524069688120e+01,7.5750133259997128e+01,1.4516970675619738e+00,5.7380826889073232e+03,5.7380826889073232e+03,9.4174702816545452e-01,1,9.9974090051166642e-01
w_purity_mid_egamma_ltx_region_2,egamma_region_max,W_purity,P_W,LTx,mid_Egamma_LTx_region_2,2,3.1329636731553817e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-1.0037718840491147e+01,-1.5893457018423373e+01,1.8797813051448887e+01,-2.1341011632671854e+00,3.5335777551722214e+02,3.5335777551722214e+02,5.7993872346211922e-02,2,9.9974090051166642e-01
w_purity_mid_egamma_ltx_region_3,egamma_region_max,W_purity,P_W,LTx,mid_Egamma_LTx_region_3,3,3.0524651732678154e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,3.3887942082950417e+02,1.8206693516632047e+04,1.8209847008430170e+04,1.5521855727423284e+00,3.3159852807043320e+08,3.3159852807043320e+08,9.2088495744428700e-01,1,9.9981348304078832e-01
w_purity_mid_egamma_ltx_region_3,egamma_region_max,W_purity,P_W,LTx,mid_Egamma_LTx_region_3,3,3.0524651732678154e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_mid_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-4.2043904344802932e+03,3.2778380362201451e+03,5.3311463230004229e+03,2.4794010111717451e+00,2.8421121117240928e+07,2.8421121117240928e+07,7.8928525596501292e-02,2,9.9981348304078832e-01
w_purity_high_egamma_ltx_region_0,egamma_region_max,W_purity,P_W,LTx,high_Egamma_LTx_region_0,0,3.3331574551655418e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-1.5197350366316092e-04,8.8598199666869084e+02,8.8598199666870380e+02,1.5707964983260385e+00,7.8496409842106304e+05,7.8496409842106304e+05,9.9994720483099286e-01,1,9.9994720483099286e-01
w_purity_high_egamma_ltx_region_1,egamma_region_max,W_purity,P_W,LTx,high_Egamma_LTx_region_1,1,3.2125899218153603e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,7.4962580434624706e+03,1.2021611863883059e+04,1.4167322840255662e+04,1.0132294888297890e+00,2.0071303646002975e+08,2.0071303646002975e+08,9.6572805236846238e-01,1,9.9995966414144810e-01
w_purity_high_egamma_ltx_region_1,egamma_region_max,W_purity,P_W,LTx,high_Egamma_LTx_region_1,1,3.2125899218153603e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-2.1580831621268658e+03,1.5675578634224457e+03,2.6673133655108909e+03,2.5133897841018622e+00,7.1145605898330351e+06,7.1145605898330351e+06,3.4231611772985768e-02,2,9.9995966414144810e-01
w_purity_high_egamma_ltx_region_2,egamma_region_max,W_purity,P_W,LTx,high_Egamma_LTx_region_2,2,2.8110513475174220e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,-3.7445266140188653e+02,7.3959381955092954e+02,8.2898360270206115e+02,2.0394672539275307e+00,6.8721381354888878e+05,6.8721381354888878e+05,8.4336928714132520e-01,1,9.9994858504129491e-01
w_purity_high_egamma_ltx_region_2,egamma_region_max,W_purity,P_W,LTx,high_Egamma_LTx_region_2,2,2.8110513475174220e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-1.5865827547911979e+02,3.2002366088552554e+02,3.5719405356833994e+02,2.0310545773507429e+00,1.2758759190458211e+05,1.2758759190458211e+05,1.5657929789996974e-01,2,9.9994858504129491e-01
w_purity_high_egamma_ltx_region_3,egamma_region_max,W_purity,P_W,LTx,high_Egamma_LTx_region_3,3,2.8009135915886552e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,1,-1,-1,1,3.5236843573785177e+02,7.3667201375744253e+02,8.1660833350988173e+02,1.1246388135793262e+00,6.6684917035778624e+05,6.6684917035778624e+05,8.4034575332947936e-01,1,9.9994578743830609e-01
w_purity_high_egamma_ltx_region_3,egamma_region_max,W_purity,P_W,LTx,high_Egamma_LTx_region_3,3,2.8009135915886552e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_e\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,3,-1,1,1,-1.5630978341545446e+02,-3.1971313833029859e+02,3.5587812409924123e+02,-2.0255296940509089e+00,1.2664923921239494e+05,1.2664923921239494e+05,1.5960003410882670e-01,2,9.9994578743830609e-01
