detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
w_purity_LTy_region_0,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_0,0,3.3446325694381301e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,k,2.2244176666143929e+00,-2.2244176079184372e+00,-0.0000000000000000e+00,-2.9513459302684256e-06,2.2244176079203952e+00,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.5394975765159313e+00,1.5707949999999999e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.1415926535897931e+00,1.2615875019082010e+01,7.7773182929774232e-01,-6.9443342886999702e+00,4.4853380233469080e+00,7.8607139211513011e-01
w_purity_LTy_region_0,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_0,0,3.3446325694381301e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,p,2.4140997689462407e+00,2.2244176079184372e+00,0.0000000000000000e+00,2.9513459302684256e-06,2.2244176079203952e+00,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.5394975765159313e+00,1.5707949999999999e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.1415926535897931e+00,1.2615875019082010e+01,7.7773182929774232e-01,-6.9443342886999702e+00,4.4853380233469080e+00,7.8607139211513011e-01
w_purity_LTy_region_0,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_0,0,3.3446325694381301e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,kp,1.8357704238870267e+00,1.0000000000000000e+00,-1.5394975765159316e+00,0.0000000000000000e+00,1.8357703527670410e+00,5.2884566305444904e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.5394975765159313e+00,1.5707949999999999e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.1415926535897931e+00,1.2615875019082010e+01,7.7773182929774232e-01,-6.9443342886999702e+00,4.4853380233469080e+00,7.8607139211513011e-01
w_purity_LTy_region_0,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_0,0,3.3446325694381301e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,pp,1.8027470116736917e+00,0.0000000000000000e+00,1.5394975765159313e+00,0.0000000000000000e+00,1.5394975765159313e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.5394975765159313e+00,1.5707949999999999e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.1415926535897931e+00,1.2615875019082010e+01,7.7773182929774232e-01,-6.9443342886999702e+00,4.4853380233469080e+00,7.8607139211513011e-01
w_purity_LTy_region_0,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_0,0,3.3446325694381301e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-1.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.0000000000000000e+00,3.1415926535897931e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.5394975765159313e+00,1.5707949999999999e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.1415926535897931e+00,1.2615875019082010e+01,7.7773182929774232e-01,-6.9443342886999702e+00,4.4853380233469080e+00,7.8607139211513011e-01
w_purity_LTy_region_1,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_1,1,3.3331573494975086e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,k,2.2244176666143929e+00,4.0861888552564891e-16,2.2244176079184372e+00,-2.9513459302684256e-06,2.2244176079203952e+00,1.5707963267948963e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.5652864017122641e-02,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866894443583458e+01,8.4686529607549177e-01,-3.2181937860203500e+00,3.9298058991517140e+00,9.6515102707672717e-01
w_purity_LTy_region_1,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_1,1,3.3331573494975086e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,p,2.4140997689462407e+00,-4.0861888552564891e-16,-2.2244176079184372e+00,2.9513459302684256e-06,2.2244176079203952e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.5652864017122641e-02,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866894443583458e+01,8.4686529607549177e-01,-3.2181937860203500e+00,3.9298058991517140e+00,9.6515102707672717e-01
w_purity_LTy_region_1,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_1,1,3.3331573494975086e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,kp,1.8956529328904717e+00,-1.1021821192326179e-16,-1.8956528640171226e+00,0.0000000000000000e+00,1.8956528640171226e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.5652864017122641e-02,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866894443583458e+01,8.4686529607549177e-01,-3.2181937860203500e+00,3.9298058991517140e+00,9.6515102707672717e-01
w_purity_LTy_region_1,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_1,1,3.3331573494975086e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,pp,9.4286450266975164e-01,0.0000000000000000e+00,9.5652864017122641e-02,0.0000000000000000e+00,9.5652864017122641e-02,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.5652864017122641e-02,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866894443583458e+01,8.4686529607549177e-01,-3.2181937860203500e+00,3.9298058991517140e+00,9.6515102707672717e-01
w_purity_LTy_region_1,enhanced_cluster,W_purity,P_W,LTy,enhanced_region_1,1,3.3331573494975086e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,1.1021821192326179e-16,1.8000000000000000e+00,0.0000000000000000e+00,1.8000000000000000e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.5652864017122641e-02,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866894443583458e+01,8.4686529607549177e-01,-3.2181937860203500e+00,3.9298058991517140e+00,9.6515102707672717e-01
