detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_heavy_gamma_Tx_lepton_region_0,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_0,0,9.3944859657365898e-01,5.2882018712602497e-01,5.5431436720572158e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,4.2070079954934627e+00,9.4765602562939009e+01,9.4858939196003334e+01,1.5264316268980704e+00,8.9982183453910584e+03,4.4991091726955292e+03,3.2537795668056163e-01,1,9.3834128825904417e-01
c_heavy_gamma_Tx_lepton_region_0,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_0,0,9.3944859657365898e-01,5.2882018712602497e-01,5.5431436720572158e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,4.8560733226991504e+00,8.4873428825154562e+01,8.5012236581882775e+01,1.5136431657907250e+00,7.2270803686540075e+03,3.6135401843270038e+03,2.6133313872332409e-01,2,9.3834128825904417e-01
c_heavy_gamma_Tx_lepton_region_0,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_0,0,9.3944859657365898e-01,5.2882018712602497e-01,5.5431436720572158e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-1.0297951719269538e+00,7.0287529442174218e+01,7.0295072894055892e+01,1.5854464575552902e+00,4.9413972731806316e+03,2.4706986365903158e+03,1.7868223310206169e-01,3,9.3834128825904417e-01
c_heavy_gamma_Tx_lepton_region_0,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_0,0,9.3944859657365898e-01,5.2882018712602497e-01,5.5431436720572158e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-5.3815360063118600e+00,6.8948219235178968e+01,6.9157919759703120e+01,1.6486902531238219e+00,4.7828178654895355e+03,2.3914089327447678e+03,1.7294795975309685e-01,4,9.3834128825904417e-01
c_heavy_gamma_Tx_lepton_region_1,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_1,1,9.3433546667565914e-01,5.3974792844368402e-01,5.7296556004892274e-01,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,3.3753612157226871e+00,-6.5702007348930991e+00,7.3865148096646198e+00,-1.0962188860034059e+00,5.4560601033394754e+01,2.7280300516697377e+01,3.1953302047667986e-01,1,9.7285325482070362e-01
c_heavy_gamma_Tx_lepton_region_1,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_1,1,9.3433546667565914e-01,5.3974792844368402e-01,5.7296556004892274e-01,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-4.4656467903569075e-01,-5.7254847891237395e+00,5.7428735040090828e+00,-1.6486347015441118e+00,3.2980596083049562e+01,1.6490298041524781e+01,1.9315017217438610e-01,2,9.7285325482070362e-01
c_heavy_gamma_Tx_lepton_region_1,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_1,1,9.3433546667565914e-01,5.3974792844368402e-01,5.7296556004892274e-01,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-3.0683815862930701e+00,-4.3792595726235835e+00,5.3472310557444276e+00,-2.1819665732406039e+00,2.8592879963517667e+01,1.4296439981758834e+01,1.6745360435596868e-01,3,9.7285325482070362e-01
c_heavy_gamma_Tx_lepton_region_1,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_1,1,9.3433546667565914e-01,5.3974792844368402e-01,5.7296556004892274e-01,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,6,1,1,-1,9.0826533061438708e-01,-3.9430490289573994e+00,4.0463046790322093e+00,-1.3443994054884632e+00,1.6372581555557950e+01,8.1862907777789751e+00,9.5885681945588011e-02,4,9.7285325482070362e-01
c_heavy_gamma_Tx_lepton_region_1,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_1,1,9.3433546667565914e-01,5.3974792844368402e-01,5.7296556004892274e-01,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=-1",5.0000000000000000e-01,6,1,1,-1,1.5227744541740169e+00,-2.7457718946110159e+00,3.1397619870813047e+00,-1.0644368409840113e+00,9.8581053355207438e+00,4.9290526677603719e+00,5.7733788015058914e-02,5,9.7285325482070362e-01
c_heavy_gamma_Tx_lepton_region_1,enhanced_cluster,C_heavy_gamma,C_{l_heavy\gamma},lepton_heavy_Tx_proton_unpolarized,enhanced_region_1,1,9.3433546667565914e-01,5.3974792844368402e-01,5.7296556004892274e-01,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{x,\ell},h_p)$","electron Tx, proton h=+1",5.0000000000000000e-01,4,1,-1,-1,-3.7716750750521288e-01,2.8824574498984052e+00,2.9070287716485561e+00,1.7009064143998047e+00,8.4508162791925123e+00,4.2254081395962562e+00,4.9492029047317615e-02,6,9.7285325482070362e-01
