selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_lepton_min,phi_in_lepton_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_lepton_gamma_deg_min,theta_lepton_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_lepton_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_lepton_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
C_heavy_p,C_{l_heavyp},lepton_heavy_Tx_proton_Tx,enhanced_region_0,0,38,9.9180718922838607e-01,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,3.0557086468322066e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.3744467859455343e+00,1.6689710972195773e+00,2.5000000000000000e-01,2.5000000000000000e-01,1.8653206380689396e+00,3.6324665057131984e+00,1.6096914119384582e+01,1.7429199536720365e+01,9.1009747231706817e-01,9.9132570630689310e-01,-1.7030471660093514e+01,-1.5439686750228057e+01,1.0318342699120830e+00,2.4699519952934716e+00,8.8774319720211436e-01,9.0389188017964683e-01,6.8484625621757544e+01,1.6511603451108948e+02,3.0145822866048455e+00,3.1068425458504461e+00,1.1851332396645614e-01,8.3135413159927196e-01,3.6457536124476059e-01,1.0836342239326495e+00,heavy,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,1.4726215563702159e+00,4.6142142099600090e+00,2.5000000000000000e-01,2.3561944901923448e+00,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01,1.3992079111488275e+02,2.4889513012988079e-01,9.6688205505403702e-01,2.4889513012988079e-01,9.6688205505403702e-01
C_heavy_p,C_{l_heavyp},lepton_heavy_Tx_proton_Tx,enhanced_region_1,1,38,9.9180718871205742e-01,1.0000000000000002e+00,high_s_high_theta_in_low_Egamma,3.0557086468322066e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.7671458676442597e+00,2.5000000000000000e-01,2.5000000000000000e-01,0.0000000000000000e+00,6.1850105367549055e+00,1.6096914119384582e+01,1.7429199536720365e+01,9.1009747231706817e-01,9.9132570630689310e-01,-1.7030471660093514e+01,-1.5439686750228061e+01,1.0318342699120848e+00,2.4699519952934716e+00,8.8774319720211459e-01,9.0389188017964683e-01,6.8484625621757516e+01,1.6511603451108954e+02,3.0145822866048446e+00,3.1068425458504461e+00,1.1851332396645606e-01,8.3135413159927185e-01,3.6457536124476042e-01,1.0836342239326495e+00,heavy,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8764791950357362e+00,1.5707949999999999e+00,1.6689710972195773e+00,4.8105637508093704e+00,2.5000000000000000e-01,7.8539816339744828e-01,1.7222096817503513e+01,9.7810634070492941e-01,-1.5786122967655466e+01,1.2653386076695465e+00,8.9669950219866912e-01,1.3992079111488275e+02,2.4889513012988071e-01,9.6688205505403702e-01,2.4889513012988071e-01,9.6688205505403702e-01
C_heavy_p,C_{l_heavyp},lepton_heavy_Tx_proton_Tx,enhanced_region_2,2,2,9.9058384657583554e-01,1.0000000000000004e+00,high_s_high_theta_in_low_Egamma,3.0322095055184262e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.6689710972195773e+00,2.5000000000000000e-01,2.5000000000000000e-01,3.6324665057131984e+00,3.7306412761378791e+00,1.6008030214708718e+01,1.6149370921330839e+01,9.0485470076830044e-01,9.1036331998436981e-01,-1.7123395443304631e+01,-1.6989471545712913e+01,2.4699519952934716e+00,2.5630853243754106e+00,9.0096106839906975e-01,9.0341611920066800e-01,6.2517192734343901e+01,6.8484625621757544e+01,3.0262329241659467e+00,3.0322095055184262e+00,7.8462567343584422e-01,8.7569131100267839e-01,3.1800869670465859e-01,3.6457536124476059e-01,heavy,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0316678428022992e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,3.7306412761378791e+00,1.6008030214708718e+01,9.0485470076830044e-01,-1.7123395443304631e+01,2.5630853243754106e+00,9.0096106839906975e-01,6.2517192734343901e+01,8.7569131100267839e-01,3.1800869670465859e-01,8.7569131100267839e-01,3.1800869670465859e-01
C_heavy_p,C_{l_heavyp},lepton_heavy_Tx_proton_Tx,enhanced_region_3,3,2,9.9058384362423424e-01,1.0000000000000002e+00,high_s_high_theta_in_low_Egamma,3.0322095055184262e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.5707963267948966e+00,2.5000000000000000e-01,2.5000000000000000e-01,5.6941366846315002e+00,5.7923114550561809e+00,1.6008030214708718e+01,1.6149370921330839e+01,9.0485470076830044e-01,9.1036331998436981e-01,-1.7123395443304631e+01,-1.6989471545712913e+01,2.4699519952934721e+00,2.5630853243754106e+00,9.0096106839906975e-01,9.0341611920066800e-01,6.2517192734343887e+01,6.8484625621757516e+01,3.0262329241659467e+00,3.0322095055184262e+00,7.8462567343584433e-01,8.7569131100267827e-01,3.1800869670465842e-01,3.6457536124476042e-01,heavy,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0316678428022992e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,5.6941366846315002e+00,1.6008030214708718e+01,9.0485470076830044e-01,-1.7123395443304631e+01,2.5630853243754106e+00,9.0096106839906975e-01,6.2517192734343887e+01,8.7569131100267827e-01,3.1800869670465842e-01,8.7569131100267827e-01,3.1800869670465842e-01
C_heavy_p,C_{l_heavyp},lepton_heavy_Tx_proton_Ty,enhanced_region_0,0,42,9.9153638198479821e-01,9.9999999999999978e-01,high_s_high_theta_in_low_Egamma,3.0473002748797580e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.3744467859455343e+00,1.7671458676442597e+00,2.5000000000000000e-01,2.5000000000000000e-01,0.0000000000000000e+00,6.1850105367549055e+00,1.6149370921330839e+01,1.7367779193358196e+01,9.1036331998436981e-01,9.8733360782787605e-01,-1.6989471545712913e+01,-1.5508819910032726e+01,1.1012058920785670e+00,2.4699519952934721e+00,8.8566844558127167e-01,9.0397546820540020e-01,6.8484625621757516e+01,1.5512223839777621e+02,3.0145822866048446e+00,3.0849176519514128e+00,1.7588052841918883e-01,7.8462567343584433e-01,3.6457536124476042e-01,1.0489484128516771e+00,heavy,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8848280563914597e+00,1.5707949999999999e+00,1.6689710972195773e+00,4.8105637508093704e+00,2.5000000000000000e-01,6.8722339297276724e-01,1.7139222191104349e+01,9.7415005482036654e-01,-1.5855596181107170e+01,1.3346486287830901e+00,8.9600869932203331e-01,1.3477755534033426e+02,2.9041403949844352e-01,9.3222704449717131e-01,2.9041403949844352e-01,9.3222704449717131e-01
C_heavy_p,C_{l_heavyp},lepton_heavy_Tx_proton_Ty,enhanced_region_1,1,38,9.9153024521398359e-01,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,3.0224131534588210e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.3744467859455343e+00,1.6689710972195773e+00,2.5000000000000000e-01,2.5000000000000000e-01,2.1598449493429825e+00,3.6324665057131984e+00,1.6149370921330839e+01,1.7298525155922473e+01,9.1036331998436981e-01,9.8462377747238417e-01,-1.6989471545712913e+01,-1.5555650629203987e+01,1.1482162928922797e+00,2.4699519952934716e+00,8.8475016609747659e-01,9.0397546820539998e-01,6.8484625621757544e+01,1.5008826059852223e+02,3.0145822866048455e+00,3.0746023685960129e+00,2.1059434058992546e-01,7.8462567343584422e-01,3.6457536124476059e-01,1.0254432124446196e+00,heavy,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9252668058870994e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.8470683423157501e+00,1.6899179521335505e+01,9.5526607493533278e-01,-1.6231587200051859e+01,1.6712116097132996e+00,9.0092417656594082e-01,1.1370348236198352e+02,4.3014939339223973e-01,7.6394555403402364e-01,4.3014939339223973e-01,7.6394555403402364e-01
C_heavy_p,C_{l_heavyp},lepton_heavy_L_proton_Tx,enhanced_region_0,0,24,8.9469050180977472e-01,1.0000000000000002e+00,high_s_high_theta_in_mid_Egamma,2.7286031294358759e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,6.1850105367549055e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.3744467859455345e+00,9.5530182865196256e+00,1.6942626913776479e+01,7.4148239250274994e-01,9.5661460073310167e-01,-8.9654970103954152e+00,-4.2386251452943631e+00,1.6482439729054665e+00,4.2105008797577668e+00,6.5612523763889785e-01,9.0196714639855124e-01,1.2600685056839224e+02,1.7430637006197676e+02,2.5131545578977565e+00,3.0446157015490574e+00,2.6575249741571427e-01,3.1599242506760739e-01,2.9731889956806592e+00,4.2543174491069058e+00,heavy,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1297051237910440e+00,1.5707949999999999e+00,4.9087385212340529e-01,3.6324665057131984e+00,1.0000000000000000e+00,6.8722339297276724e-01,1.4499510051773473e+01,9.0605668253883531e-01,-7.2573431571554554e+00,2.3832069816716461e+00,8.1497621885542504e-01,1.5303755671713566e+02,2.6575249741571461e-01,3.8868359447247549e+00,2.6575249741571461e-01,3.8868359447247549e+00
C_heavy_p,C_{l_heavyp},lepton_heavy_L_proton_Tx,enhanced_region_1,1,29,8.8582201384954307e-01,1.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,3.0930063512083548e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.0799224746714913e+00,2.5525440310417071e+00,1.0000000000000000e+00,1.0000000000000000e+00,9.8174770424681035e-01,2.3561944901923448e+00,1.4929177288174067e+01,1.6942626913776479e+01,9.1784430404870221e-01,9.5838923481360649e-01,-9.0041922972460888e+00,-7.5199491622775163e+00,1.6116849675574223e+00,2.2161457503948769e+00,8.2834992048120548e-01,9.0393777620359317e-01,1.5630353523435858e+02,1.8000000000000000e+02,2.7697758214356147e+00,3.1415926535897931e+00,2.6575249741571405e-01,3.1599242506760727e-01,3.9703665603636966e+00,4.2725969517832443e+00,heavy,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0206097674060488e+00,1.5707949999999999e+00,1.6689710972195773e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.4726215563702154e+00,1.6918801625941406e+01,9.5804221567445969e-01,-8.9142364149428275e+00,1.6208086652867988e+00,8.9935660476819168e-01,1.7715879006860314e+02,2.6575249741571455e-01,4.2680351029158938e+00,2.6575249741571455e-01,4.2680351029158938e+00
C_heavy_p,C_{l_heavyp},lepton_heavy_L_proton_Tx,enhanced_region_2,2,27,8.7525706352841770e-01,1.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,2.7286031294358759e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.9634954084936211e+00,3.3379421944391554e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.9634954084936207e+00,3.1415926535897931e+00,1.0205478526557920e+01,1.6538326814714353e+01,7.5394329476020538e-01,9.4747931594950263e-01,-9.0843219702660836e+00,-4.7906055300288699e+00,1.7589368744117959e+00,4.2105008797577668e+00,6.8935299482153645e-01,9.0290140513625983e-01,1.2600685056839224e+02,1.6852247014426246e+02,2.5131545578977574e+00,2.9492142578696399e+00,2.6575249741571416e-01,3.1599242506760750e-01,2.9731889956806596e+00,4.1989709983540742e+00,heavy,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1297051237910440e+00,1.5707949999999999e+00,2.6507188014663878e+00,5.7923114550561809e+00,1.0000000000000000e+00,2.4543692606170260e+00,1.4499510051773475e+01,9.0605668253883542e-01,-7.2573431571554572e+00,2.3832069816716444e+00,8.1497621885542504e-01,1.5303755671713566e+02,2.6575249741571438e-01,3.8868359447247549e+00,2.6575249741571438e-01,3.8868359447247549e+00
C_heavy_p,C_{l_heavyp},lepton_heavy_L_proton_Ty,enhanced_region_0,0,34,8.8490178263912445e-01,1.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,3.0446157015490574e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,8.8357293382212987e-01,2.5525440310417071e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0799224746714913e+00,2.4543692606170260e+00,1.4929177288174067e+01,1.6942626913776479e+01,9.1379151517702861e-01,9.5838923481360649e-01,-9.0041922972460888e+00,-7.5199491622775163e+00,1.6116849675574223e+00,2.3832069816716452e+00,8.2834992048120548e-01,9.0393777620359317e-01,1.5303755671713566e+02,1.8000000000000000e+02,2.7286031294358759e+00,3.1415926535897931e+00,2.6575249741571405e-01,3.1599242506760739e-01,3.8868359447247549e+00,4.2725969517832443e+00,heavy,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0246227737253712e+00,1.5707949999999999e+00,1.9634954084936211e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.7671458676442586e+00,1.6613965943365017e+01,9.5579428159510682e-01,-8.6368360399839510e+00,1.6482439729054650e+00,8.8522947220770476e-01,1.7430637006197682e+02,2.6575249741571494e-01,4.2543174491069058e+00,2.6575249741571494e-01,4.2543174491069058e+00
