detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_p_gamma_lepton_heavy_L_proton_Ty_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_0,0,9.9998266094875743e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-1.2888512737284285e-13,-4.7613721505702294e+01,4.7613721505702294e+01,-1.5707963267948992e+00,2.2670664756225769e+03,2.2670664756225769e+03,5.0294376392120765e-01,1,9.9999999343312651e-01
c_p_gamma_lepton_heavy_L_proton_Ty_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_0,0,9.9998266094875743e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,4.7334214461653964e+01,-1.2686773836496079e-13,4.7334214461653964e+01,-2.6802544376803365e-15,2.2405278587018511e+03,2.2405278587018511e+03,4.9705622951191886e-01,2,9.9999999343312651e-01
c_p_gamma_lepton_heavy_L_proton_Ty_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_1,1,9.9926916430198076e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-3.3357742905347041e-16,-4.5600265873522927e+00,4.5600265873522927e+00,-1.5707963267948968e+00,2.0793842477359796e+01,2.0793842477359796e+01,5.1911230068824910e-01,1,9.9999999998288513e-01
c_p_gamma_lepton_heavy_L_proton_Ty_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_1,1,9.9926916430198076e-01,1.0000000000000002e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,4.3889289370424205e+00,-7.3051858215482713e-17,4.3889289370424205e+00,-1.6644575308323487e-17,1.9262697214408313e+01,1.9262697214408313e+01,4.8088769929463604e-01,2,9.9999999998288513e-01
c_p_gamma_lepton_heavy_L_proton_Ty_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_2,2,9.9755598810581869e-01,1.0000000000000002e+00,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,9.4554172381491958e+02,-1.1120012672115172e-09,9.4554172381491958e+02,-1.1760467456951487e-12,8.9404915147488960e+05,8.9404915147488960e+05,5.3456794816181208e-01,1,9.9935219128389108e-01
c_p_gamma_lepton_heavy_L_proton_Ty_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_2,2,9.9755598810581869e-01,1.0000000000000002e+00,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-9.8696051889441057e-10,-8.8166771505446161e+02,8.8166771505446161e+02,-1.5707963267960161e+00,7.7733795976935537e+05,7.7733795976935537e+05,4.6478424312207900e-01,2,9.9935219128389108e-01
c_p_gamma_lepton_heavy_L_proton_Ty_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_3,3,9.9188260038003839e-01,1.0000000000000002e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,1.7750590345741703e+01,-7.5124781852737129e+01,7.7193369573064246e+01,-1.3387703536303761e+00,5.9588163060436809e+03,5.9588163060436809e+03,4.8335477544043587e-01,1,9.8348809255123659e-01
c_p_gamma_lepton_heavy_L_proton_Ty_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_3,3,9.9188260038003839e-01,1.0000000000000002e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,7.0858490511184584e+01,2.5958370772049882e+01,7.5463651453284768e+01,3.5115769851025286e-01,5.6947626906628484e+03,5.6947626906628484e+03,4.6193582754684359e-01,2,9.8348809255123659e-01
c_p_gamma_lepton_heavy_L_proton_Ty_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,enhanced_region_3,3,9.9188260038003839e-01,1.0000000000000002e+00,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-2.1366252862260300e+01,-3.7925403846988734e+00,2.1700233269336493e+01,-2.9659209246551308e+00,4.7090012394361838e+02,4.7090012394361838e+02,3.8197489563957132e-02,3,9.8348809255123659e-01
c_p_gamma_low_egamma_lty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_heavy_L_proton_Ty,low_Egamma_lepton_heavy_L_proton_Ty_region_0,0,9.9998266094875743e-01,9.9999999999999978e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,"$|L_{\ell}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-1.2888512737284285e-13,-4.7613721505702294e+01,4.7613721505702294e+01,-1.5707963267948992e+00,2.2670664756225769e+03,2.2670664756225769e+03,5.0294376392120765e-01,1,9.9999999343312651e-01
