detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_Ty_lepton_region_0,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,5.7076091860146971e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,1.0893688389005019e-02,1.7158293868319363e-01,1.7192840746623966e-01,1.5073920824124634e+00,2.9559377293877333e-02,1.4779688646938667e-02,4.1533538018228061e-01,1,9.3929579385969464e-01
f3_Ty_lepton_region_0,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,5.7076091860146971e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,-7.2644673272864949e-03,-1.1437754095831582e-01,1.1460800304176155e-01,-1.6342241883774336e+00,1.3134994361220426e-02,6.5674971806102128e-03,1.8455828153861639e-01,2,9.3929579385969464e-01
f3_Ty_lepton_region_0,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,5.7076091860146971e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,-9.1563155110930064e-02,-5.8154781499200128e-03,9.1747649343078191e-02,-3.0781645502959436e+00,8.4176311599804370e-03,4.2088155799902185e-03,1.1827515861739232e-01,3,9.3929579385969464e-01
f3_Ty_lepton_region_0,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,5.7076091860146971e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,3,-1,1,1,-7.3863896030501724e-02,4.6895884392274025e-03,7.4012616333528597e-02,3.0781881656635823e+00,5.4778673765341042e-03,2.7389336882670521e-03,7.6968878836705376e-02,4,9.3929579385969464e-01
f3_Ty_lepton_region_0,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,5.7076091860146971e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,2,-1,1,-1,6.7406076024206674e-02,-4.2810557772913578e-03,6.7541887177879553e-02,-6.3426233280551483e-02,4.5619065235494105e-03,2.2809532617747053e-03,6.4098819182732789e-02,5,9.3929579385969464e-01
f3_Ty_lepton_region_0,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,5.7076091860146971e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,3,-1,1,1,-2.9398688494204801e-03,-4.6304121198702058e-02,4.6397354114603155e-02,-1.6342016579312659e+00,2.1527144688358825e-03,1.0763572344179412e-03,3.0247541193063061e-02,6,9.3929579385969464e-01
f3_Ty_lepton_region_0,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,5.7076091860146971e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,1,-1,-1,1,-4.4830466113826142e-02,2.8462445581094379e-03,4.4920727955671882e-02,3.0781886840546204e+00,2.0178718000674815e-03,1.0089359000337408e-03,2.8352882501815273e-02,7,9.3929579385969464e-01
f3_Ty_lepton_region_0,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_0,0,0.0000000000000000e+00,5.7076091860146971e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,5,1,-1,1,-2.4770178554572473e-03,3.9001137297020053e-02,3.9079717602834116e-02,1.6342225637624577e+00,1.5272243279172626e-03,7.6361216395863128e-04,2.1458851807088970e-02,8,9.3929579385969464e-01
f3_Ty_lepton_region_1,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_1,1,0.0000000000000000e+00,5.0293731041426826e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,1.8757008938479552e-03,1.6086206157817812e-01,1.6087299682987433e-01,1.5591365490082463e+00,2.5880121109024753e-02,1.2940060554512377e-02,2.5834579130246693e-01,1,8.7579560642825516e-01
f3_Ty_lepton_region_1,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_1,1,0.0000000000000000e+00,5.0293731041426826e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-1.5852193218720693e-03,-1.3591538914220236e-01,1.3592463325672333e-01,-1.5824590785811159e+00,1.8475505925974738e-02,9.2377529629873688e-03,1.8442994057299547e-01,2,8.7579560642825516e-01
f3_Ty_lepton_region_1,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_1,1,0.0000000000000000e+00,5.0293731041426826e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,1.3008977733933805e-01,1.5168875617318277e-03,1.3009862073086512e-01,1.1659784892774663e-02,1.6925651116073488e-02,8.4628255580367438e-03,1.6895866570603787e-01,3,8.7579560642825516e-01
f3_Ty_lepton_region_1,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_1,1,0.0000000000000000e+00,5.0293731041426826e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-1.1558236142022817e-01,-1.3480670476289413e-03,1.1559022258063678e-01,-3.1299299231396289e+00,1.3361099556241153e-02,6.6805497781205767e-03,1.3337587652650035e-01,4,8.7579560642825516e-01
f3_Ty_lepton_region_1,enhanced_cluster,F3,F_3,lepton_heavy_Ty_proton_unpolarized,enhanced_region_1,1,0.0000000000000000e+00,5.0293731041426826e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,\ell},h_p)$","electron Ty, proton h=+1",5.0000000000000000e-01,3,-1,1,1,7.8906014428208493e-02,-9.2040922658918650e-04,7.8911382360778839e-02,-1.1664098002654007e-02,6.2270062660890382e-03,3.1135031330445191e-03,6.2160484275987776e-02,5,8.7579560642825516e-01
