detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
w_purity_lepton_heavy_unpolarized_proton_Ty_region_0,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_0,0,3.8022468171161888e-01,5.3648314251951690e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,1.5462945746058960e-02,1.0654666674983229e-01,1.0766287608384507e-01,1.4266741654139949e+00,1.1591294886645379e-02,5.7956474433226894e-03,5.3126378746064029e-01,1,9.6593980782583266e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_0,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_0,0,3.8022468171161888e-01,5.3648314251951690e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,6.0487551977098444e-02,4.5203139533118381e-03,6.0656221300198807e-02,7.4592654556395147e-02,3.6791771824186913e-03,1.8395885912093457e-03,1.6862771793705986e-01,2,9.6593980782583266e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_0,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_0,0,3.8022468171161888e-01,5.3648314251951690e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,3,-1,1,1,-5.6259360925366458e-02,-1.5797302273506297e-02,5.8435181619048447e-02,-2.8678476405520636e+00,3.4146704508511774e-03,1.7073352254255887e-03,1.5650458161833050e-01,3,9.6593980782583266e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_0,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_0,0,3.8022468171161888e-01,5.3648314251951690e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,5.9361497998719707e-03,3.4259540280791242e-02,3.4770015454377898e-02,1.3992297661893123e+00,1.2089539746976778e-03,6.0447698734883892e-04,5.5409984280829813e-02,4,9.6593980782583266e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_0,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_0,0,3.8022468171161888e-01,5.3648314251951690e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,-3.7865760691053688e-03,-2.4513388875418311e-02,2.4804120473917307e-02,-1.7240547366424503e+00,6.1524439248460377e-04,3.0762219624230189e-04,2.8198494591132481e-02,5,9.6593980782583266e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_0,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_0,0,3.8022468171161888e-01,5.3648314251951690e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,2.3054431621375965e-02,5.8614976917863975e-03,2.3787895505393439e-02,2.4897091601036536e-01,5.6586397257551741e-04,2.8293198628775870e-04,2.5935241937839804e-02,6,9.6593980782583266e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,3.6415277406248187e-01,5.2449355719724799e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,8.6329609696723555e-02,2.6895524703338719e-01,2.8247075320673282e-01,1.2602034708163030e+00,7.9789726417178963e-02,3.9894863208589482e-02,5.2835235410791259e-01,1,9.2052634534898869e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,3.6415277406248187e-01,5.2449355719724799e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,1.8200085756498610e-01,2.9204765074466465e-02,1.8432913621412414e-01,1.5910860882574712e-01,3.3977230457445134e-02,1.6988615228722567e-02,2.2499074134427785e-01,2,9.2052634534898869e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,3.6415277406248187e-01,5.2449355719724799e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=+1, proton Ty",5.0000000000000000e-01,3,-1,1,1,-1.1150823560040189e-01,-9.3950944253543431e-02,1.4581106450762632e-01,-2.4414413066804519e+00,2.1260866532847165e-02,1.0630433266423583e-02,1.4078540417937047e-01,3,9.2052634534898869e-01
w_purity_lepton_heavy_unpolarized_proton_Ty_region_1,enhanced_cluster,W_purity,P_W,lepton_heavy_unpolarized_proton_Ty,enhanced_region_1,1,3.6415277406248187e-01,5.2449355719724799e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell}}\rho(h_{\ell},T_{y,p})$","electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,2.8615112572961603e-02,5.6282108740183946e-02,6.3138739548752126e-02,1.1004331302341581e+00,3.9865004318051555e-03,1.9932502159025777e-03,2.6397845717427808e-02,4,9.2052634534898869e-01
