selected_spin_case,selected_region,cluster_id,size,max_C13,best_kinematic_point,best_electron_photon_delta,best_electron_photon_region_offset,s_min,s_max,theta_in_min,theta_in_max,phi_in_electron_min,phi_in_electron_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_e_gamma_deg_min,theta_e_gamma_deg_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_s_regime,best_theta_in_regime,best_qOut_regime,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_electron,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_e_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
Tx,aligned,0,44,9.1009565372892698e-01,mid_s_low_theta_in_high_Egamma,1.9634954084936229e-01,1.9634954084936229e-01,2.1515843999999998e+01,2.5388695919999996e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.1233403578366037e+00,5.4977871437821380e+00,1.7500000000000000e+00,1.7500000000000000e+00,4.3196898986859651e+00,5.3014376029327757e+00,7.9202858834448342e-01,6.9187940863644508e+00,4.4352372069639899e-02,3.4052979215497436e-01,-2.8457753408530841e+00,-1.7966410983279413e-01,1.4278784942280920e+01,1.7945453039263782e+01,7.2158940162794527e-01,8.5038825990988243e-01,3.8781350022512399e+01,9.5621746328710671e+01,3.4265923432030831e-12,8.1779579847474970e-02,2.8495490411067403e-01,2.1182889526029811e+00,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.2575932404275798e+00,7.4801137990494856e-02,-7.2727251425059425e-01,1.6434738834117283e+01,8.1471642152281787e-01,4.9810428488012526e+01,7.4797732084567414e-02,3.3995809517304187e-01,7.4797732084567414e-02,3.3995809517304187e-01
Tx,aligned,1,12,7.7755848603767130e-01,low_s_low_theta_in_mid_Egamma,1.9634954084936229e-01,1.9634954084936229e-01,1.6782358320000000e+01,1.6782358320000000e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.1233403578366037e+00,5.3014376029327757e+00,1.2500000000000000e+00,1.2500000000000000e+00,4.3196898986859651e+00,5.1050880620834143e+00,4.0001680256683725e-01,2.0661831164155662e+00,3.8522544114879383e-02,1.8228733405389760e-01,-1.1864263883198938e+00,-1.4239717848483993e-01,1.0148420520831911e+01,1.0863793567201824e+01,6.5297638856448825e-01,7.1276525266147206e-01,3.0979934354889060e+01,5.8713246829184150e+01,2.1356250101689511e-12,4.6617971183309681e-02,1.2880981204315511e-01,4.8649633523105584e-01,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.2500000000000000e+00,4.5160394395353274e+00,7.2780377212939906e-01,6.7944411066399604e-02,-5.6342009040974883e-01,1.0863793567201821e+01,6.7358866175391197e-01,3.0979934354889096e+01,4.6617971183309681e-02,1.2880981204315545e-01,4.6617971183309681e-02,1.2880981204315545e-01
Tx,aligned,2,4,7.7262352956981240e-01,high_s_low_theta_in_high_Egamma,1.9634954084936229e-01,1.9634954084936229e-01,2.5388695919999996e+01,2.5388695919999996e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,4.1233403578366037e+00,1.7500000000000000e+00,1.7500000000000000e+00,4.1233403578366037e+00,4.1233403578366037e+00,5.8877576227952071e+00,6.9187940863644553e+00,3.0527555573749743e-01,3.4052979215497459e-01,-2.8457753408530850e+00,-1.6511797175963836e+00,1.4278784942280911e+01,1.4278784942280913e+01,7.8692786704290973e-01,8.2899578874461510e-01,9.5621746328710699e+01,9.5621746328710699e+01,3.7467806635049783e-12,8.1779579847474526e-02,2.1182889526029824e+00,2.1182889526029824e+00,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,3.9269908169872414e+00,7.8539816339744828e-01,1.7500000000000000e+00,4.1233403578366037e+00,6.9187940863644553e+00,3.4052979215497459e-01,-2.8457753408530850e+00,1.4278784942280911e+01,8.2899578874461510e-01,9.5621746328710699e+01,8.1779579847474526e-02,2.1182889526029824e+00,8.1779579847474526e-02,2.1182889526029824e+00
Tx,opposite,0,14,5.9055775896043085e-02,low_s_low_theta_in_mid_Egamma,2.9452431127404308e+00,1.9634954084936229e-01,1.6782358320000000e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872458e-01,9.8174770424681057e-01,1.2500000000000000e+00,1.2500000000000000e+00,3.3379421944391554e+00,3.9269908169872414e+00,2.4164578945788415e+00,6.3303656348744255e+00,3.7611584929449571e-01,4.7644525123697734e-01,-1.2966247907184608e+01,-5.7661908888633588e+00,4.8597448166451143e+00,8.0967855718491055e+00,4.0222310651715582e-01,7.1307667390051621e-01,1.0011937047390113e+02,1.3615487032500633e+02,4.8057006844636279e+00,5.5076171446797142e+00,1.5834512948598107e+00,3.3348887557740259e+00,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.2500000000000000e+00,3.7306412761378791e+00,3.6238249527313511e+00,3.7977227101182687e-01,-8.9119320868165435e+00,6.7981189564494784e+00,6.0003718387978977e-01,1.1477845840807908e+02,4.8057006844636287e+00,2.1616471174209604e+00,4.8057006844636287e+00,2.1616471174209604e+00
Tx,opposite,1,14,5.9055775726350734e-02,low_s_low_theta_in_mid_Egamma,2.9452431127404299e+00,1.9634954084936318e-01,1.6782358320000000e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.1598449493429825e+00,2.7488935718910685e+00,1.2500000000000000e+00,1.2500000000000000e+00,5.4977871437821380e+00,6.0868357663302239e+00,2.4164578945788433e+00,6.3303656348744264e+00,3.7611584929449549e-01,4.7644525123697756e-01,-1.2966247907184609e+01,-5.7661908888633606e+00,4.8597448166451187e+00,8.0967855718491055e+00,4.0222310651715620e-01,7.1307667390051643e-01,1.0011937047390110e+02,1.3615487032500633e+02,4.8057006844636270e+00,5.5076171446797142e+00,1.5834512948598096e+00,3.3348887557740245e+00,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,2.3561944901923439e+00,5.4977871437821380e+00,1.2500000000000000e+00,5.6941366846315002e+00,3.6238249527313497e+00,3.7977227101182670e-01,-8.9119320868165399e+00,6.7981189564494793e+00,6.0003718387978988e-01,1.1477845840807905e+02,4.8057006844636279e+00,2.1616471174209595e+00,4.8057006844636279e+00,2.1616471174209595e+00
Tx,opposite,2,16,5.5460566438646657e-02,high_s_low_theta_in_high_Egamma,2.9452431127404308e+00,1.9634954084936229e-01,2.1515843999999998e+01,2.5388695919999996e+01,1.5707949999999999e+00,1.5707949999999999e+00,5.8904862254808599e-01,9.8174770424681057e-01,1.7500000000000000e+00,1.7500000000000000e+00,3.5342917352885173e+00,4.3196898986859651e+00,1.9621454155320874e+00,5.0746114404614504e+00,1.4641905838401612e-01,3.2257106809777336e-01,-1.6430327226660420e+01,-9.8147512531302361e+00,8.0534562982924385e+00,1.4647232565493795e+01,4.3206709477198768e-01,8.0315465181121071e-01,8.7258649769654340e+01,1.3753189661654579e+02,7.7106640025515993e+00,8.4304008276718552e+00,1.2337112294853061e+00,5.2309532745962075e+00,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.4760687635662397e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.7500000000000000e+00,3.7306412761378791e+00,4.2181099676929596e+00,3.1932538869913574e-01,-1.2434724076763693e+01,9.8711753012166277e+00,5.3896613811315519e-01,1.2715150975310274e+02,8.4304008276718552e+00,4.3220937731357356e+00,8.4304008276718552e+00,4.3220937731357356e+00
Tx,opposite,3,16,5.5460566171144199e-02,high_s_low_theta_in_high_Egamma,2.9452431127404299e+00,1.9634954084936318e-01,2.1515843999999998e+01,2.5388695919999996e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.1598449493429825e+00,2.5525440310417071e+00,1.7500000000000000e+00,1.7500000000000000e+00,5.1050880620834143e+00,5.8904862254808616e+00,1.9621454155320865e+00,5.0746114404614495e+00,1.4641905838401603e-01,3.2257106809777292e-01,-1.6430327226660420e+01,-9.8147512531302326e+00,8.0534562982924474e+00,1.4647232565493800e+01,4.3206709477198779e-01,8.0315465181121104e-01,8.7258649769654312e+01,1.3753189661654577e+02,7.7106640025515993e+00,8.4304008276718552e+00,1.2337112294853045e+00,5.2309532745962048e+00,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.4760687635662397e+00,1.5707949999999999e+00,2.3561944901923439e+00,5.4977871437821380e+00,1.7500000000000000e+00,5.6941366846315002e+00,4.2181099676929588e+00,3.1932538869913563e-01,-1.2434724076763697e+01,9.8711753012166312e+00,5.3896613811315530e-01,1.2715150975310274e+02,8.4304008276718552e+00,4.3220937731357347e+00,8.4304008276718552e+00,4.3220937731357347e+00
Ty,aligned,0,46,9.1009565246567148e-01,mid_s_low_theta_in_high_Egamma,1.9634954084936229e-01,1.9634954084936229e-01,1.6782358320000000e+01,2.5388695919999996e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.3014376029327757e+00,1.2500000000000000e+00,1.7500000000000000e+00,4.1233403578366037e+00,5.1050880620834143e+00,7.2780377212939906e-01,6.9187940863644553e+00,4.4352372069639899e-02,3.4052979215497459e-01,-2.8457753408530850e+00,-1.7966410983279413e-01,1.0863793567201821e+01,1.7945453039263782e+01,6.7358866175391197e-01,8.5038825990988243e-01,3.0979934354889096e+01,9.5621746328710699e+01,3.4265923432030831e-12,8.1779579847474970e-02,1.2880981204315545e-01,2.1182889526029824e+00,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.2575932404275818e+00,7.4801137990495009e-02,-7.2727251425059480e-01,1.6434738834117280e+01,8.1471642152281765e-01,4.9810428488012583e+01,7.4797732084568302e-02,3.3995809517304321e-01,7.4797732084568302e-02,3.3995809517304321e-01
Ty,aligned,1,10,7.7755847307571702e-01,low_s_low_theta_in_mid_Egamma,1.9634954084936229e-01,1.9634954084936229e-01,1.6782358320000000e+01,1.6782358320000000e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.1233403578366037e+00,5.3014376029327757e+00,1.2500000000000000e+00,1.2500000000000000e+00,4.3196898986859651e+00,5.1050880620834143e+00,4.0001680256683725e-01,2.0661831164155662e+00,3.8522544114879383e-02,1.8228733405389760e-01,-1.1864263883198938e+00,-1.4239717848483993e-01,1.0148420520831911e+01,1.0863793567201824e+01,6.5297638856448825e-01,7.1276525266147206e-01,3.0979934354889060e+01,5.8713246829184150e+01,2.1356250101689511e-12,4.6617971183309237e-02,1.2880981204315511e-01,4.8649633523105584e-01,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.9634954084936211e+00,1.2500000000000000e+00,4.9087385212340520e+00,7.2780377212939795e-01,6.7944411066399479e-02,-5.6342009040974850e-01,1.0863793567201824e+01,6.7358866175391208e-01,3.0979934354889060e+01,4.6617971183309237e-02,1.2880981204315511e-01,4.6617971183309237e-02,1.2880981204315511e-01
Ty,aligned,2,4,7.7262353453256771e-01,high_s_low_theta_in_high_Egamma,1.9634954084936229e-01,1.9634954084936229e-01,2.5388695919999996e+01,2.5388695919999996e+01,1.5707949999999999e+00,1.5707949999999999e+00,5.3014376029327757e+00,5.4977871437821380e+00,1.7500000000000000e+00,1.7500000000000000e+00,5.3014376029327757e+00,5.3014376029327757e+00,5.8877576227952053e+00,6.9187940863644508e+00,3.0527555573749726e-01,3.4052979215497436e-01,-2.8457753408530841e+00,-1.6511797175963829e+00,1.4278784942280920e+01,1.4278784942280920e+01,7.8692786704290996e-01,8.2899578874461510e-01,9.5621746328710671e+01,9.5621746328710671e+01,3.7472247527148284e-12,8.1779579847474970e-02,2.1182889526029811e+00,2.1182889526029811e+00,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,5.4977871437821380e+00,2.3561944901923448e+00,1.7500000000000000e+00,5.3014376029327757e+00,6.9187940863644508e+00,3.4052979215497436e-01,-2.8457753408530841e+00,1.4278784942280920e+01,8.2899578874461510e-01,9.5621746328710671e+01,8.1779579847474970e-02,2.1182889526029811e+00,8.1779579847474970e-02,2.1182889526029811e+00
