selected_spin_case,selected_region,cluster_id,example_rank,selected_C13,electron_photon_delta,electron_photon_region_offset,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C13,longitudinal_polarized_C13,Tx_C13,Ty_C13,double_transverse_C13
Tx,aligned,0,1,0.910095653728927,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.2575932404275798e+00,7.4801137990494856e-02,-7.2727251425059425e-01,1.6434738834117283e+01,8.1471642152281787e-01,4.9810428488012526e+01,7.4797732084567414e-02,3.3995809517304187e-01,7.4797732084567414e-02,3.3995809517304187e-01,3.8198124528638003e-17,-6.4071072120533921e-17,9.1009565372892698e-01,9.1009565144330551e-01,9.1009604429732727e-01
Tx,aligned,0,2,0.910095653728927,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.2575932404275798e+00,7.4801137990494856e-02,-7.2727251425059425e-01,1.6434738834117283e+01,8.1471642152281787e-01,4.9810428488012526e+01,7.4797732084567414e-02,3.3995809517304187e-01,7.4797732084567414e-02,3.3995809517304187e-01,3.8198124528638003e-17,-6.4071072120533921e-17,9.1009565372892698e-01,9.1009565144330551e-01,9.1009604429732727e-01
Tx,aligned,1,1,0.7775584860376713,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.2500000000000000e+00,4.5160394395353274e+00,7.2780377212939906e-01,6.7944411066399604e-02,-5.6342009040974883e-01,1.0863793567201821e+01,6.7358866175391197e-01,3.0979934354889096e+01,4.6617971183309681e-02,1.2880981204315545e-01,4.6617971183309681e-02,1.2880981204315545e-01,1.5486549433293763e-16,-5.9094921576254669e-17,7.7755848603767130e-01,7.7755848603774547e-01,7.7755867293667025e-01
Tx,aligned,1,2,0.7775584860376713,1.9634954084936229e-01,1.9634954084936229e-01,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.2500000000000000e+00,4.5160394395353274e+00,7.2780377212939906e-01,6.7944411066399604e-02,-5.6342009040974883e-01,1.0863793567201821e+01,6.7358866175391197e-01,3.0979934354889096e+01,4.6617971183309681e-02,1.2880981204315545e-01,4.6617971183309681e-02,1.2880981204315545e-01,1.5486549433293763e-16,-5.9094921576254669e-17,7.7755848603767130e-01,7.7755848603774547e-01,7.7755867293667025e-01
Tx,aligned,2,1,0.7726235295698124,1.9634954084936229e-01,1.9634954084936229e-01,high_s_low_theta_in_high_Egamma,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,3.9269908169872414e+00,7.8539816339744828e-01,1.7500000000000000e+00,4.1233403578366037e+00,6.9187940863644553e+00,3.4052979215497459e-01,-2.8457753408530850e+00,1.4278784942280911e+01,8.2899578874461510e-01,9.5621746328710699e+01,8.1779579847474526e-02,2.1182889526029824e+00,8.1779579847474526e-02,2.1182889526029824e+00,1.5909769293555077e-16,-1.7840046804770291e-16,7.7262352956981240e-01,7.7262353724091748e-01,7.7262889029850823e-01
Tx,aligned,2,2,0.7726235295698124,1.9634954084936229e-01,1.9634954084936229e-01,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,3.9269908169872414e+00,7.8539816339744828e-01,1.7500000000000000e+00,4.1233403578366037e+00,6.9187940863644553e+00,3.4052979215497459e-01,-2.8457753408530850e+00,1.4278784942280911e+01,8.2899578874461510e-01,9.5621746328710699e+01,8.1779579847474526e-02,2.1182889526029824e+00,8.1779579847474526e-02,2.1182889526029824e+00,1.5909769293555077e-16,-1.7840046804770291e-16,7.7262352956981240e-01,7.7262353724091748e-01,7.7262889029850823e-01
Tx,opposite,0,1,0.059055775896043085,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.2500000000000000e+00,3.7306412761378791e+00,3.6238249527313511e+00,3.7977227101182687e-01,-8.9119320868165435e+00,6.7981189564494784e+00,6.0003718387978977e-01,1.1477845840807908e+02,4.8057006844636287e+00,2.1616471174209604e+00,4.8057006844636287e+00,2.1616471174209604e+00,3.0889556509526247e-17,-2.5445742047742304e-17,5.9055775896043085e-02,5.9055776471458460e-02,5.8983793345475204e-02
Tx,opposite,0,2,0.059055775896043085,2.9452431127404308e+00,1.9634954084936229e-01,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.2500000000000000e+00,3.7306412761378791e+00,3.6238249527313511e+00,3.7977227101182687e-01,-8.9119320868165435e+00,6.7981189564494784e+00,6.0003718387978977e-01,1.1477845840807908e+02,4.8057006844636287e+00,2.1616471174209604e+00,4.8057006844636287e+00,2.1616471174209604e+00,3.0889556509526247e-17,-2.5445742047742304e-17,5.9055775896043085e-02,5.9055776471458460e-02,5.8983793345475204e-02
Tx,opposite,1,1,0.059055775726350734,2.9452431127404299e+00,1.9634954084936318e-01,low_s_low_theta_in_mid_Egamma,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,2.3561944901923439e+00,5.4977871437821380e+00,1.2500000000000000e+00,5.6941366846315002e+00,3.6238249527313497e+00,3.7977227101182670e-01,-8.9119320868165399e+00,6.7981189564494793e+00,6.0003718387978988e-01,1.1477845840807905e+02,4.8057006844636279e+00,2.1616471174209595e+00,4.8057006844636279e+00,2.1616471174209595e+00,8.2211204161136393e-18,-2.5994338764263819e-17,5.9055775726350734e-02,5.9055774872251367e-02,5.8983786759753715e-02
Tx,opposite,1,2,0.059055775726350734,2.9452431127404299e+00,1.9634954084936318e-01,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,2.3561944901923439e+00,5.4977871437821380e+00,1.2500000000000000e+00,5.6941366846315002e+00,3.6238249527313497e+00,3.7977227101182670e-01,-8.9119320868165399e+00,6.7981189564494793e+00,6.0003718387978988e-01,1.1477845840807905e+02,4.8057006844636279e+00,2.1616471174209595e+00,4.8057006844636279e+00,2.1616471174209595e+00,8.2211204161136393e-18,-2.5994338764263819e-17,5.9055775726350734e-02,5.9055774872251367e-02,5.8983786759753715e-02
Tx,opposite,2,1,0.055460566438646657,2.9452431127404308e+00,1.9634954084936229e-01,high_s_low_theta_in_high_Egamma,high_s,low_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.4760687635662397e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.7500000000000000e+00,3.7306412761378791e+00,4.2181099676929596e+00,3.1932538869913574e-01,-1.2434724076763693e+01,9.8711753012166277e+00,5.3896613811315519e-01,1.2715150975310274e+02,8.4304008276718552e+00,4.3220937731357356e+00,8.4304008276718552e+00,4.3220937731357356e+00,2.0352126363391094e-17,-3.6899326228292579e-17,5.5460566438646657e-02,5.5460568000596969e-02,5.5456342286772750e-02
Tx,opposite,2,2,0.055460566438646657,2.9452431127404308e+00,1.9634954084936229e-01,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.4760687635662397e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.7500000000000000e+00,3.7306412761378791e+00,4.2181099676929596e+00,3.1932538869913574e-01,-1.2434724076763693e+01,9.8711753012166277e+00,5.3896613811315519e-01,1.2715150975310274e+02,8.4304008276718552e+00,4.3220937731357356e+00,8.4304008276718552e+00,4.3220937731357356e+00,2.0352126363391094e-17,-3.6899326228292579e-17,5.5460566438646657e-02,5.5460568000596969e-02,5.5456342286772750e-02
