detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_p_gamma_L_lepton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_0,0,6.8082855700573874e-01,6.6237866389688915e-01,3.0434178831651124e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,3.9724578382221802e+02,-1.9266677004964843e+03,1.9671941035141751e+03,-1.3674628757017144e+00,3.8698526409009392e+06,1.9349263204504696e+06,5.7581916254554799e-01,1,9.9984057252892533e-01
c_p_gamma_L_lepton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_0,0,6.8082855700573874e-01,6.6237866389688915e-01,3.0434178831651124e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-2.3936968896274655e+02,1.1384061210796447e+03,1.1632997655401314e+03,1.7780446077062015e+00,1.3532663445057247e+06,6.7663317225286236e+05,2.0136081796978905e-01,2,9.9984057252892533e-01
c_p_gamma_L_lepton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_0,0,6.8082855700573874e-01,6.6237866389688915e-01,3.0434178831651124e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-2.3925064134673829e+02,1.1384306733524156e+03,1.1632993025934727e+03,1.7779401185479780e+00,1.3532652674144600e+06,6.7663263370722998e+05,2.0136065770275885e-01,3,9.9984057252892533e-01
c_p_gamma_L_lepton_region_0,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_0,0,6.8082855700573874e-01,6.6237866389688915e-01,3.0434178831651124e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,7.6419087967479570e+01,-3.7055168256802193e+02,3.7834960877444217e+02,-1.3674170669014709e+00,1.4314842645977344e+05,7.1574213229886722e+04,2.1299934310829407e-02,4,9.9984057252892533e-01
c_p_gamma_L_lepton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_1,1,6.1691023810526524e-01,5.9022707925910978e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,1.1891832551273656e+02,-1.5036715607134754e+03,1.5083665770101286e+03,-1.4918752841010268e+00,2.2751697306412524e+06,1.1375848653206262e+06,3.6308098170692943e-01,1,9.9971073774206720e-01
c_p_gamma_L_lepton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_1,1,6.1691023810526524e-01,5.9022707925910978e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-1.1795193072410380e+02,1.2771236773698656e+03,1.2825589831505888e+03,1.6628925473232001e+00,1.6449575452602722e+06,8.2247877263013611e+05,2.6250911848716701e-01,2,9.9971073774206720e-01
c_p_gamma_L_lepton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_1,1,6.1691023810526524e-01,5.9022707925910978e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-1.1760336614615952e+02,1.2771512531563953e+03,1.2825544336081252e+03,1.6626199480148924e+00,1.6449458751678590e+06,8.2247293758392951e+05,2.6250725612562409e-01,3,9.9971073774206720e-01
c_p_gamma_L_lepton_region_1,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_1,1,6.1691023810526524e-01,5.9022707925910978e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,6.5952398289018731e+01,-8.3369766186775360e+02,8.3630228401208649e+02,-1.4918524407656542e+00,6.9940151024383260e+05,3.4970075512191630e+05,1.1161338142234666e-01,4,9.9971073774206720e-01
c_p_gamma_L_lepton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_2,2,4.9472052757261670e-01,6.0124204340971088e-01,2.7488935718910685e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,4.6625689096381564e+01,-1.9336001371279435e+03,1.9341622075681539e+03,-1.5466875907553870e+00,3.7409834451849144e+06,1.8704917225924572e+06,3.6741007558419181e-01,1,9.9794718286581952e-01
c_p_gamma_L_lepton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_2,2,4.9472052757261670e-01,6.0124204340971088e-01,2.7488935718910685e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,4.1595228496419551e+01,-1.7241744291676573e+03,1.7246760928444758e+03,-1.5466762835413113e+00,2.9745076252292870e+06,1.4872538126146435e+06,2.9213282748361041e-01,2,9.9794718286581952e-01
c_p_gamma_L_lepton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_2,2,4.9472052757261670e-01,6.0124204340971088e-01,2.7488935718910685e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-1.2332754243137798e+02,1.3067976255422457e+03,1.3126041737115629e+03,1.6648915014051684e+00,1.7229297168450148e+06,8.6146485842250742e+05,1.6921265404343089e-01,3,9.9794718286581952e-01
c_p_gamma_L_lepton_region_2,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_2,2,4.9472052757261670e-01,6.0124204340971088e-01,2.7488935718910685e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-1.2215383789497938e+02,1.3068259432269747e+03,1.3125226116160991e+03,1.6639991943249859e+00,1.7227156060035452e+06,8.6135780300177261e+05,1.6919162575458641e-01,4,9.9794718286581952e-01
c_p_gamma_L_lepton_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_3,3,2.6250369653883621e-01,5.3233186638448859e-01,2.1598449493429821e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,-1.6943656712980328e+01,-3.3052465756999010e+02,3.3095866322634089e+02,-1.6220144059382795e+00,1.0953363676456653e+05,5.4766818382283265e+04,5.0927718148697732e-01,1,9.9999748777028941e-01
c_p_gamma_L_lepton_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_3,3,2.6250369653883621e-01,5.3233186638448859e-01,2.1598449493429821e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,-1.5444331722176939e+01,-3.0125205108534783e+02,3.0164768466784835e+02,-1.6220186241482828e+00,9.0991325665473676e+04,4.5495662832736838e+04,4.2306461506687365e-01,2,9.9999748777028941e-01
c_p_gamma_L_lepton_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_3,3,2.6250369653883621e-01,5.3233186638448859e-01,2.1598449493429821e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-4.8580053240047754e+00,-8.5158655474023348e+01,8.5297109082731907e+01,-1.6277810895415308e+00,7.2755968178714656e+03,3.6377984089357328e+03,3.3827923097316914e-02,3,9.9999748777028941e-01
c_p_gamma_L_lepton_region_3,enhanced_cluster,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,enhanced_region_3,3,2.6250369653883621e-01,5.3233186638448859e-01,2.1598449493429821e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-4.8228812629453301e+00,-8.5160456210625654e+01,8.5296913693746021e+01,-1.6273687697230368e+00,7.2755634856783572e+03,3.6377817428391786e+03,3.3827768119121533e-02,4,9.9999748777028941e-01
c_p_gamma_low_egamma_l_lepton_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,4.9472052757261670e-01,6.0124204340971088e-01,2.7488935718910685e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,4.6625689096381564e+01,-1.9336001371279435e+03,1.9341622075681539e+03,-1.5466875907553870e+00,3.7409834451849144e+06,1.8704917225924572e+06,3.6741007558419181e-01,1,9.9794718286581952e-01
c_p_gamma_low_egamma_l_lepton_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,4.9472052757261670e-01,6.0124204340971088e-01,2.7488935718910685e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,4.1595228496419551e+01,-1.7241744291676573e+03,1.7246760928444758e+03,-1.5466762835413113e+00,2.9745076252292870e+06,1.4872538126146435e+06,2.9213282748361041e-01,2,9.9794718286581952e-01
c_p_gamma_low_egamma_l_lepton_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,4.9472052757261670e-01,6.0124204340971088e-01,2.7488935718910685e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-1.2332754243137798e+02,1.3067976255422457e+03,1.3126041737115629e+03,1.6648915014051684e+00,1.7229297168450148e+06,8.6146485842250742e+05,1.6921265404343089e-01,3,9.9794718286581952e-01
c_p_gamma_low_egamma_l_lepton_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_0,0,4.9472052757261670e-01,6.0124204340971088e-01,2.7488935718910685e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-1.2215383789497938e+02,1.3068259432269747e+03,1.3125226116160991e+03,1.6639991943249859e+00,1.7227156060035452e+06,8.6135780300177261e+05,1.6919162575458641e-01,4,9.9794718286581952e-01
c_p_gamma_low_egamma_l_lepton_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,2.6250369653883621e-01,5.3233186638448859e-01,2.1598449493429821e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,-1.6943656712980328e+01,-3.3052465756999010e+02,3.3095866322634089e+02,-1.6220144059382795e+00,1.0953363676456653e+05,5.4766818382283265e+04,5.0927718148697732e-01,1,9.9999748777028941e-01
c_p_gamma_low_egamma_l_lepton_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,2.6250369653883621e-01,5.3233186638448859e-01,2.1598449493429821e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,-1.5444331722176939e+01,-3.0125205108534783e+02,3.0164768466784835e+02,-1.6220186241482828e+00,9.0991325665473676e+04,4.5495662832736838e+04,4.2306461506687365e-01,2,9.9999748777028941e-01
c_p_gamma_low_egamma_l_lepton_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,2.6250369653883621e-01,5.3233186638448859e-01,2.1598449493429821e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,4,1,-1,-1,-4.8580053240047754e+00,-8.5158655474023348e+01,8.5297109082731907e+01,-1.6277810895415308e+00,7.2755968178714656e+03,3.6377984089357328e+03,3.3827923097316914e-02,3,9.9999748777028941e-01
c_p_gamma_low_egamma_l_lepton_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_1,1,2.6250369653883621e-01,5.3233186638448859e-01,2.1598449493429821e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-4.8228812629453301e+00,-8.5160456210625654e+01,8.5296913693746021e+01,-1.6273687697230368e+00,7.2755634856783572e+03,3.6377817428391786e+03,3.3827768119121533e-02,4,9.9999748777028941e-01
c_p_gamma_low_egamma_l_lepton_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_2,2,1.2224835679800755e-01,5.0795483619425197e-01,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,7.0493730448430032e+00,-1.2172493348208965e+02,1.2192888538629602e+02,-1.5129486217350290e+00,1.4866653091544511e+04,7.4333265457722555e+03,5.1715917323180383e-01,1,9.8555108668394120e-01
c_p_gamma_low_egamma_l_lepton_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_2,2,1.2224835679800755e-01,5.0795483619425197e-01,1.3744467859455345e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=-1",5.0000000000000000e-01,6,1,1,-1,6.7089879902793594e+00,-1.1584360848691664e+02,1.1603771863977565e+02,-1.5129467624535975e+00,1.3464752147123736e+04,6.7323760735618680e+03,4.6839191345213732e-01,2,9.8555108668394120e-01
c_p_gamma_low_egamma_l_lepton_region_3,egamma_region_max,C_p_gamma,C_{p\gamma},lepton_massless_L_proton_unpolarized,low_Egamma_L_lepton_region_3,3,6.2467835082433448e-02,5.0209070619237195e-01,7.8539816339744828e-01,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(L_{\ell_0},h_p)$","electron L, proton h=+1",5.0000000000000000e-01,5,1,-1,1,-3.4219413767570566e+00,-8.4322186652595036e+01,8.4391592262861337e+01,-1.6113558148723481e+00,7.1219408446610378e+03,3.5609704223305189e+03,5.0857983892928715e-01,1,9.9616357303431780e-01
