detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_0,0,3.7969476971263266e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,-5.4891850787306663e-02,-2.1337702385358961e-01,2.2032446435080988e-01,-1.8225894811596157e+00,4.8542869591471291e-02,4.8542869591471291e-02,5.5150082549078405e-01,1,1.0000000000000002e+00
f3_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_0,0,3.7969476971263266e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,2.5712194930694911e-02,-1.8521840285642965e-01,1.8699458207349409e-01,-1.4328569553667390e+00,3.4966973724840721e-02,3.4966973724840721e-02,3.9726359476598305e-01,2,1.0000000000000002e+00
f3_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_0,0,3.7969476971263266e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,1.2596408080449470e-02,4.9122499773949932e-02,5.0711827817294497e-02,1.3197765383802638e+00,2.5716894805709240e-03,2.5716894805709240e-03,2.9217244126210774e-02,3,1.0000000000000002e+00
f3_lepton_massless_L_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_0,0,3.7969476971263266e-08,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,6.2133278780951125e-03,-4.3582555599483999e-02,4.4023227913259924e-02,-1.4291860147824791e+00,1.9380445959028278e-03,1.9380445959028278e-03,2.2018335617022329e-02,4,1.0000000000000002e+00
f3_lepton_massless_L_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_1,1,3.4388238323352068e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,8.4587374250242264e-01,-5.1693361862605215e+01,5.1700282040299378e+01,-1.5544344917772766e+00,2.6729191630465025e+03,2.6729191630465025e+03,5.1496986549287649e-01,1,9.9974360520396810e-01
f3_lepton_massless_L_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_1,1,3.4388238323352068e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,8.2058749137715903e-01,-5.0154906841211570e+01,5.0161619233051240e+01,-1.5544367254050495e+00,2.5161880440816162e+03,2.5161880440816162e+03,4.8477373971109156e-01,2,9.9974360520396810e-01
f3_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_2,2,3.4035245596593206e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,5,1,-1,1,6.5965337533665833e-02,-1.9753592148780638e-01,2.0825913193415377e-01,-1.2484989977483112e+00,4.3371866033967268e-02,4.3371866033967268e-02,4.8488765481721857e-01,1,1.0000000000000000e+00
f3_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_2,2,3.4035245596593206e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,6,1,1,-1,-6.3692332479323155e-02,-1.6785836637603604e-01,1.7953591389771628e-01,-1.9334547080507580e+00,3.2233144379088197e-02,3.2233144379088197e-02,3.6035926545379593e-01,2,1.0000000000000000e+00
f3_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_2,2,3.4035245596593206e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,7,1,1,1,2.8554664738446388e-02,-8.4510758282572818e-02,8.9204468183048558e-02,-1.2449575664373222e+00,7.9574371438205227e-03,7.9574371438205227e-03,8.8962347896231891e-02,3,1.0000000000000000e+00
f3_lepton_massless_L_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_massless_L_proton_Tx,enhanced_region_2,2,3.4035245596593206e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron L, proton Tx",1.0000000000000000e+00,4,1,-1,-1,2.7076306358921103e-02,7.1775159369391842e-02,7.6712449240939687e-02,1.2100651561863742e+00,5.8847998685437478e-03,5.8847998685437478e-03,6.5790731832753579e-02,4,1.0000000000000000e+00
