detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_lepton_massless_Tx_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_0,0,9.5254096178323966e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,8.1489769008595989e-02,-3.4461571009510761e-01,3.5411942914422190e-01,-1.3385958994071350e+00,1.2540057009742958e-01,1.2540057009742958e-01,4.8252344312307677e-01,1,9.6504688624615353e-01
f3_lepton_massless_Tx_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_0,0,9.5254096178323966e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,8.1489759823946711e-02,3.4461571226696130e-01,3.5411942914422190e-01,1.3385959260589939e+00,1.2540057009742958e-01,1.2540057009742958e-01,4.8252344312307677e-01,2,9.6504688624615353e-01
f3_lepton_massless_Tx_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_1,1,9.5242788377458965e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,7.4901057538010645e-03,-3.2794423664599104e-01,3.2802976089605790e-01,-1.5479607257083541e+00,1.0760352403352491e-01,1.0760352403352491e-01,4.7429700997513274e-01,1,9.3974675519848527e-01
f3_lepton_massless_Tx_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_1,1,9.5242788377458965e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,6.1529199451206508e-03,3.2489766251315133e-01,3.2495591936501272e-01,1.5518605656795130e+00,1.0559634953036065e-01,1.0559634953036065e-01,4.6544974522335258e-01,2,9.3974675519848527e-01
f3_lepton_massless_Tx_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_2,2,9.5207765899844743e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,0,-1,-1,-1,3.3870086501010421e-01,2.9854301847642767e-01,4.5149331095776984e-01,7.2246336770067598e-01,2.0384620983960947e-01,2.0384620983960947e-01,3.5434515715884823e-01,1,9.6520053295308628e-01
f3_lepton_massless_Tx_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_2,2,9.5207765899844743e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,7,1,1,1,3.4414329318479797e-01,-2.8614296697473224e-01,4.4756273727063173e-01,-6.9363440545827326e-01,2.0031240379318052e-01,2.0031240379318052e-01,3.4820235440634179e-01,2,9.6520053295308628e-01
f3_lepton_massless_Tx_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_2,2,9.5207765899844743e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,2,-1,1,-1,2.0819225191107926e-01,1.8010571628332028e-01,2.7528545692377965e-01,7.1319148609535332e-01,7.5782082793734135e-02,7.5782082793734135e-02,1.3173173079106593e-01,3,9.6520053295308628e-01
f3_lepton_massless_Tx_proton_Tx_region_2,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_2,2,9.5207765899844743e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,5,1,-1,1,-2.0936647872651490e-01,1.7743036299215525e-01,2.7443734462690783e-01,2.4385732413755807e+00,7.5315856125868177e-02,7.5315856125868177e-02,1.3092129059683030e-01,4,9.6520053295308628e-01
f3_low_egamma_txtx_region_0,egamma_region_max,F3,F_3,lepton_massless_Tx_proton_Tx,low_Egamma_lepton_massless_Tx_proton_Tx_region_0,0,5.7247336222764744e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,6,1,1,-1,-3.0642584124211044e+02,-3.0649371098565516e+03,3.0802169215100366e+03,-1.6704430545578193e+00,9.4877362835567668e+06,9.4877362835567668e+06,4.5971538007967555e-01,1,9.8916364294814907e-01
f3_low_egamma_txtx_region_0,egamma_region_max,F3,F_3,lepton_massless_Tx_proton_Tx,low_Egamma_lepton_massless_Tx_proton_Tx_region_0,0,5.7247336222764744e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_low_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{x,p}\rangle$","electron Tx, proton Tx",1.0000000000000000e+00,5,1,-1,1,-3.1233529064242595e+02,-1.7040886735833176e+03,1.7324755528479009e+03,-1.7520701329478687e+00,3.0014715412156396e+06,3.0014715412156396e+06,1.4543222841887515e-01,2,9.8916364294814907e-01
