detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,5,1,-1,1,-9.1308713148537180e+01,-2.2777244070754014e+02,2.4539267683187234e+02,-1.9520584356756008e+00,6.0217565842711731e+04,6.0217565842711731e+04,4.0990498506632889e-01,1,9.9999949949945888e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,2,-1,1,-1,2.2745289397199753e+02,9.1180614239266390e+01,2.4504841029740768e+02,3.8126210888064804e-01,6.0048723389286657e+04,6.0048723389286657e+04,4.0875566323006368e-01,2,9.9999949949945888e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,1,-1,-1,1,-5.0820713676402093e+01,-7.2429553602344754e+01,8.8480422544276848e+01,-2.1826336023045694e+00,7.8287851736137745e+03,7.8287851736137745e+03,5.3291062578977547e-02,3,9.9999949949945888e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.7202804351529931e+01,-8.6754641546145038e+01,8.8443791796581934e+01,-1.3750430252976396e+00,7.8223043073571334e+03,7.8223043073571334e+03,5.3246946890324762e-02,4,9.9999949949945888e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,4,1,-1,-1,6.8909124801065957e+01,-2.7310957014945981e+01,7.4123922278311142e+01,-3.7734113899159849e-01,5.4943558539211108e+03,5.4943558539211108e+03,3.7400446576224641e-02,5,9.9999949949945888e-01
f3_lepton_massless_Tx_proton_Ty_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_0,0,9.5576605136692061e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,3,-1,1,1,-2.7923006888196426e+01,6.8663338008878085e+01,7.4123871324963233e+01,1.9570355374911861e+00,5.4943483001997065e+03,5.4943483001997065e+03,3.7400395157539477e-02,6,9.9999949949945888e-01
f3_lepton_massless_Tx_proton_Ty_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_1,1,9.5258491068063145e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,0,-1,-1,-1,-3.3968137215155536e-01,4.2772020610862264e-02,3.4236366678416608e-01,3.0163338219045253e+00,1.1721288033389950e-01,1.1721288033389950e-01,4.7961900960973819e-01,1,9.5841743321847517e-01
f3_lepton_massless_Tx_proton_Ty_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_1,1,9.5258491068063145e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,7,1,1,1,4.4195825436737862e-02,-3.3920357958650654e-01,3.4207066432293504e-01,-1.4412332799429848e+00,1.1701233939033411e-01,1.1701233939033411e-01,4.7879842360873692e-01,2,9.5841743321847517e-01
f3_lepton_massless_Tx_proton_Ty_region_2,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_2,2,9.5258491068063078e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,0,-1,-1,-1,3.3968137215155547e-01,4.2772020610862362e-02,3.4236366678416613e-01,1.2525883168526827e-01,1.1721288033389954e-01,1.1721288033389954e-01,4.7961900960973813e-01,1,9.5841743321847472e-01
f3_lepton_massless_Tx_proton_Ty_region_2,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Ty,enhanced_region_2,2,9.5258491068063078e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,"$|T_{x,\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron Tx, proton Ty",1.0000000000000000e+00,7,1,1,1,4.4195825436738008e-02,3.3920357958650649e-01,3.4207066432293498e-01,1.4412332799429843e+00,1.1701233939033406e-01,1.1701233939033406e-01,4.7879842360873653e-01,2,9.5841743321847472e-01
