selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_lepton_min,phi_in_lepton_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_lepton_gamma_deg_min,theta_lepton_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_lepton_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_lepton_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
GHZ_purity,P_{\rm GHZ+},lepton_massless_Tx_proton_Tx,enhanced_region_0,0,13,9.6487430468344604e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,9.8174770424681057e-01,2.1598449493429825e+00,1.8000000000000000e+00,1.8000000000000000e+00,9.8174770424681035e-01,2.1598449493429825e+00,1.6846687798032651e+01,1.6866895224885329e+01,8.4601449559550301e-01,8.4686531068318849e-01,-3.2181941537539771e+00,-3.2143385880385478e+00,3.9298056968822639e+00,3.9461575580190549e+00,9.6496420605018962e-01,9.6515104292341547e-01,1.7812228662918179e+02,1.8000000000000000e+02,,,3.5238478801602469e-12,3.5249581031848720e-12,6.8161746049999898e+00,6.8243505355684739e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5652926546798259e-02,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866895224885329e+01,8.4686531068318849e-01,-3.2181941537539771e+00,3.9298056968822639e+00,9.6515104292341547e-01,1.8000000000000000e+02,3.5244596389088626e-12,6.8243505355684739e+00,3.5244596389088626e-12,6.8243505355684739e+00
GHZ_purity,P_{\rm GHZ+},lepton_massless_Tx_proton_Tx,enhanced_region_1,1,33,8.8590288552339413e-01,1.0000000000000000e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.9634954084936229e-01,9.8174770424681057e-01,1.8000000000000000e+00,1.8000000000000000e+00,4.0251655874119221e+00,4.6142142099600090e+00,1.0095540412777133e+00,2.3776532356084235e+00,6.6015644190566269e-02,1.8902758865500954e-01,-1.5996316938625149e+01,-1.0877370900254672e+01,1.0920348221555944e+01,1.7378183938550212e+01,5.6206565785246576e-01,9.0373157439233698e-01,2.8926844580454546e+01,1.2826836039686845e+02,,,5.1662375905114306e+00,8.0079034984793900e+00,1.0016141473569068e-01,3.3290792732316836e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0271689142161655e+00,1.5707949999999999e+00,5.8904862254808599e-01,3.7306412761378791e+00,1.8000000000000000e+00,4.4178646691106467e+00,1.5111299483091793e+00,9.1384859288019343e-02,-1.4035323488201144e+01,1.5904603695581645e+01,8.0131273715307372e-01,7.6628594439444640e+01,7.0990483061623948e+00,8.3695153621655516e-01,7.0990483061623948e+00,8.3695153621655516e-01
GHZ_purity,P_{\rm GHZ+},lepton_massless_Tx_proton_Tx,enhanced_region_2,2,34,8.8590288552339413e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.1598449493429825e+00,2.9452431127404317e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.8105637508093704e+00,5.3996123733574573e+00,1.0095540412777138e+00,2.3776532356084239e+00,6.1789712886186274e-02,1.8902758865500943e-01,-1.5996316938625151e+01,-1.0877370900254673e+01,1.0920348221555953e+01,1.7378183938550212e+01,5.6206565785246587e-01,9.0373157439233720e-01,2.8926844580454450e+01,1.2826836039686845e+02,,,5.1662375905114297e+00,8.0079034984793900e+00,1.0016141473569001e-01,3.3290792732316823e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0271689142161655e+00,1.5707949999999999e+00,2.5525440310417071e+00,5.6941366846315002e+00,1.8000000000000000e+00,5.0069132916587327e+00,1.5111299483091791e+00,9.1384859288019288e-02,-1.4035323488201144e+01,1.5904603695581654e+01,8.0131273715307416e-01,7.6628594439444583e+01,7.0990483061623939e+00,8.3695153621655327e-01,7.0990483061623939e+00,8.3695153621655327e-01
GHZ_purity,P_{\rm GHZ+},lepton_massless_Tx_proton_Ty,enhanced_region_0,0,46,9.5804290370529821e-01,9.9999999999999978e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,5.8904862254808599e-01,1.7671458676442597e+00,1.8000000000000000e+00,1.8000000000000000e+00,3.7306412761378791e+00,4.8105637508093704e+00,2.7178328327105405e+00,7.1308555445900108e+00,1.4143465845474007e-01,5.1385582794324036e-01,-1.9161908468747725e+01,-8.9612925305833731e+00,7.6261406775264078e+00,1.7378183938550212e+01,6.6552279474954246e-01,9.8498767616975103e-01,2.8926844580454450e+01,1.4782877399940827e+02,,,5.8914015382409648e+00,8.0079034984793900e+00,1.0016141473569001e-01,4.9761830452450173e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1330101235719803e+00,1.5707949999999999e+00,1.1780972450961720e+00,4.3196898986859651e+00,1.8000000000000000e+00,4.5160394395353274e+00,3.1747032082254325e+00,1.6626257091819421e-01,-1.8257789932784167e+01,1.6799656115896884e+01,9.2530118841453401e-01,5.4940191295692237e+01,7.9309686883387869e+00,3.8942532605946384e-01,7.9309686883387869e+00,3.8942532605946384e-01
GHZ_purity,P_{\rm GHZ+},lepton_massless_Tx_proton_Ty,enhanced_region_1,1,34,9.0730064385961184e-01,9.9999999999999978e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,9.8174770424681057e-01,1.5707963267948966e+00,1.8000000000000000e+00,1.8000000000000000e+00,1.7671458676442586e+00,2.9452431127404308e+00,1.0216950159428450e+01,1.5004518777956420e+01,7.5473302444858781e-01,8.3099869436295637e-01,-4.0669589768918399e+00,-3.1532246550345073e+00,3.9313328665067067e+00,4.2000650368273531e+00,6.5599782885519509e-01,8.7497614094122567e-01,1.7230508102217101e+02,1.7942642716206254e+02,,,9.0885519232051948e-01,3.6114958487636111e+00,6.6892208655958445e+00,6.8235869507559999e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2702732738462480e-01,1.5707949999999999e+00,1.2762720155208536e+00,4.4178646691106467e+00,1.8000000000000000e+00,2.3561944901923448e+00,1.2732686525610486e+01,8.0500256212604504e-01,-3.3512927059861619e+00,3.9641090279136835e+00,7.6647371358423033e-01,1.7727882036186142e+02,2.1165019602419504e+00,6.8071988700530097e+00,2.1165019602419504e+00,6.8071988700530097e+00
GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_L,enhanced_region_0,0,40,4.8960753216387121e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.8653206380689404e+00,1.8000000000000000e+00,1.8000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,4.9239268401252403e+00,1.2283047325441638e+01,4.5458293293070284e-01,7.9419032918059995e-01,-7.9619735842835002e+00,-3.7067863647182913e+00,4.0629222040829802e+00,6.7876631041859810e+00,5.0503906194654979e-01,7.4947303399518428e-01,1.5262894697622022e+02,1.7462288222975423e+02,,,2.4717057508188787e+00,6.8351731826713387e+00,5.3954218319158578e+00,6.7577922819670775e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,4.2541858989495934e-01,1.5707949999999999e+00,1.6689710972195773e+00,4.8105637508093704e+00,1.8000000000000000e+00,6.1850105367549055e+00,8.3671974804953528e+00,6.8442323763306079e-01,-5.0966855010775278e+00,4.7378268179287764e+00,5.9242005710525958e-01,1.6646182642879580e+02,4.7850839853373230e+00,6.4203399750453851e+00,4.7850839853373230e+00,6.4203399750453851e+00
GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_L,enhanced_region_1,1,40,4.8960753216387110e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.2762720155208536e+00,1.6689710972195773e+00,1.8000000000000000e+00,1.8000000000000000e+00,2.7488935718910690e+00,3.6324665057131984e+00,4.9239268401252403e+00,1.2283047325441636e+01,4.5458293293070307e-01,7.9419032918059995e-01,-7.9619735842835002e+00,-3.7067863647182917e+00,4.0629222040829802e+00,6.7876631041859765e+00,5.0503906194654957e-01,7.4947303399518406e-01,1.5262894697622022e+02,1.7462288222975423e+02,,,2.4717057508188800e+00,6.8351731826713387e+00,5.3954218319158596e+00,6.7577922819670784e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,4.2541858989495934e-01,1.5707949999999999e+00,1.4726215563702159e+00,4.6142142099600090e+00,1.8000000000000000e+00,3.2397674240144743e+00,8.3671974804953493e+00,6.8442323763306068e-01,-5.0966855010775278e+00,4.7378268179287764e+00,5.9242005710525925e-01,1.6646182642879580e+02,4.7850839853373248e+00,6.4203399750453851e+00,4.7850839853373248e+00,6.4203399750453851e+00
GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Tx,enhanced_region_0,0,33,4.8513517201408507e-01,9.9999999999999989e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.3744467859455343e+00,1.7671458676442597e+00,1.8000000000000000e+00,1.8000000000000000e+00,1.3744467859455345e+00,2.3561944901923448e+00,1.5110331594561814e+01,1.6866895224885329e+01,8.3103489438137901e-01,8.4686531068318849e-01,-3.3729055159851806e+00,-3.2119523797675900e+00,3.9298056968822639e+00,3.9641090279136835e+00,8.8082211439139713e-01,9.6515104292341547e-01,1.7727882036186142e+02,1.8000000000000000e+02,,,3.5243127860518086e-12,9.0885519232052014e-01,6.8071988700530097e+00,6.8243505355684739e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.9634954084936207e+00,1.6283943763625402e+01,8.4196462742854150e-01,-3.2513157535238357e+00,3.9363133999993840e+00,9.3721715272459727e-01,1.7881579679303852e+02,3.0478267895776756e-01,6.8210966840090972e+00,3.0478267895776756e-01,6.8210966840090972e+00
GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Tx,enhanced_region_1,1,47,4.8278653690091022e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,8.8357293382212987e-01,1.8653206380689404e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.5160394395353274e+00,5.1050880620834143e+00,3.0634124056887426e+00,5.9645409046018329e+00,1.5660214646316872e-01,3.0026537216693161e-01,-1.9583536927292194e+01,-1.4948371943154347e+01,1.4779534730093177e+01,1.7378183938550212e+01,9.2060923862048605e-01,9.9179128779469583e-01,2.8926844580454450e+01,9.4056378635161650e+01,,,5.8914015382409639e+00,8.0079034984793900e+00,1.0016141473569001e-01,1.3994860189644376e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1330101235719803e+00,1.5707949999999999e+00,1.4726215563702159e+00,4.6142142099600090e+00,1.8000000000000000e+00,4.9087385212340520e+00,4.0422954953583066e+00,2.0249843223363581e-01,-1.8934434204065006e+01,1.6799656115896884e+01,9.6734384625194825e-01,5.4940191295692181e+01,7.8354946804127694e+00,3.8942532605946273e-01,7.8354946804127694e+00,3.8942532605946273e-01
GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_unpolarized,enhanced_region_0,0,41,4.8271327262801988e-01,4.9892380177210360e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.6689710972195773e+00,1.8000000000000000e+00,1.8000000000000000e+00,8.8357293382212931e-01,2.2580197197676637e+00,1.5139160915483760e+01,1.6866895224885329e+01,8.3122289213189249e-01,8.4686531068318849e-01,-3.3321659736723759e+00,-3.2161450425322071e+00,3.9298056968822639e+00,3.9538014415616631e+00,8.8258956954087164e-01,9.6515104292341547e-01,1.7772481659327468e+02,1.8000000000000000e+02,,,3.5243127860518086e-12,9.0885519232051892e-01,6.8123526632274878e+00,6.8243505355684739e+00,massless,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.1780972450961724e+00,1.6283943763625402e+01,8.4196462742854139e-01,-3.2513157535238357e+00,3.9363133999993840e+00,9.3721715272459738e-01,1.7881579679303823e+02,3.0478267895776701e-01,6.8210966840090972e+00,3.0478267895776701e-01,6.8210966840090972e+00
