detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
ghz_purity_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_0,0,4.8271326486505806e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,1.1680467979528945e-01,-6.2065945608457240e-01,6.3155482236245919e-01,-1.3847775733084202e+00,3.9886149364927737e-01,3.9886149364927737e-01,9.6542652973011611e-01,1,9.9891640661089165e-01
ghz_purity_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_0,0,4.8271326486505806e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-3.1930103531593645e-02,1.1321067005552458e-01,1.1762732389185405e-01,1.8456970770434307e+00,1.3836187325959140e-02,1.3836187325959140e-02,3.3489876880775572e-02,2,9.9891640661089165e-01
ghz_purity_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_1,1,4.8246317448816733e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,2.6673551294568360e-03,1.2935959220466090e-02,1.3208096923486038e-02,1.3674493393458056e+00,1.7445382434020136e-04,1.7445382434020136e-04,9.6492634897633489e-01,1,9.9993259523911915e-01
ghz_purity_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_1,1,4.8246317448816733e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-4.8567279255644873e-04,-2.4684154765134978e-03,2.5157410490988410e-03,-1.7650696412753155e+00,6.3289530261209372e-06,6.3289530261209372e-06,3.5006246262784299e-02,2,9.9993259523911915e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,low_Egamma_lepton_massless_L_proton_Ty_region_0,0,2.7976998507046086e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,3.3488526110191309e-03,-2.2696186670531495e-02,2.2941920215926590e-02,-1.4243020189188917e+00,5.2633170319394112e-04,5.2633170319394112e-04,5.5953997014092149e-01,1,9.9974181611710455e-01
ghz_purity_low_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,low_Egamma_lepton_massless_L_proton_Ty_region_0,0,2.7976998507046086e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-2.9159366703983870e-03,2.0138855932319746e-02,2.0348862497164413e-02,1.7145886094239757e+00,4.1407620492850427e-04,4.1407620492850427e-04,4.4020184597618306e-01,2,9.9974181611710455e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,low_Egamma_lepton_massless_L_proton_Ty_region_1,1,2.7976998507046080e-01,9.9999999999999944e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,3.3488526110191379e-03,2.2696186670531492e-02,2.2941920215926590e-02,1.4243020189188915e+00,5.2633170319394112e-04,5.2633170319394112e-04,5.5953997014092161e-01,1,9.9974181611710478e-01
ghz_purity_low_egamma_lty_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,low_Egamma_lepton_massless_L_proton_Ty_region_1,1,2.7976998507046080e-01,9.9999999999999944e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-2.9159366703983940e-03,-2.0138855932319746e-02,2.0348862497164413e-02,-1.7145886094239760e+00,4.1407620492850427e-04,4.1407620492850427e-04,4.4020184597618311e-01,2,9.9974181611710478e-01
ghz_purity_mid_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,mid_Egamma_lepton_massless_L_proton_Ty_region_0,0,3.8412422066114355e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,5.2257244489603057e-03,-2.6801127953265724e-02,2.7305835559158099e-02,-1.3782308602392828e+00,7.4560865558378293e-04,7.4560865558378293e-04,7.6824844132228720e-01,1,9.9911822565934016e-01
ghz_purity_mid_egamma_lty_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,mid_Egamma_lepton_massless_L_proton_Ty_region_0,0,3.8412422066114355e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,"$|L_{\ell_0}\rangle\otimes|T_{y,p}\rangle$","electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-2.8643553272566309e-03,1.4692231598880107e-02,1.4968840997081723e-02,1.7633383057449703e+00,2.2406620079591457e-04,2.2406620079591457e-04,2.3086978433705299e-01,2,9.9911822565934016e-01
