detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
ghz_purity_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_0,0,4.8271326486505806e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,4.0861889113705664e-16,2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948963e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.1780972450961724e+00,1.6283943763625402e+01,8.4196462742854139e-01,-3.2513157535238357e+00,3.9363133999993840e+00,9.3721715272459738e-01
ghz_purity_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_0,0,4.8271326486505806e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,-4.0861889113705664e-16,-2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.1780972450961724e+00,1.6283943763625402e+01,8.4196462742854139e-01,-3.2513157535238357e+00,3.9363133999993840e+00,9.3721715272459738e-01
ghz_purity_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_0,0,4.8271326486505806e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,kp,1.8949514412977371e+00,-6.8883017825716175e-01,-1.7653197870070390e+00,0.0000000000000000e+00,1.8949514412977371e+00,4.3403581436601186e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.1780972450961724e+00,1.6283943763625402e+01,8.4196462742854139e-01,-3.2513157535238357e+00,3.9363133999993840e+00,9.3721715272459738e-01
ghz_purity_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_0,0,4.8271326486505806e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,pp,9.4356599426326793e-01,0.0000000000000000e+00,1.0233662848672290e-01,0.0000000000000000e+00,1.0233662848672290e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.1780972450961724e+00,1.6283943763625402e+01,8.4196462742854139e-01,-3.2513157535238357e+00,3.9363133999993840e+00,9.3721715272459738e-01
ghz_purity_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_0,0,4.8271326486505806e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,6.8883017825716175e-01,1.6629831585203161e+00,0.0000000000000000e+00,1.8000000000000000e+00,1.1780972450961724e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.1780972450961724e+00,1.6283943763625402e+01,8.4196462742854139e-01,-3.2513157535238357e+00,3.9363133999993840e+00,9.3721715272459738e-01
ghz_purity_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_1,1,4.8246317448816733e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,4.0861889113705664e-16,2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948963e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,4.6142142099600090e+00,3.8066130039326542e+00,1.8747214114287850e-01,-1.9583536927292194e+01,1.7378183938550212e+01,9.8395778942056944e-01
ghz_purity_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_1,1,4.8246317448816733e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,-4.0861889113705664e-16,-2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,4.6142142099600090e+00,3.8066130039326542e+00,1.8747214114287850e-01,-1.9583536927292194e+01,1.7378183938550212e+01,9.8395778942056944e-01
ghz_purity_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_1,1,4.8246317448816733e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,kp,4.4601104975146899e-01,1.7643085259320881e-01,-4.0963155488028602e-01,0.0000000000000000e+00,4.4601104975146899e-01,5.1190828901016188e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,4.6142142099600090e+00,3.8066130039326542e+00,1.8747214114287850e-01,-1.9583536927292194e+01,1.7378183938550212e+01,9.8395778942056944e-01
ghz_purity_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_1,1,4.8246317448816733e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,pp,2.3925063858084714e+00,0.0000000000000000e+00,2.2009640628902405e+00,0.0000000000000000e+00,2.2009640628902405e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,4.6142142099600090e+00,3.8066130039326542e+00,1.8747214114287850e-01,-1.9583536927292194e+01,1.7378183938550212e+01,9.8395778942056944e-01
ghz_purity_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_L_proton_Ty,enhanced_region_1,1,4.8246317448816733e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-1.7643085259320881e-01,-1.7913325080099545e+00,0.0000000000000000e+00,1.8000000000000000e+00,4.6142142099600090e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,4.6142142099600090e+00,3.8066130039326542e+00,1.8747214114287850e-01,-1.9583536927292194e+01,1.7378183938550212e+01,9.8395778942056944e-01
