detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
ghz_purity_lepton_massless_unpolarized_proton_L_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,enhanced_region_0,0,4.8271327262801988e-01,9.9783514243578253e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,1.6518676443133348e-01,8.7774503165459872e-01,8.9315340660920362e-01,1.3847775733084198e+00,7.9772300773762539e-01,3.9886150386881269e-01,9.6542654525603944e-01,1,9.9865248229711123e-01
ghz_purity_lepton_massless_unpolarized_proton_L_region_0,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,enhanced_region_0,0,4.8271327262801988e-01,9.9783514243578253e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-3.0643510879269052e-02,-1.6283506720999438e-01,1.6569334287258275e-01,-1.7568082658712711e+00,2.7454283872291270e-02,1.3727141936145635e-02,3.3225937041071782e-02,2,9.9865248229711123e-01
ghz_purity_lepton_massless_unpolarized_proton_L_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,enhanced_region_1,1,4.8246317453909265e-01,9.9986519902348236e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,3.7722103902046826e-03,1.8294211835468269e-02,1.8679072726154142e-02,1.3674493393458056e+00,3.4890775790895551e-04,1.7445387895447776e-04,9.6492634907816177e-01,1,9.9992971297993116e-01
ghz_purity_lepton_massless_unpolarized_proton_L_region_1,enhanced_cluster,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,enhanced_region_1,1,4.8246317453909265e-01,9.9986519902348236e-01,nan,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-7.1846158204941018e-04,-3.4843479642043622e-03,3.5576491930115911e-03,-1.7741432357530769e+00,1.2656867780536025e-05,6.3284338902680124e-06,3.5003363901769440e-02,2,9.9992971297993116e-01
ghz_purity_low_egamma_l_proton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,low_Egamma_lepton_massless_unpolarized_proton_L_region_0,0,2.7970964946997773e-01,9.9955619376114735e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,5.1850307631049718e-03,-3.2712965475375624e-02,3.3121332313291119e-02,-1.4136031969801324e+00,1.0970226542074623e-03,5.4851132710373115e-04,5.5934751771661528e-01,1,9.9960230300524211e-01
ghz_purity_low_egamma_l_proton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,low_Egamma_lepton_massless_unpolarized_proton_L_region_0,0,2.7970964946997773e-01,9.9955619376114735e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-4.6000091649076062e-03,2.9022257859170095e-02,2.9384545862772737e-02,1.7279880604533631e+00,8.6345153556139438e-04,4.3172576778069719e-04,4.4025478528862677e-01,2,9.9960230300524211e-01
ghz_purity_low_egamma_l_proton_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,low_Egamma_lepton_massless_unpolarized_proton_L_region_1,1,2.7970964946997767e-01,9.9955619376114713e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,5.1850307631049822e-03,3.2712965475375597e-02,3.3121332313291091e-02,1.4136031969801319e+00,1.0970226542074606e-03,5.4851132710373029e-04,5.5934751771661517e-01,1,9.9960230300524189e-01
ghz_purity_low_egamma_l_proton_region_1,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,low_Egamma_lepton_massless_unpolarized_proton_L_region_1,1,2.7970964946997767e-01,9.9955619376114713e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-4.6000091649076149e-03,-2.9022257859170078e-02,2.9384545862772719e-02,-1.7279880604533635e+00,8.6345153556139330e-04,4.3172576778069665e-04,4.4025478528862677e-01,2,9.9960230300524189e-01
ghz_purity_mid_egamma_l_proton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,mid_Egamma_lepton_massless_unpolarized_proton_L_region_0,0,3.8412422081965408e-01,9.9823799525119961e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,7.3902912774418345e-03,-3.7902523195234544e-02,3.8616287622332698e-02,-1.3782308602392828e+00,1.4912176697307255e-03,7.4560883486536275e-04,7.6824844163929717e-01,1,9.9911821999124673e-01
ghz_purity_mid_egamma_l_proton_region_0,egamma_region_max,GHZ_purity,P_{\rm GHZ+},lepton_massless_unpolarized_proton_L,mid_Egamma_lepton_massless_unpolarized_proton_L_region_0,0,3.8412422081965408e-01,9.9823799525119961e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_{\ell_0}}\rho(h_{\ell_0},L_p)$","electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-4.0512397609375802e-03,2.0777871737554784e-02,2.1169140217374902e-02,1.7633589611398526e+00,4.4813249754287952e-04,2.2406624877143976e-04,2.3086977835194961e-01,2,9.9911821999124673e-01
